GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
1e474c96-27ca-4cd6-af99-eeb67792fcf4,1,9af9e7d0-0418-11ef-947a-ff116839d046,,,,,,,,CEN_COL,MIL_COL,InPlay,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
1e474c96-27ca-4cd6-af99-eeb67792fcf4,2,a3cb9890-0418-11ef-947a-ff116839d046,,,,,,,,CEN_COL,MIL_COL,BallCalled,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
1e474c96-27ca-4cd6-af99-eeb67792fcf4,3,a47a2810-0418-11ef-947a-ff116839d046,cef3479e-7b1b-43ac-ab9d-2fae82845b65,2024-04-26,18:02:14.84,2024-04-26,22:02:14.84,2024-04-26T18:02:14.8430666-04:00,2024-04-26T22:02:14.8430666Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,64.69129,58.34925,143.64157,37.53542,77.06117,-49.03159,149.30201,-21.87894,280.87854,-142.32189,342.7321,-3.81839,271.26633,163.92544,,,,,,,,,,,,,,,true
1e474c96-27ca-4cd6-af99-eeb67792fcf4,4,b0902e60-0418-11ef-947a-ff116839d046,d866c60d-e37c-4ba5-8d82-74739bbaf4b7,2024-04-26,18:02:35.14,2024-04-26,22:02:35.14,2024-04-26T18:02:35.1467850-04:00,2024-04-26T22:02:35.1467850Z,CEN_COL,MIL_COL,FoulBallNotFieldable,Undefined,NoShift,64.74699,57.93355,139.00551,43.6986,79.97943,-51.47068,150.46286,-24.51283,279.45988,-141.91255,343.95095,-7.6265,273.56126,163.50646,,,,,,,,,,,,,,,true
1e474c96-27ca-4cd6-af99-eeb67792fcf4,5,be6aef20-0418-11ef-947a-ff116839d046,943893a4-6b91-41e6-a500-79c970c69ac2,2024-04-26,18:02:58.30,2024-04-26,22:02:58.30,2024-04-26T18:02:58.3074634-04:00,2024-04-26T22:02:58.3074634Z,CEN_COL,MIL_COL,FoulBallNotFieldable,Undefined,NoShift,64.61792,58.4982,141.68104,43.67822,108.14633,-69.90995,150.85323,-26.64374,281.95223,-143.66672,342.32578,-7.27015,271.13538,160.71305,,,,,,,,,,,,,,,true
1e474c96-27ca-4cd6-af99-eeb67792fcf4,6,ca21be70-0418-11ef-947a-ff116839d046,4cd18567-c3a0-48a6-9533-256d2e1b3964,2024-04-26,18:03:17.98,2024-04-26,22:03:17.98,2024-04-26T18:03:17.9840842-04:00,2024-04-26T22:03:17.9840842Z,CEN_COL,MIL_COL,InPlay,Single,NoShift,64.63331,58.97004,141.53038,34.83264,103.92798,-75.33859,150.15442,-24.35807,271.55831,-141.71258,340.69554,-6.64415,272.70922,164.45593,,,,,,,,,,,,,,,true
1e474c96-27ca-4cd6-af99-eeb67792fcf4,7,e05c0d30-0418-11ef-947a-ff116839d046,36f1f7bf-5947-4d65-8469-b6567af6d5e6,2024-04-26,18:03:55.29,2024-04-26,22:03:55.29,2024-04-26T18:03:55.2906570-04:00,2024-04-26T22:03:55.2906570Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,74.29931,52.73562,134.76506,30.911,72.02504,-54.50145,141.80593,-32.19742,281.57036,-142.14603,337.69475,-6.09332,272.19446,153.13015,,,,,,,,,,,,,,,true
1e474c96-27ca-4cd6-af99-eeb67792fcf4,8,e962fec0-0418-11ef-947a-ff116839d046,84d7c02a-d1b1-41b6-a257-5c215b7b8fa8,2024-04-26,18:04:10.48,2024-04-26,22:04:10.48,2024-04-26T18:04:10.4876362-04:00,2024-04-26T22:04:10.4876362Z,CEN_COL,MIL_COL,StrikeSwinging,Undefined,NoShift,63.59046,45.31982,127.36798,34.65078,71.83839,-54.06656,140.3093,-24.49052,278.86141,-142.09689,343.21693,-5.8346,277.26169,154.47731,,,,,,,,,,,,,,,true
1e474c96-27ca-4cd6-af99-eeb67792fcf4,9,f3b3ae60-0418-11ef-947a-ff116839d046,28028c84-8709-489c-95f7-eca1a50848b6,2024-04-26,18:04:27.72,2024-04-26,22:04:27.72,2024-04-26T18:04:27.7237578-04:00,2024-04-26T22:04:27.7237578Z,CEN_COL,MIL_COL,InPlay,Out,NoShift,74.98301,52.13024,134.0263,19.73777,72.05473,-54.11043,145.60881,-43.14522,278.52152,-142.78165,342.17093,-5.35895,271.12506,155.07401,,,,,,,,,,,,,,,true
1e474c96-27ca-4cd6-af99-eeb67792fcf4,10,0660b7b0-0419-11ef-947a-ff116839d046,5cb278df-fee1-4409-aa6f-c828947e129d,2024-04-26,18:04:59.04,2024-04-26,22:04:59.04,2024-04-26T18:04:59.0446410-04:00,2024-04-26T22:04:59.0446410Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,71.35507,51.72874,141.29331,46.0086,78.08004,-58.11681,143.93437,-47.19905,272.32712,-138.43432,341.17093,-5.43125,279.20768,155.26035,,,,,,,,,,,,,,,true
