PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-17,13:59:15.52,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Kelsey, Evan",1000303709,Right,WIL_QUA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.01958,-1.588134,-4.847819,1999.877394,215.181037,1:15,5.20315,2.46074,5.9166,-20.18596,19.62225,12.70485,2.0415,-0.99017,75.79688,-5.470193,-2.578645,0.454107,,,,,,,,,,,,-8.14477,11.01918,-2.07856,50,5.06424,9.87559,-122.71764,-3.95414,-12.11434,29.86079,-15.78442,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,a5af1e80-cdc6-11ee-bb33-13056ff2d571,83.00352,,,9.2227,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,2024-02-17,18:59:15.52,2024-02-17T13:59:15.5283596-05:00,2024-02-17T18:59:15.5283596Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,486777fb-a3a6-4744-8e85-483a5c545344,54.57512,-123.82589,14.93039,5.20012,-3.36831,-7.89221,-2.45343,10.32521,-6.05717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-17,13:59:30.55,1,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Kelsey, Evan",1000303709,Right,WIL_QUA,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.36042,2.907683,-0.758992,1905.653078,46.058123,7:30,5.02516,2.59028,5.71413,-62.77622,-13.15839,-15.64989,2.50504,0.57904,68.40582,-8.619608,-3.56012,0.506979,87.81522,-13.428106,2.337716,,,,,10.65965,9.99848,-0.629051,0.079779,7.65209,-7.18185,-2.517,50,5.23007,2.06005,-110.5739,3.56184,9.1865,25.28468,-40.79606,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,aeb59ae0-cdc6-11ee-bb33-13056ff2d571,74.34709,2.39099,,7.95461,,,,0.65281,2.39099,-0.52552,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,2024-02-17,18:59:30.55,2024-02-17T13:59:30.5537164-05:00,2024-02-17T18:59:30.5537164Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c2861588-6a26-4ffb-890c-7f092831ae28,54.78406,-111.6625,12.64234,5.0389,5.31826,-20.39803,-2.59718,1.66454,4.59325,180,0.64956,125.42382,,,,,,,,2.39177,-29.97014,,,,,,,,-0.52565,5.12024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-02-17,14:00:03.07,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Lammert, Jared",10011416,Right,WIL_QUA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.68445,-1.371231,-4.616866,2005.676735,212.842539,1:00,5.17344,2.40844,6.18118,-18.92655,18.94304,11.25375,2.32566,-0.92623,77.28472,-5.03467,-2.596058,0.442911,,,,,,,,,,,,-7.3554,10.65438,-2.06438,50,5.05994,9.64089,-125.22454,-3.48693,-11.39356,31.05697,-15.67034,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,c2046270-cdc6-11ee-bb33-13056ff2d571,85.10156,,,9.39973,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,2024-02-17,19:00:03.07,2024-02-17T14:00:03.0755980-05:00,2024-02-17T19:00:03.0755980Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,743eb4b6-9be2-432d-b4c5-6b81df687c42,54.30972,-126.28887,15.52848,5.17024,-2.9499,-7.83517,-2.40146,10.03135,-5.69678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,,,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Lammert, Jared",10011416,Right,WIL_QUA,Undefined,1,Top,1,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,e9676470-cdc6-11ee-bb33-13056ff2d571,,,,,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Lammert, Jared",10011416,Right,WIL_QUA,Undefined,1,Top,1,1,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,ecd4c5d0-cdc6-11ee-bb33-13056ff2d571,,,,,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,2,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Lammert, Jared",10011416,Right,WIL_QUA,Undefined,1,Top,1,2,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,f45df100-cdc6-11ee-bb33-13056ff2d571,,,,,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,2,5,"Morgan, Luc",1000126728,Right,CEN_COL,"Lammert, Jared",10011416,Right,WIL_QUA,Undefined,1,Top,1,3,1,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,f7c44d80-cdc6-11ee-bb33-13056ff2d571,,,,,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-02-17,14:01:42.20,3,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Depa, Dominic",1000303710,Right,WIL_QUA,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.51357,-1.629539,-4.459008,1893.716744,218.881998,1:15,5.15909,2.46537,5.75799,-21.20411,20.17761,14.94713,1.87031,-0.44783,74.61527,-5.688363,-1.793967,0.462994,,,,,,,,,,,,-9.0756,11.26154,-2.10414,50,5.01112,8.77938,-120.60267,-4.02241,-13.06631,28.37077,-15.96054,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,fd2393d0-cdc6-11ee-bb33-13056ff2d571,81.41018,,,8.8983,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,2024-02-17,19:01:42.20,2024-02-17T14:01:42.2063244-05:00,2024-02-17T19:01:42.2063244Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,03407d8f-6c81-4f0c-b7b6-d31307c723aa,54.73419,-121.71125,14.18538,5.15611,-3.39876,-7.98027,-2.45717,9.28994,-6.53315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-17,14:02:01.58,3,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Depa, Dominic",1000303710,Right,WIL_QUA,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.12687,2.683876,0.646986,1989.213396,53.257298,7:45,5.36721,2.27245,5.63762,-67.39779,-10.27001,-16.66517,2.25649,1.48728,64.07535,-9.675458,-2.334921,0.543995,,,,,,,,,,,,8.58245,-5.38638,-2.31691,50,5.55337,-0.55683,-103.02746,2.75211,8.98369,21.2858,-37.81226,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,08b5eb30-cdc7-11ee-bb33-13056ff2d571,69.28817,,,7.05153,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,2024-02-17,19:02:01.58,2024-02-17T14:02:01.5886988-05:00,2024-02-17T19:02:01.5886988Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,8371e3a1-3ea8-4486-b80c-9f2bbbfcdc94,54.86004,-104.02671,10.6429,5.3825,4.5272,-18.90613,-2.28087,-0.97857,4.49184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-17,14:02:23.65,3,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Depa, Dominic",1000303710,Right,WIL_QUA,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.33109,-2.379304,-4.363596,1934.046928,213.869768,1:15,5.1979,2.4206,5.69986,-18.66481,22.35883,13.84127,1.41773,-0.49986,74.78352,-5.994511,-1.898345,0.460987,,,,,,,,,,,,-8.58697,12.67583,-2.06256,50,4.98661,8.69138,-121.62629,-5.55058,-12.46881,30.65868,-13.76791,CEN_COL,WIL_QUA,GaryWright,D3,Team,20240217-GaryWright-1,15d1c8c0-cdc7-11ee-bb33-13056ff2d571,81.76467,,,9.54757,,,,,,,640e92bf-4fd7-4c4b-a99b-c37c2e1ddb48,2024-02-17,19:02:23.65,2024-02-17T14:02:23.6507276-05:00,2024-02-17T19:02:23.6507276Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,96964ca1-c7b6-4c1e-be39-d25028d30095,54.79132,-122.82811,15.32934,5.19362,-5.01087,-6.88396,-2.41284,9.18015,-6.23441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
