PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-15,12:18:46.54,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,51.30407,0.895281,-3.118083,1329.542253,176.201273,11:45,6.18657,2.12454,23.83699,-39.48372,6.0478,-0.33079,3.44795,0.17667,48.6705,-9.95063,-3.20755,0.485655,,,,,,,,,,,,-0.53677,7.65386,-2.84812,50,5.57707,4.14392,-76.72187,5.92467,-0.31847,9.898,-27.6329,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,0c0ee150-4ca5-11ed-935d-97b99e38dd8c,77.61161,,,2.63357,,,,,,,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:18:46.54,2022-10-15T12:18:46.5493134-04:00,2022-10-15T16:18:46.5493134Z,,v3,,,,,,Undefined,CEN_COL,cd19da86-589e-4a26-bb81-d894d30fc77a,36.66156,-74.98132,4.949,6.19168,1.06545,-13.81645,-2.12434,4.08791,-0.15924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-10-15,12:18:55.46,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,49.14592,-1.69218,-3.50886,1325.004047,159.73921,11:15,6.15264,2.06678,23.51156,-47.06684,3.77866,-0.92646,1.1774,-0.19192,47.14604,-14.313497,-3.758041,0.513213,,,,,,,,,,,,-0.06693,5.77087,-2.85681,50,6.09518,4.41694,-73.56377,2.95028,-0.03621,9.75691,-29.05171,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,1153c1d0-4ca5-11ed-935d-97b99e38dd8c,73.44402,,,1.99988,,,,,,,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:18:55.46,2022-10-15T12:18:55.4668174-04:00,2022-10-15T16:18:55.4668174Z,,v3,,,,,,Undefined,CEN_COL,09e749d0-c4da-403e-8e40-8f6acfe6ba72,36.98941,-71.81742,4.87846,6.15789,-2.24956,-14.52585,-2.06682,4.41046,-0.01811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-10-15,12:18:59.48,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,48.8654,0.558292,-2.182417,1212.840098,189.980446,12:15,6.10199,2.00122,23.77163,-44.06183,6.58087,0.92768,2.77457,0.73264,46.27381,-11.516355,-1.931365,0.512188,,,,,,,,,,,,-1.77823,8.10063,-2.51499,50,5.52459,2.89353,-73.35295,5.71811,-0.95238,10.05452,-27.83557,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,13aeefe0-4ca5-11ed-935d-97b99e38dd8c,73.59096,,,2.59159,,,,,,,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:18:59.48,2022-10-15T12:18:59.4835598-04:00,2022-10-15T16:18:59.4835598Z,,v3,,,,,,Undefined,CEN_COL,ecbe5163-c5e7-4903-936e-7c43f5aa80ea,36.72957,-71.51083,5.02726,6.10504,0.61829,-13.91779,-2.00084,2.71904,-0.47619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-15,12:19:04.60,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,49.24854,-0.214285,-1.865994,1261.618349,190.9005,12:15,6.19678,1.9772,23.53944,-45.53062,4.87811,0.69429,2.26954,0.87691,46.8831,-12.553227,-1.678982,0.511004,40.00186,38.115736,-138.171824,5178.020877,,,,,9.069,,,-1.38421,6.30992,-2.40776,50,5.80578,2.47946,-73.88744,4.77416,-0.75421,9.98574,-28.73601,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,16b726d0-4ca5-11ed-935d-97b99e38dd8c,73.76154,9.11749,,2.36543,,,,1.78043,2.3211,-0.84157,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:19:04.60,2022-10-15T12:19:04.6069902-04:00,2022-10-15T16:19:04.6069902Z,,v3,,,,,,Undefined,CEN_COL,19c2a096-7658-4324-9734-ab2c792cc601,36.96232,-72.1039,4.99287,6.20013,-0.35835,-14.368,-1.97694,2.34474,-0.37711,49.298309,1.78075,-34.41568,0.30021,,,,,,,2.32199,36.15812,-20.29856,,,,,,,-0.84222,-30.74307,5.1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2022-10-15,12:19:11.88,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.05015,1.900564,-3.624853,1368.322976,197.099154,12:30,5.65662,2.14386,23.65828,-46.80443,2.21252,0.2722,2.9343,-0.07796,46.99524,-10.907188,-3.551645,0.5039,75.36605,29.119995,-3.65569,4042.684029,109.2649,46.64176,-12.69539,254.73224,254.73224,-11.094851,3.785783,-1.58732,2.5952,-2.97939,50,4.76506,4.78774,-75.12625,7.77421,-0.88424,11.24437,-30.72834,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,1b1be080-4ca5-11ed-935d-97b99e38dd8c,74.80138,49.7751,,3.0549,,,,1.93241,3.078,0.04991,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:19:11.88,2022-10-15T12:19:11.8866062-04:00,2022-10-15T16:19:11.8866062Z,LineDrive,v3,,,,,,Undefined,CEN_COL,1ae8dd94-52f8-4648-93c4-a0dc0bfe5b8c,36.84351,-73.13057,5.62219,5.66087,2.32046,-15.36417,-2.14358,4.6308,-0.44212,149.853616,1.93179,96.38785,-15.08765,3.49599,-0.95148,0.30918,-0.08423,0.01346,-0.00089,3.07861,53.77312,-16.81046,0.7983,0.10302,-0.14001,0.05127,-0.00851,0.00054,0.0498,-6.15378,-3.43594,0.82427,-0.21551,0.0641,-0.01638,0.00255,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2022-10-15,12:19:17.66,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,48.87232,0.653058,-2.867785,1207.90155,167.204441,11:30,5.75838,2.09044,23.838,-46.85629,3.985,-0.58516,2.256,0.27584,46.07421,-12.20204,-3.026396,0.513192,67.68315,47.434735,22.767498,,102.70439,78.9432,39.393,210.46536,208.17345,21.018149,4.605695,-0.3622,5.11866,-2.75321,50,5.13258,3.62066,-73.50644,6.13184,-0.19266,10.97347,-29.45147,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,1ead1d90-4ca5-11ed-935d-97b99e38dd8c,73.44708,79.06378,,2.79811,,,,2.74006,2.59753,-0.3532,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:19:17.66,2022-10-15T12:19:17.6667790-04:00,2022-10-15T16:19:17.6667790Z,FlyBall,v3,,,,,,Undefined,CEN_COL,a5d8d469-47c6-4ce5-819a-c72496d283b3,36.66346,-71.48776,5.48674,5.76225,0.71396,-14.72574,-2.09041,3.58522,-0.09633,174.639397,2.7413,61.87834,-11.75413,3.07843,-0.3026,-0.11987,0.05439,-0.00853,0.00048,2.59391,73.19559,-20.09749,1.92699,-0.62835,0.2026,-0.03775,0.00323,-0.0001,-0.35276,25.97148,-5.92329,1.66785,-0.22197,-0.03399,0.02151,-0.00361,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2022-10-15,12:19:25.90,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,48.36519,-0.079646,-3.532666,1237.1395,190.362569,12:15,5.98577,2.07642,23.74968,-47.15794,5.14343,0.66874,2.00673,-0.04948,45.66669,-12.952368,-3.351965,0.520508,,,,,,,,,,,,-2.05154,6.7213,-2.89982,50,5.53645,4.55675,-72.69955,5.10206,-1.06589,10.84115,-28.68197,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,2376daa0-4ca5-11ed-935d-97b99e38dd8c,72.41465,,,2.6985,,,,,,,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:19:25.90,2022-10-15T12:19:25.9099278-04:00,2022-10-15T16:19:25.9099278Z,,v3,,,,,,Undefined,CEN_COL,7ec2d828-f645-4800-ac1c-af3918dc2e21,36.75147,-70.69629,5.42057,5.98956,-0.19787,-14.34098,-2.07601,4.35979,-0.53294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-10-15,12:19:31.51,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,47.29584,1.287945,-2.658852,1158.237802,164.857354,11:30,5.96893,2.03481,23.84064,-49.07463,4.80044,-0.92969,2.6727,0.32046,44.91533,-12.154941,-2.910785,0.528281,93.33053,16.623994,28.716654,1387.816729,95.87297,27.18534,53.92908,299.55173,298.08047,32.131647,3.01713,0.2011,5.84807,-2.64568,50,5.16366,3.1996,-70.97743,7.03231,0.10087,9.39783,-29.24092,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,26c939f0-4ca5-11ed-935d-97b99e38dd8c,71.34918,30.68625,,2.38051,,,,2.36622,2.95053,-0.40311,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:19:31.51,2022-10-15T12:19:31.5103374-04:00,2022-10-15T16:19:31.5103374Z,LineDrive,v3,,,,,,Undefined,CEN_COL,04c4ca6b-8238-40d4-98da-d94b4aba20f9,36.66116,-69.18875,4.69891,5.97249,1.46692,-14.62046,-2.03487,3.2188,0.05043,209.884716,2.36623,115.03037,-18.09974,4.11352,-0.84044,0.15648,-0.02472,0.00269,-0.00013,2.95053,39.16139,-14.27209,0.27499,0.05668,-0.02859,0.00651,-0.00053,0,-0.4031,63.02074,-5.3297,0.99539,-0.15578,0.01862,-0.00118,-0.00011,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2022-10-15,12:19:37.45,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,47.70183,1.650208,-1.964355,1098.220819,170.78983,11:45,5.97813,2.00165,23.58472,-47.57566,6.11961,-0.77122,3.03694,0.71968,45.16846,-11.329882,-2.17182,0.527399,84.28675,33.033319,13.919167,,107.39653,63.23776,23.79044,310.88084,310.88084,11.502599,4.722888,0.23972,7.14272,-2.44368,50,5.13509,2.37612,-71.54833,7.21217,0.12231,9.46217,-28.52951,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,2a5e4790-4ca5-11ed-935d-97b99e38dd8c,71.46854,77.19534,,2.53337,,,,2.37781,3.33783,-0.73694,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:19:37.45,2022-10-15T12:19:37.4519438-04:00,2022-10-15T16:19:37.4519438Z,FlyBall,v3,,,,,,Undefined,CEN_COL,191d1345-3b80-4a45-88f1-31d268374680,36.91671,-69.79664,4.73108,5.98137,1.93062,-14.26475,-2.00171,2.39876,0.06116,174.099651,2.37964,100.55652,-18.18052,4.23171,-0.67377,0.07077,-0.0074,0.00116,-9E-05,3.33751,67.38839,-16.47155,0.5025,0.10887,-0.10924,0.03778,-0.00588,0.00034,-0.73637,24.91865,-5.72277,1.31531,-0.20842,0.02237,-0.00257,0.00041,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2022-10-15,12:19:46.16,,,,,Undefined,CEN_COL,"practice Alum, batting ",,Undefined,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,46.95578,3.086378,-2.565583,1270.69825,156.436994,11:15,6.01331,1.93657,23.52369,-51.19034,4.92374,-1.48449,3.66701,0.21928,44.08062,-10.900028,-2.963329,0.539147,85.44389,36.011861,41.84028,3912.924082,79.75566,69.75987,75.75574,321.70708,214.16796,48.734466,5.105423,0.77335,5.25996,-2.50782,50,4.8225,3.01309,-70.44603,9.15034,0.379,9.84789,-29.59621,CEN_COL,,GaryWright,,,20221015-GaryWright-BP-1,2f8a48e0-4ca5-11ed-935d-97b99e38dd8c,69.91121,86.65071,,2.87516,,,,3.06136,3.9963,-0.34735,c73adb50-2da2-4aba-8961-64cb63d7029d,2022-10-15,16:19:46.16,2022-10-15T12:19:46.1674638-04:00,2022-10-15T16:19:46.1674638Z,FlyBall,v3,,,,,,Undefined,CEN_COL,0428c2da-f09b-498e-93da-61466e0a434d,36.97762,-68.60143,4.92394,6.01725,3.60672,-14.7981,-1.93679,3.08408,0.1895,208.22461,3.06648,75.4103,-15.31165,3.05596,-0.1369,-0.15945,0.04865,-0.00557,0.00023,3.99345,73.73803,-18.82304,1.58266,-0.42053,0.10275,-0.01056,-0.0001,5E-05,-0.34414,67.54555,-6.87525,0.40206,0.42504,-0.24765,0.06406,-0.00792,0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
