GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
e019cba7-b8a0-4e61-988c-3ba69e463a5f,1,cbf2a880-4c91-11ed-a13e-47a2a3f7acb4,a40a0d67-1efc-47e9-88a0-361b0c92cd9b,2022-10-15,10:00:58.80,2022-10-15,14:00:58.80,2022-10-15T10:00:58.8036200-04:00,2022-10-15T14:00:58.8036200Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,87.3852,63.8192,142.63626,49.29538,74.90002,-49.10824,149.82069,-27.93976,283.43681,-120.18088,334.7798,12.47789,262.41948,147.86036
e019cba7-b8a0-4e61-988c-3ba69e463a5f,2,d583ffc0-4c91-11ed-a13e-47a2a3f7acb4,e2325b7c-567b-4465-afab-dd7a43cee3f6,2022-10-15,10:01:14.84,2022-10-15,14:01:14.84,2022-10-15T10:01:14.8414056-04:00,2022-10-15T14:01:14.8414056Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,89.4078,62.79687,143.47433,49.29773,74.72842,-49.61738,147.99843,-27.39401,280.38717,-115.8137,330.29482,11.58527,259.6551,144.73428
e019cba7-b8a0-4e61-988c-3ba69e463a5f,3,e2ca6fc0-4c91-11ed-a13e-47a2a3f7acb4,01d4043d-da19-4097-a67a-ba7b335a74d3,2022-10-15,10:01:37.04,2022-10-15,14:01:37.04,2022-10-15T10:01:37.0432616-04:00,2022-10-15T14:01:37.0432616Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,92.41456,63.4892,143.57296,48.11606,73.23434,-49.56241,,,280.25916,-115.49346,334.04703,10.63565,258.05072,149.75269
e019cba7-b8a0-4e61-988c-3ba69e463a5f,4,ee2cdd80-4c91-11ed-a13e-47a2a3f7acb4,d183231c-9496-4c5d-a82b-a0e2766d4142,2022-10-15,10:01:56.22,2022-10-15,14:01:56.22,2022-10-15T10:01:56.2243688-04:00,2022-10-15T14:01:56.2243688Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,89.88839,66.95783,143.41405,49.14835,73.37781,-50.4452,152.03726,-24.84844,277.6853,-112.8873,343.58127,11.69695,260.42167,150.5557
e019cba7-b8a0-4e61-988c-3ba69e463a5f,5,fcf077a0-4c91-11ed-a13e-47a2a3f7acb4,3c37b25f-24a2-4097-9596-4dd05b2a2cee,2022-10-15,10:02:20.93,2022-10-15,14:02:20.93,2022-10-15T10:02:20.9397352-04:00,2022-10-15T14:02:20.9397352Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,95.64366,69.63792,143.24686,49.31272,78.47273,-54.32736,153.46904,-26.51727,280.66754,-115.28306,330.91112,15.34722,256.78646,150.3255
e019cba7-b8a0-4e61-988c-3ba69e463a5f,6,0bbc0100-4c92-11ed-a13e-47a2a3f7acb4,3e97666b-88c7-42a5-be13-76ff2912c174,2022-10-15,10:02:45.71,2022-10-15,14:02:45.71,2022-10-15T10:02:45.7113192-04:00,2022-10-15T14:02:45.7113192Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,96.61242,68.81977,143.49632,48.26981,89.67367,-62.87836,153.65655,-29.52167,284.56665,-123.66262,336.07423,8.90697,251.20826,150.50849
e019cba7-b8a0-4e61-988c-3ba69e463a5f,7,1b3dbb00-4c92-11ed-a13e-47a2a3f7acb4,fada950a-2714-4438-b7a0-2a76bbb87dbb,2022-10-15,10:03:11.70,2022-10-15,14:03:11.70,2022-10-15T10:03:11.7057128-04:00,2022-10-15T14:03:11.7057128Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,91.00166,65.34712,147.53091,41.39712,88.18307,-64.51281,150.3718,-38.20356,269.35419,-146.42713,323.54374,-2.8487,248.70635,146.35712
e019cba7-b8a0-4e61-988c-3ba69e463a5f,8,22c5adb0-4c92-11ed-a13e-47a2a3f7acb4,6dd5a57d-1fd5-41c2-b5fb-9d207ab4bcff,2022-10-15,10:03:24.29,2022-10-15,14:03:24.29,2022-10-15T10:03:24.2969192-04:00,2022-10-15T14:03:24.2969192Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,92.77534,67.52733,147.32244,40.29487,88.9807,-65.84863,149.47957,-37.22597,266.23694,-144.10455,332.26476,-0.73029,246.97563,146.90527
e019cba7-b8a0-4e61-988c-3ba69e463a5f,9,34c93090-4c92-11ed-a13e-47a2a3f7acb4,62db845e-c896-44d6-9fbd-d2971e1367fc,2022-10-15,10:03:54.65,2022-10-15,14:03:54.65,2022-10-15T10:03:54.6510952-04:00,2022-10-15T14:03:54.6510952Z,CEN_COL,CEN_COL,InPlay,Double,NoShift,95.04108,71.19021,147.17228,42.82553,91.65704,-69.29729,148.3015,-39.50898,275.27635,-145.28984,333.29762,5.49549,256.57654,157.05545
e019cba7-b8a0-4e61-988c-3ba69e463a5f,10,4d6256e0-4c92-11ed-a13e-47a2a3f7acb4,4d67c1f4-89be-45ba-9471-541de495a8b9,2022-10-15,10:04:35.95,2022-10-15,14:04:35.95,2022-10-15T10:04:35.9509096-04:00,2022-10-15T14:04:35.9509096Z,CEN_COL,CEN_COL,HitByPitch,Undefined,NoShift,93.29941,65.49966,131.30115,5.92704,88.48752,-70.01295,147.71685,-42.71595,270.8352,-148.84006,332.6604,-11.83917,247.01137,144.54962
