PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-29,12:05:03.70,1,1,"Livengood, Josh",10072811,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.91635,-2.416062,-1.535196,1832.307731,176.318359,12:00,7.53146,0.82299,6.08699,-20.77895,16.66202,-0.99854,3.56278,-0.6807,79.0726,-6.324771,-1.715052,0.440398,,,,,,,,,,,,0.10791,9.58729,-0.70407,50,7.33385,3.38319,-124.75265,-5.86398,0.1709,23.94883,-16.99125,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,733dd030-57a3-11ed-a6da-6104f5cdbaca,85.58728,,,6.84375,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:05:03.70,2022-10-29T12:05:03.7040000-04:00,2022-10-29T16:05:03.7040000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,466ca92c-112c-4abf-9330-fd5e2d003c2c,54.40897,-125.59619,11.97441,7.52986,-5.2655,-8.49563,-0.82313,3.37717,0.08545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-10-29,12:05:16.80,1,2,"Livengood, Josh",10072811,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,0,0,1,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,2,0,,76.12368,-1.360962,-1.709823,1810.721343,121.675004,10:00,7.00616,1.21328,5.41663,-43.80865,5.68382,-6.50646,2.07976,-0.93107,69.73875,-9.354812,-2.868869,0.506338,,,,,,,,,,,,2.74638,3.79866,-1.0568,50,6.8551,3.54502,-110.35043,-4.03496,3.35922,21.11192,-27.5277,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,7b171730-57a3-11ed-a6da-6104f5cdbaca,74.44119,,,6.38493,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:05:16.80,2022-10-29T12:05:16.8010000-04:00,2022-10-29T16:05:16.8010000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,851f0536-81b7-4b71-934b-2006380b5a3b,55.07847,-111.31779,10.55596,7.01108,-2.77363,-13.76385,-1.21571,3.3911,1.67961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.59554,,,0.899316,,,,0.31219,5.87053,6.14038,68.46506,6.70932,56.30758,0.44471,83.68327,-8.86907,5.92864,13.29784,-13.78461,6.13967,57.33328,-1.7223,High,High,High,,,High,High,High
3,2022-10-29,12:05:42.41,2,1,"Livengood, Josh",10072811,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,2,0,0,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.01542,-3.657614,-0.855372,1855.433142,152.083209,11:00,7.28676,1.14715,5.43033,-36.95203,8.40713,-3.74229,0.77699,0.03417,73.52816,-10.345628,-1.523204,0.484735,,,,,,,,,,,,1.68787,5.56744,-1.06865,50,6.93653,1.8525,-114.59481,-8.53752,2.25986,19.81375,-24.71987,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,8a5586a0-57a3-11ed-a6da-6104f5cdbaca,77.75893,,,5.48727,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:05:42.41,2022-10-29T12:05:42.4170000-04:00,2022-10-29T16:05:42.4170000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,90c716b4-584a-4481-95f6-1141c03c5ef2,55.06866,-115.46786,9.90687,7.28873,-7.44828,-12.35993,-1.14808,1.75293,1.12993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-29,12:05:57.91,2,2,"Livengood, Josh",10072811,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,2,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.99355,-2.741529,-1.54189,1939.634871,103.81865,9:30,7.26019,1.31321,5.45572,-42.6027,3.20386,-6.9639,1.14082,-0.71077,72.78501,-10.465623,-2.784972,0.487119,,,,,,,,,,,,3.07327,2.85638,-1.17236,50,6.98913,3.35256,-114.50138,-6.90649,4.05876,22.17055,-28.40173,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,93a34530-57a3-11ed-a6da-6104f5cdbaca,77.37828,,,6.20854,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:05:57.91,2022-10-29T12:05:57.9130000-04:00,2022-10-29T16:05:57.9130000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,fa8e3bb8-71e4-4b4d-ab97-c8d3f8263de3,55.0416,-115.47344,11.08528,7.26464,-5.66123,-14.20087,-1.31545,3.1746,2.02938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-10-29,12:06:11.50,2,3,"Livengood, Josh",10072811,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.18403,-1.954556,-2.659151,2007.343536,176.421483,12:00,7.57838,0.93836,5.8242,-22.32328,16.30839,-0.94378,3.89842,-1.6141,78.13167,-6.133337,-2.828052,0.447346,,,,,,,,,,,,-0.24673,9.23371,-0.72041,50,7.40528,5.77665,-123.5449,-4.89699,-0.382,24.22427,-17.8786,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,9bb1f410-57a3-11ed-a6da-6104f5cdbaca,84.25797,,,7.05237,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:06:11.50,2022-10-29T12:06:11.5010000-04:00,2022-10-29T16:06:11.5010000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,274e8ef3-1d91-475b-9e92-04aef9d80810,54.67111,-124.45743,12.11213,7.57707,-4.2235,-8.9393,-0.93829,5.79104,-0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-10-29,12:06:28.38,2,4,"Livengood, Josh",10072811,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,2,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.6093,-0.356761,-0.037353,1827.798407,114.089904,9:45,7.39913,0.9802,5.01653,-46.78534,4.97461,-7.53288,3.16366,0.31721,68.82764,-8.826201,-1.370193,0.517808,,,,,,,,,,,,3.72008,3.06748,-0.9703,50,7.32741,0.36557,-108.28292,-2.24553,4.42425,18.60992,-28.52592,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,a5ba7720-57a3-11ed-a6da-6104f5cdbaca,72.79237,,,5.78166,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:06:28.38,2022-10-29T12:06:28.3860000-04:00,2022-10-29T16:06:28.3860000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,4b6d2432-7351-4d40-964a-db0bfa43b379,55.4802,-109.22071,9.30496,7.40435,-0.80806,-14.26296,-0.9831,0.14263,2.21213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-10-29,12:06:43.31,2,5,"Livengood, Josh",10072811,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,2,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.41774,0.251525,0.55432,1858.32379,124.223503,10:15,7.28377,1.33053,5.17031,-42.41872,6.22583,-7.12059,3.98559,1.25881,70.84356,-7.45681,-0.708096,0.501983,,,,,,,,,,,,3.67736,3.49666,-1.37656,50,7.27488,-0.79324,-111.02567,-0.939,4.63929,17.8826,-27.76274,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,aea247f0-57a3-11ed-a6da-6104f5cdbaca,75.08715,,,5.57418,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:06:43.31,2022-10-29T12:06:43.3110000-04:00,2022-10-29T16:06:43.3110000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,2b74b6b8-392e-426b-ba66-6fe3c1783e46,55.32691,-111.88037,8.9413,7.28805,0.38792,-13.88137,-1.33335,-1.01498,2.31965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-10-29,12:07:01.26,2,6,"Livengood, Josh",10072811,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,2,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,85.82653,-3.887405,-1.236339,1943.123038,176.313353,12:00,7.44262,0.83288,6.22576,-19.7682,17.66611,-1.06299,2.20229,-0.39656,79.061,-7.608176,-1.428411,0.440359,,,,,,,,,,,,0.22272,10.5804,-0.74001,50,7.1418,2.72743,-124.50274,-9.0088,0.35083,24.14687,-15.50615,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,b951b960-57a3-11ed-a6da-6104f5cdbaca,85.59489,,,6.76553,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:07:01.26,2022-10-29T12:07:01.2640000-04:00,2022-10-29T16:07:01.2640000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,09f6ef53-7e76-46d9-884c-f9bdcebbeb2e,54.27156,-125.32846,12.07343,7.44079,-8.47856,-7.75308,-0.83307,2.71543,0.17541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-10-29,12:07:19.31,2,7,"Livengood, Josh",10072811,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,2,3,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,76.44245,-0.55298,-0.194127,1843.018305,71.5389,8:30,7.31958,1.00195,5.25855,-49.98085,-0.13787,-5.92264,2.63497,0.32601,69.29138,-9.659753,-1.247631,0.508128,98.5609,23.624503,-10.856816,1436.615074,108.34495,42.49501,-19.00943,361.30632,353.03641,-8.454037,4.106806,2.90575,0.62095,-0.97958,50,7.2322,0.6071,-110.76212,-2.74336,3.53739,23.48243,-31.41813,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,c43978e0-57a3-11ed-a6da-6104f5cdbaca,74.17899,56.61231,,7.15107,,,,1.93325,2.76507,-0.32201,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:07:19.31,2022-10-29T12:07:19.3110000-04:00,2022-10-29T16:07:19.3110000Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,6957a38a-48af-4f8b-b9d1-33cf8bc99a76,55.23738,-111.86697,11.74122,7.3265,-1.26513,-15.70907,-1.00423,0.44066,1.76869,199.191064,1.93247,130.0915,-20.30728,4.64482,-1.18296,0.32727,-0.07493,0.01037,-0.0006,2.76597,57.90319,-17.12881,0.82368,0.17738,-0.17388,0.05636,-0.00833,0.00047,-0.32199,-24.94849,6.6138,-1.9118,0.55707,-0.16231,0.03698,-0.00504,0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2022-10-29,12:09:55.27,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.36309,-2.593116,-4.066119,1938.876575,218.243067,1:15,5.61705,2.37431,5.8076,-20.65844,17.85773,13.11761,1.47637,-0.3201,78.36724,-6.471375,-1.722722,0.446676,,,,,,,,,,,,-7.78638,10.17957,-2.04833,50,5.39151,8.25859,-123.6427,-6.23025,-12.10568,23.6524,-16.34758,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20221029-GaryWright-Private-1,210e6d00-57a4-11ed-a6da-6104f5cdbaca,84.38421,,,6.99585,,,,,,,4d5a73a8-3a61-4f2c-85d5-8f66c55a23bb,2022-10-29,16:09:55.27,2022-10-29T12:09:55.2760000-04:00,2022-10-29T16:09:55.2760000Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,a1029060-5f8b-4132-92ac-900b05d4e41d,54.68992,-124.53663,11.8262,5.6153,-5.6124,-8.17379,-2.36911,8.71612,-6.05284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
