GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
fec9a9be-7cbc-4877-b2cd-9b83093d6569,1,bf692d70-7b2d-11ee-afce-3b460b082913,59a7112c-293b-4664-a322-754f3601752c,2023-11-04,12:18:10.37,2023-11-04,16:18:10.37,2023-11-04T12:18:10.3725586-04:00,2023-11-04T16:18:10.3725586Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,96.85538,67.61918,151.16296,25.81708,79.25108,-50.5709,144.26345,-43.87859,275.25123,-136.56024,330.84042,-6.91648,268.2412,120.72636
fec9a9be-7cbc-4877-b2cd-9b83093d6569,2,d0783e30-7b2d-11ee-afce-3b460b082913,1c349992-a5ae-46eb-ba5d-96538a4b84fd,2023-11-04,12:18:38.99,2023-11-04,16:18:38.99,2023-11-04T12:18:38.9961234-04:00,2023-11-04T16:18:38.9961234Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,93.58149,75.43048,139.54982,54.85678,98.75751,-64.85237,149.95135,-39.40138,273.00007,-136.75394,335.61521,-3.61571,267.737,130.25933
fec9a9be-7cbc-4877-b2cd-9b83093d6569,3,d72fe890-7b2d-11ee-afce-3b460b082913,1f43ecdc-58b4-4d44-b299-39126c2570b7,2023-11-04,12:18:50.25,2023-11-04,16:18:50.25,2023-11-04T12:18:50.2566418-04:00,2023-11-04T16:18:50.2566418Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,91.32346,74.53112,138.89851,54.07143,80.55513,-50.96857,149.52929,-34.50044,279.87307,-139.87571,335.09726,-3.2309,263.86321,128.47951
fec9a9be-7cbc-4877-b2cd-9b83093d6569,4,de33de30-7b2d-11ee-afce-3b460b082913,7d34bc43-c854-477f-93ab-d3180b56ba11,2023-11-04,12:19:02.01,2023-11-04,16:19:02.01,2023-11-04T12:19:02.0117010-04:00,2023-11-04T16:19:02.0117010Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,92.65887,75.03358,137.7576,60.63187,120.12077,-67.64554,154.49443,-21.97157,280.08664,-137.46449,325.21004,7.02128,264.82765,132.48272
fec9a9be-7cbc-4877-b2cd-9b83093d6569,5,e61896e0-7b2d-11ee-afce-3b460b082913,9e593545-df08-443f-a02e-cf00e661303b,2023-11-04,12:19:15.24,2023-11-04,16:19:15.24,2023-11-04T12:19:15.2422930-04:00,2023-11-04T16:19:15.2422930Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,93.08048,76.94477,147.09189,73.26012,122.69011,-69.1187,158.62607,-17.19902,275.91954,-137.1985,333.38495,11.24823,262.66352,136.8164
fec9a9be-7cbc-4877-b2cd-9b83093d6569,6,f644e8c0-7b2d-11ee-afce-3b460b082913,f53d971e-1d30-4e0b-b2ab-54afcea5865b,2023-11-04,12:19:42.36,2023-11-04,16:19:42.36,2023-11-04T12:19:42.3603218-04:00,2023-11-04T16:19:42.3603218Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,101.64942,66.45088,152.10472,44.72946,110.47442,-74.77235,,,284.46336,-140.08727,354.86841,-18.2927,301.72225,117.60542
fec9a9be-7cbc-4877-b2cd-9b83093d6569,7,00abb870-7b2e-11ee-afce-3b460b082913,8f332226-5c71-44c6-8e71-27546f5514c8,2023-11-04,12:19:59.80,2023-11-04,16:19:59.80,2023-11-04T12:19:59.8061586-04:00,2023-11-04T16:19:59.8061586Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,98.58023,66.40441,152.10368,45.18559,116.82088,-71.53665,154.71649,-31.96997,285.73838,-141.12854,346.92875,-17.07027,299.06323,116.75608
fec9a9be-7cbc-4877-b2cd-9b83093d6569,8,08085560-7b2e-11ee-afce-3b460b082913,588f13b6-cc1d-49e8-8bc6-ad1c3379aca1,2023-11-04,12:20:12.22,2023-11-04,16:20:12.22,2023-11-04T12:20:12.2246162-04:00,2023-11-04T16:20:12.2246162Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,97.90016,65.74211,153.31325,44.50488,118.42332,-71.08375,152.27108,-34.57361,287.2962,-141.8551,347.50028,-14.92439,301.33873,117.29219
fec9a9be-7cbc-4877-b2cd-9b83093d6569,9,10d487e0-7b2e-11ee-afce-3b460b082913,c5760168-7412-409d-9716-0e1b87104c39,2023-11-04,12:20:26.90,2023-11-04,16:20:26.90,2023-11-04T12:20:26.9025810-04:00,2023-11-04T16:20:26.9025810Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,93.392,72.29763,150.01331,52.97459,119.9371,-72.01753,151.36973,-33.72324,280.83154,-139.11567,348.69359,-13.46362,296.53195,115.05134
fec9a9be-7cbc-4877-b2cd-9b83093d6569,10,1a6039d0-7b2e-11ee-afce-3b460b082913,8ee0a3af-198c-4e7d-ab77-50fa82151b6c,2023-11-04,12:20:42.90,2023-11-04,16:20:42.90,2023-11-04T12:20:42.9048338-04:00,2023-11-04T16:20:42.9048338Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,92.18089,74.9927,147.42663,59.91295,119.99014,-71.00512,153.66548,-31.89198,286.57115,-141.88503,353.65614,-7.65563,296.0489,116.21941
fec9a9be-7cbc-4877-b2cd-9b83093d6569,11,24862ff0-7b2e-11ee-afce-3b460b082913,2a8488de-6ba4-473a-808d-fe917632c9ef,2023-11-04,12:20:59.97,2023-11-04,16:20:59.97,2023-11-04T12:20:59.9761426-04:00,2023-11-04T16:20:59.9761426Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,92.51907,76.92293,145.68894,60.41848,123.89282,-72.61758,156.70636,-32.06167,292.09016,-144.06297,350.30681,-10.25653,289.49673,113.83829
fec9a9be-7cbc-4877-b2cd-9b83093d6569,12,2cf74a20-7b2e-11ee-afce-3b460b082913,506d9217-d06f-4515-a59d-6df512d57c26,2023-11-04,12:21:14.15,2023-11-04,16:21:14.15,2023-11-04T12:21:14.1583890-04:00,2023-11-04T16:21:14.1583890Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,92.58034,76.27246,142.97735,62.27004,121.15668,-73.20528,150.37997,-31.10112,289.05996,-143.06571,341.98055,-7.92761,293.69899,113.44617
fec9a9be-7cbc-4877-b2cd-9b83093d6569,13,36ec9350-7b2e-11ee-afce-3b460b082913,53a7f472-e84d-418b-be5a-716debbd5fbe,2023-11-04,12:21:30.83,2023-11-04,16:21:30.83,2023-11-04T12:21:30.8396562-04:00,2023-11-04T16:21:30.8396562Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,92.89839,78.05101,146.443,62.0321,121.35095,-73.69429,152.29114,-33.77232,287.50912,-142.85859,346.09204,-17.32598,300.41501,113.28043
fec9a9be-7cbc-4877-b2cd-9b83093d6569,14,bbe911f0-7b2e-11ee-afce-3b460b082913,cd1dcfbf-7f67-4f62-8a42-b644753b083c,2023-11-04,12:25:13.94,2023-11-04,16:25:13.94,2023-11-04T12:25:13.9462674-04:00,2023-11-04T16:25:13.9462674Z,CEN_COL,CEN_COL,BallCalled,Undefined,LeftInfieldShift,90.33263,68.20946,157.54339,-5.53116,92.75192,-70.13081,145.84061,-43.71604,269.42519,-148.17483,331.97255,-4.16188,266.72065,129.55425
fec9a9be-7cbc-4877-b2cd-9b83093d6569,15,c49a6970-7b2e-11ee-afce-3b460b082913,2682f6fb-6c61-4144-a88f-133734ea2f3a,2023-11-04,12:25:28.54,2023-11-04,16:25:28.54,2023-11-04T12:25:28.5475858-04:00,2023-11-04T16:25:28.5475858Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,88.09032,67.19205,,,95.44549,-71.5507,145.84139,-44.87107,268.32943,-146.83127,337.22243,-4.25601,270.9198,134.47241
fec9a9be-7cbc-4877-b2cd-9b83093d6569,16,cac22fe0-7b2e-11ee-afce-3b460b082913,,,,,,,,CEN_COL,CEN_COL,StrikeCalled,Undefined,,,,,,,,,,,,,,,
fec9a9be-7cbc-4877-b2cd-9b83093d6569,17,cecc4670-7b2e-11ee-afce-3b460b082913,606d5499-f9e6-416e-a3fb-5a3a8b9f71c1,2023-11-04,12:25:45.56,2023-11-04,16:25:45.56,2023-11-04T12:25:45.5693842-04:00,2023-11-04T16:25:45.5693842Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,90.59821,68.77532,150.55698,49.63109,100.06342,-71.95871,146.69802,-45.51396,273.52897,-150.58931,335.80917,-3.27487,266.16309,131.84088
fec9a9be-7cbc-4877-b2cd-9b83093d6569,18,de978c90-7b2e-11ee-afce-3b460b082913,e0885ac5-250e-48b5-9814-ef05ff2b3a5e,2023-11-04,12:26:12.09,2023-11-04,16:26:12.09,2023-11-04T12:26:12.0944146-04:00,2023-11-04T16:26:12.0944146Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,79.08124,57.73413,156.39457,41.79149,82.40531,-57.66231,144.36111,-44.03967,269.0898,-148.39559,336.96857,-5.99703,268.42838,128.47867
fec9a9be-7cbc-4877-b2cd-9b83093d6569,19,e7072020-7b2e-11ee-afce-3b460b082913,22d8d1ac-89db-41b6-8cfc-36a33e76234e,2023-11-04,12:26:26.29,2023-11-04,16:26:26.29,2023-11-04T12:26:26.2920722-04:00,2023-11-04T16:26:26.2920722Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,83.5336,60.86858,152.96549,40.81462,82.70154,-57.64755,144.0233,-45.02255,265.12763,-143.28438,341.28926,-3.84238,266.21399,127.67182
fec9a9be-7cbc-4877-b2cd-9b83093d6569,20,ed9a79a0-7b2e-11ee-afce-3b460b082913,4fc87ee5-16e0-43bb-b14d-88eac8cc3048,2023-11-04,12:26:37.33,2023-11-04,16:26:37.33,2023-11-04T12:26:37.3369874-04:00,2023-11-04T16:26:37.3369874Z,CEN_COL,CEN_COL,InPlay,HomeRun,NoShift,85.49368,61.94542,156.45344,43.10514,89.27757,-64.05256,145.55733,-46.20153,264.61934,-143.63799,340.68944,-3.7619,260.40095,124.40521
fec9a9be-7cbc-4877-b2cd-9b83093d6569,21,06592950-7b2f-11ee-afce-3b460b082913,c330f8b5-ebca-4d4e-bbce-94d92d6a398d,2023-11-04,12:27:18.88,2023-11-04,16:27:18.88,2023-11-04T12:27:18.8865042-04:00,2023-11-04T16:27:18.8865042Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,94.24712,68.29722,156.06567,41.98569,94.59979,-74.40579,143.97129,-48.32251,279.08679,-155.13946,358.64643,-14.16474,277.3021,129.86137
fec9a9be-7cbc-4877-b2cd-9b83093d6569,22,0bf10bd0-7b2f-11ee-afce-3b460b082913,a2569fc6-68db-47a9-85c9-ccce7f9c6efa,2023-11-04,12:27:28.28,2023-11-04,16:27:28.28,2023-11-04T12:27:28.2867218-04:00,2023-11-04T16:27:28.2867218Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,96.0939,71.56467,155.35546,38.43084,96.53712,-75.71332,144.50004,-46.50039,274.92984,-153.68741,357.5246,-10.29374,273.46302,127.93774
