PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-11-04,12:18:10.37,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.30799,-0.55956,-4.568767,2135.826771,218.193106,1:15,5.23145,2.47688,5.60563,-21.6784,17.52706,12.74095,2.90092,-0.73518,77.40423,-4.643894,-2.305058,0.450654,91.97872,39.235915,3.786853,4424.331771,109.44262,84.15896,11.05888,325.36175,322.55165,8.940753,5.605594,-7.81079,9.43221,-2.09389,50,5.16974,9.33176,-123.43992,-1.87529,-11.986,25.82099,-17.69988,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,bf692d70-7b2d-11ee-afce-3b460b082913,83.63918,111.13742,,7.90376,,,,1.51906,2.98919,0.70828,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:18:10.37,2023-11-04T12:18:10.3725586-04:00,2023-11-04T16:18:10.3725586Z,FlyBall,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,59a7112c-293b-4664-a322-754f3601752c,54.8911,-124.45883,12.9105,5.22996,-1.17684,-8.84994,-2.47146,9.80473,-5.993,189.47189,1.52477,104.15749,-22.17811,5.25847,-0.90556,0.11335,-0.01122,0.00097,-5E-05,2.98826,85.33212,-19.14732,1.02153,0.08022,-0.10638,0.03026,-0.00384,0.00018,0.70804,6.90523,1.05534,-0.28738,0.05826,-0.00895,0.00098,-7E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2023-11-04,12:18:38.99,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.8798,-2.255194,-5.003743,2150.405061,215.545519,1:15,5.23644,2.42461,5.75551,-20.44289,19.22422,12.71422,1.42452,-1.18544,76.78256,-6.13172,-2.74029,0.453301,,,,,,,,,,,,-8.0067,10.89225,-2.01658,50,5.0365,10.21046,-122.6132,-5.43437,-12.06447,26.55534,-15.76164,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,d0783e30-7b2d-11ee-afce-3b460b082913,83.15101,,,8.09724,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:18:38.99,2023-11-04T12:18:38.9961234-04:00,2023-11-04T16:18:38.9961234Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,1c349992-a5ae-46eb-ba5d-96538a4b84fd,54.74006,-123.63554,13.27767,5.23403,-4.82758,-7.88082,-2.41861,10.67492,-6.03223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-11-04,12:18:50.25,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.5976,2.808149,-0.617621,1850.392475,57.73221,8:00,5.09756,2.52557,5.04669,-60.69035,-9.43008,-17.78265,2.69099,0.46111,68.50901,-8.186633,-3.76023,0.515302,,,,,,,,,,,,8.55264,-4.97807,-2.45202,50,5.31712,1.90279,-109.47923,3.22783,10.21422,22.21018,-38.11926,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,d72fe890-7b2d-11ee-afce-3b460b082913,73.1463,,,7.08858,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:18:50.25,2023-11-04T12:18:50.2566418-04:00,2023-11-04T16:18:50.2566418Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,1f43ecdc-58b4-4d44-b299-39126c2570b7,55.45232,-110.57982,11.10509,5.11037,5.11677,-19.05963,-2.53377,1.39664,5.10711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-11-04,12:19:02.01,2,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.11237,-0.472166,-4.666919,1997.894397,207.942881,1:00,5.38153,2.28731,6.00728,-20.56781,18.34135,9.01508,3.22865,-1.29467,77.04643,-4.390474,-3.054203,0.448949,,,,,,,,,,,,-5.99189,9.93552,-1.92475,50,5.33303,9.68227,-123.14262,-1.58299,-9.12838,26.24824,-17.03774,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,de33de30-7b2d-11ee-afce-3b460b082913,83.95697,,,8.06594,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:19:02.01,2023-11-04T12:19:02.0117010-04:00,2023-11-04T16:19:02.0117010Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,7d34bc43-c854-477f-93ab-d3180b56ba11,54.4866,-124.09526,13.12412,5.37927,-0.96463,-8.51887,-2.28217,10.01357,-4.56419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-11-04,12:19:15.24,2,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.42626,2.719045,-1.792096,1862.51765,49.595916,7:45,5.03745,2.51151,5.27953,-58.72822,-9.26544,-12.81312,2.70019,-0.23984,69.64819,-7.94502,-4.063855,0.506187,94.20372,-8.84259,4.201787,,,,,17.55535,17.47566,4.699242,0.119018,5.89146,-5.0639,-2.33807,50,5.24221,3.96129,-110.75933,3.25832,7.24189,21.71569,-38.39871,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,e61896e0-7b2d-11ee-afce-3b460b082913,74.46352,2.7194,,6.77806,,,,1.52395,2.7194,0.21768,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:19:15.24,2023-11-04T12:19:15.2422930-04:00,2023-11-04T16:19:15.2422930Z,GroundBall,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,9e593545-df08-443f-a02e-cf00e661303b,55.22093,-111.77826,10.85784,5.04705,5.06005,-19.19935,-2.51597,3.62149,3.62094,272.812682,1.52413,136.13639,-16.2878,,,,,,,2.71947,-21.24652,-13.4702,,,,,,,0.21764,10.00744,2.08622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2023-11-04,12:19:42.36,3,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,0,0,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.70669,2.86416,-0.959091,1835.904699,62.763794,8:00,5.09322,2.48788,5.32713,-57.70976,-7.23642,-17.41501,2.97418,0.13662,68.71841,-7.651533,-4.050371,0.511331,,,,,,,,,,,,8.43264,-4.0602,-2.38806,50,5.31059,2.50889,-109.70193,3.55279,10.13154,21.95626,-37.05221,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,f644e8c0-7b2d-11ee-afce-3b460b082913,73.71433,,,6.98828,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:19:42.36,2023-11-04T12:19:42.3603218-04:00,2023-11-04T16:19:42.3603218Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,f53d971e-1d30-4e0b-b2ab-54afcea5865b,55.17252,-110.73235,10.97813,5.10305,5.29166,-18.52611,-2.49464,2.03341,5.06577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-11-04,12:19:59.80,3,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.29509,-0.400581,-5.370815,2115.402949,220.181662,1:15,5.25758,2.36744,5.8381,-22.62651,15.4228,11.93796,2.99809,-1.64403,78.31547,-4.660948,-3.245158,0.443961,,,,,,,,,,,,-7.62567,8.36248,-1.93555,50,5.21159,11.22711,-124.75076,-1.56491,-11.9618,26.17754,-19.05651,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,00abb870-7b2e-11ee-afce-3b460b082913,84.90031,,,7.97962,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:19:59.80,2023-11-04T12:19:59.8061586-04:00,2023-11-04T16:19:59.8061586Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,8f332226-5c71-44c6-8e71-27546f5514c8,54.65734,-125.72425,13.08877,5.25661,-0.85624,-9.52825,-2.36134,11.67195,-5.9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-11-04,12:20:12.22,3,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.71415,1.756179,-3.04704,1968.718165,202.411722,12:45,5.40199,2.37564,6.00929,-24.09285,14.76422,5.58831,5.02401,0.01586,77.19112,-2.787251,-2.044685,0.448649,,,,,,,,,,,,-3.69106,7.45918,-2.13919,50,5.52681,6.3123,-122.84268,3.0624,-5.64188,24.26284,-20.77247,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,08085560-7b2e-11ee-afce-3b460b082913,84.01329,,,7.52303,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:20:12.22,2023-11-04T12:20:12.2246162-04:00,2023-11-04T16:20:12.2246162Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,588f13b6-cc1d-49e8-8bc6-ad1c3379aca1,54.48557,-123.72546,12.13142,5.40164,3.81818,-10.38623,-2.37259,6.51757,-2.82094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-11-04,12:20:26.90,3,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,2,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.47276,2.558737,-1.833126,1945.294711,47.121611,7:30,5.08309,2.50566,5.30765,-59.5681,-9.06449,-11.51477,2.52369,-0.17517,69.03167,-8.2526,-3.876184,0.511485,,,,,,,,,,,,5.23406,-4.85705,-2.33055,50,5.27189,3.94265,-109.42596,2.88687,6.30058,20.60898,-38.0208,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,10d487e0-7b2e-11ee-afce-3b460b082913,73.69222,,,6.44109,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:20:26.90,2023-11-04T12:20:26.9025810-04:00,2023-11-04T16:20:26.9025810Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,c5760168-7412-409d-9716-0e1b87104c39,55.19287,-110.39964,10.30449,5.09307,4.68317,-19.0104,-2.50979,3.64497,3.15029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-11-04,12:20:42.90,3,5,"Morgan, Luc",1000126728,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,2,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,69.53037,2.215388,-1.981394,2240.684296,46.303802,7:30,5.39651,2.05927,5.98976,-72.23283,-13.69894,-16.4528,1.43247,-1.14879,63.55063,-11.019462,-4.942831,0.550649,,,,,,,,,,,,7.84737,-7.30422,-1.89381,50,5.53143,4.02015,-100.89845,1.87789,7.93105,19.41919,-39.55615,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231104-GaryWright-Private-1,1a6039d0-7b2e-11ee-afce-3b460b082913,68.45088,,,5.97973,,,,,,,fec9a9be-7cbc-4877-b2cd-9b83093d6569,2023-11-04,16:20:42.90,2023-11-04T12:20:42.9048338-04:00,2023-11-04T16:20:42.9048338Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,8ee0a3af-198c-4e7d-ab77-50fa82151b6c,54.51256,-101.76324,9.70959,5.40858,3.63945,-19.77807,-2.06497,3.66696,3.96553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
