GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
83d1b3f5-86fb-435b-b7ce-ffd680be456f,1,5c450f90-7b3f-11ee-8b9b-c525f493934a,2935e044-2f7d-4aed-b996-da2e9e39401f,2023-11-04,14:24:14.97,2023-11-04,18:24:14.97,2023-11-04T14:24:14.9753112-04:00,2023-11-04T18:24:14.9753112Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,91.77284,68.6315,163.96623,44.69785,88.88753,-66.89014,160.83799,-8.72209,278.02238,-151.88407,352.7099,-8.19279,264.27818,129.88274
83d1b3f5-86fb-435b-b7ce-ffd680be456f,2,64d01a60-7b3f-11ee-8b9b-c525f493934a,b77c7a0b-ce25-409c-97a2-ffcfd41d8e76,2023-11-04,14:24:29.28,2023-11-04,18:24:29.28,2023-11-04T14:24:29.2849944-04:00,2023-11-04T18:24:29.2849944Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,92.93965,69.23761,165.82229,45.43135,89.28783,-67.35044,149.45364,-41.67875,274.29293,-148.91762,349.38738,-7.64802,263.91634,128.82475
83d1b3f5-86fb-435b-b7ce-ffd680be456f,3,794aded0-7b3f-11ee-8b9b-c525f493934a,ec993677-4f0c-4db0-8aa3-d7d1898a43be,2023-11-04,14:25:03.68,2023-11-04,18:25:03.68,2023-11-04T14:25:03.6818712-04:00,2023-11-04T18:25:03.6818712Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,70.14054,50.99536,148.89535,46.7304,76.84201,-53.61954,145.23875,-45.60096,275.567,-153.84748,348.23964,-8.22814,259.60654,124.26077
83d1b3f5-86fb-435b-b7ce-ffd680be456f,4,865222f0-7b3f-11ee-8b9b-c525f493934a,315ce878-2ad6-48a8-8f7e-8e6c2e48dc2c,2023-11-04,14:25:25.43,2023-11-04,18:25:25.43,2023-11-04T14:25:25.4392088-04:00,2023-11-04T18:25:25.4392088Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,73.55573,55.97651,149.23903,49.49608,88.65978,-56.99576,145.09897,-45.19249,275.91011,-152.53152,339.60379,-6.19691,253.76258,125.47106
83d1b3f5-86fb-435b-b7ce-ffd680be456f,5,9094a1c0-7b3f-11ee-8b9b-c525f493934a,1c00a6a0-0369-4599-ace6-9d91c8c26c8f,2023-11-04,14:25:42.73,2023-11-04,18:25:42.73,2023-11-04T14:25:42.7376408-04:00,2023-11-04T18:25:42.7376408Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,77.31549,58.50549,153.70699,40.13821,89.1686,-58.56879,144.0218,-45.85206,274.54404,-151.57364,348.4262,-4.20015,253.4471,125.4065
83d1b3f5-86fb-435b-b7ce-ffd680be456f,6,9b6f41e0-7b3f-11ee-8b9b-c525f493934a,cf92ef20-675d-493d-b72d-bc44e28be7af,2023-11-04,14:26:00.87,2023-11-04,18:26:00.87,2023-11-04T14:26:00.8790808-04:00,2023-11-04T18:26:00.8790808Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,88.41079,67.30955,154.30083,42.69661,90.93669,-60.16481,145.37631,-43.75381,280.13136,-153.82341,343.26022,-3.79098,253.37357,125.06421
83d1b3f5-86fb-435b-b7ce-ffd680be456f,7,a887eb20-7b3f-11ee-8b9b-c525f493934a,ac71ae16-d7c2-468c-a0eb-078394efd609,2023-11-04,14:26:22.90,2023-11-04,18:26:22.90,2023-11-04T14:26:22.9039896-04:00,2023-11-04T18:26:22.9039896Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,88.24735,68.47832,156.15339,43.27663,91.87863,-61.12636,143.50574,-45.13576,275.50277,-150.69988,337.24862,-3.30309,250.56249,122.2908
83d1b3f5-86fb-435b-b7ce-ffd680be456f,8,b4216e70-7b3f-11ee-8b9b-c525f493934a,8cf24525-e5e1-48d4-abf4-cf7a8715618c,2023-11-04,14:26:42.36,2023-11-04,18:26:42.36,2023-11-04T14:26:42.3604504-04:00,2023-11-04T18:26:42.3604504Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,88.43999,68.13261,157.26254,45.43795,101.36935,-66.86604,145.00129,-44.84801,269.49427,-149.46155,341.90547,-4.44999,256.7093,126.3475
83d1b3f5-86fb-435b-b7ce-ffd680be456f,9,c5297a50-7b3f-11ee-8b9b-c525f493934a,05aaef13-1eef-4dd3-ba5a-ff16957f63be,2023-11-04,14:27:10.95,2023-11-04,18:27:10.95,2023-11-04T14:27:10.9535000-04:00,2023-11-04T18:27:10.9535000Z,CEN_COL,CEN_COL,FoulBall,Undefined,LeftInfieldShift,90.13633,68.08064,162.75351,-10.47821,93.41406,-79.59338,146.56158,-47.11835,271.69647,-157.99526,357.89794,-11.48213,256.95671,123.62767
83d1b3f5-86fb-435b-b7ce-ffd680be456f,10,cf154da0-7b3f-11ee-8b9b-c525f493934a,b44399f8-d93e-4ebc-aeb0-c3c5e76df42d,2023-11-04,14:27:27.61,2023-11-04,18:27:27.61,2023-11-04T14:27:27.6116248-04:00,2023-11-04T18:27:27.6116248Z,CEN_COL,CEN_COL,BallCalled,Undefined,LeftInfieldShift,91.81539,68.67662,163.1133,-9.43741,93.54271,-79.35587,144.4549,-48.4667,270.97581,-157.27868,354.50912,-10.96168,253.46953,121.7884
