PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-11-01,17:01:50.54,1,1,"Lohr, Ayden",10022392,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.11832,-3.024658,-3.864669,2436.282904,218.829852,1:15,5.5679,1.17371,6.41113,-16.14595,22.05379,16.68603,1.43262,-0.99435,77.39359,-6.156568,-0.848802,0.444838,,,,,,,,,,,,-9.83678,12.78953,-0.90423,50,5.3434,7.6968,-123.28486,-6.89456,-15.05025,25.85905,-12.60607,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,e0fd23a0-78f9-11ee-81f5-19615697f8bf,84.73303,,,7.72474,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:01:50.54,2023-11-01T17:01:50.5497966-04:00,2023-11-01T21:01:50.5497966Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,b24ef080-316d-4f25-ac53-f938e05728f0,54.08594,-124.13893,12.92953,5.56424,-6.47821,-6.30303,-1.16665,8.19388,-7.52512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-11-01,17:02:05.11,1,2,"Lohr, Ayden",10022392,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.9651,2.360324,-1.222587,2432.329197,34.837505,7:15,5.86871,1.25276,5.701,-75.22071,-15.65961,-12.22221,1.8014,-0.90513,63.56509,-11.319969,-3.413703,0.55546,,,,,,,,,,,,5.84016,-8.10804,-1.1425,50,6.01997,2.54735,-100.15614,1.91134,5.87645,17.59718,-40.33246,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,e9c73340-78f9-11ee-81f5-19615697f8bf,67.85807,,,5.40001,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:02:05.11,2023-11-01T17:02:05.1105646-04:00,2023-11-01T21:02:05.1105646Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,a36d0b4e-de97-46c4-8538-f56c77d3adad,54.80256,-100.99641,8.79859,5.88272,3.83723,-20.16623,-1.25744,2.26674,2.93823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-11-01,17:02:22.64,1,3,"Lohr, Ayden",10022392,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.42878,0.052129,-1.023984,2590.666074,60.101212,8:00,5.95105,1.06061,5.6131,-68.62724,-10.6991,-22.16375,0.28078,-1.74218,64.55029,-12.393677,-4.998174,0.547793,,,,,,,,,,,,10.94666,-4.91437,-0.95845,50,5.91129,2.58546,-102.21504,-1.96469,11.32157,20.36853,-37.25674,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,f4263ac0-78f9-11ee-81f5-19615697f8bf,68.80786,,,5.87849,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:02:22.64,2023-11-01T17:02:22.6409838-04:00,2023-11-01T21:02:22.6409838Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,34e641a3-0a3c-4c76-ab77-a9b4b74fa08c,54.88849,-103.18458,10.18427,5.96261,-0.19129,-18.62837,-1.06869,2.04656,5.66078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-11-01,17:02:43.22,1,4,"Lohr, Ayden",10022392,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.59302,-1.117604,-4.027747,2436.785105,226.67508,1:30,5.58232,1.14418,6.34872,-22.16655,15.40245,15.05816,2.70369,-1.31458,78.25646,-5.321215,-1.310018,0.44115,,,,,,,,,,,,-8.90745,8.6867,-0.85795,50,5.49043,8.15852,-124.14115,-3.0378,-13.91256,24.64581,-18.60629,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,005fa790-78fa-11ee-81f5-19615697f8bf,85.44134,,,7.33655,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:02:43.22,2023-11-01T17:02:43.2222062-04:00,2023-11-01T21:02:43.2222062Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,b0b78491-103e-4772-a531-10b507c86c68,54.1482,-124.96198,12.3229,5.58129,-2.41812,-9.30314,-1.13739,8.62188,-6.95628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-11-01,17:03:01.22,1,5,"Lohr, Ayden",10022392,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.22354,1.063465,-2.505777,2642.999639,63.247528,8:00,5.38721,1.49773,5.25582,-59.97011,-6.00158,-15.45324,1.38996,-2.14587,67.10408,-9.789678,-5.245155,0.528739,,,,,,,,,,,,6.96067,-2.82221,-1.25609,50,5.44035,5.22155,-106.13659,0.01611,7.84578,20.17786,-35.35512,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,0b28e290-78fa-11ee-81f5-19615697f8bf,71.28736,,,6.11946,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:03:01.22,2023-11-01T17:03:01.2210030-04:00,2023-11-01T21:03:01.2210030Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,609cb838-6413-4a65-ba19-21861f46f4b9,55.24378,-107.12886,10.08893,5.39681,1.75473,-17.67756,-1.50338,4.83572,3.92289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-11-01,17:03:17.82,1,6,"Lohr, Ayden",10022392,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,3,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.11842,-1.788752,-3.577425,2423.536451,225.522994,1:30,5.61155,1.22063,6.38816,-23.87848,14.96706,13.97087,1.97264,-0.90992,77.01031,-6.303386,-1.051299,0.448582,,,,,,,,,,,,-8.28225,8.68701,-0.96929,50,5.47157,7.11063,-122.03918,-4.47166,-12.48921,24.04352,-19.0745,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,15021840-78fa-11ee-81f5-19615697f8bf,84.02572,,,7.10811,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:03:17.82,2023-11-01T17:03:17.8258798-04:00,2023-11-01T21:03:17.8258798Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,5ecef1ce-102f-46f0-ab61-9028a51708b2,54.10938,-122.84612,12.02176,5.61091,-3.83148,-9.53725,-1.21497,7.52979,-6.2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.50215,2.745303,1.837466,0.907837,-0.33712,1.77624,0.94082,-1.19945,4.78,6.89985,70.17899,7.77271,54.59716,-1.07713,85.41827,-7.56416,4.87876,16.96091,-15.11523,6.94537,55.78095,-3.60058,High,High,High,,,High,High,High
7,2023-11-01,17:03:44.65,2,1,"Lohr, Ayden",10022392,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,71.04936,2.182029,-0.121721,2549.050565,46.115481,7:30,5.87341,1.00655,5.72767,-67.89641,-11.68977,-14.10005,2.24855,-0.28181,65.05562,-10.219845,-2.650467,0.539592,94.57683,12.487355,18.850562,3082.242489,101.26976,16.81437,42.94606,221.43918,219.67534,27.655891,2.135427,7.16268,-6.13886,-0.98746,50,6.01342,0.70179,-103.15736,1.89782,7.62332,19.1292,-38.7077,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,250b03a0-78fa-11ee-81f5-19615697f8bf,69.85364,16.91738,,5.99374,,,,1.2764,2.25109,0.29594,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:03:44.65,2023-11-01T17:03:44.6534510-04:00,2023-11-01T21:03:44.6534510Z,LineDrive,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,21a0f560-5a91-4a7c-b166-7d508597d6e9,54.7741,-104.03889,9.5646,5.88486,3.68158,-19.35385,-1.0117,0.35049,3.81166,245.981831,1.27642,128.16486,-24.80208,5.02192,-0.84655,0.01266,0.05326,-0.01708,0.0019,2.25107,29.99541,-16.27169,1.24767,-0.51457,0.31736,-0.1351,0.03257,-0.00331,0.29591,43.76214,4.17117,-1.39828,-0.08543,0.36118,-0.19533,0.05008,-0.0052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2023-11-01,17:04:22.79,3,1,"Lohr, Ayden",10022392,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.68343,-2.180315,-2.607271,2354.232747,226.571569,1:30,5.96161,0.80168,6.33008,-22.05482,16.6445,16.1593,2.113,-0.25418,76.90485,-6.378495,0.315781,0.447737,,,,,,,,,,,,-9.16591,9.71859,-0.61861,50,5.79193,4.97056,-122.82229,-5.27098,-13.87266,26.41349,-17.46491,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,3bbf6460-78fa-11ee-81f5-19615697f8bf,84.1843,,,7.77857,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:04:22.79,2023-11-01T17:04:22.7909998-04:00,2023-11-01T21:04:22.7909998Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,eb65cc63-7c9b-48ab-bdf3-7282cbe39d14,54.16592,-123.71494,13.20675,5.9601,-4.68075,-8.73246,-0.79451,5.4394,-6.93633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-11-01,17:04:54.94,3,2,"Lohr, Ayden",10022392,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.18396,-1.978116,-2.043663,2383.109947,231.821443,1:45,5.80428,1.15875,6.18066,-24.82249,14.42292,16.65576,1.90722,0.65877,76.7207,-6.656157,0.963032,0.450885,72.23556,44.864069,9.286596,,109.67865,82.54275,8.40116,221.27701,219.33622,2.053201,4.881567,-9.28182,8.4552,-1.01289,50,5.64223,3.73002,-122.19038,-4.93515,-13.93302,25.67674,-19.48187,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,4ee3e7a0-78fa-11ee-81f5-19615697f8bf,83.59657,84.11559,,7.46326,,,,2.79173,2.14318,-0.6259,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:04:54.94,2023-11-01T17:04:54.9436270-04:00,2023-11-01T21:04:54.9436270Z,FlyBall,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,9b02491f-d319-4fd2-8e6c-738ab59a85c8,54.31732,-123.09427,12.83837,5.80389,-4.24934,-9.74094,-1.15283,4.2205,-6.96651,164.794088,2.79321,74.06479,-16.66217,4.43473,-0.6338,-0.041,0.03803,-0.00631,0.00035,2.13823,74.84496,-19.57897,1.72303,-0.55682,0.1965,-0.03898,0.00365,-0.00013,-0.62569,12.10934,-6.5203,1.98317,-0.38304,0.03056,0.00525,-0.00141,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2023-11-01,17:05:33.67,4,1,"Lohr, Ayden",10022392,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,1,0,,84.61264,-2.022859,-3.576623,2458.113947,231.226539,1:45,5.79423,0.93901,5.93723,-24.87541,14.47729,16.33072,1.84029,-1.02233,76.93343,-6.694471,-0.647925,0.451501,,,,,,,,,,,,-9.40217,8.42662,-0.66249,50,5.61863,6.99939,-122.56126,-5.08626,-14.20104,25.80833,-19.44648,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231101-GaryWright-Private-1,65f9c950-78fa-11ee-81f5-19615697f8bf,83.48251,,,7.67921,,,,,,,0e01ff87-fb9d-4a78-91ef-a68def06792e,2023-11-01,21:05:33.67,2023-11-01T17:05:33.6746862-04:00,2023-11-01T21:05:33.6746862Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,aff9b751-f536-421a-89f9-95612ad4d9cf,54.55889,-123.51752,12.90417,5.79374,-4.36573,-9.72324,-0.93158,7.52557,-7.10052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.98358,2.15768,0.814541,1.34314,-0.92264,1.56082,1.04615,-1.30017,5.46296,2.86794,127.27807,-1.79251,-5.22746,-1.189,107.28372,-8.76888,5.51655,12.78539,-13.62644,2.79575,-11.20257,3.96047,High,High,High,,,High,High,High
