PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-06,14:21:40.23,1,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.12849,-2.535945,-3.225461,2100.211219,209.756351,1:00,5.73539,1.8903,6.2553,-29.8895,14.43741,7.21067,0.90092,-0.48621,71.59496,-8.19539,-1.923798,0.479187,,,,,,,,,,,,-4.9263,8.93914,-1.65415,50,5.53254,6.26186,-115.85381,-5.94568,-6.49048,27.81578,-20.39664,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,32090ff0-6475-11ee-bf3e-737c05e247d8,78.65912,,,8.53353,,,,,,,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:21:40.23,2023-10-06T14:21:40.2381558-04:00,2023-10-06T18:21:40.2381558Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,388cff07-5af5-4c5d-a8dd-6174765006c4,54.23754,-116.86679,13.90789,5.73553,-5.20289,-10.19832,-1.8865,6.49823,-3.24524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-06,14:21:55.01,1,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.08301,1.684639,-1.255567,1862.406197,192.965208,12:30,5.18534,2.48387,5.39125,-40.21766,9.41111,1.68756,3.41354,1.4476,68.16629,-5.817927,-0.955533,0.507035,,,,,,,,,,,,-1.31421,4.69599,-2.37298,50,5.30856,2.37152,-111.3571,1.99986,-1.59306,26.44099,-26.4816,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,3adbab10-6475-11ee-bf3e-737c05e247d8,74.3389,,,8.91672,,,,,,,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:21:55.01,2023-10-06T14:21:55.0122742-04:00,2023-10-06T18:21:55.0122742Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,6fbd9e0d-f49f-4568-964b-743fba6a2441,55.09762,-112.56099,13.2205,5.19006,3.2056,-13.2408,-2.48261,2.44406,-0.79653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-06,14:22:12.31,1,3,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.41204,3.346046,-1.79052,2155.335761,58.896893,8:00,5.48587,2.04844,5.14418,-64.58728,-5.37414,-12.47099,3.25906,-0.67715,63.5983,-8.406198,-3.994738,0.553835,,,,,,,,,,,,5.55894,-3.09788,-1.8709,50,5.75016,3.65096,-101.81415,3.88891,5.72174,19.74438,-35.36264,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,452d1e00-6475-11ee-bf3e-737c05e247d8,68.05716,,,6.81374,,,,,,,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:22:12.31,2023-10-06T14:22:12.3143414-04:00,2023-10-06T18:22:12.3143414Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,289f5220-a061-404b-a167-85f5232806b1,55.35271,-102.84694,9.87219,5.49837,5.73866,-17.68132,-2.05405,3.35167,2.86087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-06,14:22:28.81,1,4,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,82.14111,-1.119172,-3.12873,2037.880694,181.769074,12:00,5.9471,1.64584,5.96334,-21.75076,20.64257,0.58602,3.09514,-1.20921,73.40225,-5.297247,-3.023697,0.468619,75.71503,66.360983,60.765429,4665.940846,,,,,56.37806,,,-1.4076,11.45981,-1.3979,50,5.84646,6.47354,-118.85025,-2.89286,-1.96178,28.21434,-16.20239,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,4efb0910-6475-11ee-bf3e-737c05e247d8,80.43296,103.50257,,8.73886,,,,2.64373,3.19826,1.18589,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:22:28.81,2023-10-06T14:22:28.8170230-04:00,2023-10-06T18:22:28.8170230Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,f5efc211-199b-4fb8-be68-4e8409395d89,54.52997,-119.92081,14.10717,5.94456,-2.27807,-8.10119,-1.64494,6.54798,-0.98089,198.426211,2.64373,21.7465,-5.61442,0.38613,-0.04143,-0.00827,0.00196,-0.00044,8E-05,3.19826,101.73058,-28.37797,3.62031,-0.80666,0.17143,-0.03327,0.00582,-0.00055,1.18589,38.85585,-5.37182,0.62787,-0.11133,0.01257,-0.00242,0.00033,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2023-10-06,14:22:51.29,1,5,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,1,2,Fastball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,76.88631,1.270545,-3.370312,1961.491853,159.655417,11:15,5.3331,2.15098,5.57695,-40.86313,7.44221,-2.16225,3.11673,-1.18056,69.97401,-6.266357,-3.754831,0.500229,70.26839,58.856507,38.7793,4743.213304,,,,122.80167,73.71942,55.26507,5.15985,0.08437,3.83339,-1.85927,50,5.41595,6.63947,-111.36461,1.20153,0.1051,21.47773,-27.39805,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,5c64df90-6475-11ee-bf3e-737c05e247d8,75.35036,102.52799,,6.91231,,,,2.15492,3.46334,1.1403,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:22:51.29,2023-10-06T14:22:51.2991478-04:00,2023-10-06T18:22:51.2991478Z,Popup,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,1fdfff26-9561-4412-8265-992defceb11c,54.91981,-112.30944,10.73887,5.33658,2.40679,-13.69903,-2.15124,6.63485,0.05255,195.38443,2.16864,41.27691,-13.09334,2.01215,0.54163,-0.4189,0.10365,-0.01153,0.00048,3.46427,88.16889,-23.19477,1.82281,0.13459,-0.24543,0.0823,-0.01204,0.00066,1.14402,33.30186,-4.77597,0.14229,0.45822,-0.24329,0.06129,-0.00768,0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2023-10-06,14:23:23.96,1,6,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.47664,1.563711,-2.680261,2093.209741,64.90611,8:15,5.51092,1.96874,5.25769,-62.75759,-3.80795,-12.77268,1.75225,-1.61567,63.85593,-9.850055,-4.943228,0.552602,,,,,,,,,,,,5.44319,-1.79012,-1.7133,50,5.60839,5.24121,-101.96793,0.82456,5.5998,20.34139,-34.0157,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,6fe194f0-6475-11ee-bf3e-737c05e247d8,68.20908,,,6.62072,,,,,,,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:23:23.96,2023-10-06T14:23:23.9637238-04:00,2023-10-06T18:23:23.9637238Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,f6cda2e1-3c4f-4d6a-a10d-0576c6aa6b0b,55.23903,-103.00775,10.1707,5.52179,2.56339,-17.00785,-1.9739,4.95496,2.7999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-06,14:23:39.39,1,7,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,2,2,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,80.49145,-0.639192,-0.748115,1868.616764,194.959349,12:30,5.62389,1.97203,6.30559,-23.64104,20.07513,4.88355,3.06488,1.68976,71.49736,-5.218396,0.135274,0.475874,,,,,,,,,,,,-2.86917,11.22414,-1.91961,50,5.56606,1.35101,-116.6935,-1.8807,-3.82035,28.98272,-17.22891,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,79078030-6475-11ee-bf3e-737c05e247d8,79.20668,,,8.99408,,,,,,,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:23:39.39,2023-10-06T14:23:39.3910518-04:00,2023-10-06T18:23:39.3910518Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,4c4075f1-a399-4ce3-8675-761e94907d7a,54.19014,-117.72959,14.49136,5.62228,-1.2648,-8.61446,-1.97034,1.48758,-1.91017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-06,14:24:21.70,2,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Tibe, Harrison",1000160684,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.23692,-0.589052,-1.837563,1918.812878,184.195864,12:15,5.76978,1.67088,6.1406,-28.53364,16.82788,1.09949,2.84732,0.0638,70.5874,-6.03327,-1.639413,0.484747,67.25723,3.939365,4.288146,4393.022695,,,,58.36351,54.2326,6.140861,0.601207,-1.24878,9.4241,-1.53141,50,5.7105,3.6414,-114.76519,-1.93591,-1.61398,27.35751,-19.99386,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,92468370-6475-11ee-bf3e-737c05e247d8,77.75691,3.57629,,8.64953,,,,2.85093,3.0142,-0.10782,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:24:21.70,2023-10-06T14:24:21.7045238-04:00,2023-10-06T18:24:21.7045238Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,636fccd2-e4b4-41f1-b9de-3c4bfba62bf6,54.35254,-115.79809,13.67876,5.76934,-1.18102,-9.99693,-1.67005,3.70234,-0.80699,299.39283,2.85768,97.98361,-10.35773,,,,,,,3.03157,6.38905,-19.06025,,,,,,,-0.11995,7.63077,4.9438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2023-10-06,14:24:55.44,3,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.65193,-0.556859,-2.203048,1249.029051,235.382048,1:45,5.47556,2.20391,5.93907,-40.51616,10.65879,12.57241,1.58225,1.20697,67.17007,-8.126771,0.056814,0.514873,,,,,,,,,,,,-7.16556,6.24433,-2.03511,50,5.40887,3.70309,-108.13173,-2.1949,-8.28736,22.92701,-24.95216,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,a671c850-6475-11ee-bf3e-737c05e247d8,73.20726,,,7.48186,,,,,,,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:24:55.44,2023-10-06T14:24:55.4484982-04:00,2023-10-06T18:24:55.4484982Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,5505efb4-c6b5-437b-8c4a-14817f7db1b8,54.554,-109.09303,11.4635,5.47896,-1.14868,-12.47608,-2.19766,4.05057,-4.14368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-06,14:25:14.87,3,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.43314,-1.441943,-1.331159,1884.011148,227.975925,1:30,5.79102,1.99857,5.98885,-27.69261,15.95206,15.93816,2.14631,2.09285,72.72057,-6.664344,1.536384,0.475485,,,,,,,,,,,,-8.57623,9.12063,-1.90213,50,5.66223,2.09639,-116.6407,-3.71781,-11.63286,25.09613,-19.80275,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231006-GaryWright-Private-2,b1f5a0c0-6475-11ee-bf3e-737c05e247d8,79.27153,,,7.71257,,,,,,,c6efa89e-b427-4abf-b3d9-e6014abfdffc,2023-10-06,18:25:14.87,2023-10-06T14:25:14.8766454-04:00,2023-10-06T18:25:14.8766454Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3181b25e-354c-4c16-bb3b-c80534dae2c4,54.50572,-117.60615,12.54806,5.7906,-2.956,-9.90137,-1.99138,2.54391,-5.81643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
