PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,5d424f10-702d-11ee-b5b1-4f49da505208,,,,,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,2,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,1,0,Fastball,,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,64dfeca0-702d-11ee-b5b1-4f49da505208,,,,,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-10-21,12:18:19.72,2,1,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Christmas, Aidan",1000241979,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.77898,-2.044032,-3.537443,1970.155943,212.692529,1:00,5.58207,0.84631,6.11621,-20.31033,19.87887,11.8015,1.99533,-1.44492,75.50996,-5.939269,-1.415431,0.456274,,,,,,,,,,,,-7.20898,11.33627,-0.58089,50,5.41455,7.03197,-121.27486,-4.86207,-10.5699,27.14693,-15.55268,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,73456130-702d-11ee-b5b1-4f49da505208,82.60917,,,8.26902,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:18:19.72,2023-10-21T12:18:19.7299246-04:00,2023-10-21T16:18:19.7299246Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,928f67b1-0558-43a6-9f44-1026a5e495c1,54.37822,-122.25098,13.57347,5.57932,-4.30285,-7.77634,-0.84057,7.41203,-5.28495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-21,12:18:33.04,2,2,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Christmas, Aidan",1000241979,Right,CEN_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.52072,-0.558562,-1.590563,2073.47775,218.298385,1:15,5.47193,0.90773,5.80015,-19.48414,20.83615,15.17131,3.32854,0.6923,75.14729,-4.327417,1.126911,0.457018,,,,,,,,,,,,-8.22615,11.23528,-0.78588,50,5.41476,2.75223,-122.35556,-1.7052,-12.11942,30.47329,-15.62134,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,7b2510d0-702d-11ee-b5b1-4f49da505208,82.47475,,,9.37343,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:18:33.04,2023-10-21T12:18:33.0401326-04:00,2023-10-21T16:18:33.0401326Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,28d76ad5-b7d7-4555-94fc-797c0def3f14,54.69127,-123.51842,15.23665,5.46845,-1.10909,-7.81067,-0.89972,3.21471,-6.05971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-21,12:18:49.93,2,3,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Christmas, Aidan",1000241979,Right,CEN_COL,Undefined,1,Top,1,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,71.01275,2.913169,-0.522616,1990.009686,60.458285,8:00,5.17237,1.20807,5.53576,-59.47428,-2.43839,-7.86378,2.94151,0.06427,64.30935,-8.003785,-1.924734,0.543558,85.89547,2.243742,-29.717602,3305.631704,,,,61.53245,58.97227,-29.398978,0.493425,3.82756,-1.67973,-1.15721,50,5.38553,1.21366,-102.88687,3.45382,4.03646,19.6465,-33.94545,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,85470f50-702d-11ee-b5b1-4f49da505208,69.34396,3.42104,,6.7034,,,,3.22604,3.16905,-0.11368,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:18:49.93,2023-10-21T12:18:49.9349550-04:00,2023-10-21T16:18:49.9349550Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,22724a63-5ea7-4744-aebd-67787f577824,54.9625,-103.83015,9.82325,5.18057,5.08363,-16.97273,-1.21083,1.01986,2.01823,38.625883,3.23383,109.11548,-14.26486,,,,,,,3.18373,4.53375,-22.32235,,,,,,,-0.11145,-62.46467,2.97949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2023-10-21,12:19:21.99,3,1,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.54971,1.739864,-2.435611,1946.076901,52.83128,7:45,5.16646,1.17099,5.71511,-60.82641,-3.67949,-7.38969,1.72032,-1.71507,64.4996,-9.398943,-3.756867,0.544086,,,,,,,,,,,,3.00874,-1.8798,-0.96254,50,5.27445,4.60286,-102.29522,1.33212,3.15071,18.72214,-34.14256,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,985f0f70-702d-11ee-b5b1-4f49da505208,69.27658,,,6.05012,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:19:21.99,2023-10-21T12:19:21.9917870-04:00,2023-10-21T16:19:21.9917870Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,626f3ae8-03b3-4753-85d1-e27ca6d5a057,54.78362,-103.167,9.36107,5.1754,2.92195,-17.07128,-1.17345,4.45615,1.57536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-21,12:19:35.27,3,2,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.3658,-2.576005,-3.234308,2053.083431,215.872347,1:15,5.47068,0.90836,6.14307,-20.62694,20.176,13.43438,1.36594,-0.96404,74.74579,-6.543093,-0.815574,0.459745,,,,,,,,,,,,-8.01575,11.74331,-0.66846,50,5.26356,6.28694,-120.60173,-5.9577,-11.54564,28.2715,-15.25937,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,a0410900-702d-11ee-b5b1-4f49da505208,81.98552,,,8.62001,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:19:35.27,2023-10-21T12:19:35.2778286-04:00,2023-10-21T16:19:35.2778286Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,62d67e88-e007-446a-91c2-9d77036c79db,54.3506,-121.61732,14.13575,5.46773,-5.40954,-7.62968,-0.90176,6.70169,-5.77282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-21,12:19:50.56,3,3,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,2,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.63151,0.052272,-2.020189,1981.503655,54.021649,7:45,5.57256,0.62407,5.57874,-66.03535,-6.94764,-12.35335,0.11846,-2.29286,64.00283,-11.92836,-4.230384,0.553248,,,,,,,,,,,,5.66784,-3.08264,-0.4418,50,5.53351,3.97589,-101.01936,-1.8469,5.76179,18.94851,-35.30778,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,a9693e30-702d-11ee-b5b1-4f49da505208,68.12935,,,5.62868,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:19:50.56,2023-10-21T12:19:50.5656878-04:00,2023-10-21T16:19:50.5656878Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,1efa130b-e0b6-4200-8ce3-513161b0850a,54.92177,-101.93837,9.47426,5.58156,-0.13446,-17.65389,-0.62785,3.69644,2.8809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-21,12:20:04.86,3,4,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,2,2,1,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,83.07925,-1.6764,-2.336543,2037.871828,201.457477,12:45,5.58213,0.76022,6.22994,-19.61879,21.48194,7.78831,2.39893,-0.74755,74.00063,-5.493396,-0.93116,0.46142,76.58475,54.059343,12.908551,,104.76663,105.36669,33.5252,235.78486,235.78486,19.895705,5.119671,-4.89662,12.21638,-0.58955,50,5.44735,4.61047,-120.29751,-3.99186,-6.96592,29.68378,-14.79506,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,b1e506c0-702d-11ee-b5b1-4f49da505208,81.68798,107.48485,,9.07862,,,,2.49578,2.4868,0.70291,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:20:04.86,2023-10-21T12:20:04.8688174-04:00,2023-10-21T16:20:04.8688174Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d7c995dd-06e0-4bd9-a30c-35e062e6bbc9,54.26368,-121.34503,14.84189,5.57901,-3.46975,-7.39753,-0.75658,4.85629,-3.48296,199.386882,2.49965,64.17703,-12.43631,2.94041,-0.11268,-0.14323,0.04258,-0.00511,0.00023,2.48696,90.9275,-23.32311,2.0809,-0.18616,-0.06796,0.02958,-0.00452,0.00025,0.70309,14.72647,0.86598,-0.31321,0.03909,0.0089,-0.00453,0.00071,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2023-10-21,12:22:40.47,1,1,"Livengood, Josh",10072811,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.9636,-3.853228,-1.656152,1800.370177,185.511116,12:15,7.13688,0.66892,5.64682,-14.91816,25.52742,2.32528,2.29272,-0.68249,76.32402,-6.724558,-1.241011,0.457727,,,,,,,,,,,,-1.66433,14.4804,-0.52992,50,6.80025,3.41592,-121.50442,-8.54884,-2.47152,25.28792,-10.6709,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,0e9f1fe0-702e-11ee-b5b1-4f49da505208,82.34692,,,7.63958,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:22:40.47,2023-10-21T12:22:40.4754478-04:00,2023-10-21T16:22:40.4754478Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,481fbc60-1c11-4f92-8447-6f0679f8686a,54.84738,-122.50911,12.64396,7.13147,-8.12488,-5.33545,-0.66759,3.51411,-1.23576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2023-10-21,12:22:51.57,1,2,"Livengood, Josh",10072811,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Bottom,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.23305,1.275959,-1.308138,1626.26713,91.977231,9:00,6.97168,0.73606,5.44077,-52.1707,2.51441,-8.30056,3.81935,-1.18072,65.36055,-8.347724,-2.78595,0.532238,,,,,,,,,,,,3.62882,1.51992,-0.61473,50,7.04969,2.73939,-105.89574,0.72457,3.98852,23.48042,-30.50345,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,15411f60-702e-11ee-b5b1-4f49da505208,70.81877,,,7.8725,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:22:51.57,2023-10-21T12:22:51.5722286-04:00,2023-10-21T16:22:51.5722286Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,dc2deabc-1d93-4452-9609-646403b95d68,55.05014,-107.00966,11.74021,6.98099,2.17166,-15.25173,-0.7402,2.55017,1.99426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2023-10-21,12:23:03.46,1,3,"Livengood, Josh",10072811,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Bottom,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.81515,-3.562428,-0.995592,1760.789619,125.820764,10:15,7.01201,0.92505,5.66254,-42.34735,5.19803,-4.7539,0.15645,-0.39956,70.85225,-11.293666,-1.848341,0.496279,,,,,,,,,,,,2.08988,4.3387,-0.8378,50,6.68397,2.13565,-112.59096,-8.3435,2.62932,24.23245,-26.71542,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231021-GaryWright-Private-1,1c5c94a0-702e-11ee-b5b1-4f49da505208,75.95015,,,6.9629,,,,,,,39cb170c-bfe7-4fad-8373-0ede1b8bc431,2023-10-21,16:23:03.46,2023-10-21T12:23:03.4663470-04:00,2023-10-21T16:23:03.4663470Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,b972ab57-0cc2-4a66-933c-aca650a75abd,54.83313,-113.62641,12.11623,7.0161,-7.20195,-13.35771,-0.92666,2.0233,1.31466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
