PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-28,12:12:27.73,1,1,"Sickles, David",90000172766,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.83278,-0.125813,-2.692364,1939.019643,220.407048,1:15,5.04074,1.82716,5.06759,-26.61442,14.83087,11.39201,2.70412,0.23614,75.85356,-5.064454,-0.681461,0.46335,67.71948,63.725127,166.970001,4696.389667,,,,,18.73709,,,-6.50847,7.81741,-1.58106,50,5.00838,5.21235,-121.39709,-1.1827,-9.61811,25.92349,-20.62164,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,ca29b620-75ac-11ee-9e6e-5f40bd0779eb,81.3477,48.51229,,7.97922,,,,2.27636,2.94708,-0.26661,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:12:27.73,2023-10-28T12:12:27.7305958-04:00,2023-10-28T16:12:27.7305958Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,e9dd776e-85cb-4c44-9aa0-0ddd43db71ff,55.42867,-122.55086,12.96174,5.0406,-0.2649,-10.31082,-1.82257,5.64042,-4.80906,181.844911,2.27636,-42.83536,25.19946,-6.18757,1.47122,0.55541,-1.67208,1.43343,-0.45795,2.94708,89.05963,-45.18471,9.19183,-0.96661,-5.79518,11.98806,-10.70332,3.64341,-0.26662,9.91259,-6.55095,1.89008,3.85115,-16.8585,32.06279,-28.71162,9.86488,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2023-10-28,12:12:49.94,1,2,"Sickles, David",90000172766,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,72.58078,1.801093,-1.465984,1987.809166,68.600299,8:15,5.10306,2.10784,4.50124,-57.34814,-1.39221,-8.01993,2.04114,0.04252,66.72179,-8.473747,-2.869039,0.538387,85.14103,39.790915,-9.873464,4793.841137,108.75052,79.80324,-16.53094,320.26236,316.2053,-5.344679,5.335268,3.52701,-0.76087,-1.94592,50,5.23673,3.0079,-105.19404,1.29911,3.94792,18.01991,-33.0257,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,d776dce0-75ac-11ee-9e6e-5f40bd0779eb,70.00995,97.73376,,5.85898,,,,2.81943,2.32406,-0.13009,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:12:49.94,2023-10-28T12:12:49.9462246-04:00,2023-10-28T16:12:49.9462246Z,FlyBall,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,67d4fd24-0009-4d28-a0fc-3fa2820c0092,55.99839,-106.2166,9.00996,5.10983,3.1732,-16.51285,-2.11025,2.78386,1.97396,183.535373,2.81938,94.51469,-19.19961,5.25304,-0.95148,0.0629,0.01531,-0.00348,0.00021,2.31701,80.06141,-19.33375,1.73975,-0.64133,0.23628,-0.04826,0.00485,-0.0002,-0.13074,-16.43741,4.13811,-0.53924,-0.0575,0.05615,-0.01438,0.00169,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2023-10-28,12:13:23.33,2,1,"Sickles, David",90000172766,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.36365,1.905027,-2.553958,1898.129612,257.178317,2:30,5.12501,1.72707,5.30771,-36.0197,4.13055,12.65792,3.91397,0.38302,77.0566,-4.696268,-0.309823,0.456053,,,,,,,,,,,,-7.01158,1.93788,-1.50469,50,5.27202,4.90704,-122.31807,2.76265,-10.63974,23.7654,-29.23341,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,eb5205f0-75ac-11ee-9e6e-5f40bd0779eb,82.64919,,,7.30706,,,,,,,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:13:23.33,2023-10-28T12:13:23.3322598-04:00,2023-10-28T16:13:23.3322598Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,e955b498-6cb3-4aaf-b3d0-d80251420fec,55.18974,-123.32227,11.8827,5.12919,3.9979,-14.61671,-1.72153,5.35662,-5.31987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-28,12:13:38.91,2,2,"Sickles, David",90000172766,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.00315,3.118119,-0.138078,1813.604848,67.642143,8:15,5.15438,1.98893,4.57936,-60.06779,-3.07634,-11.99973,3.11815,0.85759,65.71601,-7.686944,-2.239643,0.543346,,,,,,,,,,,,5.783,-1.82673,-1.96278,50,5.42119,0.73285,-104.24342,3.57989,6.33272,18.31282,-34.17442,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,f4a8c530-75ac-11ee-9e6e-5f40bd0779eb,69.37099,,,6.28714,,,,,,,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:13:38.91,2023-10-28T12:13:38.9137510-04:00,2023-10-28T16:13:38.9137510Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,066c6c73-336d-48be-a9c5-bdf11043d257,55.9188,-105.27806,9.15641,5.16439,5.51069,-17.08721,-1.99408,0.37507,3.16636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-28,12:13:55.44,2,3,"Sickles, David",90000172766,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.36868,-0.21971,-3.196802,1897.236207,249.363097,2:15,5.04324,1.59666,5.17495,-35.2951,5.01717,9.99544,1.89492,-0.58161,77.41372,-6.654518,-1.428749,0.456972,70.62101,17.318276,160.066288,3478.914023,,,,,21.57371,,,-5.87103,2.92232,-1.30698,50,4.99585,6.402,-122.32039,-1.76706,-8.91609,23.59692,-27.73605,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,fe799670-75ac-11ee-9e6e-5f40bd0779eb,82.48298,7.8848,,6.95496,,,,1.56648,1.83706,0.53419,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:13:55.44,2023-10-28T12:13:55.4499686-04:00,2023-10-28T16:13:55.4499686Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,f9a9feb3-c657-4f1d-87e0-33ba621d47bb,55.32338,-123.34306,11.79846,5.04638,-0.56502,-13.86802,-1.5928,6.78842,-4.45805,299.20283,1.56645,-92.9561,6.36447,,,,,,,1.83838,30.75887,-21.95969,,,,,,,0.53542,33.64316,-9.75028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2023-10-28,12:14:23.95,2,4,"Sickles, David",90000172766,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,1,2,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.98557,0.078739,-3.066936,1975.687504,231.774389,1:45,5.19101,1.57382,5.22063,-31.58915,8.63615,9.14914,2.63272,-0.54997,76.77945,-5.747178,-1.447785,0.456479,,,,,,,,,,,,-5.55103,4.68528,-1.29792,50,5.17496,6.19299,-123.02728,-0.95959,-8.40033,27.28373,-25.08382,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,0f739890-75ad-11ee-9e6e-5f40bd0779eb,82.57208,,,8.20612,,,,,,,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:14:23.95,2023-10-28T12:14:23.9513190-04:00,2023-10-28T16:14:23.9513190Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,d96b8d50-5f29-4bba-823a-3f09f2343e01,55.27549,-124.19171,13.64187,5.19307,0.11095,-12.54191,-1.56988,6.5515,-4.20016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-28,12:14:43.86,2,5,"Sickles, David",90000172766,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,73.52033,0.858775,-1.638445,2135.006626,26.56235,7:00,5.2644,1.6582,4.67434,-60.67291,-5.81559,-3.87276,1.0243,-0.221,66.99259,-10.036297,-2.319316,0.533075,73.64082,3.339052,-39.089332,4071.73839,,,,50.91021,47.87273,-38.032255,0.476329,1.38673,-2.68614,-1.48763,50,5.29655,3.19806,-106.46958,-0.52666,1.56775,20.8547,-35.21082,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,1b5e2210-75ad-11ee-9e6e-5f40bd0779eb,70.70752,1.83292,,6.52774,,,,3.26009,1.33084,0.24494,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:14:43.86,2023-10-28T12:14:43.8651494-04:00,2023-10-28T16:14:43.8651494Z,GroundBall,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,5afba40e-6fe6-443b-8643-20c62f1afe66,55.8246,-107.60443,10.42735,5.27307,1.3894,-17.60541,-1.65934,3.11275,0.78387,70.844336,3.26935,83.42723,-12.85558,,,,,,,1.34008,6.03108,-18.60686,,,,,,,0.24596,-68.01515,3.45833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2023-10-28,12:15:17.34,3,1,"Sickles, David",90000172766,Right,CEN_COL,"Lohr, Ayden",10022392,Right,CEN_COL,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.08048,-0.525954,-3.504556,1387.37877,268.772829,3:00,5.02277,1.66899,5.28253,-46.90443,2.05071,12.623,0.61921,-0.57432,69.91617,-9.084852,-1.265154,0.503582,,,,,,,,,,,,-7.49311,1.66445,-1.35892,50,4.94043,6.33824,-111.54233,-2.5894,-9.28935,23.05453,-30.11061,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,2f518e10-75ad-11ee-9e6e-5f40bd0779eb,74.84859,,,7.16432,,,,,,,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:15:17.34,2023-10-28T12:15:17.3419622-04:00,2023-10-28T16:15:17.3419622Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,825b0d05-4331-4d83-a5ad-ec9044f9d568,55.21479,-112.61501,11.52727,5.02832,-1.18842,-15.05531,-1.66388,6.77045,-4.64468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-28,12:15:34.64,3,2,"Sickles, David",90000172766,Right,CEN_COL,"Lohr, Ayden",10022392,Right,CEN_COL,Undefined,1,Top,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.23448,-0.565022,-4.327749,1943.859045,214.589443,1:15,5.16408,1.4972,5.54828,-27.38718,11.75658,7.24256,2.3523,-1.95106,77.89824,-5.637872,-3.041733,0.450301,,,,,,,,,,,,-4.85977,6.47701,-1.12696,50,5.09709,9.03413,-123.41373,-2.13796,-7.49589,24.53908,-22.18367,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,39a01ad0-75ad-11ee-9e6e-5f40bd0779eb,83.70501,,,7.33624,,,,,,,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:15:34.64,2023-10-28T12:15:34.6414694-04:00,2023-10-28T16:15:34.6414694Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,21558cc0-df0d-456a-a8bd-42d251781f2d,54.9482,-124.39372,12.26954,5.16479,-1.25204,-11.09184,-1.49372,9.33348,-3.74795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-28,12:16:11.78,3,3,"Sickles, David",90000172766,Right,CEN_COL,"Lohr, Ayden",10022392,Right,CEN_COL,Undefined,1,Top,2,2,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.24457,-0.056958,-3.266526,1890.74624,255.616524,2:30,4.97475,1.7962,5.13393,-36.64171,5.05929,14.37784,1.86755,-0.08504,75.95739,-6.746441,-0.724865,0.464777,,,,,,,,,,,,-8.15918,2.90004,-1.50151,50,4.94105,6.27433,-120.62023,-1.45,-11.97581,24.27807,-27.91744,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231028-GaryWright-Private-1,4fc1ff90-75ad-11ee-9e6e-5f40bd0779eb,81.09789,,,7.28718,,,,,,,2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2023-10-28,16:16:11.78,2023-10-28T12:16:11.7825126-04:00,2023-10-28T16:16:11.7825126Z,,v3,,,,"Kempf, Will",10038479,Right,CEN_COL,b1f23cc8-5d13-4ba2-85dd-0ff70d297185,55.36476,-121.69524,12.13903,4.97789,-0.21385,-13.95872,-1.79107,6.80461,-5.9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
