GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,1,ca29b620-75ac-11ee-9e6e-5f40bd0779eb,e9dd776e-85cb-4c44-9aa0-0ddd43db71ff,2023-10-28,12:12:27.73,2023-10-28,16:12:27.73,2023-10-28T12:12:27.7305958-04:00,2023-10-28T16:12:27.7305958Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,87.31145,65.35386,150.29502,36.98137,92.85304,-68.59489,144.29751,-45.475,261.81129,-143.84195,336.96283,-5.59212,274.14729,134.11468
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,2,d776dce0-75ac-11ee-9e6e-5f40bd0779eb,67d4fd24-0009-4d28-a0fc-3fa2820c0092,2023-10-28,12:12:49.94,2023-10-28,16:12:49.94,2023-10-28T12:12:49.9462246-04:00,2023-10-28T16:12:49.9462246Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,91.6739,69.34132,144.89777,39.2933,93.36424,-69.53225,144.2876,-48.0567,263.63699,-142.70129,351.36178,-8.94088,271.02868,132.76735
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,3,eb5205f0-75ac-11ee-9e6e-5f40bd0779eb,e955b498-6cb3-4aaf-b3d0-d80251420fec,2023-10-28,12:13:23.33,2023-10-28,16:13:23.33,2023-10-28T12:13:23.3322598-04:00,2023-10-28T16:13:23.3322598Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,88.55801,66.32521,146.2341,36.22885,91.22916,-66.03436,148.31426,-48.46429,276.83311,-136.60631,343.73588,-5.0448,270.38475,135.66709
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,4,f4a8c530-75ac-11ee-9e6e-5f40bd0779eb,066c6c73-336d-48be-a9c5-bdf11043d257,2023-10-28,12:13:38.91,2023-10-28,16:13:38.91,2023-10-28T12:13:38.9137510-04:00,2023-10-28T16:13:38.9137510Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,90.22404,68.58764,144.90542,42.1017,92.01146,-67.79336,144.74061,-47.32903,274.31417,-135.88268,345.39017,-5.31517,274.97014,136.68866
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,5,fe799670-75ac-11ee-9e6e-5f40bd0779eb,f9a9feb3-c657-4f1d-87e0-33ba621d47bb,2023-10-28,12:13:55.44,2023-10-28,16:13:55.44,2023-10-28T12:13:55.4499686-04:00,2023-10-28T16:13:55.4499686Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,91.73434,67.10392,145.72868,41.20223,93.3351,-68.76747,145.43862,-46.56896,275.59196,-136.82191,344.11442,-6.18231,276.75123,136.13262
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,6,0f739890-75ad-11ee-9e6e-5f40bd0779eb,d96b8d50-5f29-4bba-823a-3f09f2343e01,2023-10-28,12:14:23.95,2023-10-28,16:14:23.95,2023-10-28T12:14:23.9513190-04:00,2023-10-28T16:14:23.9513190Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,91.33464,68.46258,147.0347,39.19052,98.04008,-67.94831,145.09044,-45.68171,273.52911,-138.85192,336.9553,-5.14745,271.91605,138.2837
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,7,1b5e2210-75ad-11ee-9e6e-5f40bd0779eb,5afba40e-6fe6-443b-8643-20c62f1afe66,2023-10-28,12:14:43.86,2023-10-28,16:14:43.86,2023-10-28T12:14:43.8651494-04:00,2023-10-28T16:14:43.8651494Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,91.33705,69.58069,142.63629,41.4909,99.39348,-69.28343,146.71608,-47.46091,274.41739,-140.57333,338.3,-5.26154,273.44228,140.63623
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,8,2f518e10-75ad-11ee-9e6e-5f40bd0779eb,825b0d05-4331-4d83-a5ad-ec9044f9d568,2023-10-28,12:15:17.34,2023-10-28,16:15:17.34,2023-10-28T12:15:17.3419622-04:00,2023-10-28T16:15:17.3419622Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,,,146.10847,34.34537,103.05812,-76.98041,144.31047,-47.7358,269.94674,-147.71953,347.82021,-7.40706,274.6996,133.43043
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,9,39a01ad0-75ad-11ee-9e6e-5f40bd0779eb,21558cc0-df0d-456a-a8bd-42d251781f2d,2023-10-28,12:15:34.64,2023-10-28,16:15:34.64,2023-10-28T12:15:34.6414694-04:00,2023-10-28T16:15:34.6414694Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,,,144.29762,36.21577,102.54476,-77.1964,144.75962,-46.549,265.28169,-144.99457,345.22809,-7.52545,273.32285,132.93504
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,10,4fc1ff90-75ad-11ee-9e6e-5f40bd0779eb,b1f23cc8-5d13-4ba2-85dd-0ff70d297185,2023-10-28,12:16:11.78,2023-10-28,16:16:11.78,2023-10-28T12:16:11.7825126-04:00,2023-10-28T16:16:11.7825126Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,,,146.08582,32.01557,101.86318,-77.72631,144.4696,-47.2781,272.97687,-147.36678,345.83698,-8.71568,274.04177,134.66524
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,11,61aeed30-75ad-11ee-9e6e-5f40bd0779eb,8c542b00-58e5-4886-ac39-13378022d5aa,2023-10-28,12:16:41.83,2023-10-28,16:16:41.83,2023-10-28T12:16:41.8346086-04:00,2023-10-28T16:16:41.8346086Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,,,145.49627,39.99951,102.36216,-76.8823,142.09793,-49.95094,270.27991,-147.72808,344.95064,-5.89411,281.19011,135.75894
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,12,b50bb760-75ad-11ee-9e6e-5f40bd0779eb,f2e38cce-2056-4526-9d56-37208256d1d1,2023-10-28,12:19:01.69,2023-10-28,16:19:01.69,2023-10-28T12:19:01.6993382-04:00,2023-10-28T16:19:01.6993382Z,CEN_COL,CEN_COL,FoulBall,Undefined,LeftInfieldShift,87.38972,43.47315,155.17042,-7.33808,80.35198,-61.42306,143.51798,-53.70059,257.98043,-150.38149,328.90077,-29.96535,274.56041,121.61077
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,13,c1559ef0-75ad-11ee-9e6e-5f40bd0779eb,4c0ed0d0-595a-403d-8077-9fa9e73331ca,2023-10-28,12:19:22.26,2023-10-28,16:19:22.26,2023-10-28T12:19:22.2628454-04:00,2023-10-28T16:19:22.2628454Z,CEN_COL,CEN_COL,BallCalled,Undefined,LeftInfieldShift,88.46277,43.44212,156.54175,-7.76005,82.55563,-64.60453,140.90838,-54.25707,259.65177,-149.94131,324.26424,-22.60543,275.18887,120.41677
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,14,cace3e10-75ad-11ee-9e6e-5f40bd0779eb,ff1b214d-de29-450d-b50b-380f57670448,2023-10-28,12:19:38.14,2023-10-28,16:19:38.14,2023-10-28T12:19:38.1440102-04:00,2023-10-28T16:19:38.1440102Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,LeftInfieldShift,88.19541,44.34158,156.07292,-7.47653,84.17355,-66.6223,146.78974,-52.66077,262.34427,-149.29217,326.37283,-22.98497,273.31863,114.25649
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,15,d505c060-75ad-11ee-9e6e-5f40bd0779eb,61b55753-3b49-4119-bc4d-91df69bee572,2023-10-28,12:19:55.40,2023-10-28,16:19:55.40,2023-10-28T12:19:55.4024038-04:00,2023-10-28T16:19:55.4024038Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,95.25692,54.23533,158.41237,20.0799,92.74472,-65.64404,148.06269,-42.82696,263.51559,-149.62617,331.34115,-19.301,266.32851,120.98495
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,16,e351b980-75ad-11ee-9e6e-5f40bd0779eb,f7a42812-c2a2-4a79-b503-e717b8dff72a,2023-10-28,12:20:19.38,2023-10-28,16:20:19.38,2023-10-28T12:20:19.3809510-04:00,2023-10-28T16:20:19.3809510Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,89.44387,67.31802,155.3211,30.11569,90.62732,-63.25547,149.73696,-42.12873,267.03947,-153.45642,329.18471,-3.59395,264.14378,139.00065
2914a3b9-beb9-4cc2-ab4a-4ad2f4c8ce1a,17,efd4b270-75ad-11ee-9e6e-5f40bd0779eb,20ea07fe-4305-4a13-a63e-34640501d41a,2023-10-28,12:20:40.35,2023-10-28,16:20:40.35,2023-10-28T12:20:40.3536486-04:00,2023-10-28T16:20:40.3536486Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,89.08541,69.47459,154.23301,34.32267,95.23726,-64.14437,151.83196,-36.75199,264.79201,-152.8749,333.07919,-2.51085,269.6465,134.26953
