GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
7bb74768-8ad2-4d92-ab50-361fc692b9fb,1,d3adb290-6527-11ee-86fc-21a565d3a622,d1bcbed9-7e38-4fc6-bbea-133e9573d12a,2023-10-07,11:40:21.71,2023-10-07,15:40:21.71,2023-10-07T11:40:21.7118976-04:00,2023-10-07T15:40:21.7118976Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,76.10173,56.20714,147.58732,42.02993,84.7758,-57.96179,148.75859,-42.57759,259.70766,-146.77416,329.50532,0.78974,261.9522,134.26665
7bb74768-8ad2-4d92-ab50-361fc692b9fb,2,db22b980-6527-11ee-86fc-21a565d3a622,d15278c0-42bc-4a9f-853b-296c58cbeadd,2023-10-07,11:40:34.21,2023-10-07,15:40:34.21,2023-10-07T11:40:34.2118144-04:00,2023-10-07T15:40:34.2118144Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,74.01624,54.78134,148.1602,42.45094,87.19971,-59.41072,150.31475,-41.24282,257.45628,-143.53691,320.9148,-0.3864,266.34094,135.93669
7bb74768-8ad2-4d92-ab50-361fc692b9fb,3,e3883af0-6527-11ee-86fc-21a565d3a622,0881bc1e-93cc-42b8-a418-f430074469f2,2023-10-07,11:40:48.29,2023-10-07,15:40:48.29,2023-10-07T11:40:48.2904320-04:00,2023-10-07T15:40:48.2904320Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,75.70984,55.98272,148.36676,42.75351,89.27424,-60.94627,147.54447,-39.39103,259.98523,-142.3288,326.04174,-2.11178,266.0603,136.34671
7bb74768-8ad2-4d92-ab50-361fc692b9fb,4,f4a70320-6527-11ee-86fc-21a565d3a622,6586f6e8-d56b-44c8-99fe-c8c989f5acd7,2023-10-07,11:41:17.08,2023-10-07,15:41:17.08,2023-10-07T11:41:17.0812672-04:00,2023-10-07T15:41:17.0812672Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,82.87246,59.43086,148.03374,42.56117,86.91233,-59.26477,149.5614,-40.62735,257.38164,-141.01701,323.69026,-3.38466,250.69606,131.13613
7bb74768-8ad2-4d92-ab50-361fc692b9fb,5,fd2dc830-6527-11ee-86fc-21a565d3a622,9ae36ad7-02f6-4ea6-a0ee-69f648ac6355,2023-10-07,11:41:31.27,2023-10-07,15:41:31.27,2023-10-07T11:41:31.2775936-04:00,2023-10-07T15:41:31.2775936Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,84.47048,67.57348,147.69323,42.23573,90.05604,-63.93857,150.76259,-39.1633,261.06787,-145.81307,317.38056,-3.07892,255.48978,134.71637
7bb74768-8ad2-4d92-ab50-361fc692b9fb,6,068fab00-6528-11ee-86fc-21a565d3a622,110851c0-feea-40ff-b567-bbf9e8217c53,2023-10-07,11:41:47.09,2023-10-07,15:41:47.09,2023-10-07T11:41:47.0991616-04:00,2023-10-07T15:41:47.0991616Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,80.68579,66.39948,146.95445,42.05836,91.16786,-64.101,145.34533,-39.24825,255.92145,-143.77842,316.09513,-3.14503,248.93072,131.21274
7bb74768-8ad2-4d92-ab50-361fc692b9fb,7,0ed21410-6528-11ee-86fc-21a565d3a622,952fcee9-d2dc-470d-aa37-bde72f2f177a,2023-10-07,11:42:00.92,2023-10-07,15:42:00.92,2023-10-07T11:42:00.9292032-04:00,2023-10-07T15:42:00.9292032Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,82.74554,67.41616,147.31012,42.08806,91.8014,-65.21037,151.42718,-38.58503,254.81079,-144.5576,311.84012,-0.71256,253.28224,132.67732
7bb74768-8ad2-4d92-ab50-361fc692b9fb,8,19cb5fc0-6528-11ee-86fc-21a565d3a622,cff5a277-6ebb-4d5e-a981-8fd2f9c763c0,2023-10-07,11:42:19.43,2023-10-07,15:42:19.43,2023-10-07T11:42:19.4301184-04:00,2023-10-07T15:42:19.4301184Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,88.85754,66.11495,147.19438,41.98924,92.61503,-67.85199,147.72804,-41.02605,258.53401,-145.36615,315.62358,-3.50872,254.53503,135.75948
7bb74768-8ad2-4d92-ab50-361fc692b9fb,9,238a56b0-6528-11ee-86fc-21a565d3a622,6726f1a5-a66a-4b7b-8c4c-2116cd89e9c0,2023-10-07,11:42:35.78,2023-10-07,15:42:35.78,2023-10-07T11:42:35.7818624-04:00,2023-10-07T15:42:35.7818624Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,89.62311,66.22243,146.44785,41.7484,92.30645,-66.91063,149.17565,-39.39489,256.74986,-142.8118,316.63294,-3.62584,254.83863,138.0253
7bb74768-8ad2-4d92-ab50-361fc692b9fb,10,361d6f60-6528-11ee-86fc-21a565d3a622,f2940945-d9f1-4a78-afee-9b3a3a3f3ce7,2023-10-07,11:43:06.89,2023-10-07,15:43:06.89,2023-10-07T11:43:06.8901632-04:00,2023-10-07T15:43:06.8901632Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,62.91317,59.05216,137.8291,27.49852,92.69527,-61.59976,146.63854,-32.30611,271.88184,-150.63437,328.46632,-4.5877,257.10104,140.30681
7bb74768-8ad2-4d92-ab50-361fc692b9fb,11,42509aa0-6528-11ee-86fc-21a565d3a622,bf86d026-a454-4ba0-9dab-ccbf413bc729,2023-10-07,11:43:27.34,2023-10-07,15:43:27.34,2023-10-07T11:43:27.3423104-04:00,2023-10-07T15:43:27.3423104Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,63.3429,59.19524,140.2093,28.69177,90.12369,-61.31778,146.27074,-32.56683,271.57703,-151.32182,323.92425,-4.31832,248.32927,138.30639
7bb74768-8ad2-4d92-ab50-361fc692b9fb,12,4d9435c0-6528-11ee-86fc-21a565d3a622,aabcf913-1587-4dd4-af95-9d7b90566e1e,2023-10-07,11:43:46.30,2023-10-07,15:43:46.30,2023-10-07T11:43:46.3038208-04:00,2023-10-07T15:43:46.3038208Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,63.10662,58.59472,138.41653,30.42725,91.11238,-61.47269,151.21064,-31.86919,270.54836,-149.1793,323.43672,-4.41599,251.72549,142.94849
7bb74768-8ad2-4d92-ab50-361fc692b9fb,13,58631610-6528-11ee-86fc-21a565d3a622,167a1e50-dcff-458d-8826-97e98829d2d0,2023-10-07,11:44:04.35,2023-10-07,15:44:04.35,2023-10-07T11:44:04.3555584-04:00,2023-10-07T15:44:04.3555584Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,68.31104,57.61493,140.11128,29.6642,90.28313,-61.13153,149.02302,-31.94379,268.66425,-146.17751,321.40396,-3.7353,259.94607,144.97597
7bb74768-8ad2-4d92-ab50-361fc692b9fb,14,71279220-6528-11ee-86fc-21a565d3a622,92594acf-ed74-4585-a7b7-31b47571a866,2023-10-07,11:44:45.92,2023-10-07,15:44:45.92,2023-10-07T11:44:45.9218176-04:00,2023-10-07T15:44:45.9218176Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,68.73539,57.59232,149.44885,28.39388,90.89131,-69.57952,148.52034,-42.00221,270.43591,-153.41194,335.22019,-4.45027,263.53476,138.24339
7bb74768-8ad2-4d92-ab50-361fc692b9fb,15,7dbe1310-6528-11ee-86fc-21a565d3a622,45111eeb-21d9-4df7-904f-4c5730d5d414,2023-10-07,11:45:07.08,2023-10-07,15:45:07.08,2023-10-07T11:45:07.0888704-04:00,2023-10-07T15:45:07.0888704Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,67.13086,57.71533,145.85688,28.44174,90.7869,-73.5778,148.35344,-47.55198,271.10319,-149.9502,342.74916,-4.62519,267.00839,140.31609
7bb74768-8ad2-4d92-ab50-361fc692b9fb,16,894baf80-6528-11ee-86fc-21a565d3a622,6944ee24-09a9-4367-a94d-d6d14da50c31,2023-10-07,11:45:26.41,2023-10-07,15:45:26.41,2023-10-07T11:45:26.4134912-04:00,2023-10-07T15:45:26.4134912Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,67.71529,58.71195,147.30334,28.3996,92.4458,-74.45934,149.61708,-46.68927,272.30944,-149.58477,338.7786,-6.49861,264.79472,139.72319
7bb74768-8ad2-4d92-ab50-361fc692b9fb,17,93f44320-6528-11ee-86fc-21a565d3a622,1dae9569-74b3-491c-b77e-4c7924d75f30,2023-10-07,11:45:44.34,2023-10-07,15:45:44.34,2023-10-07T11:45:44.3452160-04:00,2023-10-07T15:45:44.3452160Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,63.23847,58.69758,147.73168,29.52059,92.46778,-75.32018,148.98865,-45.99378,273.04753,-149.71754,337.2838,-6.03308,264.96343,139.51663
7bb74768-8ad2-4d92-ab50-361fc692b9fb,18,a0143480-6528-11ee-86fc-21a565d3a622,ac4e1372-af10-45ae-9ba0-b233236f26af,2023-10-07,11:46:04.66,2023-10-07,15:46:04.66,2023-10-07T11:46:04.6670592-04:00,2023-10-07T15:46:04.6670592Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,66.97633,58.33629,145.75742,27.22551,89.88267,-71.4233,149.41109,-44.28755,267.51951,-145.09542,329.6977,-4.77316,264.49627,139.37819
7bb74768-8ad2-4d92-ab50-361fc692b9fb,19,b21371a0-6528-11ee-86fc-21a565d3a622,b0d38d33-66e5-4376-8017-389ba34e1c65,2023-10-07,11:46:34.84,2023-10-07,15:46:34.84,2023-10-07T11:46:34.8439808-04:00,2023-10-07T15:46:34.8439808Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,97.19393,72.20221,132.4633,14.15206,92.13807,-66.44479,150.20469,-45.0334,274.6574,-148.50984,335.92441,-6.06966,265.35008,139.16061
7bb74768-8ad2-4d92-ab50-361fc692b9fb,20,bec8c530-6528-11ee-86fc-21a565d3a622,bfa5c9e0-5eae-48c6-8c5e-a2a54bac5816,2023-10-07,11:46:56.17,2023-10-07,15:46:56.17,2023-10-07T11:46:56.1716992-04:00,2023-10-07T15:46:56.1716992Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,97.2448,74.3289,135.50575,18.61354,93.92942,-67.1629,150.49581,-45.99227,260.52721,-145.79597,336.77034,-5.00722,265.07253,140.85073
7bb74768-8ad2-4d92-ab50-361fc692b9fb,21,0fe75f30-6529-11ee-86fc-21a565d3a622,a5bf8bdc-9262-4aab-bc33-d76c10518ec8,2023-10-07,11:49:12.24,2023-10-07,15:49:12.24,2023-10-07T11:49:12.2467584-04:00,2023-10-07T15:49:12.2467584Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,82.4169,62.40558,145.76695,43.93787,97.8909,-67.2898,150.11397,-44.08215,259.78343,-145.00565,324.45911,0.53363,265.8685,148.04025
7bb74768-8ad2-4d92-ab50-361fc692b9fb,22,19119030-6529-11ee-86fc-21a565d3a622,0f85877b-e0af-4796-91d5-0520c3365b45,2023-10-07,11:49:27.62,2023-10-07,15:49:27.62,2023-10-07T11:49:27.6292864-04:00,2023-10-07T15:49:27.6292864Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,83.78682,63.37917,143.71812,43.57873,97.93859,-68.09343,147.99226,-44.08935,265.63042,-145.61959,321.58829,1.32769,267.93979,147.33982
