PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-07,11:40:21.71,1,1,"Heavern, Zach",1000091189,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.35406,-0.87816,-1.646696,1912.936916,203.043471,12:45,7.11122,0.77731,5.42536,-22.0556,21.1784,8.24457,4.45036,-0.07836,73.04538,-5.100404,-0.180419,0.473243,,,,,,,,,,,,-4.67937,11.40749,-0.63692,50,7.01879,3.06007,-119.0337,-2.44631,-6.51182,29.25035,-16.29942,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,d3adb290-6527-11ee-86fc-21a565d3a622,79.64714,,,9.30869,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:40:21.71,2023-10-07T11:40:21.7118976-04:00,2023-10-07T15:40:21.7118976Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,d1bcbed9-7e38-4fc6-bbea-133e9573d12a,55.06295,-120.27139,14.62518,7.10771,-1.75662,-8.14971,-0.77223,3.33561,-3.25591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-07,11:40:34.21,1,2,"Heavern, Zach",1000091189,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.71483,0.250758,-1.320072,1657.628024,99.247298,9:15,6.96803,0.93524,5.2286,-55.10113,3.57713,-8.02193,2.61206,-0.97439,63.81947,-9.819948,-2.744192,0.551328,,,,,,,,,,,,3.50516,2.4215,-0.80754,50,6.95093,2.65917,-102.32795,-1.26181,3.62419,20.79443,-29.67033,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,db22b980-6527-11ee-86fc-21a565d3a622,68.36663,,,6.89537,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:40:34.21,2023-10-07T11:40:34.2118144-04:00,2023-10-07T15:40:34.2118144Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,d15278c0-42bc-4a9f-853b-296c58cbeadd,55.26404,-103.39214,10.39721,6.97665,0.25662,-14.83516,-0.93888,2.4737,1.8121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-07,11:40:48.29,1,3,"Heavern, Zach",1000091189,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,74.45102,-1.223709,-1.07287,1735.042486,136.874321,10:30,7.03288,0.95327,5.23872,-42.63609,9.84642,-7.42646,2.32938,-0.67407,67.6074,-9.032914,-2.391598,0.521409,75.32409,38.22998,18.602029,,100.80789,65.9598,44.01974,269.27983,265.67429,29.256149,4.365787,3.38776,5.84725,-0.84878,50,6.88905,2.29991,-107.84186,-3.64419,3.92205,21.7145,-25.40458,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,e3883af0-6527-11ee-86fc-21a565d3a622,72.28954,70.90276,,6.84362,,,,1.47927,2.40958,0.66299,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:40:48.29,2023-10-07T11:40:48.2904320-04:00,2023-10-07T15:40:48.2904320Z,FlyBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,0881bc1e-93cc-42b8-a418-f430074469f2,55.25702,-108.89525,10.85725,7.03594,-2.4118,-12.70229,-0.95573,2.10965,1.96102,209.837528,1.48024,82.22256,-15.58506,3.82436,-0.56331,0.02556,0.00375,-6E-05,-5E-05,2.41038,68.34304,-18.703,0.88039,0.10069,-0.13902,0.05008,-0.00813,0.0005,0.66292,27.68304,0.65469,-0.00971,0.00743,-0.01618,0.00691,-0.00122,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2023-10-07,11:41:17.08,2,1,"Heavern, Zach",1000091189,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,84.57904,-3.187104,-0.97261,2050.634066,189.122954,12:15,7.21416,0.8782,5.53231,-15.08229,25.3084,3.8154,2.97469,0.28693,76.02701,-6.113802,-0.292528,0.457417,,,,,,,,,,,,-2.25331,14.2891,-0.79641,50,6.92791,1.91649,-122.37076,-7.19156,-3.35327,28.33355,-10.90971,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,f4a70320-6527-11ee-86fc-21a565d3a622,82.40284,,,8.55203,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:41:17.08,2023-10-07T11:41:17.0812672-04:00,2023-10-07T15:41:17.0812672Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,6586f6e8-d56b-44c8-99fe-c8c989f5acd7,54.96203,-123.51431,14.16678,7.20928,-6.75123,-5.45486,-0.8765,2.05183,-1.67664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-07,11:41:31.27,2,2,"Heavern, Zach",1000091189,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.5848,2.387449,-0.110292,1653.809343,80.446536,8:45,6.91058,0.89297,5.36886,-55.87712,0.21906,-9.89642,4.4939,-0.03514,65.21844,-7.833015,-1.869889,0.539061,,,,,,,,,,,,4.88973,0.01937,-0.87598,50,7.08559,0.5676,-103.76437,2.58014,5.28555,18.74882,-32.15312,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,fd2dc830-6527-11ee-86fc-21a565d3a622,69.9224,,,6.36636,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:41:31.27,2023-10-07T11:41:31.2775936-04:00,2023-10-07T15:41:31.2775936Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,9ae36ad7-02f6-4ea6-a0ee-69f648ac6355,55.12736,-104.68672,9.37441,6.91976,4.16191,-16.07656,-0.89751,0.30758,2.64278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-07,11:41:47.09,2,3,"Heavern, Zach",1000091189,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,1,1,FourSeamFastBall,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.08493,-2.39598,-0.10333,1613.245584,107.656006,9:30,6.91419,1.03684,5.54576,-46.35109,4.28544,-8.083,0.81125,0.26669,69.02688,-10.831783,-1.550186,0.512157,,,,,,,,,,,,4.04894,3.4326,-1.02249,50,6.6763,0.49712,-108.86531,-6.01025,4.81803,20.62203,-28.08944,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,068fab00-6528-11ee-86fc-21a565d3a622,73.59542,,,6.05805,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:41:47.09,2023-10-07T11:41:47.0991616-04:00,2023-10-07T15:41:47.0991616Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,110851c0-feea-40ff-b567-bbf9e8217c53,54.95044,-109.79905,10.31101,6.91964,-4.73839,-14.04472,-1.04006,0.27896,2.40902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-07,11:42:00.92,2,4,"Heavern, Zach",1000091189,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.91696,-4.843014,-0.507735,1931.460647,201.90146,12:45,7.07819,0.91348,5.65317,-19.9658,20.61603,7.70961,0.88669,1.08241,76.47958,-8.587173,0.871031,0.458498,,,,,,,,,,,,-4.03799,12.32272,-0.87533,50,6.65462,0.7538,-121.31997,-10.85197,-5.97395,25.36531,-13.94331,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,0ed21410-6528-11ee-86fc-21a565d3a622,82.20855,,,7.43738,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:42:00.92,2023-10-07T11:42:00.9292032-04:00,2023-10-07T15:42:00.9292032Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,952fcee9-d2dc-470d-aa37-bde72f2f177a,54.84102,-122.32793,12.68265,7.07484,-10.2979,-6.97165,-0.91,0.99119,-2.98698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-07,11:42:19.43,2,5,"Heavern, Zach",1000091189,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,3,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.38681,-1.716088,-1.821624,1764.831187,201.377476,12:45,7.11762,0.81909,5.64618,-24.98993,18.22662,6.51485,3.43316,-0.33769,73.51868,-6.42269,-0.657876,0.473147,,,,,,,,,,,,-3.85107,10.23213,-0.66862,50,6.95643,3.48057,-117.87178,-4.26505,-5.34219,25.33047,-17.98004,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,19cb5fc0-6528-11ee-86fc-21a565d3a622,79.66322,,,7.86813,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:42:19.43,2023-10-07T11:42:19.4301184-04:00,2023-10-07T15:42:19.4301184Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,cff5a277-6ebb-4d5e-a981-8fd2f9c763c0,54.84615,-118.90865,12.66523,7.11595,-3.52906,-8.99002,-0.81557,3.69925,-2.6711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-07,11:42:35.78,2,6,"Heavern, Zach",1000091189,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,1,3,2,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,80.80108,1.11427,-0.789187,1717.295418,199.035509,12:45,7.12788,0.88133,5.70951,-24.80072,19.52997,6.12331,6.09949,0.65632,71.6884,-3.635811,0.305592,0.479208,,,,,,,,,,,,-3.32532,9.95815,-0.81878,50,7.20623,1.35042,-116.88042,1.59552,-4.47072,27.79612,-18.78578,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,238a56b0-6528-11ee-86fc-21a565d3a622,78.65578,,,9.11268,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:42:35.78,2023-10-07T11:42:35.7818624-04:00,2023-10-07T15:42:35.7818624Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,6726f1a5-a66a-4b7b-8c4c-2116cd89e9c0,54.77756,-118.01114,13.89806,7.12578,2.35971,-9.39289,-0.87741,1.53228,-2.23536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-07,11:43:06.89,3,1,"Heavern, Zach",1000091189,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,1,0,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.80889,-0.107249,-0.724684,1765.94378,195.030547,12:30,7.10481,1.53241,5.64944,-25.50616,19.71418,4.82548,4.87927,1.2586,71.41212,-4.956314,0.137414,0.483992,,,,,,,,,,,,-2.65441,10.48808,-1.47394,50,7.07998,1.26255,-115.55988,-0.92811,-3.51172,25.88026,-18.29863,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231007-GaryWright-Private-1,361d6f60-6528-11ee-86fc-21a565d3a622,77.87821,,,8.39677,,,,,,,7bb74768-8ad2-4d92-ab50-361fc692b9fb,2023-10-07,15:43:06.89,2023-10-07T11:43:06.8901632-04:00,2023-10-07T15:43:06.8901632Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,f2940945-d9f1-4a78-afee-9b3a3a3f3ce7,54.84005,-116.63879,12.94013,7.10277,-0.16526,-9.14931,-1.52962,1.40895,-1.75586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
