PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-22,13:40:26.20,1,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.52737,-0.96939,-3.577428,2131.322895,202.194234,12:45,5.28862,1.51936,6.31013,-22.0706,10.56312,3.92453,2.55461,-1.45327,84.38457,-5.107424,-2.869581,0.411154,,,,,,,,,,,,-2.94229,6.04288,-1.25883,50,5.20681,8.14829,-132.89992,-2.94534,-5.30796,26.16668,-21.27255,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,160b59e0-7102-11ee-9e46-7fc79686bb68,91.67475,,,7.1428,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:40:26.20,2023-10-22T13:40:26.2076462-04:00,2023-10-22T17:40:26.2076462Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,8b37773d-1b54-4b1e-861f-4f06c3c3dd46,54.18742,-133.72184,13.08334,5.28884,-2.27715,-10.63627,-1.51739,8.31502,-2.65398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-22,13:40:38.60,1,2,"Christmas, Aidan",1000241979,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.4544,1.233282,-1.099713,2493.171151,38.722846,7:15,5.39,1.53076,5.9424,-67.51256,-16.34733,-14.55631,0.90831,-0.70246,67.86521,-11.116831,-3.723826,0.514824,,,,,,,,,,,,7.06717,-8.21611,-1.43519,50,5.45109,2.59449,-108.10236,0.22895,8.18105,22.66519,-41.68508,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,1d812420-7102-11ee-9e46-7fc79686bb68,73.2142,,,6.58919,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:40:38.60,2023-10-22T13:40:38.6096686-04:00,2023-10-22T17:40:38.6096686Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,0c78c882-b6a4-4cd5-b372-e82eedecbcc5,54.55902,-109.05404,11.33259,5.40473,1.97924,-20.84254,-1.53692,2.25098,4.09052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-22,13:40:51.43,1,3,"Christmas, Aidan",1000241979,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.16357,-0.036388,-4.427572,2178.994928,228.597997,1:30,4.55847,1.54851,5.89992,-27.00391,8.26122,8.10859,2.27426,-1.89418,81.48381,-5.056681,-2.97861,0.42741,,,,,,,,,,,,-5.35949,4.58425,-1.19648,50,4.54011,9.65745,-129.1802,-0.99641,-9.06302,26.72521,-24.42197,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,251ec1b0-7102-11ee-9e46-7fc79686bb68,88.18808,,,7.67976,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:40:51.43,2023-10-22T13:40:51.4392622-04:00,2023-10-22T17:40:51.4392622Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,91f9f9ef-30c0-4165-a1a1-f3fd08536693,54.59685,-130.12774,13.36261,4.56009,-0.13054,-12.21098,-1.54458,9.97878,-4.53151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-22,13:41:04.02,1,4,"Christmas, Aidan",1000241979,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.34677,-2.832689,-4.131018,2158.853226,192.834262,12:30,5.34375,1.64746,6.62233,-22.42793,11.87883,2.45276,0.87195,-1.93753,81.77698,-7.063942,-3.686342,0.421562,,,,,,,,,,,,-2.48669,7.41335,-1.36795,50,5.14179,9.25847,-129.46219,-7.05406,-4.20629,27.86853,-19.63426,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,2ca0c0f0-7102-11ee-9e46-7fc79686bb68,89.41143,,,7.56978,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:41:04.02,2023-10-22T13:41:04.0290862-04:00,2023-10-22T17:41:04.0290862Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,10e8ce9a-feb5-45ad-bf48-5f260fc0ea9c,53.87526,-130.29372,13.93427,5.34352,-6.46822,-9.81713,-1.64607,9.38397,-2.10314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-22,13:41:19.74,1,5,"Christmas, Aidan",1000241979,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,3,1,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.0247,-0.026737,-2.649793,2176.306327,211.197654,1:00,4.60783,1.86492,6.52697,-26.77415,10.91174,5.90229,2.3521,-0.07581,77.8758,-5.080157,-1.579012,0.441836,,,,,,,,,,,,-3.81268,6.09374,-1.68307,50,4.59439,5.49794,-123.53799,-0.81162,-5.89823,24.37139,-22.74703,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,35f78030-7102-11ee-9e46-7fc79686bb68,85.30872,,,7.14889,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:41:19.74,2023-10-22T13:41:19.7422638-04:00,2023-10-22T17:41:19.7422638Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,2b09ec8d-2746-417b-8584-aaa4578f45b7,53.96966,-124.31865,12.1857,4.60872,-0.08299,-11.37352,-1.8622,5.68687,-2.94911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-22,13:41:35.19,1,6,"Christmas, Aidan",1000241979,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,3,2,Fastball,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,87.37163,0.191528,-5.138156,2205.282956,212.096221,1:00,4.42217,1.51962,5.8321,-26.90604,10.0063,5.54488,2.35874,-2.80709,79.8131,-4.809433,-4.150993,0.437278,,,,,,,,,,,,-4.24563,5.41406,-1.10265,50,4.42205,11.13533,-126.42578,-0.4654,-6.87534,25.64076,-23.40659,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,3f2b7530-7102-11ee-9e46-7fc79686bb68,86.19795,,,7.55852,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:41:35.19,2023-10-22T13:41:35.1928366-04:00,2023-10-22T17:41:35.1928366Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,dbd6cac5-028c-4f2a-9942-95f9875bdd54,54.66428,-127.36824,12.82038,4.42334,0.39495,-11.7033,-1.51659,11.38804,-3.43767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-22,13:42:07.71,2,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Woodall, Baylor",1000236836,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.30198,-1.466666,-2.988319,2195.672672,209.348965,1:00,5.52796,1.72559,6.54708,-21.55966,12.68154,6.51725,2.38423,-0.47416,81.66495,-5.555556,-1.805911,0.421159,,,,,,,,,,,,-4.24642,7.40134,-1.52141,50,5.41713,6.51422,-129.65615,-3.93302,-7.22125,27.3621,-19.58771,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,529565e0-7102-11ee-9e46-7fc79686bb68,89.49698,,,7.63703,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:42:07.71,2023-10-22T13:42:07.7106734-04:00,2023-10-22T17:42:07.7106734Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7a268b2c-d3db-4525-8b6e-35dbd8735ca2,53.94939,-130.48695,13.68105,5.52752,-3.33827,-9.79385,-1.72253,6.73348,-3.61063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-22,13:42:32.08,2,2,"Christmas, Aidan",1000241979,Right,CEN_COL,"Woodall, Baylor",1000236836,Right,CEN_COL,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.76257,2.080682,-1.406589,2171.686983,90.486737,9:00,4.83176,1.83577,5.5504,-46.26644,2.04654,-11.428,2.92189,-0.43117,69.16626,-6.490685,-3.442691,0.500269,,,,,,,,,,,,5.18008,0.87811,-1.7066,50,4.98215,3.2226,-112.43811,2.5752,6.41973,26.44441,-31.08578,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,611bf700-7102-11ee-9e46-7fc79686bb68,75.34438,,,8.59631,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:42:32.08,2023-10-22T13:42:32.0858670-04:00,2023-10-22T17:42:32.0858670Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,2350cfc4-45bc-4348-8178-d5fc58a8da60,54.94143,-113.59435,13.22221,4.83984,3.93437,-15.54289,-1.84136,2.9419,3.20987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-22,13:42:50.78,2,3,"Christmas, Aidan",1000241979,Right,CEN_COL,"Woodall, Baylor",1000236836,Right,CEN_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.10412,-0.357878,-4.639489,2368.750539,208.411752,1:00,5.24408,1.56222,5.76718,-25.77545,9.30981,4.38162,2.76198,-2.39978,81.5855,-5.160619,-3.859042,0.426318,,,,,,,,,,,,-3.64481,5.21382,-1.18035,50,5.19898,10.38304,-130.3251,-1.70277,-6.20789,29.86507,-23.29376,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,6c474f30-7102-11ee-9e46-7fc79686bb68,88.41389,,,8.51861,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:42:50.78,2023-10-22T13:42:50.7848750-04:00,2023-10-22T17:42:50.7848750Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,08a22b36-4dd6-43c5-ba53-7dc6a9aaaa3a,54.72779,-131.40405,14.93254,5.2453,-0.86123,-11.64688,-1.55951,10.60731,-3.10394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-22,13:43:08.63,2,4,"Christmas, Aidan",1000241979,Right,CEN_COL,"Woodall, Baylor",1000236836,Right,CEN_COL,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,81.02217,0.402717,-3.317837,2262.17757,119.465505,10:00,4.84625,1.78813,5.57699,-39.9877,4.69091,-5.0139,1.8907,-1.73187,71.93564,-7.016288,-4.210059,0.481085,,,,,,,,,,,,1.24173,2.77756,-1.49915,50,4.8556,6.99224,-117.01136,-0.50572,1.66087,29.32232,-28.45894,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231022-GaryWright-Private-1,76d9e9d0-7102-11ee-9e46-7fc79686bb68,78.3489,,,9.08653,,,,,,,52ad3513-ae33-491c-b338-6d39a72310fa,2023-10-22,17:43:08.63,2023-10-22T13:43:08.6395438-04:00,2023-10-22T17:43:08.6395438Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,33507cf1-e9c9-440d-b919-e560f77bbfc8,54.91384,-118.23632,14.66116,4.8519,0.68318,-14.22947,-1.78981,6.92286,0.83043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0294,2.141151,0.950477,1.190674,0.10968,1.72702,1.82833,-0.22157,6.12823,3.27116,127.27776,1.23709,-0.49401,-0.07935,119.38951,-10.47343,6.14043,9.2893,-11.26404,3.16471,-9.50905,5.43226,High,High,High,,,High,High,High
