PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,GroundBall,Out,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,8a9b37e0-6602-11ee-981a-6bb1b4e5794e,,,,,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,1,"Gerber, Jack",10001191,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,cf8a9e40-6602-11ee-981a-6bb1b4e5794e,,,,,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,,,,,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1,2,"Gerber, Jack",10001191,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Bottom,1,1,0,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,d4639d90-6602-11ee-981a-6bb1b4e5794e,,,,,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,,,,,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,2,1,"Gerber, Jack",10001191,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Bottom,2,0,0,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,dc4f0d00-6602-11ee-981a-6bb1b4e5794e,,,,,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,,,,,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-10-08,13:48:47.92,3,1,"Gerber, Jack",10001191,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.93829,1.344679,0.062251,1913.320543,35.470262,7:15,6.1012,1.39957,4.51348,-63.40157,-4.88492,-5.15658,2.09881,1.02915,64.52783,-10.075876,-0.842256,0.550568,,,,,,,,,,,,2.49032,-2.02311,-1.40095,50,6.18253,0.10218,-103.92458,0.18529,2.64438,22.12942,-34.32235,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,ef546f80-6602-11ee-981a-6bb1b4e5794e,68.46098,,,7.41046,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,2023-10-08,17:48:47.92,2023-10-08T13:48:47.9220000-04:00,2023-10-08T17:48:47.9220000Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,2620f669-1531-400c-9fbf-2841f8d40dde,55.97905,-105.19004,11.06471,6.11582,2.14799,-17.16117,-1.40247,-0.04904,1.32219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-08,13:49:01.57,3,2,"Gerber, Jack",10001191,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Bottom,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.85281,0.701821,-0.668535,2108.482371,110.631231,9:45,5.88243,1.72088,5.07993,-50.2757,2.71756,-1.46437,2.35442,0.96864,66.82031,-8.511639,-0.927796,0.52394,,,,,,,,,,,,0.46961,1.80217,-1.65639,50,5.91042,1.32271,-108.19765,-0.36594,0.5396,24.2743,-30.10326,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,f77d5d20-6602-11ee-981a-6bb1b4e5794e,71.94035,,,8.0325,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,2023-10-08,17:49:01.57,2023-10-08T13:49:01.5700000-04:00,2023-10-08T17:49:01.5700000Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,0bbe8e02-49c7-4adc-bc43-2113b5bfde7e,55.41029,-109.40472,12.13715,5.8914,1.13099,-15.05163,-1.7215,1.29588,0.2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-08,13:49:16.66,3,3,"Gerber, Jack",10001191,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Bottom,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.24137,-1.770207,-0.450678,1937.85487,87.467061,9:00,6.1854,1.16842,4.58995,-58.34649,1.99099,-15.3758,-0.36118,-0.54158,63.62504,-12.273476,-3.156775,0.559068,,,,,,,,,,,,7.37225,2.36165,-1.10651,50,5.94934,1.4105,-102.76698,-5.12623,7.5369,24.00072,-29.75965,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,007a8ab0-6603-11ee-981a-6bb1b4e5794e,67.42009,,,7.61633,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,2023-10-08,17:49:16.66,2023-10-08T13:49:16.6640000-04:00,2023-10-08T17:49:16.6640000Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,2234eb12-7d7c-4e5a-9aa2-6d75e9a98f80,55.90359,-104.1366,12.00036,6.19342,-3.42796,-14.87983,-1.17472,0.9804,3.76845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-10-08,13:49:36.43,3,4,"Gerber, Jack",10001191,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Bottom,0,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.91283,2.216641,-1.450087,2126.167089,54.1913,7:45,5.81057,1.59008,4.84967,-56.912,0.45571,-3.00669,3.16801,-0.0335,63.95598,-8.216382,-1.979363,0.545136,,,,,,,,,,,,0.84453,0.1726,-1.44426,50,5.98266,2.78437,-105.03559,2.13536,0.89966,25.46881,-31.99018,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,0c397050-6603-11ee-981a-6bb1b4e5794e,69.14316,,,8.95685,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,2023-10-08,17:49:36.43,2023-10-08T13:49:36.4380000-04:00,2023-10-08T17:49:36.4380000Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,b68033ff-e056-407d-9bcf-52b1467fac7a,55.63722,-106.39371,12.7344,5.82331,3.84123,-15.99509,-1.59145,2.73639,0.44983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-08,13:49:54.44,3,5,"Gerber, Jack",10001191,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Bottom,0,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,71.64229,-0.406225,-1.482908,1981.228133,85.785211,8:45,6.10929,1.21419,4.76188,-56.77326,0.91457,-15.47339,0.99287,-1.48164,65.41454,-10.614926,-4.207321,0.546655,,,,,,,,,,,,7.13237,1.16429,-1.05111,50,6.01902,3.28253,-103.7307,-2.63315,7.64156,20.05199,-30.92663,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,16f95c80-6603-11ee-981a-6bb1b4e5794e,68.95104,,,6.22775,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,2023-10-08,17:49:54.44,2023-10-08T13:49:54.4420000-04:00,2023-10-08T17:49:54.4420000Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,a18ceda1-2a68-4a66-a634-1328879e8ee8,55.7351,-104.83347,10.02599,6.11706,-0.93231,-15.46332,-1.22008,2.86228,3.82078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-08,13:50:23.51,4,1,"Gerber, Jack",10001191,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Bottom,1,0,0,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,75.3962,2.105081,0.914775,2129.127513,104.241458,9:30,5.91101,1.6573,4.92491,-49.18652,3.13606,-4.25953,3.80329,2.16718,67.35475,-6.897881,0.163913,0.520614,,,,,,,,,,,,2.44079,1.31571,-1.74259,50,6.07563,-1.56925,-108.99683,2.33833,2.85812,23.91007,-30.63338,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20231008-GaryWright-Private-1,2848aa90-6603-11ee-981a-6bb1b4e5794e,72.39995,,,8.04145,,,,,,,a54eb46d-592c-425d-9e1d-45f5b7a8a4b3,2023-10-08,17:50:23.51,2023-10-08T13:50:23.5130000-04:00,2023-10-08T17:50:23.5130000Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,2b42541b-0948-4e2a-992d-33a151cd6a6c,55.57004,-110.21193,11.95504,5.91725,3.8951,-15.31669,-1.65915,-1.71449,1.42906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
