PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-09-21,13:29:33.14,1,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Lopez, Aaron",1000190334,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.61368,1.242225,-3.516804,2159.368504,253.053572,2:30,4.39095,1.95861,6.07526,-28.96159,7.24457,18.38332,3.12921,0.23253,78.21369,-4.260849,-0.213269,0.433074,76.52859,17.881889,8.686479,2852.943568,107.47298,23.00598,23.44215,219.12522,218.90939,15.452153,2.528373,-10.8443,3.66803,-1.69564,50,4.47243,7.14164,-129.39215,1.8645,-17.53537,38.59009,-26.24276,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,111f9550-783f-11ef-8235-ed400fa06c6c,87.03457,23.0134,,11.39999,,,,0.49712,3.04702,-0.23947,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:29:33.14,2024-09-21T13:29:33.1429732-04:00,2024-09-21T17:29:33.1429732Z,LineDrive,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,80673b09-b864-4977-8eba-802f7111b3d5,54.41504,-130.70226,19.29504,4.39401,2.75543,-13.12138,-1.9482,7.73696,-8.76769,235.255657,0.49714,105.59303,-14.0706,3.14584,-0.56075,0.03751,0.02177,-0.00861,0.00112,3.04698,34.46675,-15.48703,0.54159,-0.07208,0.10244,-0.06434,0.02027,-0.00249,-0.23948,16.13292,5.37176,-1.77321,0.46456,-0.09466,0.01448,-0.00123,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-09-21,13:30:06.57,2,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.93493,1.855436,-1.831911,2530.907609,93.714221,9:00,4.57017,1.98159,5.67916,-42.19605,2.8265,-18.16253,2.7849,-1.24017,71.90719,-5.954374,-5.072441,0.482932,,,,,,,,,,,,8.50402,1.33543,-1.81609,50,4.70076,4.43622,-115.7572,2.3673,11.2894,25.96185,-30.40122,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,2512b330-783f-11ef-8235-ed400fa06c6c,78.0491,,,8.02774,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:30:06.57,2024-09-21T13:30:06.5784676-04:00,2024-09-21T17:30:06.5784676Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,c94fb37e-fc82-40cd-980c-9e475b0a7144,54.81492,-116.83209,12.98093,4.57669,3.62599,-15.20061,-1.99009,3.96881,5.6447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-09-21,13:30:23.62,2,2,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.23418,-0.280038,-6.455928,2139.968889,258.891334,2:45,4.43765,2.02395,6.04503,-31.52419,4.94717,17.21257,1.54973,-2.54386,78.75498,-6.194268,-3.385215,0.434658,,,,,,,,,,,,-11.15071,3.14547,-1.52764,50,4.39955,13.7621,-128.41333,-1.70109,-17.97764,35.12076,-27.1028,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,2f3eeae0-783f-11ef-8235-ed400fa06c6c,86.71751,,,10.4792,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:30:23.62,2024-09-21T13:30:23.6210020-04:00,2024-09-21T17:30:23.6210020Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,2a8d661a-16cf-40e0-b69e-7a525117c84f,54.44538,-129.62343,17.56038,4.44207,-0.76725,-13.5514,-2.01249,14.38153,-8.98882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-09-21,13:30:47.56,2,3,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.75102,0.637445,-7.048163,2268.937177,268.400108,3:00,4.35683,1.95163,6.18298,-32.77821,1.88508,19.32631,2.21842,-2.97895,81.03121,-5.476444,-3.598631,0.423747,,,,,,,,,,,,-12.23296,1.20752,-1.42603,50,4.38938,15.31104,-130.69387,0.33069,-20.7239,32.81758,-30.12841,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,3d7ba1c0-783f-11ef-8235-ed400fa06c6c,88.9504,,,9.7198,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:30:47.56,2024-09-21T13:30:47.5637092-04:00,2024-09-21T17:30:47.5637092Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,c694b98f-f46b-471e-a01b-9aab5f383c1a,54.31131,-131.772,16.40879,4.36226,1.32047,-15.0642,-1.94022,15.99187,-10.36195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-09-21,13:31:05.51,2,4,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.31827,0.576471,-4.45031,2189.94647,265.472871,2:45,4.41728,2.05957,6.06553,-33.28443,3.02729,18.12954,2.17869,-0.55635,78.50639,-5.680522,-1.196824,0.433705,,,,,,,,,,,,-10.88879,1.86008,-1.72255,50,4.44539,9.21211,-128.89722,0.15031,-17.59829,36.59987,-29.16782,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,48396b10-783f-11ef-8235-ed400fa06c6c,86.90794,,,10.81188,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:31:05.51,2024-09-21T13:31:05.5179620-04:00,2024-09-21T17:31:05.5179620Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,d10cfd01-8ac6-4cb1-bf8b-8e70029565cc,54.42376,-130.14727,18.29994,4.42325,1.14652,-14.58391,-2.04745,9.81317,-8.79915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-09-21,13:31:21.47,2,5,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,3,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.01555,-0.121706,-4.459269,2224.876017,243.704054,2:00,4.36265,2.17728,5.92029,-27.77124,8.99729,14.93532,1.9351,-0.7245,78.23457,-5.377011,-1.787545,0.436425,,,,,,,,,,,,-9.38863,5.09548,-1.82813,50,4.33763,9.36231,-128.44583,-1.18316,-15.05376,36.56204,-24.00397,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,51b40600-783f-11ef-8235-ed400fa06c6c,86.36638,,,10.78098,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:31:21.47,2024-09-21T13:31:21.4739812-04:00,2024-09-21T17:31:21.4739812Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,786dfdc5-6801-4019-abef-628cdc2149b1,54.57112,-129.74047,18.28102,4.36448,-0.33319,-12.00199,-2.16908,9.89535,-7.52688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-09-21,13:31:40.64,2,6,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.32785,1.143875,-1.984293,2550.853257,107.019911,9:30,4.54219,1.95533,5.92133,-37.0036,7.64477,-19.14879,2.52078,-1.48244,71.53309,-5.792042,-5.41535,0.480921,,,,,,,,,,,,9.04449,3.9876,-1.78575,50,4.6133,4.77326,-116.27508,1.19685,11.96341,28.66548,-26.89955,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,5d28c340-783f-11ef-8235-ed400fa06c6c,78.37545,,,8.79476,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:31:40.64,2024-09-21T13:31:40.6461796-04:00,2024-09-21T17:31:40.6461796Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,8465b223-b4b2-4c82-9785-4054575f0382,54.57209,-117.39683,14.33274,4.54587,2.2495,-13.44977,-1.96338,4.3051,5.98171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-09-21,13:32:03.74,2,7,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.84178,2.131668,-4.306556,1942.337598,256.121086,2:30,4.42275,2.16242,6.46583,-30.44576,4.9615,14.78517,3.84985,-0.56824,79.53603,-3.613511,-1.635878,0.42827,,,,,,,,,,,,-9.13363,2.26362,-1.86421,50,4.56034,9.08917,-128.56752,3.8527,-14.99843,31.36503,-28.45696,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,6ae80cc0-783f-11ef-8235-ed400fa06c6c,88.01093,,,9.30575,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:32:03.74,2024-09-21T13:32:03.7411172-04:00,2024-09-21T17:32:03.7411172Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,bef10e07-c756-4139-ace8-f04be4f930a2,54.02953,-129.54683,15.68251,4.42618,4.74121,-14.22848,-2.15532,9.55746,-7.49922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-09-21,13:32:25.28,2,8,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.72058,2.458189,-0.295341,2471.755076,83.737316,8:45,4.58241,1.93675,5.80163,-45.59117,-0.56421,-20.23576,3.07076,-0.02424,71.62086,-5.98824,-3.919215,0.482956,78.38779,16.491036,39.814161,2868.360679,80.39007,19.45549,75.08241,208.38845,198.22707,45.603131,2.231989,10.17012,-0.62614,-1.90048,50,4.75757,1.39017,-115.52495,3.47791,13.43913,25.97428,-33.00145,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,77c9a070-783f-11ef-8235-ed400fa06c6c,78.04526,19.48459,,8.09972,,,,-0.01728,2.88714,0.17612,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:32:25.28,2024-09-21T13:32:25.2807012-04:00,2024-09-21T17:32:25.2807012Z,LineDrive,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,9c213b83-b730-491d-afe0-72f386b79e04,54.69452,-116.57568,12.98714,4.58987,4.8129,-16.50073,-1.94572,0.84653,6.71957,,-0.01728,84.67736,-12.41049,2.48629,-0.49837,0.07775,-0.00889,0.00043,6E-05,2.88714,32.63571,-16.92489,0.98803,-0.15009,0.03185,-0.00623,0.00169,-0.00022,0.17612,70.58609,-2.00938,0.04867,0.0555,-0.02292,0.00642,-0.00119,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-09-21,13:33:10.79,2,9,"Christmas, Aidan",1000241979,Right,CEN_COL,"Weyler, Evan",1000190342,Right,CEN_COL,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.58375,0.69125,-3.561005,2019.627252,260.05812,2:45,4.5146,1.98344,6.47996,-30.35112,4.64496,18.59521,2.6213,0.25916,79.75082,-5.052877,-0.192553,0.425776,,,,,,,,,,,,-11.02741,2.55847,-1.74063,50,4.55021,7.33082,-129.76345,0.62206,-18.2667,34.36275,-27.93601,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240921-GaryWright-Private-1,92d8f6e0-783f-11ef-8235-ed400fa06c6c,88.52646,,,9.83293,,,,,,,a2f2b2bc-7bdd-4204-8760-d1fb372147c7,2024-09-21,17:33:10.79,2024-09-21T13:33:10.7979620-04:00,2024-09-21T17:33:10.7979620Z,,v3,,,,"Johnson, Graham",10104412,Right,CEN_COL,5b200696-bad3-4e71-bf7b-8df135ccb022,54.0156,-130.8225,17.18138,4.51777,1.48304,-13.96801,-1.97524,7.8938,-9.13335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
