GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,1,78c22c90-e6af-11ed-a1d1-432ab51aab48,4324ade8-52ba-43ff-adca-e6842ea04cdc,2023-04-29,13:01:23.18,2023-04-29,17:01:23.18,2023-04-29T13:01:23.1815670-04:00,2023-04-29T17:01:23.1815670Z,CEN_COL,SEW_TIG,BallCalled,Undefined,RightInfieldShift,88.05892,79.37063,152.47589,77.61807,81.20558,-38.71181,,,274.77501,-143.24685,353.75997,10.064,281.2099,157.97756
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,2,806918f0-e6af-11ed-a1d1-432ab51aab48,2252b2f5-29d1-4fa0-a5ee-5588c03f4a60,2023-04-29,13:01:35.92,2023-04-29,17:01:35.92,2023-04-29T13:01:35.9258102-04:00,2023-04-29T17:01:35.9258102Z,CEN_COL,SEW_TIG,StrikeCalled,Undefined,NoShift,87.30497,81.55383,154.95376,78.69331,83.66225,-39.28509,154.97639,-10.89757,276.21557,-143.27169,352.84643,11.07665,282.74527,158.74579
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,3,87c2cfb0-e6af-11ed-a1d1-432ab51aab48,5ebeca2f-c89e-4216-b54e-0b4b675c7c94,2023-04-29,13:01:48.23,2023-04-29,17:01:48.23,2023-04-29T13:01:48.2300406-04:00,2023-04-29T17:01:48.2300406Z,CEN_COL,SEW_TIG,BallCalled,Undefined,RightInfieldShift,89.06225,83.68271,155.98957,79.06673,84.79145,-39.76513,,,276.66336,-143.38843,349.09296,10.42716,289.29344,162.3625
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,4,8f9056e0-e6af-11ed-a1d1-432ab51aab48,b8a2c441-61a4-4f51-a6e8-6ac7e528bbe5,2023-04-29,13:02:01.38,2023-04-29,17:02:01.38,2023-04-29T13:02:01.3826038-04:00,2023-04-29T17:02:01.3826038Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,,,155.86066,78.83857,88.00176,-40.58734,,,278.3487,-144.58528,348.61114,11.02924,283.38226,160.53512
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,5,9954a500-e6af-11ed-a1d1-432ab51aab48,e2ea73fa-d54a-490d-8cd5-8ce589e358a9,2023-04-29,13:02:17.74,2023-04-29,17:02:17.74,2023-04-29T13:02:17.7469942-04:00,2023-04-29T17:02:17.7469942Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,,,154.7091,78.96604,112.27518,-43.96711,,,285.27741,-146.08443,351.07633,11.8257,290.7368,162.30747
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,6,a9a03eb0-e6af-11ed-a1d1-432ab51aab48,73aa3d4b-f65d-4a79-8a68-643398863e88,2023-04-29,13:02:45.14,2023-04-29,17:02:45.14,2023-04-29T13:02:45.1423222-04:00,2023-04-29T17:02:45.1423222Z,CEN_COL,SEW_TIG,StrikeCalled,Undefined,NoShift,63.45992,58.92004,138.12008,33.9652,77.50658,-45.89859,146.36267,-27.63425,290.39637,-153.85039,344.13014,-5.61951,273.93731,141.31461
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,7,b4100f10-e6af-11ed-a1d1-432ab51aab48,e8b92327-7f2d-4bc5-8993-e7aa60603da7,2023-04-29,13:03:02.55,2023-04-29,17:03:02.55,2023-04-29T13:03:02.5565174-04:00,2023-04-29T17:03:02.5565174Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,63.09909,59.48513,139.11666,34.18833,89.48528,-54.91185,146.88852,-28.65143,286.22604,-153.87427,344.98629,-6.96017,272.99836,142.48539
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,8,c0b276e0-e6af-11ed-a1d1-432ab51aab48,07faba1b-d845-4f8e-822f-eda88476a2b9,2023-04-29,13:03:23.81,2023-04-29,17:03:23.81,2023-04-29T13:03:23.8198262-04:00,2023-04-29T17:03:23.8198262Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,63.48303,59.7534,139.1743,32.94114,91.73386,-55.69015,144.69165,-30.00766,286.22189,-154.74786,345.38368,-5.31799,275.30858,136.65117
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,9,cab4df70-e6af-11ed-a1d1-432ab51aab48,42175f09-8bea-4bcb-bd27-4b0182025b4b,2023-04-29,13:03:40.56,2023-04-29,17:03:40.56,2023-04-29T13:03:40.5646326-04:00,2023-04-29T17:03:40.5646326Z,CEN_COL,SEW_TIG,FoulBall,Undefined,NoShift,65.62555,60.70078,141.08107,32.98835,93.87171,-58.01103,145.59056,-28.88146,288.74619,-157.88354,347.67912,-4.35466,274.98096,137.59971
9dda040d-7aa4-4f27-a5ba-64f7e8a15c7b,10,d64e3bb0-e6af-11ed-a1d1-432ab51aab48,e70954d1-fbf9-49e7-827d-2a22a5dfde8e,2023-04-29,13:03:59.91,2023-04-29,17:03:59.91,2023-04-29T13:03:59.9166966-04:00,2023-04-29T17:03:59.9166966Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,64.84871,60.45784,138.28404,34.76912,96.04757,-58.4798,147.91542,-28.99617,287.06185,-155.90458,348.49348,-3.75974,268.65327,140.38972
