GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
c386b7ff-23e8-49e1-b4b4-d112ee014f49,1,11825610-e149-11ed-899b-6355ae77229c,d50307dd-7605-4e30-bc81-fff6364fc646,2023-04-22,16:05:45.40,2023-04-22,20:05:45.40,2023-04-22T16:05:45.4094672-04:00,2023-04-22T20:05:45.4094672Z,CEN_COL,BER_COL,StrikeCalled,Undefined,NoShift,84.92327,62.75385,150.82146,38.82376,76.03036,-48.59205,146.57511,-43.1886,290.79539,-161.1084,353.38962,-3.78391,267.96443,145.09945
c386b7ff-23e8-49e1-b4b4-d112ee014f49,2,176439e0-e149-11ed-899b-6355ae77229c,52583092-0c6f-4197-b202-7c727be6813f,2023-04-22,16:05:55.28,2023-04-22,20:05:55.28,2023-04-22T16:05:55.2839504-04:00,2023-04-22T20:05:55.2839504Z,CEN_COL,BER_COL,StrikeCalled,Undefined,NoShift,83.91878,63.39294,152.12968,40.86986,79.66319,-51.42153,147.99006,-41.44439,290.88649,-161.61343,354.92069,-5.84974,261.01595,142.4904
c386b7ff-23e8-49e1-b4b4-d112ee014f49,3,1f9ba670-e149-11ed-899b-6355ae77229c,a0706304-52e3-4ed0-ae74-d8ff10583ab5,2023-04-22,16:06:08.92,2023-04-22,20:06:08.92,2023-04-22T16:06:08.9203536-04:00,2023-04-22T20:06:08.9203536Z,CEN_COL,BER_COL,BallCalled,Undefined,NoShift,83.39016,63.58124,,,93.34759,-66.23274,146.69148,-44.18692,288.66058,-158.86761,352.32242,-4.16813,259.49972,142.41117
c386b7ff-23e8-49e1-b4b4-d112ee014f49,4,27c02740-e149-11ed-899b-6355ae77229c,91449050-0b10-4b2e-bee6-14bb7fed92bf,2023-04-22,16:06:22.66,2023-04-22,20:06:22.66,2023-04-22T16:06:22.6651472-04:00,2023-04-22T20:06:22.6651472Z,CEN_COL,BER_COL,FoulBall,Undefined,NoShift,87.06358,65.97594,146.03239,49.0176,94.17119,-62.95555,147.83871,-46.23329,291.71824,-160.37601,352.92478,-4.90302,258.93133,143.43445
c386b7ff-23e8-49e1-b4b4-d112ee014f49,5,2f8aef50-e149-11ed-899b-6355ae77229c,54aa447f-5307-4c07-8f04-f0175108c021,2023-04-22,16:06:35.63,2023-04-22,20:06:35.63,2023-04-22T16:06:35.6393296-04:00,2023-04-22T20:06:35.6393296Z,CEN_COL,BER_COL,InPlay,Single,NoShift,88.3185,67.57962,,,95.06736,-64.04975,146.91912,-45.73483,289.12467,-159.22287,352.47827,-3.98461,260.84315,146.58273
c386b7ff-23e8-49e1-b4b4-d112ee014f49,6,44982fc0-e149-11ed-899b-6355ae77229c,687d20fe-4559-4a26-8712-da420f4bd3d5,2023-04-22,16:07:11.00,2023-04-22,20:07:11.00,2023-04-22T16:07:11.0053200-04:00,2023-04-22T20:07:11.0053200Z,CEN_COL,BER_COL,StrikeCalled,Undefined,NoShift,65.38496,60.67222,139.62242,28.23229,87.3009,-56.17644,147.15396,-30.40374,292.74712,-160.78432,355.43665,9.19062,275.71527,143.70824
c386b7ff-23e8-49e1-b4b4-d112ee014f49,7,5787c050-e149-11ed-899b-6355ae77229c,bb4f54a5-5e2b-4e51-a087-28e8f6bce435,2023-04-22,16:07:42.82,2023-04-22,20:07:42.82,2023-04-22T16:07:42.8264784-04:00,2023-04-22T20:07:42.8264784Z,CEN_COL,BER_COL,BallCalled,Undefined,NoShift,65.46169,60.9588,142.07797,28.96488,88.41044,-56.8216,144.70444,-30.02818,288.94631,-157.4356,353.65205,9.15537,266.47071,146.83201
c386b7ff-23e8-49e1-b4b4-d112ee014f49,8,60142ab0-e149-11ed-899b-6355ae77229c,6ba73018-087c-4b6f-ab9e-a01a77ef677e,2023-04-22,16:07:57.04,2023-04-22,20:07:57.04,2023-04-22T16:07:57.0418512-04:00,2023-04-22T20:07:57.0418512Z,CEN_COL,BER_COL,BallCalled,Undefined,NoShift,64.6321,60.12086,144.02496,29.69107,91.01574,-59.03373,149.99157,-30.55837,296.1906,-163.50958,362.01365,8.58961,271.40109,149.59814
c386b7ff-23e8-49e1-b4b4-d112ee014f49,9,69e9b6e0-e149-11ed-899b-6355ae77229c,ffa0a40b-f3ed-41eb-b7c8-58b06f407af0,2023-04-22,16:08:13.73,2023-04-22,20:08:13.73,2023-04-22T16:08:13.7345360-04:00,2023-04-22T20:08:13.7345360Z,CEN_COL,BER_COL,InPlay,Single,NoShift,65.32425,60.95508,146.1003,30.16645,92.30788,-60.04939,149.80911,-30.27916,292.20478,-158.90131,363.26674,8.79736,266.49612,148.11494
c386b7ff-23e8-49e1-b4b4-d112ee014f49,10,845c7f30-e149-11ed-899b-6355ae77229c,2e0f58ed-2b44-4a63-8bbd-ed67c6d6e43b,2023-04-22,16:08:58.05,2023-04-22,20:08:58.05,2023-04-22T16:08:58.0531024-04:00,2023-04-22T20:08:58.0531024Z,CEN_COL,BER_COL,FoulBall,Undefined,NoShift,65.5371,60.54473,142.60516,30.53844,87.67896,-57.97779,146.26168,-29.18678,289.27235,-155.82813,353.86358,-5.17103,265.188,153.52832
