PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-22,16:05:45.40,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.9974,-1.863221,-2.769023,1983.219583,209.650628,1:00,5.58707,1.09565,6.416,-22.58773,15.37194,7.90489,1.98927,-0.79319,76.98344,-6.193184,-1.337709,0.443437,,,,,,,,,,,,-5.05303,9.08457,-0.90099,50,5.44365,5.70916,-124.53673,-4.65729,-7.74344,30.65811,-18.25252,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,11825610-e149-11ed-899b-6355ae77229c,85.00057,,,9.01396,,,,,,,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:05:45.40,2023-04-22T16:05:45.4094672-04:00,2023-04-22T20:05:45.4094672Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d50307dd-7605-4e30-bc81-fff6364fc646,54.07627,-125.5362,15.32906,5.58578,-4.06224,-9.12626,-1.09123,5.9616,-3.87172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-04-22,16:05:55.28,1,2,"Prather, Ben",1000190341,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.16975,2.510833,-0.325617,1711.387811,28.150634,7:00,5.51032,0.9777,5.68132,-54.92684,-3.31012,-2.92177,3.27505,0.4307,66.68418,-7.659038,-0.848246,0.517091,,,,,,,,,,,,1.3341,-1.89201,-0.94851,50,5.6887,0.73172,-108.68469,3.01488,1.53909,25.34352,-34.35674,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,176439e0-e149-11ed-899b-6355ae77229c,72.8933,,,8.48556,,,,,,,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:05:55.28,2023-04-22T16:05:55.2839504-04:00,2023-04-22T20:05:55.2839504Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,52583092-0c6f-4197-b202-7c727be6813f,54.81022,-109.80062,12.67176,5.52264,4.52769,-17.17837,-0.97924,0.66395,0.76955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-04-22,16:06:08.92,1,3,"Prather, Ben",1000190341,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.45368,1.529899,-2.894932,1694.451058,52.987231,7:45,5.32968,1.09753,5.88897,-53.01239,-2.62284,-6.03323,2.33467,-2.09551,67.81019,-8.267764,-3.975935,0.510907,,,,,,,,,,,,2.02831,-1.24016,-0.86075,50,5.4236,5.74722,-109.20078,1.28897,2.38525,23.90907,-33.63246,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,1f9ba670-e149-11ed-899b-6355ae77229c,73.77557,,,7.64349,,,,,,,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:06:08.92,2023-04-22T16:06:08.9203536-04:00,2023-04-22T20:06:08.9203536Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,a0706304-52e3-4ed0-ae74-d8ff10583ab5,54.60523,-110.20447,11.95453,5.33985,2.70083,-16.81623,-1.09992,5.64709,1.19263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-04-22,16:06:22.66,1,4,"Prather, Ben",1000190341,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,1,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,87.06048,-1.498183,-2.193976,1977.039439,219.923794,1:15,5.9044,0.41581,6.38038,-21.30745,15.61627,11.89257,2.74923,-0.61244,78.11248,-5.587537,-0.040536,0.437345,,,,,,,,,,,,-6.88666,9.03607,-0.26263,50,5.78656,4.35533,-126.19786,-3.8747,-10.87234,30.71709,-17.90833,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,27c02740-e149-11ed-899b-6355ae77229c,86.18473,,,8.948,,,,,,,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:06:22.66,2023-04-22T16:06:22.6651472-04:00,2023-04-22T20:06:22.6651472Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,91449050-0b10-4b2e-bee6-14bb7fed92bf,54.11281,-127.19499,15.35854,5.9029,-3.29336,-8.95417,-0.40974,4.70827,-5.43617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-04-22,16:06:35.63,1,5,"Prather, Ben",1000190341,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,74.91281,2.518282,-0.05945,1754.272181,62.286495,8:00,5.35138,1.04206,5.80898,-55.9255,-5.00402,-13.08178,3.03421,-0.10337,67.52866,-7.799886,-2.405045,0.513596,85.36615,0.91802,29.857978,2990.900968,,,,62.33853,59.56766,32.258958,0.529756,6.62044,-2.82555,-1.02944,50,5.52515,0.595,-108.57557,3.03973,7.73625,22.74943,-35.47583,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,2f8aef50-e149-11ed-899b-6355ae77229c,73.38922,2.87627,,7.38415,,,,-0.13156,2.80511,0.16885,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:06:35.63,2023-04-22T16:06:35.6393296-04:00,2023-04-22T20:06:35.6393296Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,54aa447f-5307-4c07-8f04-f0175108c021,54.68809,-109.55345,11.37471,5.36172,4.56465,-17.73792,-1.04786,0.26246,3.86812,258.709298,-0.11438,108.13528,-15.93139,,,,,,,2.80991,1.88532,-13.58787,,,,,,,0.16381,62.45365,0.10201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2023-04-22,16:07:11.00,2,1,"Prather, Ben",1000190341,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.6413,1.644187,-1.4462,1737.490535,74.19152,8:30,5.44772,0.97484,5.93562,-53.69979,-0.41693,-9.30067,2.49895,-1.14214,65.50226,-8.345526,-3.117169,0.52537,,,,,,,,,,,,4.14918,-0.13126,-0.85449,50,5.54988,3.03127,-106.55058,1.47197,4.59359,24.60638,-32.31938,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,44982fc0-e149-11ed-899b-6355ae77229c,71.74459,,,8.13904,,,,,,,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:07:11.00,2023-04-22T16:07:11.0053200-04:00,2023-04-22T20:07:11.0053200Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,687d20fe-4559-4a26-8712-da420f4bd3d5,54.55636,-107.59766,12.30319,5.45798,2.84726,-16.15969,-0.97932,2.8358,2.29679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-04-22,16:07:42.82,2,2,"Prather, Ben",1000190341,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.61844,-1.355667,-4.51925,1817.058726,214.727832,1:15,5.53842,0.86541,6.41858,-25.22308,14.52028,8.89571,2.18616,-2.55632,74.93792,-6.195751,-2.91388,0.453736,,,,,,,,,,,,-6.28689,8.54989,-0.54573,50,5.43019,9.30059,-122.18722,-3.57216,-9.17796,31.77341,-19.69243,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,5787c050-e149-11ed-899b-6355ae77229c,83.07122,,,9.68051,,,,,,,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:07:42.82,2023-04-22T16:07:42.8264784-04:00,2023-04-22T20:07:42.8264784Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bb4f54a5-5e2b-4e51-a087-28e8f6bce435,54.07088,-123.24126,15.8867,5.53785,-2.91888,-9.84621,-0.85932,9.60506,-4.58898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-04-22,16:07:57.04,2,3,"Prather, Ben",1000190341,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.45279,1.510671,-1.976671,1861.579435,72.565874,8:30,5.44746,0.99099,5.75663,-54.0742,-1.97634,-12.74898,2.34861,-1.91208,66.80259,-8.470341,-4.257802,0.519495,,,,,,,,,,,,5.70622,-0.88449,-0.81955,50,5.54087,4.19728,-107.77344,1.17402,6.51591,23.81202,-33.18406,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,60142ab0-e149-11ed-899b-6355ae77229c,72.55593,,,7.6502,,,,,,,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:07:57.04,2023-04-22T16:07:57.0418512-04:00,2023-04-22T20:07:57.0418512Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,6ba73018-087c-4b6f-ab9e-a01a77ef677e,54.73744,-108.81512,11.90601,5.45776,2.62569,-16.59203,-0.99693,3.91223,3.25796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-04-22,16:08:13.73,2,4,"Prather, Ben",1000190341,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,85.69718,-0.861854,-1.785417,2037.967906,205.119986,12:45,5.50626,0.87994,6.35095,-22.07781,16.18005,6.88784,2.8727,-0.18999,76.60052,-5.108559,-0.538882,0.445176,95.74031,5.00297,27.32489,3928.907819,,,,131.50133,128.17718,31.888038,1.070866,-4.18843,9.13634,-0.75336,50,5.43342,3.5988,-124.22189,-2.45381,-6.38197,30.64948,-18.25292,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,69e9b6e0-e149-11ed-899b-6355ae77229c,84.66863,5.34003,,9.09667,,,,0.06941,2.70567,0.25573,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:08:13.73,2023-04-22T16:08:13.7345360-04:00,2023-04-22T20:08:13.7345360Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,ffa0a40b-f3ed-41eb-b7c8-58b06f407af0,54.14166,-125.2396,15.32474,5.50484,-1.84772,-9.12646,-0.87638,3.81071,-3.19098,254.219376,0.23611,122.13747,-17.02463,,,,,,,2.7414,11.79589,-13.43522,,,,,,,0.20876,64.83012,-0.11023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2023-04-22,16:08:58.05,3,1,"Prather, Ben",1000190341,Right,CEN_COL,"Uhls, Riley",1000244292,Right,BER_COL,Undefined,1,Top,0,0,0,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,74.93269,2.099849,-1.750154,1736.527618,72.378474,8:30,5.45778,0.92813,5.81762,-53.84924,-1.88937,-12.92914,2.92448,-1.77702,66.31748,-7.90208,-4.065431,0.518806,47.56457,1.747552,73.214151,4029.284587,,,,37.91473,34.72385,74.321166,0.524513,5.84992,-1.14965,-0.7773,50,5.59875,3.79405,-108.3242,2.32782,6.66008,26.28494,-33.4829,CEN_COL,BER_COL,GaryWright,D3,Team,20230422-GaryWright-2,845c7f30-e149-11ed-899b-6355ae77229c,72.65221,2.99865,,8.61521,,,,0.98029,2.92256,2.10869,c386b7ff-23e8-49e1-b4b4-d112ee014f49,2023-04-22,20:08:58.05,2023-04-22T16:08:58.0531024-04:00,2023-04-22T20:08:58.0531024Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,2e0f58ed-2b44-4a63-8bbd-ed67c6d6e43b,54.67524,-109.45277,13.14247,5.46794,3.76544,-16.74145,-0.93406,3.50809,3.33004,,0.98299,20.06769,-4.59817,,,,,,,2.92525,2.06012,-14.57035,,,,,,,2.10944,66.73815,-2.22163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
