PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-21,13:59:13.24,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.51542,0.11332,-1.288805,1717.358185,229.618555,1:45,5.41521,2.67937,5.82906,-30.51683,10.91284,10.81489,2.97751,2.38239,74.06524,-5.645142,0.650453,0.463262,,,,,,,,,,,,-6.07221,5.97957,-2.58086,50,5.40686,2.28938,-120.92828,-0.70571,-8.67849,31.2274,-23.62797,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,39c7c050-e06e-11ed-9463-fd5f5adef65f,81.36303,,,9.45017,,,,,,,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,17:59:13.24,2023-04-21T13:59:13.2412018-04:00,2023-04-21T17:59:13.2412018Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,afeabba6-7194-4003-9202-27364256492e,54.66575,-122.12718,15.6137,5.41655,0.20143,-11.81399,-2.67515,2.62257,-4.33925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-04-21,13:59:24.75,1,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.40503,-1.047469,-4.305076,1685.319511,232.309118,1:45,5.3451,2.59202,5.66877,-28.96206,12.70654,14.29985,1.95211,-0.23775,74.51501,-6.480957,-1.757631,0.464596,79.19816,11.674004,39.139854,5094.885257,79.96858,10.94276,75.53161,163.32249,160.32903,45.712676,1.823651,-8.72469,7.2793,-2.237,50,5.23866,8.47003,-120.47158,-3.12246,-12.50702,28.7634,-21.73899,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,40af5450-e06e-11ed-9463-fd5f5adef65f,81.12941,11.91505,,8.89002,,,,0.06496,1.76669,0.29749,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,17:59:24.75,2023-04-21T13:59:24.7512690-04:00,2023-04-21T17:59:24.7512690Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,20171a79-b423-4e70-9ad9-a21dfc06ea3f,54.82444,-121.61799,14.3817,5.34584,-2.25602,-10.86949,-2.58453,8.96852,-6.25351,,0.06495,88.23042,-19.99012,4.51113,-1.14888,0.48471,-0.22156,0.06232,-0.00739,1.76672,23.49966,-13.60697,-0.33377,0.83611,-0.81819,0.46632,-0.13872,0.01687,0.29746,71.80647,-7.02217,2.39349,-1.06237,0.70177,-0.36723,0.10718,-0.01294,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2023-04-21,13:59:47.34,1,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.42035,0.503087,-3.763254,1715.839418,338.915902,5:15,5.21665,2.56487,5.66616,-52.04219,-0.21465,0.79984,1.34991,-0.88239,67.562,-9.042775,-3.620601,0.518145,,,,,,,,,,,,-1.63575,0.28839,-2.24708,50,5.22674,7.05516,-107.70753,-0.66056,-1.88955,21.61325,-31.8409,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,4e34c920-e06e-11ed-9463-fd5f5adef65f,72.7449,,,6.85835,,,,,,,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,17:59:47.34,2023-04-21T13:59:47.3451122-04:00,2023-04-21T17:59:47.3451122Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3186cb0f-2752-4610-ac53-d7d041aa00a5,54.82983,-108.6724,10.80663,5.2245,0.76088,-15.92045,-2.56392,7.13952,-0.94477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-04-21,14:00:00.95,1,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Hardee, Zachary",1000033907,Right,BER_COL,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,84.91986,-1.208481,-3.452826,1881.22439,207.407385,1:00,5.28579,2.6758,5.83203,-21.96844,17.67745,8.38941,2.32959,0.16161,76.24892,-5.387917,-1.952665,0.45318,70.20378,54.716432,50.825424,5132.495769,,,,,138.46204,,,-5.42807,9.85004,-2.3988,50,5.1744,7.06803,-122.88103,-3.23101,-8.14237,28.65322,-17.39854,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,563a2930-e06e-11ed-9463-fd5f5adef65f,83.17327,84.91063,,8.67094,,,,0.6374,2.42978,-0.15367,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,18:00:00.95,2023-04-21T14:00:00.9588850-04:00,2023-04-21T18:00:00.9588850Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3f815ec2-b1ea-47c6-894e-5af1c3e840f5,54.66201,-123.96335,14.32661,5.28403,-2.57382,-8.69927,-2.67159,7.37559,-4.07118,203.955585,0.6374,37.56962,-14.74249,4.54216,-1.15223,0.24339,-0.04114,0.00301,0.0002,2.42978,84.05098,-22.72448,2.03534,-0.262,0.00722,0.00987,-0.00356,0.0006,-0.15367,46.10667,-6.38667,0.76757,0.00357,-0.04662,0.0217,-0.00656,0.00092,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2023-04-21,14:00:32.67,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.97521,2.319601,-0.979167,1557.126282,65.109753,8:15,5.23045,2.61115,5.52846,-57.47645,-3.36429,-11.43749,2.61062,0.74261,66.03389,-8.221796,-3.018547,0.529443,,,,,,,,,,,,5.53177,-2.08091,-2.5179,50,5.3933,2.21203,-105.76191,2.52205,6.14498,21.27639,-34.4856,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,69235120-e06e-11ed-9463-fd5f5adef65f,71.19268,,,6.94132,,,,,,,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,18:00:32.67,2023-04-21T14:00:32.6704242-04:00,2023-04-21T18:00:32.6704242Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,12c0e18b-34a2-4536-98a5-419ecbc86c04,54.97078,-106.75721,10.6382,5.23759,4.13527,-17.2428,-2.61466,1.92457,3.07249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-04-21,14:00:43.53,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.83384,-0.505309,-5.142183,1866.087619,199.168484,12:45,5.27383,2.41822,5.92057,-22.86399,15.7654,4.99862,2.89768,-1.94982,77.41866,-4.828743,-4.250927,0.447332,,,,,,,,,,,,-4.16477,8.62489,-2.00836,50,5.22039,10.95122,-124.01591,-1.77231,-6.40218,27.79631,-18.91565,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,6fa48230-e06e-11ed-9463-fd5f5adef65f,84.26048,,,8.41518,,,,,,,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,18:00:43.53,2023-04-21T14:00:43.5339378-04:00,2023-04-21T18:00:43.5339378Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,a05e1fbd-6080-47dd-bf27-2010ad42d7cb,54.57271,-125.03661,13.89816,5.27272,-1.07771,-9.45783,-2.41481,11.18632,-3.20109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-04-21,14:00:55.34,2,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.94015,-2.363719,-4.207305,1952.936742,209.857206,1:00,5.37723,2.56245,6.03527,-21.05226,18.36993,9.68221,1.42702,-0.5335,76.35346,-6.381913,-2.471397,0.451899,,,,,,,,,,,,-6.34847,10.65079,-2.23864,50,5.18096,8.6375,-122.76595,-5.65487,-9.50984,28.48874,-16.21948,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,76a78d70-e06e-11ed-9463-fd5f5adef65f,83.4089,,,8.58669,,,,,,,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,18:00:55.34,2023-04-21T14:00:55.3416818-04:00,2023-04-21T18:00:55.3416818Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,652990f3-7be9-4e17-85a0-2a5503d32bb7,54.4582,-123.79618,14.24437,5.37485,-5.06832,-8.10974,-2.55721,8.9814,-4.75492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-04-21,14:01:09.44,2,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,1,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.23814,-1.792378,-4.531665,1978.773929,220.694124,1:15,5.32289,2.58592,5.88905,-24.95273,15.22292,11.81213,1.5735,-0.64623,75.97001,-6.494697,-2.420508,0.456197,,,,,,,,,,,,-7.4613,8.78859,-2.22668,50,5.16384,9.16609,-121.75957,-4.56471,-11.03534,27.20844,-19.17565,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,7f1a2e40-e06e-11ed-9463-fd5f5adef65f,82.62308,,,8.26812,,,,,,,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,18:01:09.44,2023-04-21T14:01:09.4474354-04:00,2023-04-21T18:01:09.4474354Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,5e606922-5102-4527-80ce-f1d5bc614952,54.60501,-122.7843,13.60422,5.32216,-3.84251,-9.58783,-2.57971,9.58171,-5.51767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-04-21,14:01:22.79,2,5,"Morgan, Luc",1000126728,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,1,2,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.53563,1.21715,-3.183264,1737.447092,10.123689,6:15,5.1363,2.63919,5.06549,-52.64129,-1.42705,-0.57177,1.89911,-0.41299,68.69286,-8.333916,-3.28416,0.515071,65.68452,-31.051169,-107.543457,,,,,2.64387,1.973,-62.97018,0.040904,-0.71374,-0.61819,-2.33617,50,5.21027,6.10239,-109.32067,0.53396,-0.85321,21.46892,-32.91301,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,87152e10-e06e-11ed-9463-fd5f5adef65f,73.17915,2.03944,,6.84277,,,,2.22256,2.03944,0.87471,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,18:01:22.79,2023-04-21T14:01:22.7956338-04:00,2023-04-21T18:01:22.7956338Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,92c2bb4e-bed5-4a15-bac3-6477c0596ea2,55.43202,-110.38228,10.73446,5.14363,2.16147,-16.45651,-2.63897,6.14458,-0.4266,180,2.22311,-24.96173,,,,,,,,2.04054,-49.85875,,,,,,,,0.87646,-78.95961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2023-04-21,14:01:41.40,2,6,"Morgan, Luc",1000126728,Right,CEN_COL,"Brunswick, Nick",1000241040,Right,BER_COL,Undefined,1,Top,1,2,2,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.13229,1.037287,-2.07582,1834.292508,209.073294,1:00,5.38084,2.6074,6.02328,-22.43056,16.58816,8.43036,4.47306,1.38653,76.37693,-3.24937,-0.560707,0.449581,,,,,,,,,,,,-5.04859,8.60044,-2.4496,50,5.45008,4.13889,-123.4168,1.60063,-7.64228,28.8131,-19.15511,CEN_COL,BER_COL,GaryWright,D3,Team,20230421-GaryWright-1,92146d30-e06e-11ed-9463-fd5f5adef65f,83.83905,,,8.75536,,,,,,,17bf6a22-7081-4018-bda5-1544fbcaf1d9,2023-04-21,18:01:41.40,2023-04-21T14:01:41.4076018-04:00,2023-04-21T18:01:41.4076018Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,8db2282c-963d-433b-93e3-6d1b51f732ae,54.4723,-124.45653,14.40655,5.37985,2.29185,-9.57755,-2.60393,4.41466,-3.82114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
