PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-18,12:00:17.04,1,1,"Sickles, David",90000172766,Right,CEN_COL,"Capolupo, Vincent",1000224515,Left,BAL_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.83178,-2.547397,-4.409031,1956.869708,228.743613,1:30,5.26772,1.68103,5.29001,-27.7736,13.56414,13.77312,0.55265,-1.31932,76.05464,-7.679671,-1.972203,0.462748,,,,,,,,,,,,-8.27548,8.00158,-1.28951,50,5.01516,8.75197,-121.10041,-6.34074,-12.16481,25.8839,-20.41185,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,b88e9b30-afad-11ed-868f-7b2652a74c50,81.45343,,,7.77713,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:00:17.04,2023-02-18T12:00:17.0445594-05:00,2023-02-18T17:00:17.0445594Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,26611d8b-d9c8-47f2-8598-5fd76aa987ab,55.20643,-122.20816,12.94195,5.26783,-5.46717,-10.20593,-1.67521,9.27258,-6.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-18,12:00:32.80,1,2,"Sickles, David",90000172766,Right,CEN_COL,"Capolupo, Vincent",1000224515,Left,BAL_UNI,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.37001,0.093584,-3.171685,1345.21389,227.879678,1:30,5.21693,1.81386,5.63139,-35.86927,13.28347,12.71166,2.31528,-0.08906,68.97725,-6.590729,-0.904743,0.504598,,,,,,,,,,,,-7.3889,7.23288,-1.55182,50,5.20244,5.63394,-110.55548,-0.88721,-9.01687,22.28505,-23.34756,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,c1d22090-afad-11ed-868f-7b2652a74c50,74.69798,,,7.39276,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:00:32.80,2023-02-18T12:00:32.8041754-05:00,2023-02-18T17:00:32.8041754Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,f27f8092-cbc0-440a-b1db-efd54c0159b2,54.86169,-111.53117,11.14252,5.21891,0.13499,-11.67378,-1.80713,6.02872,-4.50844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-18,12:00:50.59,1,3,"Sickles, David",90000172766,Right,CEN_COL,"Capolupo, Vincent",1000224515,Left,BAL_UNI,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.79366,0.197982,-3.997986,1942.087255,253.430957,2:30,5.28678,1.70891,5.17477,-33.59285,6.82185,18.18489,2.67413,-0.5438,76.77506,-5.971221,-0.78541,0.457553,,,,,,,,,,,,-10.18032,3.77843,-1.35052,50,5.28009,7.75283,-122.66321,-0.80744,-15.37956,26.17755,-26.46591,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,cc731310-afad-11ed-868f-7b2652a74c50,82.37837,,,8.0186,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:00:50.59,2023-02-18T12:00:50.5984282-05:00,2023-02-18T17:00:50.5984282Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,dab2b1b7-09f6-49c0-a36c-35ae8d140153,55.32077,-123.7935,13.08877,5.29028,0.33531,-13.23296,-1.69961,8.41688,-7.68978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-18,12:01:10.28,1,4,"Sickles, David",90000172766,Right,CEN_COL,"Capolupo, Vincent",1000224515,Left,BAL_UNI,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.71784,-1.097814,-1.502462,1363.782805,249.489791,2:15,5.16461,2.06828,5.50675,-38.94604,8.20721,17.75387,0.89197,2.14238,71.14991,-8.250552,1.665972,0.494228,,,,,,,,,,,,-9.42686,4.92548,-1.94954,50,5.04273,2.27629,-112.77073,-3.40435,-12.07095,21.59134,-25.86706,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,d84a62b0-afad-11ed-868f-7b2652a74c50,76.2653,,,6.56793,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:01:10.28,2023-02-18T12:01:10.2817562-05:00,2023-02-18T17:01:10.2817562Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,9a302008-bd38-4970-9aa8-1c60fd7c7d44,54.99102,-113.72231,10.79567,5.16764,-2.26433,-12.93353,-2.06158,2.80828,-6.03548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-18,12:01:31.39,1,5,"Sickles, David",90000172766,Right,CEN_COL,"Capolupo, Vincent",1000224515,Left,BAL_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.93522,-0.903509,-3.452239,2035.042882,233.163316,1:45,5.24265,1.8299,5.3386,-27.511,12.21272,14.5617,2.10086,-0.19916,77.49285,-5.990277,-0.870149,0.453624,70.09436,46.983776,-39.025367,5144.331171,76.25844,69.81428,-79.27562,204.44526,204.44526,-51.936498,4.082448,-8.30308,6.76508,-1.52916,50,5.14155,6.80091,-123.06134,-2.89006,-12.70735,24.87673,-21.82048,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,e4bda430-afad-11ed-868f-7b2652a74c50,83.09175,69.81704,,7.44236,,,,1.00693,2.00532,0.41724,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:01:31.39,2023-02-18T12:01:31.3901850-05:00,2023-02-18T17:01:31.3901850Z,FlyBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,017a9bcf-50c9-48f6-93ff-ae49d006d7fb,55.1589,-124.09983,12.43836,5.24319,-1.97916,-10.91024,-1.82414,7.33137,-6.35367,141.674612,1.00584,54.51562,-12.66478,3.47301,-1.05879,0.35769,-0.09248,0.01364,-0.00083,2.0066,75.13311,-24.36472,2.42044,-0.22685,-0.06579,0.02692,-0.00342,0.00013,0.41768,-44.17361,3.24857,-1.21714,0.43528,-0.1495,0.0378,-0.00557,0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2023-02-18,12:02:01.04,1,6,"Sickles, David",90000172766,Right,CEN_COL,"Capolupo, Vincent",1000224515,Left,BAL_UNI,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.04595,-1.16378,-3.833766,1396.606744,261.608433,2:45,5.24758,1.79169,5.57641,-44.16605,4.14792,16.51643,0.47756,-0.41791,70.16103,-9.261815,-0.888052,0.500274,,,,,,,,,,,,-9.61095,2.925,-1.4727,50,5.11833,6.85428,-111.54173,-3.67173,-11.96024,22.35181,-28.53405,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,f66b8d00-afad-11ed-868f-7b2652a74c50,75.34362,,,6.88492,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:02:01.04,2023-02-18T12:02:01.0430746-05:00,2023-02-18T17:02:01.0430746Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,e5040ded-b905-43c4-ad41-edd6dd2ba53a,54.92164,-112.52365,11.17591,5.2521,-2.41822,-14.26702,-1.78535,7.3797,-5.98012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-18,12:02:26.31,1,7,"Sickles, David",90000172766,Right,CEN_COL,"Capolupo, Vincent",1000224515,Left,BAL_UNI,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,83.98894,0.161303,-2.973901,2034.213278,231.94751,1:45,5.25304,1.82792,5.49366,-28.80482,11.95906,13.41749,3.00373,0.16172,75.79362,-5.208459,-0.587102,0.459525,99.80962,11.948374,10.537417,2520.62308,108.18302,18.45917,19.91042,255.05525,254.35484,10.270327,2.345341,-7.72315,6.39237,-1.57702,50,5.24805,5.7571,-121.64725,-0.60875,-11.42088,26.7864,-22.72112,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,05847310-afae-11ed-868f-7b2652a74c50,82.02476,19.20862,,8.19532,,,,1.32971,3.02842,-0.16171,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:02:26.31,2023-02-18T12:02:26.3170842-05:00,2023-02-18T17:02:26.3170842Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,8603114b-d498-4e57-a9eb-6f26f92b8b08,55.00241,-122.74382,13.3932,5.25394,0.3214,-11.36056,-1.82228,6.22465,-5.71044,187.269453,1.32967,140.80244,-21.61372,4.53492,-1.02848,0.22521,-0.03524,0.00121,0.00036,3.02846,30.30442,-14.93006,0.75071,-0.04305,-0.01284,-0.00181,0.00385,-0.00071,-0.16166,26.1885,-3.25896,0.05365,0.14025,-0.06203,0.00607,0.0032,-0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2023-02-18,12:03:02.97,2,1,"Sickles, David",90000172766,Right,CEN_COL,"Kolenich, Sean",1000224524,Right,BAL_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.51206,-1.038683,-5.234606,2126.371453,240.403677,2:00,5.40612,1.63324,5.5597,-32.10025,9.18473,13.57635,1.75653,-2.13952,75.6279,-6.974985,-2.826007,0.462453,,,,,,,,,,,,-8.41044,5.41327,-1.18904,50,5.29531,10.47394,-120.61497,-3.27315,-12.26328,25.69442,-24.28096,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,1b6e09c0-afae-11ed-868f-7b2652a74c50,81.50546,,,7.88416,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:03:02.97,2023-02-18T12:03:02.9791002-05:00,2023-02-18T17:03:02.9791002Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,40e041ab-4d0f-4697-a21e-fb5709172bd5,54.9349,-121.6617,12.84721,5.4085,-2.284,-12.14048,-1.6259,10.97352,-6.13164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-18,12:03:27.05,2,2,"Sickles, David",90000172766,Right,CEN_COL,"Kolenich, Sean",1000224524,Right,BAL_UNI,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.1122,-0.773019,-3.434757,2116.986716,238.480815,2:00,5.25982,1.77941,5.42284,-31.88533,9.90485,13.69745,1.87732,-0.30015,75.14929,-6.674259,-1.001378,0.465274,,,,,,,,,,,,-7.91713,5.67429,-1.484,50,5.16942,6.63259,-120.27671,-2.70686,-11.45272,26.04953,-23.96574,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,29b0db20-afae-11ed-868f-7b2652a74c50,81.01131,,,7.9629,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:03:27.05,2023-02-18T12:03:27.0540058-05:00,2023-02-18T17:03:27.0540058Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,d13f829f-e8ee-4930-9642-8b70f5836882,55.07162,-121.37015,13.02476,5.26192,-1.70089,-11.98287,-1.77249,7.11332,-5.72636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-18,12:04:12.17,2,3,"Sickles, David",90000172766,Right,CEN_COL,"Kolenich, Sean",1000224524,Right,BAL_UNI,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.38432,0.250251,-3.402975,2214.969436,70.178894,8:15,5.3232,2.15088,4.73892,-57.18452,-1.57091,-10.19595,0.79563,-1.93058,66.37582,-10.045772,-5.191214,0.536737,,,,,,,,,,,,3.83311,-0.31291,-1.79834,50,5.29806,6.70646,-106.0035,-1.49848,4.25343,22.30298,-32.52125,CEN_COL,BAL_UNI,GaryWright,D1,SOCON,20230218-GaryWright-1,44b0c840-afae-11ed-868f-7b2652a74c50,70.22509,,,7.0085,,,,,,,e4b97afc-2f68-4a45-9eee-d9d1f49dba4f,2023-02-18,17:04:12.17,2023-02-18T12:04:12.1713946-05:00,2023-02-18T17:04:12.1713946Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,b8a18c18-1fbd-4cd2-9dfc-85e4ebe2f6d4,55.75739,-107.208,11.15149,5.33157,0.25788,-16.26063,-2.15433,6.47675,2.12671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
