PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-25,12:02:16.27,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Jacob, ",,Undefined,CON_CHI,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,83.63171,-1.017092,-3.840284,1790.71586,223.578086,1:30,5.27204,2.48463,5.9182,-26.82206,13.93532,11.7976,2.09078,-0.10137,75.16423,-6.075072,-1.727484,0.459489,96.80691,3.076311,-22.90887,2025.173935,,,,76.29745,70.23225,-23.302993,0.557373,-7.36248,7.91512,-2.18359,50,5.17542,7.6582,-121.02469,-2.9548,-10.7076,27.89888,-20.66273,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,6a2e04f0-cb26-11ed-8199-c146b9ca1f49,82.0313,2.87305,,8.46748,,,,2.58551,2.20386,0.1525,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:02:16.27,2023-03-25T12:02:16.2772466-04:00,2023-03-25T16:02:16.2772466Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,b6866424-69f3-4363-bea7-21e0fdfabd16,54.57756,-122.07536,13.94944,5.27205,-2.17664,-10.33136,-2.47959,8.06144,-5.3538,53.198297,2.6027,130.18154,-16.43286,,,,,,,2.22158,7.19235,-20.10969,,,,,,,0.15586,-55.27149,1.49725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2023-03-25,12:02:46.14,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Dorech, ",,Undefined,CON_CHI,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.50581,-0.448409,-3.030375,1971.292234,208.483648,1:00,5.45806,2.44938,5.80716,-20.83895,22.13119,10.96485,3.30389,0.54242,72.34509,-4.511953,-1.069558,0.471797,,,,,,,,,,,,-6.68485,11.89493,-2.20672,50,5.40924,5.83387,-119.09247,-1.44697,-9.20862,31.55646,-15.78837,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,7c028890-cb26-11ed-8199-c146b9ca1f49,79.8913,,,10.16072,,,,,,,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:02:46.14,2023-03-25T12:02:46.1413362-04:00,2023-03-25T16:02:46.1413362Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,22b5e2c1-6e10-421d-89e1-a03b10e9171d,54.67905,-120.32592,15.77823,5.45374,-0.82986,-7.89418,-2.44178,6.1938,-4.60431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-25,12:03:21.26,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Dorech, ",,Undefined,CON_CHI,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.54562,-2.203609,-3.831408,2037.985698,215.250649,1:15,5.2947,2.61713,5.77624,-22.62682,19.87773,12.81209,1.35311,0.11444,73.53226,-6.527516,-1.543067,0.469234,,,,,,,,,,,,-7.84989,11.38044,-2.30803,50,5.09912,7.45312,-119.19274,-5.21718,-10.98093,28.80459,-16.25436,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,90ed4ce0-cb26-11ed-8199-c146b9ca1f49,80.32764,,,9.01336,,,,,,,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:03:21.26,2023-03-25T12:03:21.2652018-04:00,2023-03-25T16:03:21.2652018Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,f258863f-3813-497c-92cb-056b3a2a0e73,54.71542,-120.32688,14.4023,5.29194,-4.57718,-8.12718,-2.61,7.88548,-5.49046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-25,12:03:47.42,2,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Dorech, ",,Undefined,CON_CHI,Undefined,1,Top,0,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.5616,-0.642501,-3.866129,2003.406884,223.204599,1:30,5.34917,2.54922,5.63454,-23.72324,17.87414,15.21021,2.77142,0.20434,74.36552,-5.156725,-1.157229,0.464199,,,,,,,,,,,,-8.99969,9.72642,-2.22971,50,5.27981,7.50804,-120.72245,-2.05295,-12.93416,29.22648,-18.1954,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,a084ffe0-cb26-11ed-8199-c146b9ca1f49,81.19883,,,9.19608,,,,,,,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:03:47.42,2023-03-25T12:03:47.4264050-04:00,2023-03-25T16:03:47.4264050Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,56f1cb8d-dc4e-4ae4-a932-632875a84b2c,54.85719,-121.89269,14.61324,5.34742,-1.3244,-9.0977,-2.5407,8.02592,-6.46708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-25,12:04:05.39,2,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Dorech, ",,Undefined,CON_CHI,Undefined,1,Top,0,2,1,ChangeUp,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,72.86209,2.495983,-0.860258,1762.167166,47.290833,7:30,5.16749,2.87269,5.53074,-64.8724,-10.09201,-13.21607,2.09635,0.96715,65.49679,-9.380259,-3.218781,0.532702,78.15028,21.656543,-34.84783,2020.449775,91.23432,29.59886,-61.45042,250.4792,250.4792,-33.971531,2.872539,6.40402,-5.5137,-2.78871,50,5.34094,2.06254,-105.51268,2.56625,7.0103,22.79631,-38.20976,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,ab47f950-cb26-11ed-8199-c146b9ca1f49,70.75713,30.59074,,7.3653,,,,3.59197,2.43136,-1.04594,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:04:05.39,2023-03-25T12:04:05.3922802-04:00,2023-03-25T16:04:05.3922802Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,3aca6b15-b559-4bb7-86e5-745007680557,54.9682,-106.58067,11.39815,5.17878,4.35635,-19.10488,-2.87764,1.73411,3.50515,189.510177,3.59197,87.42539,-9.43255,2.03348,-0.35724,0.03368,0.00793,-0.00406,0.00053,2.43133,42.30131,-17.01568,1.06784,-0.25275,0.09822,-0.03972,0.01014,-0.00106,-1.04595,-60.87049,7.1791,-1.53226,0.26501,-0.02288,-0.00695,0.00331,-0.00043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2023-03-25,12:04:44.10,3,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Cajigas, ",,Undefined,CON_CHI,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,LineDrive,Double,0,1,,69.07917,3.856053,-1.661909,1947.580928,48.995495,7:45,5.40522,2.56661,5.51535,-74.1224,-12.9082,-17.5491,2.84086,-0.45018,62.08616,-9.692682,-4.786193,0.563115,96.70074,11.462645,4.56013,1406.372865,109.10412,14.69403,14.00371,220.67546,219.60752,9.558298,1.881501,8.23713,-7.26977,-2.40963,50,5.69217,3.51231,-99.88955,4.50524,8.07331,20.57772,-39.29924,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,c26247d0-cb26-11ed-8199-c146b9ca1f49,66.93554,14.69622,,6.99301,,,,1.3699,2.84141,0.44803,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:04:44.10,2023-03-25T12:04:44.1071090-04:00,2023-03-25T16:04:44.1071090Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,561daba8-892c-4e11-929f-5ab192d05d5d,54.98453,-100.91116,10.28886,5.42007,6.45631,-19.64962,-2.57406,3.11149,4.03666,259.043164,1.3699,138.5587,-16.45772,2.85733,-0.52285,0.06965,-0.00882,0.00101,-6E-05,2.84141,28.18524,-17.73634,1.28411,-0.17438,0.02568,-0.00144,0.00016,-5E-05,0.44803,11.05115,7.46994,-2.64208,0.76049,-0.17709,0.03574,-0.00537,0.00041,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2023-03-25,12:05:21.45,4,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Kasik, ",,Undefined,CON_CHI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.92132,-1.618319,-5.378804,2075.779698,209.639774,1:00,5.21799,2.58309,6.09615,-18.94643,20.98269,10.98536,2.13532,-1.49096,75.26075,-5.303626,-3.413577,0.454796,,,,,,,,,,,,-7.56319,11.81619,-2.17321,50,5.08292,11.06843,-122.41799,-3.93128,-11.12767,31.01962,-14.78894,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,d89d59e0-cb26-11ed-8199-c146b9ca1f49,82.87775,,,9.66057,,,,,,,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:05:21.45,2023-03-25T12:05:21.4540274-04:00,2023-03-25T16:05:21.4540274Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,ba33619b-3125-4da1-813b-1bb3b2c11966,54.39395,-123.52636,15.50981,5.21395,-3.40285,-7.39447,-2.5758,11.46604,-5.56384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-25,12:05:34.22,4,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Kasik, ",,Undefined,CON_CHI,Undefined,1,Top,0,1,0,ChangeUp,Curveball,InPlay,Undefined,LineDrive,Single,0,1,,72.907,2.506167,-1.512134,1660.381755,65.032593,8:15,5.1661,2.65064,5.61564,-61.46078,-6.03855,-18.08462,2.38563,-0.26799,64.56084,-8.831317,-4.73983,0.535813,99.52775,11.566075,-23.574611,1492.830373,100.13611,14.73445,-45.52732,225.22719,225.22719,-26.194154,1.855779,8.57178,-3.49945,-2.50942,50,5.34101,3.44064,-105.37178,2.72795,9.20721,25.33392,-35.93291,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,e036d8c0-cb26-11ed-8199-c146b9ca1f49,70.34624,14.74425,,8.34616,,,,3.69746,2.72972,0.07901,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:05:34.22,2023-03-25T12:05:34.2273522-04:00,2023-03-25T16:05:34.2273522Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,41e3b23e-226e-4f3c-9ebf-fc73fd002bdd,54.88015,-106.53863,12.66696,5.17725,4.38297,-17.96645,-2.65812,3.01657,4.60361,98.91195,3.69746,131.07422,-18.5069,4.33371,-1.00803,0.19844,-0.03994,0.00638,-0.0005,2.72972,29.26745,-19.06167,1.6653,-0.22268,0.03008,-0.00206,0.00055,-0.00013,0.07901,-57.19576,0.68154,1.35597,-0.58666,0.17274,-0.04013,0.00661,-0.00053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2023-03-25,12:06:11.23,5,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Krather, ",,Undefined,CON_CHI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,83.91669,-2.64824,-5.344524,2088.085207,218.850552,1:15,5.37054,2.55593,5.85287,-20.80682,20.21493,14.9493,1.16354,-1.17856,74.96904,-6.632798,-2.679906,0.460976,,,,,,,,,,,,-9.46682,11.69662,-2.12941,50,5.14261,10.7044,-120.97446,-6.18206,-13.698,28.79405,-15.24958,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,f6402c70-cb26-11ed-8199-c146b9ca1f49,81.76655,,,8.94765,,,,,,,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:06:11.23,2023-03-25T12:06:11.2309234-04:00,2023-03-25T16:06:11.2309234Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,86a12770-e61a-4495-a0ce-0ee03ec936b5,54.64076,-122.07404,14.39702,5.36757,-5.59971,-7.62479,-2.54817,11.2275,-6.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-25,12:06:30.92,5,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Krather, ",,Undefined,CON_CHI,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Double,0,1,,83.4368,-0.79899,-4.256956,1904.292968,215.708448,1:15,5.43344,2.55807,5.93412,-22.87045,19.09651,12.35977,2.78423,-0.36851,73.10817,-5.224549,-2.045685,0.466257,86.45071,25.407792,-16.06578,2150.134274,105.67094,41.98999,-30.55498,339.03424,339.03424,-17.795866,3.794638,-8.10524,10.62508,-2.22492,50,5.35725,8.46152,-120.37279,-2.29382,-11.36515,32.99183,-17.2756,CEN_COL,CON_CHI,GaryWright,D3,Team,20230325-GaryWright-1,01f722d0-cb27-11ed-8199-c146b9ca1f49,80.84054,50.51304,,10.32863,,,,3.2091,2.96786,0.30274,896718e0-7fec-44a5-bfa4-14ae20ff1485,2023-03-25,16:06:30.92,2023-03-25T12:06:30.9224434-04:00,2023-03-25T16:06:30.9224434Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,22ff768d-e36c-46e9-bac6-d3a7d6c466cc,54.55778,-121.61557,16.49592,5.4314,-1.64306,-8.6378,-2.55173,8.88964,-5.68258,163.937098,3.20893,110.06452,-12.82385,2.9251,-0.72979,0.23218,-0.06767,0.01177,-0.00084,2.96839,54.38493,-16.8573,0.7722,0.12825,-0.16585,0.06308,-0.01103,0.00074,0.30277,-31.69649,2.12101,-0.47897,0.1206,-0.03944,0.01173,-0.00206,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
