PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-12,11:58:34.53,1,1,"Livengood, Josh",10072811,Right,CEN_COL,"Hart, Chris",1000229807,Right,MIL_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.13995,-3.784896,-0.295073,1746.560865,191.580501,12:30,7.08141,0.5941,6.01893,-17.93438,22.18025,4.29028,2.07599,0.67831,76.64329,-7.17842,0.477093,0.455851,,,,,,,,,,,,-2.28602,12.7954,-0.57331,50,6.77471,0.45683,-120.61806,-8.44754,-3.38807,22.13983,-13.21038,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,bed1e6d0-c0ee-11ed-b28b-4b445a41a842,82.6859,,,6.49667,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,15:58:34.53,2023-03-12T11:58:34.5311998-04:00,2023-03-12T15:58:34.5311998Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,d52a6403-049d-48e8-a10b-f6d8dfbd46b4,54.47814,-121.43725,11.06991,7.07824,-7.95874,-6.60519,-0.59253,0.58219,-1.69403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-12,11:58:46.13,1,2,"Livengood, Josh",10072811,Right,CEN_COL,"Hart, Chris",1000229807,Right,MIL_COL,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.23188,-3.811124,-1.353163,1802.717401,167.321619,11:30,6.99449,0.85156,5.80197,-33.99348,10.48835,-2.06339,0.61101,-0.57911,73.70758,-10.018339,-1.723676,0.480024,,,,,,,,,,,,0.71736,6.73705,-0.73918,50,6.66059,2.78974,-114.92827,-8.70185,0.96662,19.81707,-23.09626,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,c5b694a0-c0ee-11ed-b28b-4b445a41a842,78.52202,,,5.5243,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,15:58:46.13,2023-03-12T11:58:46.1332734-04:00,2023-03-12T15:58:46.1332734Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,a70e0e5d-e66e-47fb-ba96-10045e54442a,54.69699,-115.73534,9.90854,6.99583,-7.76124,-11.54813,-0.85199,2.75037,0.48331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-12,11:58:58.96,1,3,"Livengood, Josh",10072811,Right,CEN_COL,"Hart, Chris",1000229807,Right,MIL_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.35796,-3.122255,-1.638737,2056.859489,182.080135,12:00,7.20861,0.54907,5.94262,-15.95891,23.20021,0.79768,2.97852,-0.90492,77.44679,-6.170122,-1.495527,0.450389,,,,,,,,,,,,-0.84575,13.09863,-0.41897,50,6.95046,3.46872,-122.36089,-7.07738,-1.28691,23.32319,-12.24329,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,cd5850e0-c0ee-11ed-b28b-4b445a41a842,83.68859,,,6.91117,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,15:58:58.96,2023-03-12T11:58:58.9687550-04:00,2023-03-12T15:58:58.9687550Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,eb4a1dc8-8393-494e-9b49-d5512a60d3c1,54.55315,-123.22571,11.66159,7.20448,-6.6234,-6.12164,-0.54848,3.51644,-0.64345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.73755,2.301093,1.149286,1.151807,-1.93993,2.60865,0.99229,-5.15483,5.55377,5.11705,65.63308,8.8022,59.14242,-5.01866,67.37691,-5.1924,5.63798,18.94552,-14.02953,5.12964,48.21514,-1.14247,High,High,High,,,High,Medium,High
4,2023-03-12,11:59:22.81,2,1,"Livengood, Josh",10072811,Right,CEN_COL,"Pitre, Sam",1000229851,Left,MIL_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.45988,-2.725946,-0.601068,1642.642663,184.478252,12:15,7.22338,0.72247,5.75899,-18.18399,22.12312,1.63146,3.16874,0.29894,76.50303,-6.172085,-0.308923,0.456943,,,,,,,,,,,,-0.99071,12.3902,-0.67365,50,6.98635,1.20397,-121.08272,-6.25891,-1.47358,23.22324,-13.74503,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,db8ffeb0-c0ee-11ed-b28b-4b445a41a842,82.48822,,,6.95686,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,15:59:22.81,2023-03-12T11:59:22.8189950-04:00,2023-03-12T15:59:22.8189950Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,b9dc0b1f-2464-40ff-8017-eacca8e721e6,54.73629,-121.98775,11.61162,7.21982,-5.72326,-6.87251,-0.72169,1.2614,-0.73679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-12,11:59:35.70,2,2,"Livengood, Josh",10072811,Right,CEN_COL,"Pitre, Sam",1000229851,Left,MIL_COL,Undefined,1,Top,1,0,1,Fastball,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.58031,-3.526042,-0.302658,1895.620598,177.954883,12:00,7.03514,0.94614,5.64198,-33.74781,10.90469,-0.33823,0.92946,0.63563,73.40779,-9.703612,-0.36324,0.480944,,,,,,,,,,,,0.08815,6.9543,-0.92023,50,6.71401,0.62232,-115.36723,-8.17314,0.11879,21.50656,-22.80359,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,e33eb340-c0ee-11ed-b28b-4b445a41a842,78.37181,,,6.17251,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,15:59:35.70,2023-03-12T11:59:35.7007614-04:00,2023-03-12T15:59:35.7007614Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,1c27f992-b312-445f-8b83-2db4f7c01ac7,54.85516,-116.2688,10.75328,7.03659,-7.2172,-11.40179,-0.94621,0.61734,0.05939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-12,11:59:47.67,2,3,"Livengood, Josh",10072811,Right,CEN_COL,"Pitre, Sam",1000229851,Left,MIL_COL,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.035,-1.805746,-0.770961,1830.182583,183.626103,12:00,7.1852,0.66573,6.02207,-17.88969,22.23131,1.33106,4.02123,0.06255,76.31744,-5.215995,-0.531495,0.455887,,,,,,,,,,,,-0.88347,12.27359,-0.60609,50,7.03387,1.5713,-120.62944,-4.2592,-1.3089,22.26297,-13.99007,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,ea660f60-c0ee-11ed-b28b-4b445a41a842,82.67933,,,6.71756,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,15:59:47.67,2023-03-12T11:59:47.6712702-04:00,2023-03-12T15:59:47.6712702Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,921cf729-e00b-4f6d-beb7-bc278889b57b,54.47368,-121.45228,11.13149,7.18173,-3.74212,-6.99504,-0.66506,1.61967,-0.65445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-12,12:00:00.40,2,4,"Livengood, Josh",10072811,Right,CEN_COL,"Pitre, Sam",1000229851,Left,MIL_COL,Undefined,1,Top,1,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.7154,-3.082966,0.513437,1752.217383,188.241177,12:15,7.17171,0.59642,5.76133,-16.48269,23.49702,3.22134,2.92583,1.34276,76.92462,-6.215975,1.090209,0.455084,,,,,,,,,,,,-1.49748,13.15654,-0.64087,50,6.90615,-1.21929,-121.45268,-6.97258,-2.24693,22.77296,-12.43312,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,f1f63f70-c0ee-11ed-b28b-4b445a41a842,82.82529,,,6.79078,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,16:00:00.40,2023-03-12T12:00:00.4053758-04:00,2023-03-12T16:00:00.4053758Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,d124e7ce-2d90-4de5-8b38-e6e83dda1f68,54.7344,-122.33718,11.38648,7.16758,-6.48968,-6.21656,-0.5952,-1.13202,-1.12346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-12,12:00:15.27,2,5,"Livengood, Josh",10072811,Right,CEN_COL,"Pitre, Sam",1000229851,Left,MIL_COL,Undefined,1,Top,1,2,2,Slider,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,78.14885,-4.391279,-1.865632,1917.470406,186.487493,12:15,7.02183,0.73895,5.64372,-29.8162,16.33552,1.69602,0.43078,-0.86057,72.50037,-9.850293,-1.562301,0.488951,,,,,,,,,,,,-1.35811,9.88902,-0.58174,50,6.6293,3.62546,-113.19942,-9.59294,-1.77306,19.47715,-19.26372,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,fadfbdf0-c0ee-11ed-b28b-4b445a41a842,77.08839,,,5.64848,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,16:00:15.27,2023-03-12T12:00:15.2798462-04:00,2023-03-12T16:00:15.2798462Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,e9cad697-a83f-4f10-b817-b4521f4921e1,54.85502,-114.03172,9.73858,7.02164,-8.76976,-9.63186,-0.73828,3.70123,-0.88653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-12,12:00:31.92,2,6,"Livengood, Josh",10072811,Right,CEN_COL,"Pitre, Sam",1000229851,Left,MIL_COL,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,85.07521,-1.585942,-0.058266,1891.8539,174.547285,11:45,7.14995,0.63061,6.08176,-18.37036,20.06942,-1.79453,4.15148,0.42716,77.54389,-5.098514,-0.381554,0.446233,,,,,,,,,,,,0.90075,11.15871,-0.62522,50,7.01754,0.19797,-123.52014,-3.89942,1.38684,25.39574,-14.9938,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,04c3f020-c0ef-11ed-b28b-4b445a41a842,84.46802,,,7.53133,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,16:00:31.92,2023-03-12T12:00:31.9222014-04:00,2023-03-12T16:00:31.9222014Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,289c5f79-9af6-4ddb-9b76-6ed8f80c2205,54.41261,-124.42407,12.69787,7.14683,-3.36574,-7.4969,-0.63139,0.14861,0.69342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-12,12:00:58.98,3,1,"Livengood, Josh",10072811,Right,CEN_COL,"Pelle, Bradley",1000229787,Left,MIL_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.96998,-1.610444,-0.077851,1801.02698,181.945211,12:00,7.1556,0.9975,5.72369,-17.76757,22.1169,0.70748,4.17461,0.98395,76.73227,-4.993876,0.048736,0.454541,,,,,,,,,,,,-0.37933,12.06355,-0.99143,50,7.01026,0.1364,-121.88547,-3.90746,-0.57064,23.95531,-14.02645,CEN_COL,MIL_COL,GaryWright,D3,Team,20230312-GaryWright-1,14e1ea20-c0ef-11ed-b28b-4b445a41a842,82.92412,,,7.23772,,,,,,,fdd7ac51-3193-4263-a3eb-17ad4b450268,2023-03-12,16:00:58.98,2023-03-12T12:00:58.9893886-04:00,2023-03-12T16:00:58.9893886Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,844c9cfe-1782-4f8d-a7fb-2542d9209c89,54.77116,-122.81961,11.97766,7.15197,-3.3605,-7.01323,-0.99719,0.15865,-0.28532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
