PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-14,16:00:38.49,1,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Brown, Noah",1000059628,Right,ASB_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,76.42634,-0.674383,-4.550521,1870.985473,202.27152,12:45,5.53588,2.08608,6.66055,-27.30651,20.67186,7.66654,2.64127,-1.44774,68.09117,-5.958628,-3.161552,0.498533,,,,,,,,,,,,-5.62583,11.6432,-1.78243,50,5.47929,8.52473,-110.47207,-1.89342,-6.75403,24.91002,-18.19598,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,e4777d40-c2a2-11ed-908f-6f7491c108c2,75.60666,,,8.33518,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:00:38.49,2023-03-14T16:00:38.4969508-04:00,2023-03-14T20:00:38.4969508Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,ef7fd2e5-f650-46d3-b3dd-f652781b723a,53.82908,-111.33213,12.45501,5.53382,-1.26517,-9.09799,-2.08079,8.75793,-3.37701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-14,16:00:58.29,2,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Frank, Nathaniel",1000230151,Right,ASB_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.94689,1.196354,-2.486938,1896.209418,198.891372,12:45,5.65928,2.18341,6.48531,-28.25809,20.70044,6.39095,4.40401,0.43129,67.21182,-4.286978,-1.329222,0.5036,,,,,,,,,,,,-4.2037,10.88768,-2.01096,50,5.73081,4.54038,-109.88872,1.67052,-4.97191,25.40719,-19.29665,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,f03c7d60-c2a2-11ed-908f-6f7491c108c2,74.84601,,,8.73507,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:00:58.29,2023-03-14T16:00:58.2958372-04:00,2023-03-14T20:00:58.2958372Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3da43746-d87a-4a21-8c0a-a52d4a229a6b,54.00178,-110.8101,12.7036,5.65754,2.37031,-9.64833,-2.17889,4.72069,-2.48595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-14,16:01:14.92,2,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Frank, Nathaniel",1000230151,Right,ASB_UNI,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.70891,-1.141253,-5.093188,1885.423869,206.377543,1:00,5.60415,2.15313,6.47106,-29.38545,19.66989,8.79965,2.103,-1.80326,67.89677,-6.761872,-3.50638,0.504097,,,,,,,,,,,,-6.29197,11.20623,-1.7968,50,5.51046,9.43858,-109.36289,-2.86912,-7.44993,23.30427,-18.90544,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,fa243200-c2a2-11ed-908f-6f7491c108c2,74.77213,,,7.81214,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:01:14.92,2023-03-14T16:01:14.9245220-04:00,2023-03-14T20:01:14.9245220Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,20a208ef-e3f2-43f0-9384-547e5f29ba1f,54.01976,-110.21614,11.65214,5.60283,-2.17694,-9.45272,-2.14737,9.71135,-3.72497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-14,16:01:32.47,2,3,"McGriff, Ethan",10062955,Right,CEN_COL,"Frank, Nathaniel",1000230151,Right,ASB_UNI,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.62151,-0.82092,-2.174767,1872.915876,211.056513,1:00,5.53957,2.33167,6.44805,-28.83608,20.55647,11.13245,2.38175,1.26034,67.17789,-6.386723,-0.156616,0.505827,,,,,,,,,,,,-6.56402,11.59922,-2.18183,50,5.46858,3.76442,-109.49229,-2.22591,-7.70389,25.30898,-18.5606,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,04a121c0-c2a3-11ed-908f-6f7491c108c2,74.51644,,,8.44362,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:01:32.47,2023-03-14T16:01:32.4705572-04:00,2023-03-14T20:01:32.4705572Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,caffd663-05ae-46b6-a80e-ec68cb3b8200,54.04173,-110.42258,12.65449,5.53786,-1.54367,-9.2803,-2.3254,4.0476,-3.85195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-14,16:01:51.72,2,4,"McGriff, Ethan",10062955,Right,CEN_COL,"Frank, Nathaniel",1000230151,Right,ASB_UNI,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.6365,-1.636309,-3.914992,1819.191365,215.015753,1:15,5.51441,2.1213,6.59777,-30.61073,18.69733,11.62611,1.46052,-0.50213,67.21668,-7.522879,-1.805903,0.505394,57.25972,33.035289,119.218145,1506.222511,,,,,47.37781,,,-7.57481,11.02623,-1.85807,50,5.38997,7.08973,-109.35774,-3.82844,-8.85291,25.54818,-19.28735,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,101542c0-c2a3-11ed-908f-6f7491c108c2,74.58027,24.79871,,8.41983,,,,1.47055,1.39732,0.48878,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:01:51.72,2023-03-14T16:01:51.7241124-04:00,2023-03-14T20:01:51.7241124Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,f4c05aef-03c9-454b-85b6-ea30ad36566e,53.89385,-110.26366,12.77409,5.5136,-3.14452,-9.64367,-2.11504,7.40365,-4.42645,,1.47055,-34.36705,-1.18148,0.6426,-0.49156,1.82166,-3.45689,3.03764,-1.03271,1.39732,45.78273,-20.70563,1.81546,-0.21148,-0.77094,1.62138,-1.44099,0.49167,0.48878,61.4461,-13.12669,2.77049,-0.82197,1.59499,-2.88242,2.51073,-0.85055,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2023-03-14,16:02:36.43,2,5,"McGriff, Ethan",10062955,Right,CEN_COL,"Frank, Nathaniel",1000230151,Right,ASB_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,77.43715,-1.500046,-3.056809,1979.709587,202.577444,12:45,5.56336,2.0433,6.35416,-23.62493,23.89147,9.07831,2.21171,-0.01631,68.49476,-6.110424,-1.416378,0.496128,82.16503,20.275541,5.562917,3758.023576,108.4233,30.79659,18.55584,265.0234,265.0234,15.845188,3.14806,-5.8967,13.56761,-1.82555,50,5.44356,5.65413,-111.98139,-3.44816,-7.20942,27.21035,-15.586,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,2abd4be0-c2a3-11ed-908f-6f7491c108c2,75.97329,32.97731,,8.94239,,,,1.35354,2.23261,0.0052,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:02:36.43,2023-03-14T16:02:36.4366628-04:00,2023-03-14T20:02:36.4366628Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,91400156-189b-4c66-b093-a78e98ab3345,54.13686,-112.98214,13.60518,5.55983,-2.87494,-7.793,-2.03838,5.91928,-3.60471,228.269756,1.35357,112.5081,-17.26196,3.71453,-0.73015,0.12669,-0.01678,0.00113,0,2.23261,41.76115,-15.01609,0.68864,-0.14825,0.07786,-0.03483,0.0082,-0.00073,0.0052,10.95824,6.71658,-1.54434,0.31585,-0.05062,0.00357,0.00049,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2023-03-14,16:03:41.47,3,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Cole, Jackson",1000230153,Right,ASB_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,1,,76.36179,-1.108664,-3.768443,1909.913468,210.226848,1:00,5.60789,1.99841,6.26936,-27.51584,20.37076,10.87182,2.29052,-0.57465,69.19207,-6.344854,-1.808956,0.498056,,,,,,,,,,,,-6.76733,11.40359,-1.72423,50,5.51227,6.89982,-110.6067,-2.81579,-8.29141,21.74883,-18.20224,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,5186cd00-c2a3-11ed-908f-6f7491c108c2,75.67908,,,7.16971,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:03:41.47,2023-03-14T16:03:41.4739236-04:00,2023-03-14T20:03:41.4739236Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,17f67dde-aaf3-4458-a9d4-3670250ea880,54.22422,-111.43422,10.87442,5.60623,-2.12322,-9.10112,-1.99276,7.2153,-4.14571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.86052,,0.951962,,-1.01563,2.01389,0.64955,1.34961,5.59299,1.81914,,,,1.43732,119.79291,-11.62779,5.6146,7.98346,-12.37846,1.72016,-7.7708,7.61568,High,High,High,,,High,High,High
8,2023-03-14,16:04:19.12,3,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Cole, Jackson",1000230153,Right,ASB_UNI,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.44709,0.634128,-4.549229,1606.017104,50.153625,7:45,5.44783,2.08741,5.87732,-76.18614,-11.14713,-16.13273,-0.3102,-3.49082,61.00022,-13.19303,-7.436239,0.580441,,,,,,,,,,,,6.73453,-5.43544,-1.70954,50,5.45508,8.1459,-96.15708,-0.97557,6.13914,18.57229,-37.12895,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,67f9df00-c2a3-11ed-908f-6f7491c108c2,64.93755,,,5.44687,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:04:19.12,2023-03-14T16:04:19.1230244-04:00,2023-03-14T20:04:19.1230244Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c81913a6-fe33-4e49-a21b-92f8febcbc49,54.62413,-97.0461,9.28615,5.45924,0.80172,-18.56448,-2.09243,7.85203,3.06957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-14,16:04:54.49,3,3,"McGriff, Ethan",10062955,Right,CEN_COL,"Cole, Jackson",1000230153,Right,ASB_UNI,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,1,0,,67.08697,1.253884,-3.920097,1472.820315,40.742246,7:15,5.37698,2.0892,5.99506,-77.1989,-12.98056,-13.38095,0.10857,-2.66416,60.66527,-12.87505,-6.323977,0.576768,,,,,,,,,,,,5.3624,-6.52189,-1.77275,50,5.43416,7.0716,-97.03995,0.04566,4.91408,20.68852,-38.15068,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,7d11a6c0-c2a3-11ed-908f-6f7491c108c2,65.35116,,,6.4217,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:04:54.49,2023-03-14T16:04:54.4972068-04:00,2023-03-14T20:04:54.4972068Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,988e3c34-9986-45c1-be80-724b86874584,54.50433,-97.99555,10.34426,5.39136,1.80783,-19.07534,-2.09415,6.84462,2.45704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-14,16:05:28.12,3,4,"McGriff, Ethan",10062955,Right,CEN_COL,"Cole, Jackson",1000230153,Right,ASB_UNI,Undefined,1,Top,1,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.11403,-0.363041,-2.545723,2014.390697,208.118121,1:00,5.56913,2.2133,6.42005,-28.21309,19.11918,9.1989,2.88399,0.6382,68.75621,-5.791409,-0.880132,0.495165,,,,,,,,,,,,-5.64898,10.62016,-2.03517,50,5.53049,4.63145,-111.67514,-1.37612,-6.93527,25.32593,-19.13567,CEN_COL,ASB_UNI,GaryWright,D3,Team,20230314-GaryWright-1,9112f570-c2a3-11ed-908f-6f7491c108c2,76.12095,,,8.35782,,,,,,,3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2023-03-14,20:05:28.12,2023-03-14T16:05:28.1287972-04:00,2023-03-14T20:05:28.1287972Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e446528a-1009-4de1-9b85-2d851cf3d935,54.06998,-112.59436,12.66297,5.56783,-0.68158,-9.56783,-2.20784,4.88317,-3.46763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
