PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-07,18:01:06.00,1,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Rivera, Fredison",1000229663,Right,BER_COL1,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,80.05987,-0.654951,-2.453019,1883.806331,198.82609,12:45,5.73661,1.9566,6.47199,-26.42553,15.91084,5.00111,2.93244,0.11929,73.84514,-5.642797,-1.546534,0.468304,,,,,,,,,,,,-3.27221,8.89749,-1.78599,50,5.67853,4.81755,-116.40338,-2.01675,-4.52074,20.43331,-19.88169,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,f1281750-bd3b-11ed-b8de-71b8528fb9c1,80.48708,,,6.21474,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:01:06.00,2023-03-07T18:01:06.0010000-05:00,2023-03-07T23:01:06.0010000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,37e67fd5-b155-4c43-bdd7-83005062ad05,54.02658,-117.10807,10.21665,5.73626,-1.33109,-9.94084,-1.95482,4.97346,-2.26037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-07,18:01:37.42,1,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Rivera, Fredison",1000229663,Right,BER_COL1,Undefined,1,Top,0,0,1,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.72631,4.693414,0.010176,1433.093559,28.247742,7:00,5.24601,2.20826,6.17196,-67.97527,-5.97792,-4.17748,3.92583,1.86954,61.50764,-7.843542,-0.742626,0.566706,,,,,,,,,,,,2.14713,-3.68689,-2.20703,50,5.56776,0.11253,-96.79341,6.16781,2.04783,14.35466,-35.69044,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,03eca040-bd3c-11ed-b8de-71b8528fb9c1,66.51141,,,5.21867,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:01:37.42,2023-03-07T18:01:37.4240000-05:00,2023-03-07T23:01:37.4240000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,df2f46ad-0591-4251-8c35-1af00d223f51,54.32876,-97.43325,7.17733,5.25737,7.75869,-17.84522,-2.21001,0.02125,1.02391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-07,18:01:50.71,1,3,"McGriff, Ethan",10062955,Right,CEN_COL,"Rivera, Fredison",1000229663,Right,BER_COL1,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.16006,0.116729,-3.484105,1809.351432,207.20057,1:00,5.61147,1.97709,6.85801,-28.00206,15.07792,7.0452,3.38458,-0.61583,72.36834,-5.222925,-2.199991,0.472399,,,,,,,,,,,,-4.69666,8.39182,-1.75703,50,5.60854,6.76354,-114.94548,-0.42479,-6.2763,21.53878,-20.9598,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,0bcb6580-bd3c-11ed-b8de-71b8528fb9c1,79.78938,,,6.79172,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:01:50.71,2023-03-07T18:01:50.7110000-05:00,2023-03-07T23:01:50.7110000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,44eb1f63-2d4f-42d8-9756-6c5703b74a61,53.63752,-115.62508,10.76939,5.61151,0.23655,-10.4799,-1.97356,6.96158,-3.13815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-07,18:02:08.04,1,4,"McGriff, Ethan",10062955,Right,CEN_COL,"Rivera, Fredison",1000229663,Right,BER_COL1,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,79.31439,-1.289597,-3.546484,1839.96112,206.772864,1:00,5.51947,1.97166,6.69789,-26.27765,16.63363,7.74095,2.14801,-0.63029,73.10348,-6.26932,-2.139325,0.471473,97.68177,22.479633,28.496407,2608.083198,93.98514,44.08779,57.15574,339.90997,310.6535,39.027675,4.571702,-5.04512,9.53438,-1.73857,50,5.42292,6.889,-115.20842,-3.23588,-6.81798,20.30451,-19.28931,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,161de9e0-bd3c-11ed-b8de-71b8528fb9c1,79.94605,62.66691,,6.21091,,,,1.93624,2.16074,0.51571,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:02:08.04,2023-03-07T18:02:08.0410000-05:00,2023-03-07T23:02:08.0410000Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,4af74645-d480-45d3-834a-fc3d895a38ce,53.80054,-115.8763,10.15225,5.51892,-2.6014,-9.64465,-1.96886,7.11326,-3.40899,207.247244,1.93584,116.34704,-28.68002,7.07961,-1.60065,0.34073,-0.05964,0.0067,-0.00033,2.1621,54.75384,-11.77095,-0.88853,0.53815,-0.19032,0.04213,-0.00485,0.00022,0.51532,63.16941,-6.48851,1.08776,-0.1955,0.04757,-0.01083,0.00145,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2023-03-07,18:02:54.89,2,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Vazquez, Michael",1000229672,Right,BER_COL1,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.44576,4.813198,0.522885,1558.815012,30.499278,7:00,5.29653,2.32403,6.15974,-71.86118,-8.81146,-6.35626,3.76513,2.27739,60.84548,-8.446965,-0.622501,0.571496,,,,,,,,,,,,3.3937,-5.17051,-2.36071,50,5.62694,-0.67771,-96.30973,6.20678,3.17784,15.38169,-37.01571,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,321e5710-bd3c-11ed-b8de-71b8528fb9c1,65.95404,,,5.60028,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:02:54.89,2023-03-07T18:02:54.8940000-05:00,2023-03-07T23:02:54.8940000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,119d7d32-ce25-4357-8997-07e16f911dfe,54.3408,-97.00052,7.69085,5.31086,7.86916,-18.50785,-2.32707,-0.82042,1.58892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-07,18:03:12.01,2,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Vazquez, Michael",1000229672,Right,BER_COL1,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.68423,1.564939,-1.511381,1862.114318,227.432295,1:30,5.57041,2.06092,6.81185,-31.63525,11.97485,11.54422,4.36284,1.64363,71.82081,-4.450514,0.595818,0.475297,,,,,,,,,,,,-6.48587,6.33516,-1.96676,50,5.65964,2.62743,-114.3749,2.3468,-8.57553,21.46169,-23.79782,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,3c40a3b0-bd3c-11ed-b8de-71b8528fb9c1,79.30296,,,6.86342,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:03:12.01,2023-03-07T18:03:12.0110000-05:00,2023-03-07T23:03:12.0110000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,48cf95c7-dc0b-49e0-98f5-95f84ae1f137,53.68363,-115.06403,10.73085,5.57202,3.11094,-11.89891,-2.05554,2.90279,-4.28777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-07,18:03:31.08,2,3,"McGriff, Ethan",10062955,Right,CEN_COL,"Vazquez, Michael",1000229672,Right,BER_COL1,Undefined,1,Top,0,2,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.36503,-0.605067,-3.207422,1874.185065,225.300938,1:30,5.45968,1.99682,6.5262,-30.23761,12.98505,11.77335,2.3839,0.0324,72.91982,-6.30083,-1.072125,0.473181,,,,,,,,,,,,-6.99989,7.39382,-1.77826,50,5.4045,6.04834,-115.2672,-2.01344,-9.447,20.80053,-22.19543,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,479a5ee0-bd3c-11ed-b8de-71b8528fb9c1,79.65756,,,6.44521,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:03:31.08,2023-03-07T18:03:31.0800000-05:00,2023-03-07T23:03:31.0800000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,9a4a7e6f-d288-47c3-8ce6-94652c3a7f66,53.97035,-115.98145,10.40027,5.46055,-1.25128,-11.09772,-1.99152,6.37274,-4.7235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-07,18:03:49.68,2,4,"McGriff, Ethan",10062955,Right,CEN_COL,"Vazquez, Michael",1000229672,Right,BER_COL1,Undefined,1,Top,0,2,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,71.95651,-0.667503,-4.567724,1538.079128,236.767627,2:00,5.04186,2.3049,6.43555,-41.76266,11.20233,14.54887,0.94624,-0.68922,66.30989,-8.455418,-1.937892,0.5238,,,,,,,,,,,,-8.88229,6.53733,-1.98608,50,4.97541,7.88457,-104.3442,-2.26199,-9.81073,17.25406,-24.95339,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,52c3bb40-bd3c-11ed-b8de-71b8528fb9c1,71.95955,,,5.64662,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:03:49.68,2023-03-07T18:03:49.6850000-05:00,2023-03-07T23:03:49.6850000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,d1219fa1-deb3-4097-b865-c82b455aa590,54.06278,-105.01386,8.62703,5.04441,-1.2935,-12.47669,-2.29948,8.26535,-4.90537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-07,18:04:06.40,2,5,"McGriff, Ethan",10062955,Right,CEN_COL,"Vazquez, Michael",1000229672,Right,BER_COL1,Undefined,1,Top,0,3,1,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,79.00163,-0.791938,-4.685271,1851.081713,214.585336,1:15,5.517,1.98617,6.78616,-28.66966,14.4706,9.09626,2.40248,-1.54233,72.88643,-6.210947,-3.033051,0.472729,,,,,,,,,,,,-6.10591,8.27138,-1.68475,50,5.4543,9.11529,-114.66235,-2.28589,-8.18242,19.89462,-21.08973,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,5cb02ad0-bd3c-11ed-b8de-71b8528fb9c1,79.73364,,,6.1152,,,,,,,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:04:06.40,2023-03-07T18:04:06.4030000-05:00,2023-03-07T23:04:06.4030000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,92d69628-12f1-4c30-bff7-04630db1a360,53.71378,-115.30492,9.94731,5.51713,-1.60473,-10.54486,-1.98342,9.37957,-4.09121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-07,18:04:34.69,3,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Manrique, Marcelo",1000229684,Right,BER_COL1,Undefined,1,Top,0,0,0,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,65.55641,3.828571,-2.495883,1613.272238,32.028337,7:00,5.2447,2.13922,5.9337,-72.79882,-7.37634,-5.91044,2.73868,-0.67029,60.21773,-9.527852,-3.555519,0.58215,86.22381,-6.857379,-6.13758,,,,,19.01105,14.97874,-3.470873,0.139487,2.3137,-4.38465,-1.9365,50,5.5094,4.32166,-95.01354,4.44884,2.10348,15.30158,-36.16028,CEN_COL,BER_COL1,GaryWright,D3,Team,20230307-GaryWright-1,6d9879b0-bd3c-11ed-b8de-71b8528fb9c1,64.74695,2.67202,,5.33868,,,,1.83864,2.67202,0.70841,457885d3-d846-44a0-8e24-219aedb902a1,2023-03-07,23:04:34.69,2023-03-07T18:04:34.6930000-05:00,2023-03-07T23:04:34.6930000Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,51cf60d4-b2db-4010-84c2-b4c58a036c3d,54.56759,-95.74631,7.65079,5.25489,6.1805,-18.08014,-2.14105,4.22093,1.05174,3.26755,1.83856,124.84417,-14.2089,,,,,,,2.67246,-15.14134,-28.83078,,,,,,,0.70844,-13.42649,0.68917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
