PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-25,14:23:35.78,1,1,"Miller, Jess",1000103379,Right,CEN_COL,"Kalekas, ",,Undefined,DOM_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.14363,-0.159517,-3.131688,1922.742177,240.301304,2:00,5.51892,1.78368,5.87777,-26.9032,12.2489,18.98662,3.12862,0.45458,76.71974,-5.221327,0.27076,0.450349,65.48964,35.524332,70.018682,4123.641795,,,,,86.36188,,,-10.66804,6.7241,-1.54134,50,5.49069,5.96334,-123.36791,-1.18277,-16.19788,27.92979,-21.96446,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,e69ca280-b541-11ed-8fef-4b2e3ebd33d7,83.69612,46.0985,,8.42389,,,,-0.22164,3.17246,-0.42118,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:23:35.78,2023-02-25T14:23:35.7808032-05:00,2023-02-25T19:23:35.7808032Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,109da54f-aa92-4e4e-9375-12f31c7e8e27,54.61783,-124.40896,13.96489,5.51952,-0.36406,-10.98223,-1.77487,6.5671,-8.09894,,-0.22164,26.71296,-9.44355,2.05038,0.03354,-0.62842,0.55445,-0.24138,0.0432,3.17246,55.81042,-18.71221,1.42266,-0.54096,0.47983,-0.35732,0.15166,-0.0269,-0.42118,73.46746,-7.21086,1.33791,-0.27526,0.10655,-0.06412,0.02589,-0.0045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2023-02-25,14:23:49.80,1,2,"Miller, Jess",1000103379,Right,CEN_COL,"Kalekas, ",,Undefined,DOM_UNI,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,69.20126,3.339175,-0.541411,1936.44048,63.568268,8:00,5.46348,1.83542,5.31208,-66.12811,-4.92548,-14.60694,3.09058,0.11,62.18944,-8.757521,-3.134539,0.563062,85.77416,22.156571,1.202295,1984.830934,109.73959,35.8579,7.56229,287.73532,279.55376,7.791147,3.396469,7.09052,-2.95059,-1.77534,50,5.71901,1.47339,-100.08412,3.81745,7.00733,20.01695,-35.09003,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,ef002820-b541-11ed-8fef-4b2e3ebd33d7,66.94186,39.73864,,7.01182,,,,0.62084,2.97513,-0.07249,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:23:49.80,2023-02-25T14:23:49.8017184-05:00,2023-02-25T19:23:49.8017184Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,69ed8276-b1e0-44d5-b64c-ae07616589b2,55.18472,-101.11575,10.00847,5.47566,5.62592,-17.54502,-1.84197,1.11225,3.50367,224.484329,0.62043,116.49976,-16.6415,3.64408,-0.92049,0.3028,-0.0949,0.01792,-0.00136,2.97553,47.433,-16.2772,0.58402,0.14151,-0.14282,0.05862,-0.01085,0.00074,-0.07252,2.44859,5.99055,-1.86216,0.38069,-0.04282,0.00298,-0.00034,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2023-02-25,14:24:16.71,2,1,"Miller, Jess",1000103379,Right,CEN_COL,"Downing, ",,Undefined,DOM_UNI,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.71714,-0.730017,-2.862464,1937.514839,246.245881,2:15,5.33112,2.06163,5.90679,-30.6234,8.70815,16.66773,2.10068,0.79145,76.8165,-6.441509,0.128563,0.45138,,,,,,,,,,,,-9.42741,5.08587,-1.84127,50,5.25509,5.47074,-122.84133,-2.54943,-14.24739,26.82431,-24.48787,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,fefa1f60-b541-11ed-8fef-4b2e3ebd33d7,83.50494,,,7.90064,,,,,,,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:24:16.71,2023-02-25T14:24:16.7143840-05:00,2023-02-25T19:24:16.7143840Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,01c2bfa1-bee2-4a1d-9482-aa17e95c0dee,54.59018,-123.83961,13.41216,5.33301,-1.6381,-12.24394,-2.05473,6.00097,-7.12369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-25,14:24:45.52,2,2,"Miller, Jess",1000103379,Right,CEN_COL,"Downing, ",,Undefined,DOM_UNI,Undefined,1,Top,1,0,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,86.216,-0.497493,-2.665587,1935.489888,242.410533,2:00,5.57424,1.94687,5.79584,-28.58962,10.12276,16.43741,2.72852,0.83551,76.93657,-5.870188,0.277941,0.447813,70.28264,19.582098,-159.811347,1622.169426,,,,,22.61145,,,-9.31957,5.76654,-1.73756,50,5.51658,5.11516,-124.80342,-2.01324,-14.30719,31.35569,-23.32139,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,102b8530-b542-11ed-8fef-4b2e3ebd33d7,84.17009,9.99046,,9.27943,,,,1.18845,2.73782,-0.91259,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:24:45.52,2023-02-25T14:24:45.5266720-05:00,2023-02-25T19:24:45.5266720Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,1e910137-0305-46fa-8fee-8e42fec09041,54.69855,-125.97836,15.67784,5.57564,-1.13936,-11.6607,-1.93927,5.65126,-7.1536,281.666667,1.18793,-91.12433,7.72722,,,,,,,2.73866,34.5031,-19.81553,,,,,,,-0.91203,-33.54711,-2.43507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2023-02-25,14:24:59.87,2,3,"Miller, Jess",1000103379,Right,CEN_COL,"Downing, ",,Undefined,DOM_UNI,Undefined,1,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.45483,0.013298,-3.349617,2009.148976,229.915948,1:45,5.6803,1.67691,6.12753,-22.8732,16.07524,17.26324,3.78651,0.01577,76.07279,-4.375628,-0.243609,0.449176,,,,,,,,,,,,-9.95819,8.69745,-1.42873,50,5.66958,6.51564,-123.66227,-0.60281,-15.02278,30.58488,-19.05322,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,18b4bb40-b542-11ed-8fef-4b2e3ebd33d7,83.91463,,,9.38204,,,,,,,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:24:59.87,2023-02-25T14:24:59.8709664-05:00,2023-02-25T19:24:59.8709664Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,fe8547e7-6850-42ec-b12f-4810397f2971,54.36414,-124.73697,15.29244,5.679,0.06669,-9.52661,-1.66695,7.04351,-7.51139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-25,14:25:13.78,2,4,"Miller, Jess",1000103379,Right,CEN_COL,"Downing, ",,Undefined,DOM_UNI,Undefined,1,Top,1,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,76.62277,0.028403,-2.463676,1595.605717,241.195054,2:00,5.33829,2.02554,6.10097,-36.49207,11.51717,17.72438,2.32358,1.22273,69.122,-6.825785,0.729437,0.498694,50.68418,-79.034484,-170.383449,,,,,2.40504,2.77469,-32.598705,0.033312,-9.98847,6.42992,-1.84534,50,5.32151,4.15131,-111.10803,-0.95621,-12.25678,23.31847,-24.28391,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,2102e420-b542-11ed-8fef-4b2e3ebd33d7,75.58236,2.44797,,7.50077,,,,2.4938,2.44797,-1.21648,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:25:13.78,2023-02-25T14:25:13.7895328-05:00,2023-02-25T19:25:13.7895328Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,455cd3ef-a694-4aeb-a2f1-1d4e4cdbca04,54.3953,-112.02668,11.65924,5.34034,0.00048,-12.14196,-2.0184,4.63418,-6.12839,,2.49432,-14.03847,,,,,,,,2.45069,-73.48711,,,,,,,,-1.21639,-2.3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2023-02-25,14:25:41.66,3,1,"Miller, Jess",1000103379,Right,CEN_COL,"Galdi, ",,Undefined,DOM_UNI,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.03244,-0.271618,-2.816696,1977.768621,225.652402,1:30,5.52295,1.77568,5.93882,-24.59104,13.82607,12.6693,3.22142,0.21646,77.18182,-4.930172,-0.543733,0.446102,,,,,,,,,,,,-7.36012,7.58201,-1.55777,50,5.48766,5.59377,-124.60105,-1.33593,-11.35256,29.44282,-20.47923,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,31948780-b542-11ed-8fef-4b2e3ebd33d7,84.49295,,,8.85062,,,,,,,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:25:41.66,2023-02-25T14:25:41.6606624-05:00,2023-02-25T19:25:41.6606624Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,48b87e6a-c3fa-42c2-9e27-e20624461fbd,54.55403,-125.67254,14.72141,5.52272,-0.59064,-10.23962,-1.76886,6.00691,-5.67628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-25,14:25:53.63,3,2,"Miller, Jess",1000103379,Right,CEN_COL,"Galdi, ",,Undefined,DOM_UNI,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.90077,-0.683698,-2.729677,1847.663061,238.846804,2:00,5.32952,1.90286,5.88931,-34.271,12.39776,17.73371,1.83804,0.84424,70.55315,-7.088677,0.452277,0.491682,,,,,,,,,,,,-9.90245,7.05634,-1.69285,50,5.25493,4.71544,-112.91411,-2.34838,-12.61277,23.13473,-23.18635,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,38d38a50-b542-11ed-8fef-4b2e3ebd33d7,76.66017,,,7.34762,,,,,,,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:25:53.63,2023-02-25T14:25:53.6359840-05:00,2023-02-25T19:25:53.6359840Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,8ceff4a5-0951-4b17-bd65-8cda2707a046,54.60609,-113.85393,11.56737,5.3312,-1.40646,-11.59317,-1.89481,5.22782,-6.30638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-25,14:26:06.43,3,3,"Miller, Jess",1000103379,Right,CEN_COL,"Galdi, ",,Undefined,DOM_UNI,Undefined,1,Top,2,0,2,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,86.50254,-0.048529,-2.290814,2019.393809,237.098662,2:00,5.56807,1.79966,5.84667,-25.10009,12.75434,17.643,3.43127,1.14004,78.09781,-4.774597,0.871479,0.442823,64.31173,24.966529,-32.084618,3933.691936,86.03661,22.86474,-68.53941,162.53866,131.80204,-41.634487,2.452327,-9.76627,6.91776,-1.62386,50,5.54961,4.28973,-125.4564,-0.89732,-15.35819,28.53076,-21.29535,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,405b55f0-b542-11ed-8fef-4b2e3ebd33d7,85.11861,24.9188,,8.40472,,,,1.21595,3.4579,-1.16356,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:26:06.43,2023-02-25T14:26:06.4360864-05:00,2023-02-25T19:26:06.4360864Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,663e55f3-ca80-406f-8a0f-d661b5fffe59,54.65022,-126.50952,14.26538,5.56822,-0.11127,-10.64768,-1.79267,4.85663,-7.67909,108.369698,1.21598,72.44936,-13.59116,2.80638,-0.81658,0.37285,-0.20404,0.06263,-0.00734,3.45793,39.81069,-20.3418,1.95324,-0.15787,-0.15177,0.11486,-0.03419,0.00371,-1.16355,-45.42113,-1.06575,1.47368,-0.45263,0.03474,0.0353,-0.01413,0.00182,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2023-02-25,14:26:40.70,4,1,"Miller, Jess",1000103379,Right,CEN_COL,"Wano, ",,Undefined,DOM_UNI,Undefined,1,Top,2,0,0,ChangeUp,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,71.79128,-1.143741,-1.571968,1914.239413,71.75113,8:30,5.36723,1.83015,5.93727,-56.77153,-2.47374,-12.6782,-0.42528,-0.685,66.54345,-11.491674,-3.856575,0.53035,,,,,,,,,,,,6.12815,-0.53508,-1.69736,50,5.24358,3.27296,-104.30228,-3.69452,6.71022,18.52896,-32.75993,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230225-GaryWright-3,54d2bf00-b542-11ed-8fef-4b2e3ebd33d7,71.0709,,,5.24783,,,,,,,0b959ce3-4935-427b-8051-b0f9ddea714b,2023-02-25,19:26:40.70,2023-02-25T14:26:40.7009184-05:00,2023-02-25T19:26:40.7009184Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,2f5d3077-791e-4a5e-a216-a7db167f9c8d,54.56346,-105.10984,9.26448,5.37349,-2.26673,-16.37997,-1.83364,2.9805,3.35511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
