PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-26,13:53:32.37,1,1,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Kalekas, CJ",1000233190,Right,DOM_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.78978,-2.171654,-3.18363,2042.713848,207.9576,1:00,5.59415,0.75698,6.71187,-20.95663,20.51678,10.02847,1.85853,-1.32062,73.31104,-6.248414,-1.359005,0.463507,,,,,,,,,,,,-6.33272,12.00532,-0.54906,50,5.44142,6.22304,-118.45084,-4.94871,-8.79107,27.45694,-15.50828,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,de1fd300-b606-11ed-a395-7b272a797a96,81.32012,,,8.47874,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:53:32.37,2023-02-26T13:53:32.3748784-05:00,2023-02-26T18:53:32.3748784Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,bcc4ef96-7d08-4b17-a9af-4d94f8a62a40,53.78028,-119.32389,13.72847,5.59093,-4.45559,-7.75414,-0.75137,6.50258,-4.39554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-26,13:53:47.74,1,2,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Kalekas, CJ",1000233190,Right,DOM_UNI,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.39868,-2.148629,-2.895842,1933.393298,210.631018,1:00,5.44708,0.86898,6.41756,-23.5145,16.50521,8.90784,1.50889,-1.05307,75.36677,-6.633552,-1.282871,0.455311,,,,,,,,,,,,-5.57551,9.73512,-0.66593,50,5.2828,5.78108,-120.86624,-5.15297,-8.12122,26.92983,-17.99406,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,e75b6920-b606-11ed-a395-7b272a797a96,82.78393,,,8.03192,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:53:47.74,2023-02-26T13:53:47.7433776-05:00,2023-02-26T18:53:47.7433776Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,306f7913-9d1e-46f8-a59d-1854e5df21e3,54.07729,-121.7713,13.46492,5.44582,-4.54823,-8.99703,-0.86481,6.05402,-4.06061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-26,13:54:06.15,1,3,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Kalekas, CJ",1000233190,Right,DOM_UNI,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.62823,2.592359,-2.040409,1701.425496,13.595241,6:30,5.44037,0.75695,6.25742,-70.37224,-10.41327,-3.06449,1.96953,-1.38065,62.01951,-10.438769,-2.59469,0.557312,,,,,,,,,,,,0.85142,-5.5604,-0.60423,50,5.59994,3.64265,-99.47109,2.61099,0.83054,19.87797,-37.59817,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,f2521cc0-b606-11ed-a395-7b272a797a96,67.63253,,,6.60872,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:54:06.15,2023-02-26T13:54:06.1552048-05:00,2023-02-26T18:54:06.1552048Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,174bc83e-9876-42e8-8f95-c1fab76c47d6,54.24058,-100.31494,9.93899,5.45523,4.20707,-18.79909,-0.75811,3.6074,0.41527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-26,13:54:20.62,1,4,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Kalekas, CJ",1000233190,Right,DOM_UNI,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.48613,0.56887,-2.132534,2012.30056,78.304858,8:30,5.23385,1.00621,5.96521,-56.08168,-1.26138,-16.76969,1.08821,-2.36942,65.00047,-9.805369,-5.146432,0.532896,,,,,,,,,,,,7.74796,-0.19539,-0.8281,50,5.2487,4.49703,-104.94865,-0.57407,8.33102,23.69677,-32.38415,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,fae712a0-b606-11ed-a395-7b272a797a96,70.73137,,,7.48566,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:54:20.62,2023-02-26T13:54:20.6224816-05:00,2023-02-26T18:54:20.6224816Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,7f715fb1-5eee-4965-9102-5efe8e841396,54.52942,-105.96643,11.84839,5.24349,0.81683,-16.19208,-1.01356,4.13922,4.16551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-26,13:54:34.55,1,5,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Kalekas, CJ",1000233190,Right,DOM_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.28656,0.115669,-0.900982,1841.427087,211.581927,1:00,5.63516,0.64785,6.47558,-22.52749,17.48595,9.85004,3.8641,0.64127,74.87072,-4.226079,0.88637,0.455276,,,,,,,,,,,,-5.37028,9.5006,-0.588,50,5.63312,1.51934,-120.86366,-0.3125,-7.80405,27.42239,-18.36787,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,031900f0-b607-11ed-a395-7b272a797a96,82.79036,,,8.41584,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:54:34.55,2023-02-26T13:54:34.5534896-05:00,2023-02-26T18:54:34.5534896Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,485d68b9-d96a-4465-b048-90dd0280adf0,54.01623,-121.77148,13.71119,5.6334,0.29557,-9.18393,-0.64258,1.77769,-3.90202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-26,13:54:49.68,1,6,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Kalekas, CJ",1000233190,Right,DOM_UNI,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.44147,-0.159807,-1.711574,1918.847081,211.183817,1:00,5.41212,0.80426,6.74241,-25.54966,15.58835,8.57693,3.13691,-0.04518,73.81532,-5.057722,-0.147693,0.461629,65.33814,-49.525939,-61.682215,,,,,3.53106,3.53106,-40.922614,0.042778,-5.0689,8.71012,-0.69473,50,5.3916,3.24064,-118.33089,-0.94985,-7.1052,24.97992,-19.96488,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,0c2b1610-b607-11ed-a395-7b272a797a96,81.65093,3.13492,,7.62615,,,,1.39912,3.13492,0.04192,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:54:49.68,2023-02-26T13:54:49.6835504-05:00,2023-02-26T18:54:49.6835504Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,1ce5ff98-d479-44b7-80eb-05688c0a05a4,53.75353,-119.12063,12.48996,5.41165,-0.31866,-9.98244,-0.80073,3.46527,-3.5526,,1.39805,29.66334,,,,,,,,3.13759,-73.28413,,,,,,,,0.04392,-55.04986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2023-02-26,13:55:23.24,2,1,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Downing, Grayson",1000233188,Right,DOM_UNI,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,82.23613,-0.746735,-1.384818,1753.928171,215.038885,1:15,5.52869,0.81019,6.23762,-27.0345,14.21103,8.93981,2.58677,0.27753,74.41775,-5.865931,0.23055,0.462232,,,,,,,,,,,,-5.06437,8.03418,-0.71122,50,5.45978,2.54753,-119.35426,-2.30844,-7.20757,25.84153,-20.73989,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,202b0530-b607-11ed-a395-7b272a797a96,81.54445,,,7.81837,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:55:23.24,2023-02-26T13:55:23.2431536-05:00,2023-02-26T18:55:23.2431536Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,085f3974-c7fc-4a50-820c-b0253bc2183c,54.25735,-120.27249,12.92076,5.52871,-1.57149,-10.36994,-0.80629,2.80364,-3.60378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-26,13:55:39.36,2,2,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Downing, Grayson",1000233188,Right,DOM_UNI,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,65.32594,7.402017,1.640859,1686.789372,53.157619,7:45,5.44032,0.72171,5.7564,-76.14732,-7.60678,-13.75237,6.02612,1.10345,57.88391,-6.642672,-0.808546,0.595861,,,,,,,,,,,,7.40414,-5.46059,-0.84983,50,6.01302,-2.21673,-93.87742,10.08932,6.43178,17.73274,-36.91754,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,29e4cc00-b607-11ed-a395-7b272a797a96,63.25707,,,7.44203,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:55:39.36,2023-02-26T13:55:39.3628592-05:00,2023-02-26T18:55:39.3628592Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,a02e5f4f-13db-4d3c-b7b1-f2ecc59e0d4a,54.73919,-94.7684,8.86637,5.45949,11.94422,-18.45877,-0.73033,-2.53989,3.21589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-26,13:55:54.40,2,3,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Downing, Grayson",1000233188,Right,DOM_UNI,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,75.0303,0.50957,-1.400645,1585.921013,227.604487,1:30,5.13783,1.16313,6.7395,-36.84053,12.38497,11.45501,2.53352,0.83774,67.14907,-6.527303,0.688966,0.504971,81.22531,-23.693856,12.673789,,,,,8.03533,5.53651,3.297699,0.054882,-6.56516,6.90103,-1.07495,50,5.15739,2.29319,-108.87726,0.0949,-7.6595,24.11207,-24.1227,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,32bb5ec0-b607-11ed-a395-7b272a797a96,74.6428,2.63465,,7.88123,,,,2.16466,2.63465,-0.85497,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:55:54.40,2023-02-26T13:55:54.4087984-05:00,2023-02-26T18:55:54.4087984Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,2bcc36c2-fce7-4e00-b507-e72a853d80cd,53.7548,-109.70565,12.05604,5.13989,0.92366,-12.06135,-1.15825,2.55634,-3.82975,180,2.16205,106.72622,,,,,,,,2.63582,-48.00554,,,,,,,,-0.85556,24.00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2023-02-26,13:56:23.88,3,1,"Zimmerman, Trevor",1000077689,Right,CEN_COL,"Galdi, Matt",1000233197,Right,DOM_UNI,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.84075,1.670749,-1.078026,1690.165027,35.369693,7:15,5.46831,0.68376,6.60454,-71.39752,-9.19878,-8.17,1.04967,-0.98468,60.7507,-11.609528,-2.568692,0.567626,,,,,,,,,,,,3.91225,-4.76563,-0.60732,50,5.55396,2.06481,-97.06712,1.09456,3.63294,18.97303,-36.59945,CEN_COL,DOM_UNI,GaryWright,D3,Team,20230226-GaryWright-2,446242b0-b607-11ed-a395-7b272a797a96,66.40366,,,6.09005,,,,,,,0a5d335e-e3ca-41ea-830b-aac5299c690b,2023-02-26,18:56:23.88,2023-02-26T13:56:23.8852528-05:00,2023-02-26T18:56:23.8852528Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,c5ed317f-a0c1-4ae9-a548-649ef7e88318,53.89464,-97.82541,9.48652,5.48098,2.55733,-18.29972,-0.68694,1.91961,1.81647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
