PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-28,17:59:35.57,1,1,"Sickles, David",90000172766,Right,CEN_COL,"Danneman, Jake",1000234382,Right,HAN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.32452,-0.46461,-3.358883,1828.135943,246.130575,2:15,5.17326,1.83289,5.4072,-35.19266,5.98658,10.49284,1.80448,-0.44331,76.14022,-6.920629,-1.4951,0.46186,,,,,,,,,,,,-6.23477,3.54481,-1.54126,50,5.10737,6.64728,-120.75199,-2.21232,-9.18125,24.09169,-26.95398,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,d442a190-cdb3-11ed-93e8-7be0a5ad298e,81.61003,,,7.1843,,,,,,,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,21:59:35.57,2023-03-28T17:59:35.5733832-04:00,2023-03-28T21:59:35.5733832Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,993068a3-5a00-48a5-8b08-7446c8391ecb,55.08993,-121.76327,12.04585,5.17648,-1.0809,-13.47699,-1.82838,7.03268,-4.59062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-28,17:59:51.59,1,2,"Sickles, David",90000172766,Right,CEN_COL,"Danneman, Jake",1000234382,Right,HAN_COL,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.68551,1.057375,-3.262276,1961.297667,58.682239,8:00,5.26301,1.95613,4.93445,-58.53578,-4.06721,-9.16268,1.38616,-1.89417,67.735,-9.428674,-4.874862,0.531183,,,,,,,,,,,,3.72984,-1.8585,-1.63057,50,5.3169,6.35476,-105.4438,-0.01929,4.23593,16.46339,-34.2847,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,ddd446f0-cdb3-11ed-93e8-7be0a5ad298e,70.95939,,,4.95052,,,,,,,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,21:59:51.59,2023-03-28T17:59:51.5993928-04:00,2023-03-28T21:59:51.5993928Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,9dd638d9-c5cb-461a-96ee-ecb59fb49496,55.56668,-106.3094,8.23169,5.27053,1.7833,-17.14235,-1.95883,6.13205,2.11797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-28,18:00:09.77,1,3,"Sickles, David",90000172766,Right,CEN_COL,"Danneman, Jake",1000234382,Right,HAN_COL,Undefined,1,Top,0,1,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.04814,1.079388,-2.587799,1942.863518,241.88249,2:00,5.25741,1.67601,5.57886,-32.73738,7.11827,11.0906,3.53851,0.18177,77.15011,-4.956375,-0.611268,0.454377,50.17864,41.214065,48.275879,4924.133335,57.69671,27.11299,93.65408,139.94981,92.36512,60.362122,3.18458,-6.3163,3.66835,-1.4609,50,5.32884,5.06169,-122.00912,1.1848,-9.57043,22.84176,-26.61581,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,e8998a50-cdb3-11ed-93e8-7be0a5ad298e,82.95412,39.25709,,6.89803,,,,0.62168,3.54016,-0.16148,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:00:09.77,2023-03-28T18:00:09.7763656-04:00,2023-03-28T22:00:09.7763656Z,Popup,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,0de7ea77-786d-470b-bc84-cf92c06cc525,54.91979,-122.92672,11.42088,5.25977,2.25401,-13.3079,-1.67196,5.44615,-4.78521,217.310405,0.62164,36.85003,-9.4873,2.54807,-0.59776,0.17905,-0.06353,0.01457,-0.00134,3.54051,48.47422,-17.42068,0.57733,0.28057,-0.28912,0.12315,-0.02507,0.00196,-0.16148,41.32093,-2.24002,0.72015,-0.15719,0.0257,-0.00482,0.00114,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2023-03-28,18:00:39.18,1,4,"Sickles, David",90000172766,Right,CEN_COL,"Danneman, Jake",1000234382,Right,HAN_COL,Undefined,1,Top,0,1,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,73.3663,1.961407,-2.361827,1886.030475,58.582726,8:00,5.25705,2.00531,4.93218,-58.44527,-4.59618,-10.19339,2.24285,-1.07783,67.63405,-8.561623,-4.156995,0.528154,76.93139,13.768589,13.751664,3242.377839,103.76364,15.64924,36.51133,193.31938,192.15002,23.256372,2.195944,4.41752,-2.39874,-1.76642,50,5.39902,4.77653,-106.37661,1.66513,5.06351,18.19228,-34.92356,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,fa31ef50-cdb3-11ed-93e8-7be0a5ad298e,71.36639,15.7636,,5.73225,,,,0.43433,2.12733,1.15401,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:00:39.18,2023-03-28T18:00:39.1819080-04:00,2023-03-28T22:00:39.1819080Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d81be40e-409e-4e4b-8799-6e9ad6409852,55.56833,-107.32467,9.09614,5.26482,3.48511,-17.46178,-2.00847,4.51265,2.53175,237.085725,0.43434,106.44871,-16.08319,2.81168,-0.50996,0.07541,-0.00828,0.00061,-2E-05,2.12732,26.8547,-13.71946,0.51904,-0.05101,0.02933,-0.01187,0.00303,-0.0003,1.154,26.05186,5.99279,-1.63829,0.37941,-0.04761,-0.00464,0.00296,-0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2023-03-28,18:01:32.08,2,1,"Sickles, David",90000172766,Right,CEN_COL,"Christie, Alex",1000091012,Right,HAN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.33659,1.479919,-2.811362,1927.527418,239.542371,2:00,5.20176,1.76157,5.71897,-33.64022,8.10788,11.44575,3.77889,0.09455,74.81276,-4.76749,-0.767196,0.46504,,,,,,,,,,,,-6.59473,4.11855,-1.53351,50,5.30502,5.39344,-119.35421,1.99121,-9.46867,23.96829,-26.26063,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,19a933c0-cdb4-11ed-93e8-7be0a5ad298e,81.05212,,,7.52383,,,,,,,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:01:32.08,2023-03-28T18:01:32.0886600-04:00,2023-03-28T22:01:32.0886600Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,9f708272-76af-419b-b541-99e98f87fb79,54.77658,-120.3096,11.98414,5.20479,3.03798,-13.13031,-1.75601,5.77086,-4.73434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-28,18:01:52.40,2,2,"Sickles, David",90000172766,Right,CEN_COL,"Christie, Alex",1000091012,Right,HAN_COL,Undefined,1,Top,0,0,1,Curveball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,74.03625,0.822754,-3.612495,1460.19564,229.069694,1:45,5.22948,1.92949,5.33185,-41.50384,10.97666,10.62942,2.54435,-0.57858,67.47081,-6.812321,-1.729363,0.521399,104.47507,19.868394,-20.909892,1871.781888,100.07558,34.31121,-45.65871,300.83388,291.32598,-32.243749,3.206938,-6.4278,5.74965,-1.61099,50,5.27427,6.37473,-107.20791,0.2668,-7.4402,19.477,-25.51885,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,25cd43d0-cdb4-11ed-93e8-7be0a5ad298e,72.29093,40.76684,,6.56544,,,,2.64826,2.74339,0.49706,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:01:52.40,2023-03-28T18:01:52.4081992-04:00,2023-03-28T22:01:52.4081992Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,ad00860d-847c-47cc-a764-25d8a8efd253,55.16529,-108.14224,9.7385,5.23211,1.49097,-12.75942,-1.92535,6.73164,-3.7201,121.921597,2.64804,134.62836,-33.02976,8.67857,-1.94784,0.34559,-0.04414,0.00311,-5E-05,2.7436,52.06693,-18.90513,0.59048,0.15984,-0.0533,0.00452,0.00083,-0.00012,0.49683,-51.42134,-3.31994,2.84644,-0.98838,0.22325,-0.0317,0.00229,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2023-03-28,18:02:27.27,3,1,"Sickles, David",90000172766,Right,CEN_COL,"Roudebush, Eric",1000234373,Right,HAN_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,82.28351,0.645178,-2.324532,1999.942624,251.827949,2:30,5.05728,2.17028,5.32834,-37.41018,5.23055,11.38839,2.54565,0.93702,74.49399,-6.236443,-0.302677,0.469985,81.49416,48.013482,-62.669218,4543.377351,,,,,80.51806,,,-6.44548,2.8391,-1.96874,50,5.08887,4.36323,-119.22733,0.03734,-9.16949,25.42164,-28.13507,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,3a95b310-cdb4-11ed-93e8-7be0a5ad298e,80.19929,76.9612,,7.78951,,,,1.53953,2.55906,-0.93767,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:02:27.27,2023-03-28T18:02:27.2737096-04:00,2023-03-28T22:02:27.2737096Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,21e2f8d2-471e-40c6-ab1c-92f2c08e27d1,55.16824,-120.32426,12.71082,5.06107,1.25134,-14.06753,-2.16554,4.75888,-4.58474,,1.53954,36.70842,-21.3046,5.73952,-1.5699,1.32348,-1.4579,0.83133,-0.18409,2.55906,88.84341,-24.18589,2.49264,-0.42134,-0.09834,0.26003,-0.1701,0.0398,-0.93766,-71.03212,5.36361,0.03805,-0.27647,0.48243,-0.61088,0.36497,-0.08275,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2023-03-28,18:03:09.12,3,2,"Sickles, David",90000172766,Right,CEN_COL,"Roudebush, Eric",1000234373,Right,HAN_COL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,1,0,,75.64226,1.208405,-1.577795,1331.705864,279.847218,3:15,5.16868,1.94114,5.58941,-49.79605,-0.23807,10.60119,2.14795,1.35095,69.24324,-7.917118,0.315771,0.506674,,,,,,,,,,,,-5.80189,0.04299,-1.8127,50,5.24019,2.62448,-109.78363,0.72486,-7.05145,20.18888,-32.1218,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,5391b9e0-cdb4-11ed-93e8-7be0a5ad298e,74.39196,,,6.39903,,,,,,,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:03:09.12,2023-03-28T18:03:09.1240000-04:00,2023-03-28T22:03:09.1240000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,0e792ae9-3087-4bfb-bd64-08163700ce5c,54.90831,-110.68257,10.09444,5.17607,2.15513,-16.0609,-1.93655,2.93846,-3.52572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.81966,2.183505,0.965683,1.217822,-0.73707,1.84078,-1.36426,0.93354,5.76432,-0.43918,127.27848,0.04007,1.95107,1.0406,115.26451,-9.59345,5.79513,10.58601,-12.59321,-0.5189,-3.67123,4.72643,High,High,High,,,High,High,High
9,2023-03-28,18:03:41.24,3,3,"Sickles, David",90000172766,Right,CEN_COL,"Roudebush, Eric",1000234373,Right,HAN_COL,Undefined,1,Top,2,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.77559,0.887053,-1.381947,1368.811095,278.013879,3:15,5.23964,1.92461,5.45803,-46.32735,-0.43728,13.61253,2.20965,1.76519,72.08875,-7.582861,1.044389,0.487563,,,,,,,,,,,,-7.228,0.00059,-1.81234,50,5.28622,2.21596,-114.33894,0.19681,-9.53246,21.82449,-32.17328,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,66a721f0-cdb4-11ed-93e8-7be0a5ad298e,77.30785,,,6.68684,,,,,,,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:03:41.24,2023-03-28T18:03:41.2456264-04:00,2023-03-28T22:03:41.2456264Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,49aaae39-3b0d-46af-8cdd-1ecf15eefadc,55.03992,-115.29692,10.91225,5.24658,1.60906,-16.08664,-1.91879,2.63439,-4.76623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-28,18:04:00.47,3,4,"Sickles, David",90000172766,Right,CEN_COL,"Roudebush, Eric",1000234373,Right,HAN_COL,Undefined,1,Top,2,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.56023,-0.80302,-3.968898,1873.43256,255.234301,2:30,5.14971,1.73325,5.58558,-37.56778,3.71398,9.50875,1.26735,-1.18647,76.3438,-7.664992,-2.275527,0.462435,,,,,,,,,,,,-5.85382,2.43689,-1.39836,50,5.05585,7.93073,-119.74256,-2.96451,-8.56793,21.37281,-28.60732,CEN_COL,HAN_COL,GaryWright,D3,Team,20230328-GaryWright-1,7223a760-cdb4-11ed-93e8-7be0a5ad298e,81.50865,,,6.21643,,,,,,,e9e3a79b-7ccf-407d-8258-1da606f7a467,2023-03-28,22:04:00.47,2023-03-28T18:04:00.4721992-04:00,2023-03-28T22:04:00.4721992Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3acbb8a0-51b4-4a01-a949-101584301173,54.91387,-120.61645,10.6864,5.15315,-1.79482,-14.30366,-1.72979,8.28105,-4.28396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
