PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-24,18:02:36.93,1,1,"Heavern, Zach",1000091189,Right,CEN_COL,"Mere, ",,Undefined,NEW_YOR3,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,79.94548,-1.117124,-2.388174,1920.128668,216.892205,1:15,6.09623,0.91061,5.93904,-26.43175,17.35095,11.94083,2.85626,-0.31096,73.00163,-6.087746,-0.244454,0.476237,,,,,,,,,,,,-6.81351,9.65312,-0.72692,50,5.99227,4.38947,-116.01164,-3.00811,-9.25755,22.31762,-19.05836,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,b9aa4890-e2eb-11ed-af8c-832e97e6b96b,79.14646,,,6.94385,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:02:36.93,2023-04-24T18:02:36.9383594-04:00,2023-04-24T22:02:36.9383594Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,bd770f4b-6e6d-4d73-ae08-eb499bdf9a12,54.55747,-116.88509,11.15881,6.0954,-2.26222,-9.52918,-0.9058,4.75178,-4.62877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-04-24,18:02:53.07,1,2,"Heavern, Zach",1000091189,Right,CEN_COL,"Mere, ",,Undefined,NEW_YOR3,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.81371,1.413148,-1.725615,2194.118986,118.60894,10:00,5.66216,1.43801,5.87602,-47.83125,6.13418,-8.33634,2.98953,-0.85981,66.32697,-7.401069,-3.220208,0.528724,,,,,,,,,,,,3.81481,3.25292,-1.29368,50,5.74866,3.42421,-104.32378,1.22321,4.22302,16.81267,-28.57304,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,c345b1f0-e2eb-11ed-af8c-832e97e6b96b,71.28941,,,5.48674,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:02:53.07,2023-04-24T18:02:53.0756266-04:00,2023-04-24T22:02:53.0756266Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,24a3e525-f1e5-41b3-9ebf-5d54e1f824ef,54.62199,-105.06602,8.40634,5.66681,2.48463,-14.28652,-1.44073,3.23777,2.11151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-04-24,18:03:08.65,1,3,"Heavern, Zach",1000091189,Right,CEN_COL,"Mere, ",,Undefined,NEW_YOR3,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,71.77377,-0.75156,-3.051806,2176.703263,144.139335,10:45,5.4162,1.48606,6.00505,-46.73467,6.97118,-3.91571,0.8243,-1.67037,66.78159,-9.327771,-3.755499,0.527451,,,,,,,,,,,,1.23784,4.25284,-1.24397,50,5.33129,5.68452,-104.23542,-2.65641,1.37131,16.38232,-27.46262,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,cc819630-e2eb-11ed-af8c-832e97e6b96b,71.46149,,,4.99218,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:03:08.65,2023-04-24T18:03:08.6592682-04:00,2023-04-24T22:03:08.6592682Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,e504ecf5-7ce7-48b4-a6d5-f6fdfdb26f91,54.49352,-104.93928,8.19116,5.42007,-1.4765,-13.73131,-1.48693,5.6256,0.68566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-04-24,18:03:24.13,1,4,"Heavern, Zach",1000091189,Right,CEN_COL,"Mere, ",,Undefined,NEW_YOR3,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.13613,0.959093,-1.780903,2437.25139,52.214266,7:45,5.70927,1.29087,6.21745,-73.58929,-10.24064,-15.73914,0.46237,-1.66463,61.47538,-12.505144,-4.631476,0.572849,,,,,,,,,,,,7.67485,-5.07988,-1.14979,50,5.74458,3.45169,-96.17154,-0.26835,7.12941,16.04802,-36.89293,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,d5cd31e0-e2eb-11ed-af8c-832e97e6b96b,65.79822,,,4.66075,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:03:24.13,2023-04-24T18:03:24.1337002-04:00,2023-04-24T22:03:24.1337002Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,1e2e76d1-4595-47d1-abc3-d8e822cf2a5d,54.28562,-96.88403,8.02401,5.72014,1.36961,-18.44646,-1.29601,3.13516,3.5647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-04-24,18:03:43.07,1,5,"Heavern, Zach",1000091189,Right,CEN_COL,"Mere, ",,Undefined,NEW_YOR3,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,72.86985,1.311321,-2.614838,2305.455829,98.349166,9:15,5.5395,1.56844,6.04592,-49.19581,2.74339,-8.78107,2.65532,-1.58573,67.62458,-7.742928,-4.192576,0.518703,,,,,,,,,,,,3.86032,1.53988,-1.36012,50,5.61517,5.1283,-105.88016,1.03659,4.4171,16.72937,-30.41205,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,e102ea50-e2eb-11ed-af8c-832e97e6b96b,72.66666,,,5.24527,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:03:43.07,2023-04-24T18:03:43.0711978-04:00,2023-04-24T22:03:43.0711978Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,4625f8fd-240f-4339-8bb2-4c6048ea73b0,54.45318,-106.58145,8.36469,5.54499,2.31146,-15.20603,-1.57122,4.94314,2.20855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-04-24,18:04:09.64,2,1,"Heavern, Zach",1000091189,Right,CEN_COL,"Owen, ",,Undefined,NEW_YOR3,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.69905,-1.555379,-4.433447,1929.382068,212.305214,1:00,6.01771,1.03769,6.22705,-22.86852,18.56607,10.90772,2.67233,-2.15186,74.8765,-5.883785,-2.471921,0.46329,,,,,,,,,,,,-6.83555,10.44154,-0.7111,50,5.88963,8.77302,-118.38808,-3.82699,-9.72676,22.04573,-17.31608,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,f0d75830-e2eb-11ed-af8c-832e97e6b96b,81.35821,,,6.82256,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:04:09.64,2023-04-24T18:04:09.6494250-04:00,2023-04-24T22:04:09.6494250Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,e000b23c-43a2-4b3c-8b59-09c5a23a2d50,54.26947,-119.18047,11.02286,6.016,-3.2046,-8.65804,-1.03271,9.12263,-4.86338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-04-24,18:04:22.73,2,2,"Heavern, Zach",1000091189,Right,CEN_COL,"Owen, ",,Undefined,NEW_YOR3,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,71.5869,0.753782,-1.378228,2298.314711,116.839366,10:00,5.59234,1.41473,5.83494,-47.58483,6.6091,-10.00178,2.32779,-0.7,66.41778,-7.990079,-3.171493,0.529842,,,,,,,,,,,,4.76158,3.67827,-1.29646,50,5.62572,2.84151,-104.05789,0.0179,5.26106,16.20143,-28.10991,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,f8b72ee0-e2eb-11ed-af8c-832e97e6b96b,71.13896,,,5.16912,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:04:22.73,2023-04-24T18:04:22.7394730-04:00,2023-04-24T22:04:22.7394730Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,188f6844-d2c6-4205-96f6-4a4dc71faa47,54.66324,-104.78143,8.10072,5.59689,1.27324,-14.05496,-1.41811,2.60656,2.63053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-04-24,18:04:36.76,2,3,"Heavern, Zach",1000091189,Right,CEN_COL,"Owen, ",,Undefined,NEW_YOR3,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,67.11342,1.986071,-2.173538,2454.108487,59.158239,8:00,5.50248,1.47765,5.9493,-68.94846,-7.20126,-15.04461,1.60084,-1.7929,62.45806,-10.601463,-4.876747,0.565562,,,,,,,,,,,,7.15422,-3.72614,-1.29623,50,5.62175,4.16767,-97.53122,1.52229,6.89983,15.15695,-35.76772,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,0113afa0-e2ec-11ed-af8c-832e97e6b96b,66.64602,,,4.65536,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:04:36.76,2023-04-24T18:04:36.7655082-04:00,2023-04-24T22:04:36.7655082Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,a3aa0890-9582-458b-921b-02de5dc331fb,54.55324,-98.23627,7.57848,5.51224,3.18609,-17.88386,-1.48263,3.84671,3.44992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-04-24,18:04:53.09,2,4,"Heavern, Zach",1000091189,Right,CEN_COL,"Owen, ",,Undefined,NEW_YOR3,Undefined,1,Top,1,2,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,73.1868,1.254199,-1.279713,2210.73376,119.06398,10:00,5.66078,1.44383,6.11945,-46.20369,5.31134,-6.78748,2.97044,-0.30507,67.48026,-7.304476,-2.503013,0.516581,,,,,,,,,,,,3.15244,2.90173,-1.34244,50,5.7329,2.60489,-106.36638,1.04455,3.62271,17.71716,-28.83944,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,0ac07e20-e2ec-11ed-af8c-832e97e6b96b,72.96522,,,5.70654,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:04:53.09,2023-04-24T18:04:53.0977450-04:00,2023-04-24T22:04:53.0977450Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,fb7576b0-bfec-499d-96ba-18a7eeed0a1c,54.37799,-107.09313,8.85858,5.66579,2.22752,-14.41972,-1.44625,2.45629,1.81136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-04-24,18:05:08.71,2,5,"Heavern, Zach",1000091189,Right,CEN_COL,"Owen, ",,Undefined,NEW_YOR3,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,65.42243,3.101842,-0.458249,2420.723683,51.993719,7:45,5.64928,1.31212,6.05276,-75.41626,-10.1539,-15.64835,2.23872,-0.4161,60.27926,-10.743719,-3.279416,0.581437,,,,,,,,,,,,7.91268,-5.52158,-1.26824,50,5.85048,1.23761,-95.01642,3.17307,7.17794,15.60662,-37.18291,CEN_COL,NEW_YOR3,GaryWright,D3,Team,20230424-GaryWright-3,14196040-e2ec-11ed-af8c-832e97e6b96b,64.82634,,,5.14317,,,,,,,eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2023-04-24,22:05:08.71,2023-04-24T18:05:08.7171242-04:00,2023-04-24T22:05:08.7171242Z,,v3,,321cef87-b11b-488a-88d0-198e1fdeb705,,"Weyler, Evan",1000190342,Right,CEN_COL,362f836b-e6b5-4dc8-9011-6631fdb47955,54.4498,-95.74452,7.80331,5.66198,4.90777,-18.59145,-1.31817,0.90273,3.58897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
