PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-26,11:02:49.19,1,1,"Livengood, Josh",10072811,Right,CEN_COL,"Bogats, Zac",1000227642,Right,PEN_STA1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.37418,-4.139922,-0.203783,1925.353736,187.042993,12:15,7.1441,0.67413,5.63572,-12.8039,27.05202,3.13992,2.20809,0.74568,76.1967,-6.674664,0.356992,0.454379,,,,,,,,,,,,-1.64039,15.5306,-0.65877,50,6.78375,0.30043,-123.28366,-9.17353,-2.46117,30.24931,-8.87245,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,04b3b210-b5ef-11ed-b8ac-ffaafef142e7,82.95382,,,9.17748,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:02:49.19,2023-02-26T11:02:49.1950000-05:00,2023-02-26T16:02:49.1950000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bde86b56-888c-439c-88d6-0b9f78d7aa9d,54.85446,-124.46907,15.12465,7.13643,-8.82584,-4.43623,-0.67243,0.39687,-1.23058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-26,11:03:02.12,1,2,"Livengood, Josh",10072811,Right,CEN_COL,"Bogats, Zac",1000227642,Right,PEN_STA1,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,LineDrive,Out,1,0,,77.91406,-0.90208,-1.570965,1748.377676,164.681984,11:30,7.10011,0.88053,5.48915,-37.07738,10.58697,-2.40693,3.16606,-0.79004,70.24522,-7.768271,-1.999962,0.496899,89.96691,8.560361,-11.277688,6438.298377,107.62901,6.92873,-22.71394,153.62333,141.62904,-12.630164,1.33578,0.68335,6.15366,-0.74127,50,6.99647,3.18842,-112.82996,-2.941,0.86259,24.51088,-24.40631,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,0c648980-b5ef-11ed-b8ac-ffaafef142e7,75.85532,8.71975,,7.66884,,,,1.56489,3.2196,0.76041,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:03:02.12,2023-02-26T11:03:02.1270000-05:00,2023-02-26T16:03:02.1270000Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c53d8c09-2a46-4f11-9376-2e5f9f60db60,55.005,-113.91205,12.25544,7.10253,-1.86353,-12.20316,-0.88118,3.15033,0.4313,88.789757,1.56489,127.96179,-14.50102,1.77747,-0.37613,0.07144,-0.01225,0.00202,-0.0002,3.2196,19.64111,-18.37947,1.66103,-0.26083,0.06151,-0.01074,0.00146,-0.00013,0.76041,-25.51747,-0.17416,0.02387,-0.00464,0.00091,-0.00016,3E-05,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2023-02-26,11:03:27.10,2,1,"Livengood, Josh",10072811,Right,CEN_COL,"Palmer, Chase",1000227564,Right,PEN_STA1,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.87838,-3.32576,-0.268024,1998.539126,194.449296,12:30,7.15462,0.73937,5.7476,-17.68001,22.17718,5.3163,2.58156,0.93287,76.25225,-6.721246,0.683906,0.454386,,,,,,,,,,,,-2.78634,12.83698,-0.72037,50,6.86773,0.35188,-122.81028,-7.60132,-4.16846,28.95657,-12.96948,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,1b491920-b5ef-11ed-b8ac-ffaafef142e7,82.9525,,,8.62614,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:03:27.10,2023-02-26T11:03:27.1060000-05:00,2023-02-26T16:03:27.1060000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e7956770-6b80-41fd-8a65-92a28e5f1c52,54.74553,-123.92414,14.47828,7.15053,-7.10243,-6.48474,-0.73699,0.51223,-2.08423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-26,11:03:44.99,2,2,"Livengood, Josh",10072811,Right,CEN_COL,"Palmer, Chase",1000227564,Right,PEN_STA1,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.21087,-2.676857,-0.943621,1795.153772,180.469112,12:00,7.03016,1.0378,5.57598,-36.55628,8.01874,0.0526,1.48153,0.16079,73.03334,-9.390609,-0.934211,0.480526,,,,,,,,,,,,-0.32539,5.39276,-0.95665,50,6.77611,1.9114,-116.17574,-6.6231,-0.43878,24.46675,-24.90184,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,25f72b00-b5ef-11ed-b8ac-ffaafef142e7,78.43992,,,7.17753,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:03:44.99,2023-02-26T11:03:44.9960000-05:00,2023-02-26T16:03:44.9960000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b07618af-d5ae-42e2-b08c-fd6ab514a0e4,54.91852,-117.20701,12.23338,7.03316,-5.5735,-12.45092,-1.0376,1.9299,-0.21939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-26,11:03:59.80,2,3,"Livengood, Josh",10072811,Right,CEN_COL,"Palmer, Chase",1000227564,Right,PEN_STA1,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.53559,-3.266613,-2.608661,1965.433375,176.977024,12:00,7.22732,0.68633,5.87435,-15.31391,23.65726,-1.17228,2.9108,-1.83587,77.10294,-6.23314,-2.818569,0.449307,,,,,,,,,,,,-0.25205,13.54272,-0.47467,50,6.95394,5.6855,-123.71182,-7.43112,-0.3844,28.3493,-11.52064,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,2ed07ce0-b5ef-11ed-b8ac-ffaafef142e7,83.89018,,,8.43265,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:03:59.80,2023-02-26T11:03:59.8030000-05:00,2023-02-26T16:03:59.8030000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bdb37b2f-ac28-4903-a4b3-cdb41e22f283,54.61855,-124.7657,14.17465,7.22223,-7.00284,-5.76032,-0.6863,5.69979,-0.1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-26,11:04:14.24,2,4,"Livengood, Josh",10072811,Right,CEN_COL,"Palmer, Chase",1000227564,Right,PEN_STA1,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.73255,-2.334984,-2.361357,1807.528118,144.677012,10:45,7.02614,0.96214,5.57574,-38.60254,6.87142,-3.65654,1.62538,-1.54927,72.15163,-9.428467,-3.014287,0.485347,,,,,,,,,,,,1.04307,4.78583,-0.75645,50,6.8002,4.90253,-115.34388,-5.96186,1.37615,25.59513,-25.86007,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,376bdb60-b5ef-11ed-b8ac-ffaafef142e7,77.66073,,,7.58092,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:04:14.24,2023-02-26T11:04:14.2460000-05:00,2023-02-26T16:04:14.2460000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,f68558b5-d7be-4fea-b12e-674bae87bb93,54.91786,-116.43005,12.79757,7.02992,-4.86445,-12.93004,-0.96326,4.84413,0.68807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.82826,,,0.852295,,,,4.17277,5.42137,6.32153,68.44401,2.9478,56.33207,4.23565,82.38936,-8.24606,5.44595,8.29385,-13.15731,6.33856,61.34765,-3.1481,High,High,High,,,High,High,High
7,2023-02-26,11:04:37.30,3,1,"Livengood, Josh",10072811,Right,CEN_COL,"Stouffer, Isaac",1000227631,Right,PEN_STA1,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.83096,-1.572122,-2.305996,1755.609212,155.659854,11:15,7.12703,0.87745,5.35303,-41.89065,7.35619,-2.50063,2.16014,-1.49481,69.63237,-9.245397,-2.750614,0.505081,,,,,,,,,,,,0.48276,4.77839,-0.66817,50,6.95627,4.57609,-111.16887,-4.41415,0.59316,23.30223,-26.30273,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,45272d40-b5ef-11ed-b8ac-ffaafef142e7,74.62659,,,7.19859,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:04:37.30,2023-02-26T11:04:37.3070000-05:00,2023-02-26T16:04:37.3070000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c9f99d18-133f-4c51-b558-6c3e534bcc85,55.14003,-112.2411,11.65112,7.13154,-3.20385,-13.15137,-0.8781,4.5488,0.29658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-26,11:04:50.00,3,2,"Livengood, Josh",10072811,Right,CEN_COL,"Stouffer, Isaac",1000227631,Right,PEN_STA1,Undefined,1,Top,2,0,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.86875,-2.689207,-1.040141,1721.313239,187.114438,12:15,7.22242,0.56572,5.63178,-17.71855,21.94017,2.56079,3.23458,-0.19144,76.8352,-6.070837,-0.582762,0.453253,,,,,,,,,,,,-1.60728,12.32993,-0.47885,50,6.98238,2.12213,-122.92127,-6.25712,-2.43299,26.78363,-13.50974,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,4ca92c80-b5ef-11ed-b8ac-ffaafef142e7,83.15981,,,8.03354,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:04:50.00,2023-02-26T11:04:50.0020000-05:00,2023-02-26T16:04:50.0020000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,4033999a-ed08-41b3-9357-4c4d1fd10e9a,54.86122,-123.97597,13.39182,7.2183,-5.72512,-6.75487,-0.5643,2.21793,-1.21649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-26,11:05:03.66,3,3,"Livengood, Josh",10072811,Right,CEN_COL,"Stouffer, Isaac",1000227631,Right,PEN_STA1,Undefined,1,Top,2,0,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,80.43459,-1.248467,-2.665981,1858.31233,144.521857,10:45,7.13831,1.08175,5.31655,-37.83738,6.88567,-3.79142,2.81205,-1.73804,73.17108,-8.174062,-3.338813,0.481324,,,,,,,,,,,,1.05622,4.33193,-0.83735,50,6.99823,5.58007,-116.44687,-3.83445,1.43343,24.23844,-26.29511,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,54d6fc20-b5ef-11ed-b8ac-ffaafef142e7,78.30997,,,7.26351,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:05:03.66,2023-02-26T11:05:03.6650000-05:00,2023-02-26T16:05:03.6650000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e388ff42-3d33-42d6-865c-916b425a6bdb,55.17755,-117.51964,12.11922,7.14218,-2.67065,-13.14756,-1.08291,5.51662,0.71671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-26,11:07:17.10,1,1,"Tinker, Ethan",1000227520,Right,PEN_STA1,"Cunningham, Josh",10019681,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,75.76596,-1.663262,-4.177718,2291.284191,92.359192,9:00,5.44021,1.53491,5.78628,-47.98361,2.08709,-5.95496,-0.11032,-2.85478,68.8885,-10.442892,-5.241866,0.509288,,,,,,,,,,,,1.62823,2.13142,-1.18654,50,5.27418,8.21586,-109.54487,-4.64475,1.93585,23.24205,-29.63994,CEN_COL,PEN_STA1,GaryWright,D3,Team,20230226-GaryWright-1,a45f3eb0-b5ef-11ed-b8ac-ffaafef142e7,74.01011,,,6.87746,,,,,,,39267b41-1b2f-458a-80d1-b1e292a2c42c,2023-02-26,16:07:17.10,2023-02-26T11:07:17.1080000-05:00,2023-02-26T16:07:17.1080000Z,,v3,,,,"Meneskie, Ryan",1000227568,Right,PEN_STA1,ec93da4e-76e8-41af-94c0-cb500920604a,54.71013,-110.53969,11.62102,5.44584,-3.37607,-14.81997,-1.53643,8.133,0.96792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
