PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-04,18:00:38.63,1,1,"Heavern, Zach",1000091189,Right,CEN_COL,"Newsom, Michael",1000236231,Right,SPA_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,81.75273,-2.021301,-1.1922,2080.394193,219.562239,1:15,6.14845,0.8079,6.16781,-22.55604,18.7195,14.39635,2.40063,0.90627,75.08903,-6.282997,1.406089,0.4624,94.29481,17.137092,-25.635837,1524.250948,96.57865,25.57856,-52.65466,281.16339,267.20611,-32.873784,2.754223,-7.83402,10.65745,-0.72507,50,5.98375,1.94907,-118.78841,-4.80029,-11.20997,22.44359,-16.92389,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,22b79490-d334-11ed-9837-4769650016a3,81.51479,27.66091,,6.6637,,,,2.59564,2.50881,-0.83899,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:00:38.63,2023-04-04T18:00:38.6310000-04:00,2023-04-04T22:00:38.6310000Z,LineDrive,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,481be4b7-5e34-4f62-8827-d9913fa79255,54.3308,-119.60387,11.2218,6.14699,-4.18538,-8.46194,-0.80328,2.35637,-5.60499,115.469132,2.59557,119.15186,-20.58286,4.9636,-1.15869,0.23916,-0.04147,0.00362,0.0001,2.50883,40.75042,-17.83206,1.13261,-0.06588,0.01011,-0.01156,0.0058,-0.00087,-0.83897,-57.17927,-1.22732,1.7228,-0.65418,0.1729,-0.0356,0.00503,-0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2023-04-04,18:01:08.19,2,1,"Heavern, Zach",1000091189,Right,CEN_COL,"McDowell, Matthew",1000236279,Left,SPA_UNI,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.29287,-2.089225,-1.118469,2017.608048,221.831038,1:30,5.97897,0.94628,6.12503,-22.86375,18.05733,14.983,2.14117,1.16083,75.38869,-6.40619,1.583838,0.46041,,,,,,,,,,,,-8.00804,10.30595,-0.8681,50,5.80712,1.75848,-119.49982,-4.98255,-11.57208,23.17031,-17.28135,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,345b1d20-d334-11ed-9837-4769650016a3,81.86707,,,6.90418,,,,,,,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:01:08.19,2023-04-04T18:01:08.1970000-04:00,2023-04-04T22:01:08.1970000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,0f2ee33d-ccf6-481f-9def-7f9522e3093f,54.37117,-120.34438,11.58515,5.97726,-4.35264,-8.64068,-0.93988,2.18029,-5.78604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-04-04,18:01:23.94,2,2,"Heavern, Zach",1000091189,Right,CEN_COL,"McDowell, Matthew",1000236279,Left,SPA_UNI,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,66.36432,1.755933,-0.338634,2323.426741,57.672085,8:00,5.60641,1.40895,5.26166,-66.9813,-1.72965,-6.08146,1.67482,0.58402,61.09905,-10.395965,-1.419551,0.581389,85.52848,29.860529,-3.691178,4217.787809,108.83896,53.87692,-15.93903,321.70556,315.34689,-16.863804,4.590671,2.96437,-0.84189,-1.37319,50,5.71734,0.7721,-96.29221,1.00117,2.76688,15.7749,-32.95984,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,3de0b490-d334-11ed-9837-4769650016a3,64.83166,67.55448,,5.26527,,,,2.5086,1.95747,-0.62156,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:01:23.94,2023-04-04T18:01:23.9410000-04:00,2023-04-04T22:01:23.9410000Z,FlyBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,ce0924f3-4dcb-4e28-8df5-b01c621bb86d,55.2378,-97.1465,7.88745,5.61479,2.7861,-16.47992,-1.41094,0.62226,1.38344,142.601474,2.50914,108.55306,-18.87298,4.14953,-0.86017,0.17927,-0.03566,0.00495,-0.0003,1.95816,62.43573,-16.03504,0.43009,0.23899,-0.16433,0.05136,-0.00772,0.00045,-0.62124,-7.01095,-7.01424,1.95408,-0.44842,0.08226,-0.01181,0.00123,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2023-04-04,18:01:56.56,3,1,"Heavern, Zach",1000091189,Right,CEN_COL,"Strong, Hunter",1000236258,Right,SPA_UNI,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.84214,-1.157742,-2.208879,2080.235875,224.505196,1:30,6.13791,0.79637,6.07996,-22.68714,16.81776,15.27859,3.17526,0.02496,76.62426,-5.446708,0.541983,0.452373,,,,,,,,,,,,-8.45284,9.37252,-0.63339,50,6.03629,4.09398,-121.73194,-3.10126,-12.67252,24.09482,-18.12272,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,512a24f0-d334-11ed-9837-4769650016a3,83.32156,,,7.21788,,,,,,,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:01:56.56,2023-04-04T18:01:56.5660000-04:00,2023-04-04T22:01:56.5660000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,fdb60f4e-37fc-4ae3-891f-fca41a8fa107,54.41643,-122.60298,12.04741,6.13656,-2.44611,-9.06136,-0.78967,4.5521,-6.33626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-04-04,18:02:10.56,3,2,"Heavern, Zach",1000091189,Right,CEN_COL,"Strong, Hunter",1000236258,Right,SPA_UNI,Undefined,1,Top,2,0,1,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.90289,-0.220463,-2.265771,2248.440046,172.787785,11:45,5.55369,1.22807,6.23268,-40.52605,8.15091,-0.80717,1.97299,-0.93048,68.69454,-7.801584,-2.411542,0.50215,,,,,,,,,,,,-0.33122,4.8474,-1.05865,50,5.5177,4.38313,-110.05883,-1.54663,-0.39909,22.74592,-26.33326,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,5986ccc0-d334-11ed-9837-4769650016a3,75.06217,,,7.20835,,,,,,,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:02:10.56,2023-04-04T18:02:10.5660000-04:00,2023-04-04T22:02:10.5660000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,15ebcd7e-eaae-407a-84b7-7f1666944d24,54.26095,-110.93595,11.37296,5.55777,-0.53118,-13.16663,-1.22797,4.39852,-0.19954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-04-04,18:02:26.92,3,3,"Heavern, Zach",1000091189,Right,CEN_COL,"Strong, Hunter",1000236258,Right,SPA_UNI,Undefined,1,Top,2,0,2,Slider,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.17997,-1.157768,-1.380471,2279.551341,198.97388,12:45,5.51873,1.25085,6.18244,-39.05234,9.61363,2.66177,1.19485,0.19771,68.64213,-8.472164,-0.89946,0.502093,,,,,,,,,,,,-1.84347,5.94933,-1.14791,50,5.41218,2.56458,-110.41006,-3.31718,-2.2226,23.92509,-25.0012,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,635c31e0-d334-11ed-9837-4769650016a3,75.07064,,,7.53784,,,,,,,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:02:26.92,2023-04-04T18:02:26.9270000-04:00,2023-04-04T22:02:26.9270000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,c6292888-3c9a-4994-a5ef-97e1467037ca,54.30979,-111.34004,11.96255,5.52223,-2.34537,-12.5006,-1.24927,2.65097,-1.1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-04-04,18:04:51.20,1,1,"Rayborn, Cameron",1000236280,Right,SPA_UNI,"Cunningham, Josh",10019681,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.00766,-3.251797,-4.099997,2329.409969,206.625066,1:00,5.16342,1.02588,6.6997,-17.13336,17.94174,8.4413,0.75149,-2.02596,80.81091,-6.534157,-2.56725,0.426256,,,,,,,,,,,,-5.53957,10.67875,-0.75593,50,4.93938,8.82665,-127.53846,-7.67777,-9.15493,25.40438,-14.52589,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,b94aa370-d334-11ed-9837-4769650016a3,88.42671,,,7.19675,,,,,,,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:04:51.20,2023-04-04T18:04:51.2000000-04:00,2023-04-04T22:04:51.2000000Z,,v3,,,,"Strong, Hunter",1000236258,Right,SPA_UNI,ae330d5f-ea28-4786-9d69-6aa77d84203e,53.79729,-128.29261,12.70219,5.1609,-7.24656,-7.26294,-1.02198,9.09842,-4.57746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-04-04,18:05:02.86,1,2,"Rayborn, Cameron",1000236280,Right,SPA_UNI,"Cunningham, Josh",10019681,Right,CEN_COL,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.43597,-1.371002,-2.548106,2300.429051,209.597231,1:00,5.19463,1.31034,6.73595,-17.70064,17.59525,9.37654,2.46538,-0.23809,80.16918,-4.776921,-0.840049,0.427596,83.71689,27.242023,46.925493,5376.380318,67.6262,46.3288,86.75648,240.61843,130.41881,60.194463,4.036757,-5.65733,10.01717,-1.14585,50,5.09707,5.31569,-127.09595,-3.47229,-9.27592,25.46128,-15.74954,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,c040b660-d334-11ed-9837-4769650016a3,88.14968,51.50759,,7.26679,,,,0.6365,2.49935,0.02601,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:05:02.86,2023-04-04T18:05:02.8620000-04:00,2023-04-04T22:05:02.8620000Z,LineDrive,v3,,,,"Strong, Hunter",1000236258,Right,SPA_UNI,fe1a63a8-6f85-450d-a12a-fdb0d1ce6cb9,53.76199,-127.84737,12.73064,5.19268,-3.00748,-7.87477,-1.30677,5.58944,-4.63796,,0.63847,74.49835,-21.43416,4.93357,-0.7084,-0.09452,0.06389,-0.01111,0.00071,2.4981,56.23806,-18.85546,2.143,-0.59901,0.19847,-0.04074,0.00394,-0.00013,0.02757,79.69919,-7.82825,-0.56056,0.82154,-0.37964,0.0961,-0.01282,0.00069,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2023-04-04,18:05:19.75,1,3,"Rayborn, Cameron",1000236280,Right,SPA_UNI,"Cunningham, Josh",10019681,Right,CEN_COL,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,87.65404,-1.213343,-1.828127,2258.769383,208.445519,1:00,5.18891,1.22797,6.72626,-18.55446,17.00568,8.54304,2.53311,0.2686,79.37486,-4.803026,-0.27105,0.429193,75.32654,40.219308,29.387935,,90.20395,70.51719,62.95433,213.36271,137.55981,40.085071,4.42226,-5.10626,9.74095,-1.11039,50,5.10137,3.75092,-127.33528,-3.1485,-8.2836,29.06355,-16.37186,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,ca6266c0-d334-11ed-9837-4769650016a3,87.82156,72.22657,,8.27918,,,,0.88373,2.55504,-0.25408,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:05:19.75,2023-04-04T18:05:19.7530000-04:00,2023-04-04T22:05:19.7530000Z,FlyBall,v3,,,,"Strong, Hunter",1000236258,Right,SPA_UNI,f02d26a2-cb64-4646-ad8e-37150f4ff2af,53.7706,-128.193,14.53178,5.18716,-2.66533,-8.18593,-1.22469,3.99538,-4.1418,209.297014,0.88473,73.4819,-18.47682,4.63682,-1.01925,0.24775,-0.06706,0.0118,-0.00082,2.55636,71.30319,-20.56599,1.22242,0.17675,-0.20852,0.07092,-0.01073,0.0006,-0.25294,41.37281,-2.85672,-0.24359,0.27615,-0.1019,0.02058,-0.00189,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2023-04-04,18:06:02.43,2,1,"Rayborn, Cameron",1000236280,Right,SPA_UNI,"Di Iorio, Dillon",1000126724,Left,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.07608,-1.648181,-1.913601,2233.547626,211.130688,1:00,5.22764,1.68916,6.74466,-18.85533,16.92025,9.51189,2.14937,0.73295,79.42987,-5.276751,-0.17921,0.430492,100.14731,-12.093851,-20.408026,,,,,10.17211,9.48866,-23.36757,0.066342,-5.58315,9.78048,-1.56671,50,5.11174,3.87966,-126.53728,-4.1014,-9.01467,26.82095,-16.38232,CEN_COL,SPA_UNI,GaryWright,D3,Team,20230404-GaryWright-1,e3c7b6b0-d334-11ed-9837-4769650016a3,87.55674,2.04421,,7.64621,,,,0.39624,2.04421,-0.70779,7068de1a-99b6-4b8d-b969-c3b07e6645b8,2023-04-04,22:06:02.43,2023-04-04T18:06:02.4360000-04:00,2023-04-04T22:06:02.4360000Z,GroundBall,v3,,,,"Strong, Hunter",1000236258,Right,SPA_UNI,1dcd24e4-9f01-40cd-811b-ba3fc7bcdc53,53.75226,-127.33013,13.41048,5.22582,-3.61713,-8.19116,-1.68533,4.14614,-4.50734,180,0.3944,134.78053,,,,,,,,2.04463,-30.81337,,,,,,,,-0.7071,-50.14592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
