PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-21,19:02:36.11,1,1,"Sickles, David",90000172766,Right,CEN_COL,"Youngblood, Trent",1000131155,Left,TRA_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.02025,-0.197996,-3.613059,1843.445048,245.75965,2:15,5.15818,1.86727,5.51487,-33.68049,8.1541,14.71013,2.16597,-0.28972,74.86192,-6.438157,-0.996108,0.465521,81.4083,-14.426821,61.081537,,,,,10.05877,9.5874,47.843058,0.071641,-8.63965,4.59583,-1.56254,50,5.11854,6.98345,-120.16092,-1.54519,-12.4304,26.74598,-25.56174,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,78a47470-c83c-11ed-8a5c-478f64a2facc,80.96829,2.13571,,8.15833,,,,2.73658,2.13571,0.18994,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:02:36.11,2023-03-21T19:02:36.1114768-04:00,2023-03-21T23:02:36.1114768Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,58742332-b588-46ff-ae6b-05984330f1c3,54.98189,-121.26474,13.37299,5.16054,-0.49025,-12.78087,-1.86134,7.49646,-6.2152,180,2.7352,56.03632,,,,,,,,2.13644,-29.81122,,,,,,,,0.18744,101.43235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2023-03-21,19:03:00.20,1,2,"Sickles, David",90000172766,Right,CEN_COL,"Youngblood, Trent",1000131155,Left,TRA_UNI,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,77.01307,0.040899,-3.219268,1451.758994,248.175442,2:15,5.09324,1.91124,5.74614,-39.38238,8.72756,17.43363,1.84951,0.36373,69.64555,-7.27295,-0.101351,0.499217,98.33913,2.173372,26.363397,3323.32711,,,,65.49094,62.84593,27.305499,0.479352,-9.95264,4.91158,-1.65458,50,5.07276,5.628,-111.56944,-1.10802,-12.35232,22.94877,-26.07823,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,87050700-c83c-11ed-8a5c-478f64a2facc,75.50318,2.34503,,7.36751,,,,2.17301,1.9922,-0.39974,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:03:00.20,2023-03-21T19:03:00.2050704-04:00,2023-03-21T23:03:00.2050704Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bab30ca9-f918-49e4-88a9-6b6d8f914d11,54.75079,-112.54239,11.47438,5.0963,-0.0024,-13.03912,-1.90429,6.1517,-6.17616,287.764039,2.19865,128.41641,-24.31003,,,,,,,2.00701,5.05284,-19.3359,,,,,,,-0.40591,64.17757,-1.3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2023-03-21,19:03:41.39,2,1,"Sickles, David",90000172766,Right,CEN_COL,"Hall, Griffin",1000232125,Right,TRA_UNI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.30436,-0.029091,-3.509903,2209.859967,94.48409,9:15,5.16121,1.99847,4.59944,-52.05814,2.99591,-9.41808,0.79531,-2.12852,66.48437,-9.438911,-5.156327,0.534031,,,,,,,,,,,,3.2815,2.07795,-1.62687,50,5.11082,6.95827,-107.14037,-1.86783,3.68677,24.27315,-29.83947,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,9f952ca0-c83c-11ed-8a5c-478f64a2facc,70.58106,,,7.81999,,,,,,,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:03:41.39,2023-03-21T19:03:41.3942928-04:00,2023-03-21T23:03:41.3942928Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,be2c1445-be4a-4207-813d-4436afe09638,55.89389,-108.46744,12.13657,5.16835,-0.23644,-14.91973,-2.00179,6.7567,1.84339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-21,19:03:58.52,2,2,"Sickles, David",90000172766,Right,CEN_COL,"Hall, Griffin",1000232125,Right,TRA_UNI,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.19482,-0.148137,-4.549595,2108.820191,249.783216,2:15,5.17136,1.65794,6.05178,-33.56521,6.27548,13.16981,2.2367,-1.46487,76.08866,-6.408154,-2.187847,0.454292,,,,,,,,,,,,-8.16622,3.71902,-1.31027,50,5.14214,9.16468,-121.83669,-1.38415,-12.11528,26.84245,-26.65659,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,a9b5a480-c83c-11ed-8a5c-478f64a2facc,82.96968,,,8.10616,,,,,,,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:03:58.52,2023-03-21T19:03:58.5202320-04:00,2023-03-21T23:03:58.5202320Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b79bff71-52ea-4d4c-9763-360b39907e35,54.44345,-122.81175,13.42122,5.17483,-0.41585,-13.3283,-1.65117,9.60477,-6.05764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-21,19:04:16.42,2,3,"Sickles, David",90000172766,Right,CEN_COL,"Hall, Griffin",1000232125,Right,TRA_UNI,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.55314,0.867822,-1.294614,2357.182112,57.684633,8:00,5.19395,2.04663,4.67185,-61.31747,-7.30847,-14.8493,0.90866,-0.42058,67.20394,-10.163677,-3.90516,0.528938,,,,,,,,,,,,6.80351,-3.30965,-1.90048,50,5.22697,3.04564,-107.82462,-0.56378,7.78678,23.60615,-35.96203,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,b4771750-c83c-11ed-8a5c-478f64a2facc,71.26065,,,7.3492,,,,,,,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:04:16.42,2023-03-21T19:04:16.4259472-04:00,2023-03-21T23:04:16.4259472Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,846d4e99-56ad-4e02-aeed-598c81a1120d,55.82517,-109.09248,11.80307,5.20538,1.36769,-17.98101,-2.05282,2.62742,3.89339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-21,19:04:36.59,2,4,"Sickles, David",90000172766,Right,CEN_COL,"Hall, Griffin",1000232125,Right,TRA_UNI,Undefined,1,Top,1,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.86811,3.174852,-0.097083,2143.153019,54.062158,7:45,5.16507,1.90177,4.79214,-62.80744,-8.2278,-14.16686,2.94286,0.62919,66.43933,-8.185255,-2.589154,0.531725,,,,,,,,,,,,6.85296,-4.42827,-1.87917,50,5.42766,0.76427,-106.7939,3.69398,7.74301,22.10178,-37.17747,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,c06ee740-c83c-11ed-8a5c-478f64a2facc,70.88715,,,7.42878,,,,,,,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:04:36.59,2023-03-21T19:04:36.5989008-04:00,2023-03-21T23:04:36.5989008Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,567690a5-8c8c-4a8a-9a7b-4d248a20f7d6,55.70467,-107.96807,11.05089,5.17895,5.66905,-18.58873,-1.90884,0.35292,3.87151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-21,19:04:59.49,2,5,"Sickles, David",90000172766,Right,CEN_COL,"Hall, Griffin",1000232125,Right,TRA_UNI,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,74.0802,2.013455,-1.294902,2214.473113,64.680787,8:15,5.25856,1.94234,4.77392,-60.12767,-6.01709,-16.85316,2.1579,-0.68983,67.05563,-8.836516,-4.258037,0.529435,58.14765,-19.528545,-32.828506,,,,,8.73926,6.76958,-18.578404,0.07921,7.8989,-3.16484,-1.79692,50,5.40722,3.0925,-107.21883,1.67328,9.01023,22.01059,-35.78416,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,ce2927b0-c83c-11ed-8a5c-478f64a2facc,71.19372,2.26875,,7.02457,,,,2.90878,2.26875,0.68343,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:04:59.49,2023-03-21T19:04:59.4988176-04:00,2023-03-21T23:04:59.4988176Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,70d6a354-da5e-4055-a563-e87a4d985f79,55.72503,-108.38773,11.0053,5.2679,3.57365,-17.89208,-1.94844,2.614,4.50512,180,2.90473,67.85871,,,,,,,,2.27046,-28.64235,,,,,,,,0.68605,-43.77975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2023-03-21,19:05:37.70,3,1,"Sickles, David",90000172766,Right,CEN_COL,"Schubert, Calvin",1000232141,Right,TRA_UNI,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.39765,4.450031,-0.951693,2142.170768,66.069246,8:15,5.22853,1.88985,4.75491,-63.17299,-6.25874,-18.75414,4.19318,-0.57558,65.12953,-6.977169,-4.240237,0.542978,,,,,,,,,,,,8.77981,-3.84953,-1.77697,50,5.62084,2.49597,-104.53017,5.94393,9.53356,20.67623,-36.35408,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,e4eb6b20-c83c-11ed-8a5c-478f64a2facc,69.41805,,,7.26812,,,,,,,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:05:37.70,2023-03-21T19:05:37.7027728-04:00,2023-03-21T23:05:37.7027728Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,318db86e-4527-444d-b2de-19cf05c94c34,55.74239,-105.65991,10.33811,5.2418,7.93031,-18.17704,-1.89912,1.97506,4.76678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-21,19:05:56.72,3,2,"Sickles, David",90000172766,Right,CEN_COL,"Schubert, Calvin",1000232141,Right,TRA_UNI,Undefined,1,Top,2,1,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,77.45961,0.69487,-3.179532,1422.431142,261.151672,2:45,5.21085,1.69733,5.73622,-43.73065,3.97229,14.23442,2.21471,-0.08022,69.88057,-7.399609,-0.634529,0.4971,82.8183,36.833616,13.621128,,104.24667,68.7787,35.10847,268.83202,264.56059,25.603408,4.725769,-8.30563,2.27961,-1.44137,50,5.24216,5.69446,-112.1801,0.00028,-10.39323,23.70278,-29.32149,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,f032afc0-c83c-11ed-8a5c-478f64a2facc,75.82462,78.28752,,7.57905,,,,1.22542,2.266,0.0688,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:05:56.72,2023-03-21T19:05:56.7222928-04:00,2023-03-21T23:05:56.7222928Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c2475b0a-23f9-4038-a5f8-9773ec0c0009,54.76024,-113.18143,11.85139,5.21598,1.23897,-14.66075,-1.69121,6.13352,-5.19661,213.486363,1.22889,94.41439,-19.84412,4.24848,-0.60974,0.04161,-0.00632,0.00234,-0.00023,2.26638,72.8017,-19.6894,1.1905,0.07351,-0.1436,0.05224,-0.00811,0.00046,0.06937,22.87973,3.01072,-1.63373,0.55552,-0.16047,0.03531,-0.00452,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2023-03-21,19:08:21.56,1,1,"Hall, Griffin",1000232125,Right,TRA_UNI,"Cunningham, Josh",10019681,Right,CEN_COL,Undefined,1,Bottom,0,0,0,ChangeUp,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,70.01793,2.416477,-1.087346,1413.213023,40.151918,7:15,5.04169,1.40563,5.10403,-65.46098,-5.89709,-6.74063,1.8652,-0.18072,63.68164,-9.457427,-2.280717,0.555473,76.09477,-45.138791,-58.619357,,,,,3.07206,2.34913,-29.101925,0.024558,3.01599,-3.17465,-1.2975,50,5.21823,2.16983,-101.41962,2.20613,3.09354,18.94215,-35.4303,CEN_COL,TRA_UNI,GaryWright,D3,Team,20230321-GaryWright-1,4699fad0-c83d-11ed-8a5c-478f64a2facc,67.85647,1.94742,,6.3363,,,,1.67507,1.94742,0.16039,5a46bc5f-f163-4170-a6e3-15e7e73d5422,2023-03-21,23:08:21.56,2023-03-21T19:08:21.5665296-04:00,2023-03-21T23:08:21.5665296Z,GroundBall,v3,,,,"Bowers, Caleb",1000232093,Right,TRA_UNI,41667cd7-9ed3-4a87-aac0-ff4acf31486d,55.39484,-102.42226,9.47108,5.05182,4.08151,-17.71515,-1.40802,2.00608,1.54677,,1.67468,41.09331,,,,,,,,1.94818,-79.29941,,,,,,,,0.16103,-67.37283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
