GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
fdd7ac51-3193-4263-a3eb-17ad4b450268,1,bed1e6d0-c0ee-11ed-b28b-4b445a41a842,d52a6403-049d-48e8-a10b-f6d8dfbd46b4,2023-03-12,11:58:34.53,2023-03-12,15:58:34.53,2023-03-12T11:58:34.5311998-04:00,2023-03-12T15:58:34.5311998Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,82.21027,59.35603,146.17141,33.89788,68.91694,-46.40519,139.05445,-47.51129,281.80967,-155.23819,315.48575,-6.64714,257.87604,143.75092
fdd7ac51-3193-4263-a3eb-17ad4b450268,2,c5b694a0-c0ee-11ed-b28b-4b445a41a842,a70e0e5d-e66e-47fb-ba96-10045e54442a,2023-03-12,11:58:46.13,2023-03-12,15:58:46.13,2023-03-12T11:58:46.1332734-04:00,2023-03-12T15:58:46.1332734Z,CEN_COL,MIL_COL,StrikeSwinging,Undefined,NoShift,90.4676,65.15876,146.34731,34.51509,78.49757,-55.70211,141.20755,-47.34019,284.0614,-157.9434,317.3546,-6.10966,254.62209,148.37421
fdd7ac51-3193-4263-a3eb-17ad4b450268,3,cd5850e0-c0ee-11ed-b28b-4b445a41a842,eb4a1dc8-8393-494e-9b49-d5512a60d3c1,2023-03-12,11:58:58.96,2023-03-12,15:58:58.96,2023-03-12T11:58:58.9687550-04:00,2023-03-12T15:58:58.9687550Z,CEN_COL,MIL_COL,StrikeSwinging,Undefined,NoShift,95.4751,71.42548,147.2528,34.28819,91.44929,-71.91217,141.77193,-48.6669,267.28213,-146.84244,316.81759,-5.52358,251.79565,145.08067
fdd7ac51-3193-4263-a3eb-17ad4b450268,4,db8ffeb0-c0ee-11ed-b28b-4b445a41a842,b9dc0b1f-2464-40ff-8017-eacca8e721e6,2023-03-12,11:59:22.81,2023-03-12,15:59:22.81,2023-03-12T11:59:22.8189950-04:00,2023-03-12T15:59:22.8189950Z,CEN_COL,MIL_COL,StrikeSwinging,Undefined,NoShift,89.69073,80.48301,155.50703,64.37329,73.10764,-48.35116,148.50874,-24.68655,273.40176,-141.69752,333.78862,12.52986,243.0276,146.93009
fdd7ac51-3193-4263-a3eb-17ad4b450268,5,e33eb340-c0ee-11ed-b28b-4b445a41a842,1c27f992-b312-445f-8b83-2db4f7c01ac7,2023-03-12,11:59:35.70,2023-03-12,15:59:35.70,2023-03-12T11:59:35.7007614-04:00,2023-03-12T15:59:35.7007614Z,CEN_COL,MIL_COL,BallinDirt,Undefined,NoShift,90.19917,81.23878,155.37995,64.78167,82.19641,-42.99939,149.52191,-16.93664,268.08026,-147.02121,331.08017,12.74008,240.52926,147.14173
fdd7ac51-3193-4263-a3eb-17ad4b450268,6,ea660f60-c0ee-11ed-b28b-4b445a41a842,921cf729-e00b-4f6d-beb7-bc278889b57b,2023-03-12,11:59:47.67,2023-03-12,15:59:47.67,2023-03-12T11:59:47.6712702-04:00,2023-03-12T15:59:47.6712702Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,89.96465,81.35263,157.97388,67.15152,81.95161,-43.47431,148.09247,-16.45664,266.26882,-143.13848,329.1039,15.14713,243.31145,146.93353
fdd7ac51-3193-4263-a3eb-17ad4b450268,7,f1f63f70-c0ee-11ed-b28b-4b445a41a842,d124e7ce-2d90-4de5-8b38-e6e83dda1f68,2023-03-12,12:00:00.40,2023-03-12,16:00:00.40,2023-03-12T12:00:00.4053758-04:00,2023-03-12T16:00:00.4053758Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,90.08289,80.5665,157.21262,67.69793,82.38752,-44.32065,147.75938,-16.93416,266.54129,-142.08229,334.91378,15.21436,260.4014,164.60535
fdd7ac51-3193-4263-a3eb-17ad4b450268,8,fadfbdf0-c0ee-11ed-b28b-4b445a41a842,e9cad697-a83f-4f10-b817-b4521f4921e1,2023-03-12,12:00:15.27,2023-03-12,16:00:15.27,2023-03-12T12:00:15.2798462-04:00,2023-03-12T16:00:15.2798462Z,CEN_COL,MIL_COL,BallinDirt,Undefined,NoShift,90.36042,80.97859,158.65442,68.24326,114.49425,-60.20027,148.61952,-20.18047,266.12009,-147.53597,331.01615,17.20532,252.94777,160.74345
fdd7ac51-3193-4263-a3eb-17ad4b450268,9,04c3f020-c0ef-11ed-b28b-4b445a41a842,289c5f79-9af6-4ddb-9b76-6ed8f80c2205,2023-03-12,12:00:31.92,2023-03-12,16:00:31.92,2023-03-12T12:00:31.9222014-04:00,2023-03-12T16:00:31.9222014Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,88.81622,80.38061,157.85464,68.69075,111.5694,-59.86261,151.79818,-19.82641,267.15039,-145.42122,330.82106,15.47344,253.98601,161.66256
fdd7ac51-3193-4263-a3eb-17ad4b450268,10,14e1ea20-c0ef-11ed-b28b-4b445a41a842,844c9cfe-1782-4f8d-a7fb-2542d9209c89,2023-03-12,12:00:58.98,2023-03-12,16:00:58.98,2023-03-12T12:00:58.9893886-04:00,2023-03-12T16:00:58.9893886Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,64.65021,60.7172,135.17312,38.46284,73.63139,-44.48456,142.57724,-20.07486,269.87247,-143.33991,328.05977,16.73511,253.49414,165.00216
fdd7ac51-3193-4263-a3eb-17ad4b450268,11,20883eb0-c0ef-11ed-b28b-4b445a41a842,29672989-f442-4465-9743-8f1a278aa7b0,2023-03-12,12:01:18.47,2023-03-12,16:01:18.47,2023-03-12T12:01:18.4761086-04:00,2023-03-12T16:01:18.4761086Z,CEN_COL,MIL_COL,StrikeSwinging,Undefined,NoShift,66.8327,62.0429,138.18203,39.57336,74.27498,-45.10333,141.44787,-20.7388,270.03783,-143.72782,326.56234,18.60638,249.7916,162.55175
fdd7ac51-3193-4263-a3eb-17ad4b450268,12,2b27f8b0-c0ef-11ed-b28b-4b445a41a842,e4f5d9e9-d1cf-4540-92b0-01574b716619,2023-03-12,12:01:36.36,2023-03-12,16:01:36.36,2023-03-12T12:01:36.3628798-04:00,2023-03-12T16:01:36.3628798Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,65.51023,61.42836,136.69457,39.15221,91.60181,-57.86738,146.6302,-20.13563,264.79735,-140.85959,336.37274,20.20518,252.98733,162.92855
fdd7ac51-3193-4263-a3eb-17ad4b450268,13,36940360-c0ef-11ed-b28b-4b445a41a842,d47f2c8c-50a5-44ef-8f6c-7ace4486e01b,2023-03-12,12:01:55.54,2023-03-12,16:01:55.54,2023-03-12T12:01:55.5400446-04:00,2023-03-12T16:01:55.5400446Z,CEN_COL,MIL_COL,InPlay,Single,NoShift,65.38439,61.30197,136.63836,39.46455,102.15563,-60.65079,145.77513,-19.76535,269.66694,-144.73284,334.10049,21.85356,257.22046,165.95307
fdd7ac51-3193-4263-a3eb-17ad4b450268,14,50437bb0-c0ef-11ed-b28b-4b445a41a842,cd4394b2-62b8-45cf-b8e4-862ba9dd290d,2023-03-12,12:02:38.61,2023-03-12,16:02:38.61,2023-03-12T12:02:38.6192126-04:00,2023-03-12T16:02:38.6192126Z,CEN_COL,MIL_COL,StrikeSwinging,Undefined,NoShift,79.01704,62.68754,,,88.31534,-64.57406,146.04223,-37.56502,281.39595,-154.79626,324.72522,-6.6984,251.99543,158.36434
fdd7ac51-3193-4263-a3eb-17ad4b450268,15,5dcfce50-c0ef-11ed-b28b-4b445a41a842,1b1d4fb9-fb25-4dbc-a1d2-3b7bda9b4848,2023-03-12,12:03:01.29,2023-03-12,16:03:01.29,2023-03-12T12:03:01.2923646-04:00,2023-03-12T16:03:01.2923646Z,CEN_COL,MIL_COL,FoulBall,Undefined,NoShift,79.33219,60.51855,139.38576,24.14286,91.42813,-64.43779,144.314,-37.38961,279.40932,-154.47599,326.95395,-6.12099,245.66052,154.73908
