GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,1,4429dd10-bb77-11ed-b81c-67098d4004e3,c54cba42-c73d-4689-bbde-551a7b703ff9,2023-03-05,12:00:43.07,2023-03-05,17:00:43.07,2023-03-05T12:00:43.0730000-05:00,2023-03-05T17:00:43.0730000Z,CEN_COL,RHO_COL,StrikeCalled,Undefined,NoShift,86.50392,79.94245,147.536,60.26889,69.8943,-41.23011,149.206,-10.07073,275.02129,-151.93754,341.28755,10.53693,264.07819,148.41928
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,2,4c66c7e0-bb77-11ed-b81c-67098d4004e3,18866186-3a9b-41fc-a6c0-f6a9e3820e21,2023-03-05,12:00:56.83,2023-03-05,17:00:56.83,2023-03-05T12:00:56.8390000-05:00,2023-03-05T17:00:56.8390000Z,CEN_COL,RHO_COL,InPlay,Out,NoShift,85.23079,79.23194,149.9097,60.88782,70.58884,-42.1204,153.56724,-15.29913,272.71609,-152.57256,344.22463,11.07841,261.01175,149.08511
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,3,5fb01130-bb77-11ed-b81c-67098d4004e3,0bfaa867-95a5-4263-8441-85cb1799558d,2023-03-05,12:01:29.27,2023-03-05,17:01:29.27,2023-03-05T12:01:29.2700000-05:00,2023-03-05T17:01:29.2700000Z,CEN_COL,RHO_COL,StrikeCalled,Undefined,NoShift,87.6792,67.03662,146.35878,45.11431,97.05058,-62.78087,143.08855,-38.7817,282.45044,-156.25227,342.43845,-7.83102,270.53415,155.90691
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,4,677ab230-bb77-11ed-b81c-67098d4004e3,dc02794c-4c15-47cc-bdae-34623d84cc4d,2023-03-05,12:01:42.26,2023-03-05,17:01:42.26,2023-03-05T12:01:42.2630000-05:00,2023-03-05T17:01:42.2630000Z,CEN_COL,RHO_COL,BallCalled,Undefined,NoShift,91.44126,67.9465,145.7953,51.59344,97.27927,-62.21182,150.86196,-34.67722,280.23802,-156.04996,337.67128,-7.58082,269.92517,160.11269
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,5,70810780-bb77-11ed-b81c-67098d4004e3,3b885ace-8d11-4a34-8fb9-8d50817ca1ca,2023-03-05,12:01:57.31,2023-03-05,17:01:57.31,2023-03-05T12:01:57.3180000-05:00,2023-03-05T17:01:57.3180000Z,CEN_COL,RHO_COL,InPlay,Out,NoShift,90.68438,68.77331,146.30477,51.93995,96.66251,-62.51632,148.81099,-35.69729,284.02526,-157.7323,342.31826,-7.51937,264.4089,155.54747
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,6,81a65f60-bb77-11ed-b81c-67098d4004e3,5ff38ca6-8802-4edc-b72e-aa7f66075f57,2023-03-05,12:02:26.13,2023-03-05,17:02:26.13,2023-03-05T12:02:26.1320000-05:00,2023-03-05T17:02:26.1320000Z,CEN_COL,RHO_COL,BallCalled,Undefined,NoShift,87.90618,80.96653,147.18092,54.98581,73.32158,-44.20076,149.1006,-39.35882,265.81541,-150.3616,338.59163,10.32361,267.43488,165.06651
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,7,8a1b7130-bb77-11ed-b81c-67098d4004e3,8e53c85c-1a04-42a8-9a24-eb8bfa9b5f75,2023-03-05,12:02:40.45,2023-03-05,17:02:40.45,2023-03-05T12:02:40.4530000-05:00,2023-03-05T17:02:40.4530000Z,CEN_COL,RHO_COL,StrikeCalled,Undefined,NoShift,87.74193,80.70828,149.37375,55.60968,72.38092,-43.32252,150.67267,-39.65931,263.45582,-146.10479,340.2255,11.34366,265.89584,161.7546
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,8,91f77750-bb77-11ed-b81c-67098d4004e3,fceb130d-9f37-4886-a976-9d1f18959d41,2023-03-05,12:02:53.54,2023-03-05,17:02:53.54,2023-03-05T12:02:53.5470000-05:00,2023-03-05T17:02:53.5470000Z,CEN_COL,RHO_COL,StrikeSwinging,Undefined,NoShift,88.2228,81.46287,147.62709,55.70325,83.04822,-50.756,148.72624,-36.40184,268.7337,-151.77972,339.09632,11.53417,269.84129,164.80778
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,9,9a858f60-bb77-11ed-b81c-67098d4004e3,1d7804de-12c8-4789-bbeb-13ae23a88d50,2023-03-05,12:03:07.98,2023-03-05,17:03:07.98,2023-03-05T12:03:07.9880000-05:00,2023-03-05T17:03:07.9880000Z,CEN_COL,RHO_COL,FoulBall,Undefined,NoShift,88.6037,81.88894,151.01958,56.72661,101.48989,-66.58008,148.97172,-38.06736,270.71042,-153.75239,332.1241,12.60249,274.28055,170.00997
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,10,a5736960-bb77-11ed-b81c-67098d4004e3,84cc8a68-cfda-4125-b2ba-bdc320765ab8,2023-03-05,12:03:26.24,2023-03-05,17:03:26.24,2023-03-05T12:03:26.2490000-05:00,2023-03-05T17:03:26.2490000Z,CEN_COL,RHO_COL,StrikeSwinging,Undefined,NoShift,88.27862,81.67972,153.09278,57.66257,101.09609,-65.6457,144.99462,-37.41016,275.89369,-154.54509,329.86061,11.92725,266.87371,165.43521
e08b635f-cbb0-432d-b7ba-44ed2693c1e7,11,f5f30440-bb77-11ed-b81c-67098d4004e3,523a260d-fa3e-48ce-8e99-5e3b12b12ec0,2023-03-05,12:05:41.26,2023-03-05,17:05:41.26,2023-03-05T12:05:41.2610000-05:00,2023-03-05T17:05:41.2610000Z,RHO_COL,CEN_COL,InPlay,Out,NoShift,92.5354,77.75279,150.62265,35.75104,77.46663,-54.9419,147.3696,-46.10929,277.05898,-148.81362,328.60857,-21.6366,272.43473,155.45912
