GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,1,e4777d40-c2a2-11ed-908f-6f7491c108c2,ef7fd2e5-f650-46d3-b3dd-f652781b723a,2023-03-14,16:00:38.49,2023-03-14,20:00:38.49,2023-03-14T16:00:38.4969508-04:00,2023-03-14T20:00:38.4969508Z,CEN_COL,ASB_UNI,HitByPitch,Undefined,NoShift,66.70454,62.23731,141.35146,28.5717,90.42971,-57.04725,145.91504,-28.58985,291.1634,-158.32603,332.92283,-3.84321,275.47908,143.26615
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,2,f03c7d60-c2a2-11ed-908f-6f7491c108c2,3da43746-d87a-4a21-8c0a-a52d4a229a6b,2023-03-14,16:00:58.29,2023-03-14,20:00:58.29,2023-03-14T16:00:58.2958372-04:00,2023-03-14T20:00:58.2958372Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,65.41545,60.80882,140.64981,29.36686,75.04475,-45.06688,143.59081,-27.70893,287.72995,-154.65855,332.066,-3.84277,276.88416,143.68238
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,3,fa243200-c2a2-11ed-908f-6f7491c108c2,20a208ef-e3f2-43f0-9384-547e5f29ba1f,2023-03-14,16:01:14.92,2023-03-14,20:01:14.92,2023-03-14T16:01:14.9245220-04:00,2023-03-14T20:01:14.9245220Z,CEN_COL,ASB_UNI,BallCalled,Undefined,NoShift,66.03835,61.62263,141.1058,28.28149,80.31178,-48.60334,148.55057,-30.98238,290.66914,-154.0148,336.69381,-4.62338,282.01334,146.72018
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,4,04a121c0-c2a3-11ed-908f-6f7491c108c2,caffd663-05ae-46b6-a80e-ec68cb3b8200,2023-03-14,16:01:32.47,2023-03-14,20:01:32.47,2023-03-14T16:01:32.4705572-04:00,2023-03-14T20:01:32.4705572Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,65.92545,60.60579,141.63248,27.98039,74.27138,-44.75983,145.01327,-28.84637,293.44615,-158.79047,346.92837,-8.18846,276.61459,144.2052
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,5,101542c0-c2a3-11ed-908f-6f7491c108c2,f4c05aef-03c9-454b-85b6-ea30ad36566e,2023-03-14,16:01:51.72,2023-03-14,20:01:51.72,2023-03-14T16:01:51.7241124-04:00,2023-03-14T20:01:51.7241124Z,CEN_COL,ASB_UNI,BallCalled,Undefined,NoShift,66.9779,62.0679,140.41474,27.27954,98.01356,-62.76487,147.91819,-26.85091,292.32247,-154.96671,351.80988,-5.82221,277.32905,144.9502
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,6,2abd4be0-c2a3-11ed-908f-6f7491c108c2,91400156-189b-4c66-b093-a78e98ab3345,2023-03-14,16:02:36.43,2023-03-14,20:02:36.43,2023-03-14T16:02:36.4366628-04:00,2023-03-14T20:02:36.4366628Z,CEN_COL,ASB_UNI,InPlay,Single,NoShift,66.67238,61.92465,140.96265,28.67228,98.16248,-63.5205,147.33278,-27.55281,295.49584,-160.16677,349.1834,-5.73236,269.21858,145.71631
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,7,5186cd00-c2a3-11ed-908f-6f7491c108c2,17f67dde-aaf3-4458-a9d4-3670250ea880,2023-03-14,16:03:41.47,2023-03-14,20:03:41.47,2023-03-14T16:03:41.4739236-04:00,2023-03-14T20:03:41.4739236Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,69.62598,58.40404,138.96149,24.50945,78.17418,-48.80211,145.81411,-28.14168,273.29491,-143.06786,340.77759,-5.73648,270.51471,140.643
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,8,67f9df00-c2a3-11ed-908f-6f7491c108c2,c81913a6-fe33-4e49-a21b-92f8febcbc49,2023-03-14,16:04:19.12,2023-03-14,20:04:19.12,2023-03-14T16:04:19.1230244-04:00,2023-03-14T20:04:19.1230244Z,CEN_COL,ASB_UNI,BallCalled,Undefined,NoShift,80.00034,57.45119,137.24908,19.90377,98.97866,-66.20251,145.46965,-38.20685,272.85947,-145.47087,328.3453,-1.75414,271.93658,143.31327
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,9,7d11a6c0-c2a3-11ed-908f-6f7491c108c2,988e3c34-9986-45c1-be80-724b86874584,2023-03-14,16:04:54.49,2023-03-14,20:04:54.49,2023-03-14T16:04:54.4972068-04:00,2023-03-14T20:04:54.4972068Z,CEN_COL,ASB_UNI,BallCalled,Undefined,NoShift,75.27492,54.30399,125.5551,27.26151,80.94821,-52.27279,116.5899,-34.96008,273.63214,-146.08323,329.11926,-2.47145,265.34045,141.65021
3b3538e7-fd99-4b41-8ea3-967bd39bf80a,10,9112f570-c2a3-11ed-908f-6f7491c108c2,e446528a-1009-4de1-9b85-2d851cf3d935,2023-03-14,16:05:28.12,2023-03-14,20:05:28.12,2023-03-14T16:05:28.1287972-04:00,2023-03-14T20:05:28.1287972Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,90.0106,68.39903,151.3821,39.30581,104.74481,-70.36734,143.58703,-40.30747,279.91438,-150.23229,330.61422,-3.71417,268.75085,137.74922
