GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
457885d3-d846-44a0-8e24-219aedb902a1,1,f1281750-bd3b-11ed-b8de-71b8528fb9c1,37e67fd5-b155-4c43-bdd7-83005062ad05,2023-03-07,18:01:06.00,2023-03-07,23:01:06.00,2023-03-07T18:01:06.0010000-05:00,2023-03-07T23:01:06.0010000Z,CEN_COL,BER_COL1,FoulBall,Undefined,NoShift,93.07326,77.15248,147.7548,49.91148,68.32394,-42.09875,148.01869,-28.84671,257.09403,-141.88165,327.65608,8.21018,254.06174,151.73146
457885d3-d846-44a0-8e24-219aedb902a1,2,03eca040-bd3c-11ed-b8de-71b8528fb9c1,df2f46ad-0591-4251-8c35-1af00d223f51,2023-03-07,18:01:37.42,2023-03-07,23:01:37.42,2023-03-07T18:01:37.4240000-05:00,2023-03-07T23:01:37.4240000Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,96.91102,78.55882,150.96361,50.74891,72.73343,-46.79751,149.36995,-35.41678,263.32397,-147.18302,329.49382,-4.70031,250.67858,150.0948
457885d3-d846-44a0-8e24-219aedb902a1,3,0bcb6580-bd3c-11ed-b8de-71b8528fb9c1,44eb1f63-2d4f-42d8-9756-6c5703b74a61,2023-03-07,18:01:50.71,2023-03-07,23:01:50.71,2023-03-07T18:01:50.7110000-05:00,2023-03-07T23:01:50.7110000Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,95.93512,77.33196,152.38824,51.28729,71.99045,-46.66509,145.22737,-35.73691,263.78198,-148.02102,330.26508,-8.74057,249.53598,147.28969
457885d3-d846-44a0-8e24-219aedb902a1,4,161de9e0-bd3c-11ed-b8de-71b8528fb9c1,4af74645-d480-45d3-834a-fc3d895a38ce,2023-03-07,18:02:08.04,2023-03-07,23:02:08.04,2023-03-07T18:02:08.0410000-05:00,2023-03-07T23:02:08.0410000Z,CEN_COL,BER_COL1,InPlay,Double,NoShift,93.15073,78.6969,151.88374,59.89179,72.21303,-46.43377,144.85409,-38.04906,268.54348,-149.65946,327.80384,-9.04382,248.1881,147.90471
457885d3-d846-44a0-8e24-219aedb902a1,5,321e5710-bd3c-11ed-b8de-71b8528fb9c1,119d7d32-ce25-4357-8997-07e16f911dfe,2023-03-07,18:02:54.89,2023-03-07,23:02:54.89,2023-03-07T18:02:54.8940000-05:00,2023-03-07T23:02:54.8940000Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,81.53493,65.51875,150.58597,60.52945,72.15515,-49.79632,140.22114,-21.48143,264.7849,-144.00736,329.99733,8.28674,264.67839,170.5722
457885d3-d846-44a0-8e24-219aedb902a1,6,3c40a3b0-bd3c-11ed-b8de-71b8528fb9c1,48cf95c7-dc0b-49e0-98f5-95f84ae1f137,2023-03-07,18:03:12.01,2023-03-07,23:03:12.01,2023-03-07T18:03:12.0110000-05:00,2023-03-07T23:03:12.0110000Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,91.02673,75.65231,149.90942,60.24745,72.27442,-51.16306,146.0561,-31.79058,259.62331,-140.60595,328.37772,8.48189,266.01026,170.3765
457885d3-d846-44a0-8e24-219aedb902a1,7,479a5ee0-bd3c-11ed-b8de-71b8528fb9c1,9a4a7e6f-d288-47c3-8ce6-94652c3a7f66,2023-03-07,18:03:31.08,2023-03-07,23:03:31.08,2023-03-07T18:03:31.0800000-05:00,2023-03-07T23:03:31.0800000Z,CEN_COL,BER_COL1,StrikeSwinging,Undefined,NoShift,94.0918,79.34323,150.63507,60.27533,69.16712,-46.94244,137.24151,-20.7724,263.70075,-143.04818,334.88747,10.31057,258.5786,167.08372
457885d3-d846-44a0-8e24-219aedb902a1,8,52c3bb40-bd3c-11ed-b8de-71b8528fb9c1,d1219fa1-deb3-4097-b865-c82b455aa590,2023-03-07,18:03:49.68,2023-03-07,23:03:49.68,2023-03-07T18:03:49.6850000-05:00,2023-03-07T23:03:49.6850000Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,92.07414,77.12346,149.88903,60.75597,82.38582,-56.65004,135.77663,-21.50577,262.51698,-141.57762,325.57224,10.1771,258.99229,165.35623
457885d3-d846-44a0-8e24-219aedb902a1,9,5cb02ad0-bd3c-11ed-b8de-71b8528fb9c1,92d69628-12f1-4c30-bff7-04630db1a360,2023-03-07,18:04:06.40,2023-03-07,23:04:06.40,2023-03-07T18:04:06.4030000-05:00,2023-03-07T23:04:06.4030000Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,94.60226,79.8322,152.27633,61.12127,84.72963,-58.10945,140.59341,-20.88219,269.11601,-145.5497,324.27637,9.65909,257.37179,167.87438
457885d3-d846-44a0-8e24-219aedb902a1,10,6d9879b0-bd3c-11ed-b8de-71b8528fb9c1,51cf60d4-b2db-4010-84c2-b4c58a036c3d,2023-03-07,18:04:34.69,2023-03-07,23:04:34.69,2023-03-07T18:04:34.6930000-05:00,2023-03-07T23:04:34.6930000Z,CEN_COL,BER_COL1,InPlay,Out,NoShift,80.21722,64.02049,134.87235,27.80435,93.53751,-66.5835,145.94214,-41.78122,285.2304,-158.24294,335.90793,-7.11625,267.52062,164.99159
457885d3-d846-44a0-8e24-219aedb902a1,11,85a2f490-bd3c-11ed-b8de-71b8528fb9c1,a8d55a9a-f590-4287-8991-7dacdd0cd0b8,2023-03-07,18:05:15.01,2023-03-07,23:05:15.01,2023-03-07T18:05:15.0180000-05:00,2023-03-07T23:05:15.0180000Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,64.29043,61.02944,139.43397,28.9131,91.38698,-65.58399,143.90193,-30.67249,276.697,-155.68717,327.53048,-5.57481,260.44566,163.39247
457885d3-d846-44a0-8e24-219aedb902a1,12,9a1ca790-bd3c-11ed-b8de-71b8528fb9c1,55cbb2a7-3975-4457-bd3b-2981a205c4eb,2023-03-07,18:05:49.35,2023-03-07,23:05:49.35,2023-03-07T18:05:49.3570000-05:00,2023-03-07T23:05:49.3570000Z,CEN_COL,BER_COL1,InPlay,Out,NoShift,62.3392,59.17405,137.96708,30.09785,92.19775,-65.66705,146.31768,-28.56521,278.09353,-157.11154,328.32969,-5.10419,256.67003,161.66295
457885d3-d846-44a0-8e24-219aedb902a1,13,b48a8de0-bd3c-11ed-b8de-71b8528fb9c1,de1c6242-fa70-4e6c-b4e4-f0e9dcf339a2,2023-03-07,18:06:33.64,2023-03-07,23:06:33.64,2023-03-07T18:06:33.6440000-05:00,2023-03-07T23:06:33.6440000Z,CEN_COL,BER_COL1,StrikeCalled,Undefined,NoShift,62.65225,59.40616,142.8684,34.12454,99.20398,-72.9095,148.0877,-34.77694,281.75238,-151.24287,336.44917,-9.39765,252.33283,159.55694
457885d3-d846-44a0-8e24-219aedb902a1,14,2a420d60-bd3d-11ed-b8de-71b8528fb9c1,78d168bd-48e2-4286-ae10-de8bda3f2adc,2023-03-07,18:09:51.22,2023-03-07,23:09:51.22,2023-03-07T18:09:51.2250000-05:00,2023-03-07T23:09:51.2250000Z,BER_COL1,CEN_COL,BallCalled,Undefined,NoShift,85.46107,70.22165,147.07332,32.85427,68.59245,-52.72781,140.0121,-36.97927,257.36064,-119.58374,306.45378,-12.2151,248.19399,147.58515
457885d3-d846-44a0-8e24-219aedb902a1,15,37243d50-bd3d-11ed-b8de-71b8528fb9c1,b5b75452-8961-4ab3-957d-04c96081fffe,2023-03-07,18:10:12.82,2023-03-07,23:10:12.82,2023-03-07T18:10:12.8220000-05:00,2023-03-07T23:10:12.8220000Z,BER_COL1,CEN_COL,BallCalled,Undefined,NoShift,84.75585,69.84193,151.2362,33.79675,79.37589,-62.87639,138.81035,-38.16314,257.83653,-121.49665,309.21707,-12.44895,247.90437,148.70325
457885d3-d846-44a0-8e24-219aedb902a1,16,43183cb0-bd3d-11ed-b8de-71b8528fb9c1,75d2d701-649b-4857-b00d-d46f808be6b2,2023-03-07,18:10:32.87,2023-03-07,23:10:32.87,2023-03-07T18:10:32.8720000-05:00,2023-03-07T23:10:32.8720000Z,BER_COL1,CEN_COL,BallCalled,Undefined,NoShift,85.92095,68.5368,151.07883,34.81326,77.7063,-61.75009,142.83433,-38.24121,256.30275,-121.04282,306.15332,-12.11269,247.11023,151.6551
457885d3-d846-44a0-8e24-219aedb902a1,17,50d25610-bd3d-11ed-b8de-71b8528fb9c1,a66a95e7-d470-4a7b-9d8c-f1d2875cab96,2023-03-07,18:10:55.82,2023-03-07,23:10:55.82,2023-03-07T18:10:55.8240000-05:00,2023-03-07T23:10:55.8240000Z,BER_COL1,CEN_COL,StrikeCalled,Undefined,NoShift,85.74803,66.01074,149.27651,35.50491,84.53107,-66.31137,138.52828,-40.54384,262.55705,-126.11796,313.43028,-9.16496,250.20905,153.96759
