GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
0b959ce3-4935-427b-8051-b0f9ddea714b,1,e69ca280-b541-11ed-8fef-4b2e3ebd33d7,109da54f-aa92-4e4e-9375-12f31c7e8e27,2023-02-25,14:23:35.78,2023-02-25,19:23:35.78,2023-02-25T14:23:35.7808032-05:00,2023-02-25T19:23:35.7808032Z,CEN_COL,DOM_UNI,FoulBall,Undefined,NoShift,83.40724,61.17728,151.06389,40.55075,76.51849,-55.76755,142.59903,-43.54489,285.87781,-162.18376,343.41424,-7.19521,256.51768,131.46509
0b959ce3-4935-427b-8051-b0f9ddea714b,2,ef002820-b541-11ed-8fef-4b2e3ebd33d7,69ed8276-b1e0-44d5-b64c-ae07616589b2,2023-02-25,14:23:49.80,2023-02-25,19:23:49.80,2023-02-25T14:23:49.8017184-05:00,2023-02-25T19:23:49.8017184Z,CEN_COL,DOM_UNI,InPlay,Out,NoShift,85.04961,63.71355,149.76446,40.10986,81.52118,-60.04035,143.95211,-42.72922,284.01811,-155.90108,338.2479,-5.41089,255.62108,131.866
0b959ce3-4935-427b-8051-b0f9ddea714b,3,fefa1f60-b541-11ed-8fef-4b2e3ebd33d7,01c2bfa1-bee2-4a1d-9482-aa17e95c0dee,2023-02-25,14:24:16.71,2023-02-25,19:24:16.71,2023-02-25T14:24:16.7143840-05:00,2023-02-25T19:24:16.7143840Z,CEN_COL,DOM_UNI,FoulBall,Undefined,NoShift,86.92915,74.00078,159.66209,53.38022,70.96978,-49.26758,148.62803,-26.17972,258.99695,-133.22029,341.72648,10.08354,260.92935,149.32424
0b959ce3-4935-427b-8051-b0f9ddea714b,4,102b8530-b542-11ed-8fef-4b2e3ebd33d7,1e910137-0305-46fa-8fee-8e42fec09041,2023-02-25,14:24:45.52,2023-02-25,19:24:45.52,2023-02-25T14:24:45.5266720-05:00,2023-02-25T19:24:45.5266720Z,CEN_COL,DOM_UNI,FoulBall,Undefined,NoShift,90.36935,74.54441,,,73.43192,-53.37171,148.78377,-38.48141,255.76895,-139.15507,338.73554,-3.80593,266.3213,152.26129
0b959ce3-4935-427b-8051-b0f9ddea714b,5,18b4bb40-b542-11ed-8fef-4b2e3ebd33d7,fe8547e7-6850-42ec-b12f-4810397f2971,2023-02-25,14:24:59.87,2023-02-25,19:24:59.87,2023-02-25T14:24:59.8709664-05:00,2023-02-25T19:24:59.8709664Z,CEN_COL,DOM_UNI,BallCalled,Undefined,NoShift,85.31576,71.43941,,,89.85583,-68.72117,141.34917,-50.69339,260.46645,-144.45447,331.043,-6.67346,262.26923,150.73671
0b959ce3-4935-427b-8051-b0f9ddea714b,6,2102e420-b542-11ed-8fef-4b2e3ebd33d7,455cd3ef-a694-4aeb-a2f1-1d4e4cdbca04,2023-02-25,14:25:13.78,2023-02-25,19:25:13.78,2023-02-25T14:25:13.7895328-05:00,2023-02-25T19:25:13.7895328Z,CEN_COL,DOM_UNI,InPlay,Out,NoShift,84.46721,71.37714,,,92.58617,-68.57986,142.57636,-48.36059,265.51538,-143.77642,335.0082,-6.47749,262.57784,151.07983
0b959ce3-4935-427b-8051-b0f9ddea714b,7,31948780-b542-11ed-8fef-4b2e3ebd33d7,48b87e6a-c3fa-42c2-9e27-e20624461fbd,2023-02-25,14:25:41.66,2023-02-25,19:25:41.66,2023-02-25T14:25:41.6606624-05:00,2023-02-25T19:25:41.6606624Z,CEN_COL,DOM_UNI,StrikeCalled,Undefined,NoShift,85.10498,72.79906,159.19119,59.78687,91.45936,-51.36766,150.55984,-28.57009,257.89469,-138.68635,336.92531,9.23356,255.83412,151.20384
0b959ce3-4935-427b-8051-b0f9ddea714b,8,38d38a50-b542-11ed-8fef-4b2e3ebd33d7,8ceff4a5-0951-4b17-bd65-8cda2707a046,2023-02-25,14:25:53.63,2023-02-25,19:25:53.63,2023-02-25T14:25:53.6359840-05:00,2023-02-25T19:25:53.6359840Z,CEN_COL,DOM_UNI,StrikeSwinging,Undefined,NoShift,85.47101,73.08399,158.31751,58.50335,95.85805,-49.31007,150.64319,-26.30201,257.13538,-135.05947,334.18397,9.47709,259.49302,152.3261
0b959ce3-4935-427b-8051-b0f9ddea714b,9,405b55f0-b542-11ed-8fef-4b2e3ebd33d7,663e55f3-ca80-406f-8a0f-d661b5fffe59,2023-02-25,14:26:06.43,2023-02-25,19:26:06.43,2023-02-25T14:26:06.4360864-05:00,2023-02-25T19:26:06.4360864Z,CEN_COL,DOM_UNI,InPlay,Single,NoShift,85.03652,71.22135,160.63881,58.97402,119.9966,-62.55428,159.03388,-18.20114,256.67901,-134.48664,329.74256,-4.93151,259.1127,151.67707
0b959ce3-4935-427b-8051-b0f9ddea714b,10,54d2bf00-b542-11ed-8fef-4b2e3ebd33d7,2f5d3077-791e-4a5e-a216-a7db167f9c8d,2023-02-25,14:26:40.70,2023-02-25,19:26:40.70,2023-02-25T14:26:40.7009184-05:00,2023-02-25T19:26:40.7009184Z,CEN_COL,DOM_UNI,BallinDirt,Undefined,NoShift,67.73729,60.68581,142.99184,26.59603,91.49745,-71.56565,144.22676,-36.60634,294.0683,-164.14806,343.93275,-10.03614,262.09794,135.3915
