GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
e9e3a79b-7ccf-407d-8258-1da606f7a467,1,d442a190-cdb3-11ed-93e8-7be0a5ad298e,993068a3-5a00-48a5-8b08-7446c8391ecb,2023-03-28,17:59:35.57,2023-03-28,21:59:35.57,2023-03-28T17:59:35.5733832-04:00,2023-03-28T21:59:35.5733832Z,CEN_COL,HAN_COL,StrikeSwinging,Undefined,NoShift,86.74151,60.66942,151.91737,35.21309,84.55983,-56.46108,144.74514,-39.57435,288.32658,-161.90809,338.14323,-5.80371,265.90364,141.35674
e9e3a79b-7ccf-407d-8258-1da606f7a467,2,ddd446f0-cdb3-11ed-93e8-7be0a5ad298e,9dd638d9-c5cb-461a-96ee-ecb59fb49496,2023-03-28,17:59:51.59,2023-03-28,21:59:51.59,2023-03-28T17:59:51.5993928-04:00,2023-03-28T21:59:51.5993928Z,CEN_COL,HAN_COL,BallCalled,Undefined,NoShift,88.66053,63.80137,150.69828,40.39445,87.2531,-58.87594,143.75768,-36.36811,289.95101,-161.45025,335.27478,-3.66747,261.92386,140.31633
e9e3a79b-7ccf-407d-8258-1da606f7a467,3,e8998a50-cdb3-11ed-93e8-7be0a5ad298e,0de7ea77-786d-470b-bc84-cf92c06cc525,2023-03-28,18:00:09.77,2023-03-28,22:00:09.77,2023-03-28T18:00:09.7763656-04:00,2023-03-28T22:00:09.7763656Z,CEN_COL,HAN_COL,FoulBall,Undefined,NoShift,87.26068,63.48457,151.31817,40.64574,87.79762,-59.46752,146.83425,-39.53815,283.17011,-157.01154,337.10007,-3.38737,264.39196,141.43433
e9e3a79b-7ccf-407d-8258-1da606f7a467,4,fa31ef50-cdb3-11ed-93e8-7be0a5ad298e,d81be40e-409e-4e4b-8799-6e9ad6409852,2023-03-28,18:00:39.18,2023-03-28,22:00:39.18,2023-03-28T18:00:39.1819080-04:00,2023-03-28T22:00:39.1819080Z,CEN_COL,HAN_COL,InPlay,Single,NoShift,89.88607,67.1759,148.94434,48.52767,103.19487,-66.61487,147.26208,-36.98695,286.23282,-158.08747,342.51875,-2.67448,250.89359,140.05798
e9e3a79b-7ccf-407d-8258-1da606f7a467,5,19a933c0-cdb4-11ed-93e8-7be0a5ad298e,9f708272-76af-419b-b541-99e98f87fb79,2023-03-28,18:01:32.08,2023-03-28,22:01:32.08,2023-03-28T18:01:32.0886600-04:00,2023-03-28T22:01:32.0886600Z,CEN_COL,HAN_COL,StrikeSwinging,Undefined,NoShift,65.39588,60.50982,148.9994,16.03682,95.1375,-73.8052,138.48942,-54.12374,295.19626,-166.5685,363.49516,-4.65262,276.41856,139.35983
e9e3a79b-7ccf-407d-8258-1da606f7a467,6,25cd43d0-cdb4-11ed-93e8-7be0a5ad298e,ad00860d-847c-47cc-a764-25d8a8efd253,2023-03-28,18:01:52.40,2023-03-28,22:01:52.40,2023-03-28T18:01:52.4081992-04:00,2023-03-28T22:01:52.4081992Z,CEN_COL,HAN_COL,InPlay,Out,NoShift,65.51319,60.81054,149.67998,16.26543,94.91397,-74.31518,137.97287,-54.48304,289.01696,-162.74144,355.33343,-4.03534,280.8177,142.72833
e9e3a79b-7ccf-407d-8258-1da606f7a467,7,3a95b310-cdb4-11ed-93e8-7be0a5ad298e,21e2f8d2-471e-40c6-ab1c-92f2c08e27d1,2023-03-28,18:02:27.27,2023-03-28,22:02:27.27,2023-03-28T18:02:27.2737096-04:00,2023-03-28T22:02:27.2737096Z,CEN_COL,HAN_COL,FoulBall,Undefined,NoShift,63.49287,59.70804,130.9012,55.49404,122.52009,-65.20983,151.29661,-7.76337,266.19233,-139.72654,354.27429,13.43305,276.47055,153.82078
e9e3a79b-7ccf-407d-8258-1da606f7a467,8,5391b9e0-cdb4-11ed-93e8-7be0a5ad298e,0e792ae9-3087-4bfb-bd64-08163700ce5c,2023-03-28,18:03:09.12,2023-03-28,22:03:09.12,2023-03-28T18:03:09.1240000-04:00,2023-03-28T22:03:09.1240000Z,CEN_COL,HAN_COL,BallCalled,Undefined,NoShift,63.86962,60.39976,137.4727,61.21197,125.27105,-64.9533,151.03762,-7.65753,283.4379,-151.15195,352.3565,12.49291,272.4002,152.55582
e9e3a79b-7ccf-407d-8258-1da606f7a467,9,66a721f0-cdb4-11ed-93e8-7be0a5ad298e,49aaae39-3b0d-46af-8cdd-1ecf15eefadc,2023-03-28,18:03:41.24,2023-03-28,22:03:41.24,2023-03-28T18:03:41.2456264-04:00,2023-03-28T22:03:41.2456264Z,CEN_COL,HAN_COL,BallCalled,Undefined,RightInfieldShift,102.04292,81.94631,157.0468,75.54006,131.89752,-60.44536,,,284.86367,-149.44168,351.94605,15.42774,275.47907,157.30967
e9e3a79b-7ccf-407d-8258-1da606f7a467,10,7223a760-cdb4-11ed-93e8-7be0a5ad298e,3acbb8a0-51b4-4a01-a949-101584301173,2023-03-28,18:04:00.47,2023-03-28,22:04:00.47,2023-03-28T18:04:00.4721992-04:00,2023-03-28T22:04:00.4721992Z,CEN_COL,HAN_COL,BallCalled,Undefined,NoShift,97.51454,79.71921,160.68044,77.84579,125.80417,-61.26696,157.39313,-7.90905,289.90835,-149.48073,350.29861,16.08147,281.23121,159.176
