GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,1,b9aa4890-e2eb-11ed-af8c-832e97e6b96b,bd770f4b-6e6d-4d73-ae08-eb499bdf9a12,2023-04-24,18:02:36.93,2023-04-24,22:02:36.93,2023-04-24T18:02:36.9383594-04:00,2023-04-24T22:02:36.9383594Z,CEN_COL,NEW_YOR3,FoulBall,Undefined,NoShift,92.15147,68.31942,150.23238,37.97791,74.4526,-46.58085,149.03948,-37.03209,297.83233,-162.13154,338.53435,-5.45565,282.82977,145.55506
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,2,c345b1f0-e2eb-11ed-af8c-832e97e6b96b,24a3e525-f1e5-41b3-9ebf-5d54e1f824ef,2023-04-24,18:02:53.07,2023-04-24,22:02:53.07,2023-04-24T18:02:53.0756266-04:00,2023-04-24T22:02:53.0756266Z,CEN_COL,NEW_YOR3,StrikeCalled,Undefined,NoShift,88.70443,65.63164,149.86106,39.33807,76.25463,-48.35052,147.74467,-36.53197,290.59079,-158.48295,338.7603,-4.26194,279.25527,145.29427
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,3,cc819630-e2eb-11ed-af8c-832e97e6b96b,e504ecf5-7ce7-48b4-a6d5-f6fdfdb26f91,2023-04-24,18:03:08.65,2023-04-24,22:03:08.65,2023-04-24T18:03:08.6592682-04:00,2023-04-24T22:03:08.6592682Z,CEN_COL,NEW_YOR3,BallCalled,Undefined,NoShift,101.77837,78.41535,149.02454,47.67881,99.69656,-58.6852,153.28914,-28.8108,290.66486,-156.22732,340.23648,-2.0996,268.73474,146.94006
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,4,d5cd31e0-e2eb-11ed-af8c-832e97e6b96b,1e2e76d1-4595-47d1-abc3-d8e822cf2a5d,2023-04-24,18:03:24.13,2023-04-24,22:03:24.13,2023-04-24T18:03:24.1337002-04:00,2023-04-24T22:03:24.1337002Z,CEN_COL,NEW_YOR3,BallCalled,Undefined,NoShift,97.30674,76.35123,149.02482,47.28661,102.33726,-61.12837,149.59933,-29.69138,282.67791,-153.30459,341.27427,-2.60134,271.00699,147.21663
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,5,e102ea50-e2eb-11ed-af8c-832e97e6b96b,4625f8fd-240f-4339-8bb2-4c6048ea73b0,2023-04-24,18:03:43.07,2023-04-24,22:03:43.07,2023-04-24T18:03:43.0711978-04:00,2023-04-24T22:03:43.0711978Z,CEN_COL,NEW_YOR3,StrikeCalled,Undefined,NoShift,98.18824,74.65179,149.82517,47.77202,102.95938,-61.12489,150.01342,-28.2681,283.18154,-154.6213,338.26154,-1.18673,273.38755,148.26038
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,6,f0d75830-e2eb-11ed-af8c-832e97e6b96b,e000b23c-43a2-4b3c-8b59-09c5a23a2d50,2023-04-24,18:04:09.64,2023-04-24,22:04:09.64,2023-04-24T18:04:09.6494250-04:00,2023-04-24T22:04:09.6494250Z,CEN_COL,NEW_YOR3,BallCalled,Undefined,NoShift,94.52082,70.10568,151.20858,41.3015,84.57016,-52.6053,148.03087,-35.7937,276.99138,-150.45939,354.19054,-4.10442,286.36927,146.87152
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,7,f8b72ee0-e2eb-11ed-af8c-832e97e6b96b,188f6844-d2c6-4205-96f6-4a4dc71faa47,2023-04-24,18:04:22.73,2023-04-24,22:04:22.73,2023-04-24T18:04:22.7394730-04:00,2023-04-24T22:04:22.7394730Z,CEN_COL,NEW_YOR3,StrikeSwinging,Undefined,NoShift,91.85099,70.08403,149.45687,41.67956,95.15667,-60.98553,152.03682,-35.70922,285.2378,-156.82274,348.4744,-4.01931,284.11189,146.35023
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,8,0113afa0-e2ec-11ed-af8c-832e97e6b96b,a3aa0890-9582-458b-921b-02de5dc331fb,2023-04-24,18:04:36.76,2023-04-24,22:04:36.76,2023-04-24T18:04:36.7655082-04:00,2023-04-24T22:04:36.7655082Z,CEN_COL,NEW_YOR3,BallCalled,Undefined,NoShift,98.93313,76.91005,149.6048,42.03074,96.00624,-62.39881,150.42598,-38.29186,284.90534,-160.21783,349.23765,-4.7465,285.24915,147.49562
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,9,0ac07e20-e2ec-11ed-af8c-832e97e6b96b,fb7576b0-bfec-499d-96ba-18a7eeed0a1c,2023-04-24,18:04:53.09,2023-04-24,22:04:53.09,2023-04-24T18:04:53.0977450-04:00,2023-04-24T22:04:53.0977450Z,CEN_COL,NEW_YOR3,StrikeSwinging,Undefined,NoShift,99.55928,76.79481,149.58513,42.56021,97.85226,-63.51245,150.35638,-34.92364,282.78267,-156.86251,347.63421,-4.51886,278.02175,144.77641
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,10,14196040-e2ec-11ed-af8c-832e97e6b96b,362f836b-e6b5-4dc8-9011-6631fdb47955,2023-04-24,18:05:08.71,2023-04-24,22:05:08.71,2023-04-24T18:05:08.7171242-04:00,2023-04-24T22:05:08.7171242Z,CEN_COL,NEW_YOR3,StrikeSwinging,Undefined,NoShift,98.94774,76.94616,151.83134,43.56513,105.22856,-63.26823,151.10934,-31.98276,286.77845,-154.17113,350.4661,-3.94925,275.47695,147.83882
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,11,25646890-e2ec-11ed-af8c-832e97e6b96b,5439a338-dc19-44f5-8838-d882ad3e14c0,2023-04-24,18:05:37.78,2023-04-24,22:05:37.78,2023-04-24T18:05:37.7894058-04:00,2023-04-24T22:05:37.7894058Z,CEN_COL,NEW_YOR3,StrikeCalled,Undefined,RightInfieldShift,89.86162,83.34561,150.86868,79.61869,91.34088,-40.83603,,,306.49805,-151.48694,365.46312,18.34458,291.61276,175.36797
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,12,2db1f530-e2ec-11ed-af8c-832e97e6b96b,ebb3dd1f-2b55-47b5-8a88-af8aa977c9af,2023-04-24,18:05:51.62,2023-04-24,22:05:51.62,2023-04-24T18:05:51.6233898-04:00,2023-04-24T22:05:51.6233898Z,CEN_COL,NEW_YOR3,BallCalled,Undefined,NoShift,93.69691,85.12256,152.81572,79.28502,106.47435,-49.54458,157.10921,-7.72201,305.06509,-155.24998,365.34282,19.53059,289.88942,170.09558
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,13,37b3e890-e2ec-11ed-af8c-832e97e6b96b,eff8e4f9-08bd-4873-999a-b408cbea360b,2023-04-24,18:06:08.45,2023-04-24,22:06:08.45,2023-04-24T18:06:08.4523178-04:00,2023-04-24T22:06:08.4523178Z,CEN_COL,NEW_YOR3,InPlay,Out,NoShift,91.60867,83.59401,152.43926,79.90247,91.11143,-42.29596,157.60568,-9.01267,304.82453,-157.92707,364.40389,19.08651,289.49467,168.64452
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,14,98a765a0-e2ec-11ed-af8c-832e97e6b96b,bfd42c03-40c9-4a71-b812-41b4bd3b03b2,2023-04-24,18:08:51.21,2023-04-24,22:08:51.21,2023-04-24T18:08:51.2147626-04:00,2023-04-24T22:08:51.2147626Z,NEW_YOR3,CEN_COL,BallCalled,Undefined,NoShift,99.83925,70.07388,145.63811,33.08692,71.99968,-52.78006,143.88206,-43.62795,260.17465,-153.77499,327.35357,-6.21499,256.90281,147.24558
eaf8b363-2a78-4f6f-aa05-ee3d7d53cc4d,15,a07a1cf0-e2ec-11ed-af8c-832e97e6b96b,92b7b8ef-e463-4ab8-879e-b3785d85d12d,2023-04-24,18:09:04.30,2023-04-24,22:09:04.30,2023-04-24T18:09:04.3074730-04:00,2023-04-24T22:09:04.3074730Z,NEW_YOR3,CEN_COL,BallCalled,Undefined,NoShift,100.95696,70.76864,144.24645,34.54594,71.55876,-53.34128,142.81255,-42.02749,267.08467,-156.74165,323.06164,-5.73975,258.0601,148.39384
