GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
b47b645c-0900-428c-9969-a768393c9bbe,1,6be96580-c02e-11ed-af61-fb69495a4cd9,d6daf250-d284-4e18-8eb4-d74a45e94c2d,2023-03-11,12:01:52.29,2023-03-11,17:01:52.29,2023-03-11T12:01:52.2900000-05:00,2023-03-11T17:01:52.2900000Z,CEN_COL,MIL_COL,BallCalled,Undefined,LeftInfieldShift,79.86681,46.48452,,,72.02181,-49.81759,140.04604,-60.54506,290.90444,-162.5339,333.83757,-9.49387,256.0762,140.79412
b47b645c-0900-428c-9969-a768393c9bbe,2,722db4a0-c02e-11ed-af61-fb69495a4cd9,8f9d6be5-e478-46fd-8782-47adf0b72993,2023-03-11,12:02:02.87,2023-03-11,17:02:02.87,2023-03-11T12:02:02.8770000-05:00,2023-03-11T17:02:02.8770000Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,LeftInfieldShift,80.97511,48.4072,,,79.1654,-57.21979,137.22175,-59.71871,290.47753,-162.31595,331.18988,-9.27636,253.83807,141.52018
b47b645c-0900-428c-9969-a768393c9bbe,3,7885d9e0-c02e-11ed-af61-fb69495a4cd9,6c00d5f3-cedc-4b0e-b21c-dbe308937cdc,2023-03-11,12:02:13.42,2023-03-11,17:02:13.42,2023-03-11T12:02:13.4260000-05:00,2023-03-11T17:02:13.4260000Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,LeftInfieldShift,81.14843,49.41758,,,82.15064,-59.82392,140.6954,-56.24724,291.07558,-162.6824,337.33591,-8.16505,249.19439,138.1087
b47b645c-0900-428c-9969-a768393c9bbe,4,7fa93e60-c02e-11ed-af61-fb69495a4cd9,36c57911-2aaa-4868-afda-9e690cd4f953,2023-03-11,12:02:25.44,2023-03-11,17:02:25.44,2023-03-11T12:02:25.4490000-05:00,2023-03-11T17:02:25.4490000Z,CEN_COL,MIL_COL,FoulBall,Undefined,LeftInfieldShift,81.01264,49.70074,,,92.68817,-69.0449,141.5267,-52.89346,290.99706,-163.23338,338.76483,-7.42019,247.94757,153.46835
b47b645c-0900-428c-9969-a768393c9bbe,5,88b2a0f0-c02e-11ed-af61-fb69495a4cd9,dffa7640-9f60-4fd0-9d06-62542eab9707,2023-03-11,12:02:40.60,2023-03-11,17:02:40.60,2023-03-11T12:02:40.6020000-05:00,2023-03-11T17:02:40.6020000Z,CEN_COL,MIL_COL,FoulBall,Undefined,LeftInfieldShift,81.52743,50.15541,,,90.55515,-68.63963,142.80005,-53.44735,291.82689,-162.35714,326.25106,-7.69557,247.27841,154.68559
b47b645c-0900-428c-9969-a768393c9bbe,6,91332470-c02e-11ed-af61-fb69495a4cd9,b8fc01a1-39be-4061-8c65-216bb8b51de0,2023-03-11,12:02:54.83,2023-03-11,17:02:54.83,2023-03-11T12:02:54.8370000-05:00,2023-03-11T17:02:54.8370000Z,CEN_COL,MIL_COL,FoulBall,Undefined,LeftInfieldShift,81.08053,51.0943,,,90.0188,-68.60935,143.63131,-53.97106,294.57119,-165.82143,331.22587,-6.01434,250.73584,155.34609
b47b645c-0900-428c-9969-a768393c9bbe,7,9d71e870-c02e-11ed-af61-fb69495a4cd9,57df717e-9fbb-4471-8698-e0637b25f36b,2023-03-11,12:03:15.48,2023-03-11,17:03:15.48,2023-03-11T12:03:15.4840000-05:00,2023-03-11T17:03:15.4840000Z,CEN_COL,MIL_COL,FoulBall,Undefined,LeftInfieldShift,96.41621,60.73361,,,90.96625,-69.69004,134.52599,-60.02285,286.86401,-163.83057,338.78731,-9.92928,245.45883,149.54327
b47b645c-0900-428c-9969-a768393c9bbe,8,a642aed0-c02e-11ed-af61-fb69495a4cd9,76e30249-630b-4f22-9f17-1d914c621ba3,2023-03-11,12:03:30.21,2023-03-11,17:03:30.21,2023-03-11T12:03:30.2100000-05:00,2023-03-11T17:03:30.2100000Z,CEN_COL,MIL_COL,BallCalled,Undefined,LeftInfieldShift,97.17257,63.07188,,,92.33862,-70.52152,135.62594,-56.41765,291.66733,-165.73155,334.3737,-9.24416,244.59151,148.41271
b47b645c-0900-428c-9969-a768393c9bbe,9,ae5aac80-c02e-11ed-af61-fb69495a4cd9,c79f8e45-a7f9-4610-b930-b4590f5e5017,2023-03-11,12:03:43.89,2023-03-11,17:03:43.89,2023-03-11T12:03:43.8960000-05:00,2023-03-11T17:03:43.8960000Z,CEN_COL,MIL_COL,BallCalled,Undefined,LeftInfieldShift,95.83644,61.04623,,,91.72962,-70.83873,136.14844,-57.39098,290.93967,-166.31874,337.80461,-9.59147,244.84875,148.33175
b47b645c-0900-428c-9969-a768393c9bbe,10,b7012e90-c02e-11ed-af61-fb69495a4cd9,008579ac-ed72-4c23-b4be-040b19f05ade,2023-03-11,12:03:58.35,2023-03-11,17:03:58.35,2023-03-11T12:03:58.3520000-05:00,2023-03-11T17:03:58.3520000Z,CEN_COL,MIL_COL,InPlay,Single,LeftInfieldShift,93.4891,60.04894,,,90.38552,-69.77201,138.74114,-53.47187,285.51753,-161.77633,332.9527,-8.72813,245.72561,153.63667
