GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,1,73eb75f0-c049-11ed-a55a-69a3e4cdf12c,6a9d2f62-4475-4569-9e43-8d2fd001f304,2023-03-11,15:15:22.15,2023-03-11,20:15:22.15,2023-03-11T15:15:22.1583276-05:00,2023-03-11T20:15:22.1583276Z,CEN_COL,MIL_COL,InPlay,Out,LeftInfieldShift,83.22246,57.34948,,,74.976,-57.10902,133.85102,-56.29347,280.90919,-156.52956,340.38874,-7.44986,247.44779,144.57461
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,2,836c6ca0-c049-11ed-a55a-69a3e4cdf12c,eeb2c3ed-7c7b-4b15-b58c-6e4a18af29be,2023-03-11,15:15:48.14,2023-03-11,20:15:48.14,2023-03-11T15:15:48.1477036-05:00,2023-03-11T20:15:48.1477036Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,87.56139,75.62754,158.16212,72.94223,76.82091,-47.08534,147.65113,-29.5251,272.91961,-143.10054,333.0517,7.32693,251.29919,156.87873
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,3,8cb2ff40-c049-11ed-a55a-69a3e4cdf12c,b44fe2df-76a4-4e97-aa86-20a1c1dab68b,2023-03-11,15:16:03.73,2023-03-11,20:16:03.73,2023-03-11T15:16:03.7345196-05:00,2023-03-11T20:16:03.7345196Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,94.33407,80.03221,155.31801,72.27655,83.52043,-45.92787,151.53221,-22.31457,267.79064,-140.08737,331.63105,7.20401,247.85637,154.94005
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,4,9539c450-c049-11ed-a55a-69a3e4cdf12c,1447ea0c-0eca-4d03-bafb-2461ec63c6ee,2023-03-11,15:16:18.09,2023-03-11,20:16:18.09,2023-03-11T15:16:18.0906412-05:00,2023-03-11T20:16:18.0906412Z,CEN_COL,MIL_COL,InPlay,Single,NoShift,95.53287,79.11342,156.76321,72.03927,88.17127,-54.65014,153.95453,-33.16941,272.36751,-143.01679,331.46755,5.45966,257.06525,162.34232
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,5,a991be80-c049-11ed-a55a-69a3e4cdf12c,da2fcdf6-acc2-40a5-9ffa-7bfd2946bc05,2023-03-11,15:16:52.21,2023-03-11,20:16:52.21,2023-03-11T15:16:52.2100652-05:00,2023-03-11T20:16:52.2100652Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,67.54244,61.26355,140.00811,27.39389,88.63888,-69.24042,143.98551,-29.36936,280.71203,-151.91918,342.29753,-5.83373,253.73219,151.3942
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,6,bb25ddc0-c049-11ed-a55a-69a3e4cdf12c,2d90b5d6-091e-4a13-92d2-fb9a49aae5d1,2023-03-11,15:17:21.67,2023-03-11,20:17:21.67,2023-03-11T15:17:21.6765868-05:00,2023-03-11T20:17:21.6765868Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,68.17116,61.09571,141.5577,28.81389,84.22817,-65.83844,143.5788,-27.99581,276.98114,-147.97464,338.98025,-3.23374,255.64933,153.52402
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,7,c65554a0-c049-11ed-a55a-69a3e4cdf12c,56de8d9d-6ae7-4e70-aae3-7375674338f1,2023-03-11,15:17:40.39,2023-03-11,20:17:40.39,2023-03-11T15:17:40.3998124-05:00,2023-03-11T20:17:40.3998124Z,CEN_COL,MIL_COL,InPlay,Double,NoShift,65.59307,60.67279,139.94914,28.6828,83.45083,-63.73286,143.33387,-28.30929,277.46761,-148.12918,334.86368,-3.3275,247.10196,152.48281
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,8,e1619dd0-c049-11ed-a55a-69a3e4cdf12c,da958576-40a6-469d-af66-c6497a8d0864,2023-03-11,15:18:25.81,2023-03-11,20:18:25.81,2023-03-11T15:18:25.8146220-05:00,2023-03-11T20:18:25.8146220Z,CEN_COL,MIL_COL,StrikeSwinging,Undefined,NoShift,78.39377,66.81535,143.29018,48.06927,73.44249,-52.49918,145.13308,-34.99519,272.39141,-148.19817,332.27601,15.46305,250.75825,156.21982
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,9,ece7e740-c049-11ed-a55a-69a3e4cdf12c,82a654e6-e9d9-41a4-a16b-7f3890bd6726,2023-03-11,15:18:45.15,2023-03-11,20:18:45.15,2023-03-11T15:18:45.1590572-05:00,2023-03-11T20:18:45.1590572Z,CEN_COL,MIL_COL,FoulBall,Undefined,NoShift,78.74151,68.97808,144.19983,48.68397,77.76965,-51.83234,145.67241,-37.07234,275.31331,-149.2747,330.02391,14.45261,252.93717,154.62889
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,10,fd206e20-c049-11ed-a55a-69a3e4cdf12c,14d37d2c-14e2-4727-af3d-d6eaf1ff00b4,2023-03-11,15:19:12.38,2023-03-11,20:19:12.38,2023-03-11T15:19:12.3873196-05:00,2023-03-11T20:19:12.3873196Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,87.09265,77.15405,143.49288,49.42592,83.03194,-58.17859,143.71771,-43.23963,259.59405,-138.96536,330.51436,9.30778,254.86858,158.59522
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,11,08ac83f0-c04a-11ed-a55a-69a3e4cdf12c,fba258b4-158a-49c6-abac-1625879ac464,2023-03-11,15:19:31.64,2023-03-11,20:19:31.64,2023-03-11T15:19:31.6449708-05:00,2023-03-11T20:19:31.6449708Z,CEN_COL,MIL_COL,BallinDirt,Undefined,NoShift,87.88484,78.14527,143.68783,50.27096,85.26849,-60.10374,143.94191,-43.57979,259.07023,-139.06474,332.77005,9.2311,254.06219,158.56502
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,12,1aca1e80-c04a-11ed-a55a-69a3e4cdf12c,0d45d593-841c-446e-a2a7-f82a780b812b,2023-03-11,15:20:02.10,2023-03-11,20:20:02.10,2023-03-11T15:20:02.1030828-05:00,2023-03-11T20:20:02.1030828Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,86.15136,77.37139,150.63636,56.78561,83.36448,-61.09964,145.69365,-42.50697,256.60193,-133.78668,328.01367,9.59173,257.90218,160.81115
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,13,2da62710-c04a-11ed-a55a-69a3e4cdf12c,e44ad476-d982-423f-8735-cda8a48b5fa9,2023-03-11,15:20:33.72,2023-03-11,20:20:33.72,2023-03-11T15:20:33.7273772-05:00,2023-03-11T20:20:33.7273772Z,CEN_COL,MIL_COL,FoulBall,Undefined,NoShift,87.15011,77.61003,151.65237,57.34893,78.25735,-55.94367,147.20114,-34.79949,249.54612,-133.59806,331.03544,9.5956,252.11299,162.90486
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,14,39201470-c04a-11ed-a55a-69a3e4cdf12c,f2219337-98ad-48dc-9c81-8d9cafb2c22c,2023-03-11,15:20:52.97,2023-03-11,20:20:52.97,2023-03-11T15:20:52.9763756-05:00,2023-03-11T20:20:52.9763756Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,87.85221,78.44203,153.38196,58.21005,83.71808,-60.22971,147.49552,-35.38955,254.15781,-132.31344,326.82832,9.81929,256.77038,167.38743
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,15,58f99d20-c04a-11ed-a55a-69a3e4cdf12c,01bbc245-8c14-44d6-8d69-8b5d7904e5fa,2023-03-11,15:21:46.47,2023-03-11,20:21:46.47,2023-03-11T15:21:46.4702892-05:00,2023-03-11T20:21:46.4702892Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,66.83487,60.74902,138.94475,29.78029,84.69411,-62.10283,141.99905,-23.57499,281.20807,-153.54873,334.86811,-4.77938,253.51544,161.93166
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,16,62910ee0-c04a-11ed-a55a-69a3e4cdf12c,2447109c-7606-428a-b774-5d0069513436,2023-03-11,15:22:02.59,2023-03-11,20:22:02.59,2023-03-11T15:22:02.5900000-05:00,2023-03-11T20:22:02.5900000Z,CEN_COL,MIL_COL,InPlay,Out,NoShift,67.85574,60.63672,140.40481,30.89875,84.7485,-62.66148,143.01043,-27.66214,288.91152,-153.5817,333.7487,-4.68299,262.62445,164.68725
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,17,a90feee0-c04a-11ed-a55a-69a3e4cdf12c,89fa589b-071d-4554-bd8c-0f21a291204b,2023-03-11,15:24:00.73,2023-03-11,20:24:00.73,2023-03-11T15:24:00.7365036-05:00,2023-03-11T20:24:00.7365036Z,CEN_COL,MIL_COL,InPlay,Out,NoShift,66.66914,61.22743,150.14317,56.09366,85.85061,-62.25137,146.26429,-14.92193,254.02364,-134.05924,337.70446,10.32241,267.92265,172.40181
fb7ae5c1-586f-430f-bbff-cf44ddcacbb2,18,fa0e7dc0-c04a-11ed-a55a-69a3e4cdf12c,f7a330bb-af26-460b-b210-c58b2327b232,2023-03-11,15:26:16.58,2023-03-11,20:26:16.58,2023-03-11T15:26:16.5818284-05:00,2023-03-11T20:26:16.5818284Z,MIL_COL,CEN_COL,StrikeCalled,Undefined,NoShift,100.05528,78.57297,150.60173,41.25681,77.01846,-60.00727,134.98377,-39.70654,279.30819,-139.60453,322.2033,-12.2647,230.83312,130.18745
