GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
7068de1a-99b6-4b8d-b969-c3b07e6645b8,1,22b79490-d334-11ed-9837-4769650016a3,481be4b7-5e34-4f62-8827-d9913fa79255,2023-04-04,18:00:38.63,2023-04-04,22:00:38.63,2023-04-04T18:00:38.6310000-04:00,2023-04-04T22:00:38.6310000Z,CEN_COL,SPA_UNI,InPlay,Out,NoShift,77.21008,58.5064,148.49819,38.34269,82.21661,-49.86397,146.41317,-40.48206,285.13895,-160.97944,342.43218,-13.91179,277.566,138.56106
7068de1a-99b6-4b8d-b969-c3b07e6645b8,2,345b1d20-d334-11ed-9837-4769650016a3,0f2ee33d-ccf6-481f-9def-7f9522e3093f,2023-04-04,18:01:08.19,2023-04-04,22:01:08.19,2023-04-04T18:01:08.1970000-04:00,2023-04-04T22:01:08.1970000Z,CEN_COL,SPA_UNI,StrikeCalled,Undefined,NoShift,84.73557,69.94726,144.81581,53.44525,94.77685,-55.17769,154.65267,-31.74895,263.5589,-141.75479,346.14486,11.63284,278.29325,153.751
7068de1a-99b6-4b8d-b969-c3b07e6645b8,3,3de0b490-d334-11ed-9837-4769650016a3,ce0924f3-4dcb-4e28-8df5-b01c621bb86d,2023-04-04,18:01:23.94,2023-04-04,22:01:23.94,2023-04-04T18:01:23.9410000-04:00,2023-04-04T22:01:23.9410000Z,CEN_COL,SPA_UNI,InPlay,Out,NoShift,85.41849,70.30234,145.99583,53.33152,94.66134,-56.72679,152.73337,-30.4916,260.39661,-139.23916,340.56043,13.85162,280.04565,153.29645
7068de1a-99b6-4b8d-b969-c3b07e6645b8,4,512a24f0-d334-11ed-9837-4769650016a3,fdb60f4e-37fc-4ae3-891f-fca41a8fa107,2023-04-04,18:01:56.56,2023-04-04,22:01:56.56,2023-04-04T18:01:56.5660000-04:00,2023-04-04T22:01:56.5660000Z,CEN_COL,SPA_UNI,StrikeCalled,Undefined,NoShift,84.87915,66.49966,152.66476,36.89126,100.13894,-69.69003,148.62273,-43.69173,295.27399,-164.22127,349.74713,-13.50511,274.89504,141.5618
7068de1a-99b6-4b8d-b969-c3b07e6645b8,5,5986ccc0-d334-11ed-9837-4769650016a3,15ebcd7e-eaae-407a-84b7-7f1666944d24,2023-04-04,18:02:10.56,2023-04-04,22:02:10.56,2023-04-04T18:02:10.5660000-04:00,2023-04-04T22:02:10.5660000Z,CEN_COL,SPA_UNI,StrikeCalled,Undefined,NoShift,88.85848,63.36583,152.02588,37.05567,100.18478,-70.0529,151.64309,-41.41899,296.18099,-162.22395,348.22002,-13.86921,276.44643,137.53872
7068de1a-99b6-4b8d-b969-c3b07e6645b8,6,635c31e0-d334-11ed-9837-4769650016a3,c6292888-3c9a-4994-a5ef-97e1467037ca,2023-04-04,18:02:26.92,2023-04-04,22:02:26.92,2023-04-04T18:02:26.9270000-04:00,2023-04-04T22:02:26.9270000Z,CEN_COL,SPA_UNI,StrikeSwinging,Undefined,NoShift,88.33841,66.33366,150.70438,44.1226,100.17533,-70.38097,,,295.08628,-162.86096,342.9086,-13.24593,274.4872,137.3104
7068de1a-99b6-4b8d-b969-c3b07e6645b8,7,b94aa370-d334-11ed-9837-4769650016a3,ae330d5f-ea28-4786-9d69-6aa77d84203e,2023-04-04,18:04:51.20,2023-04-04,22:04:51.20,2023-04-04T18:04:51.2000000-04:00,2023-04-04T22:04:51.2000000Z,SPA_UNI,CEN_COL,BallCalled,Undefined,NoShift,101.58268,67.99306,144.12921,38.48149,71.40622,-53.60019,144.05546,-43.41946,270.64179,-140.73601,314.75564,-10.28099,274.42257,117.27971
7068de1a-99b6-4b8d-b969-c3b07e6645b8,8,c040b660-d334-11ed-9837-4769650016a3,fe1a63a8-6f85-450d-a12a-fdb0d1ce6cb9,2023-04-04,18:05:02.86,2023-04-04,22:05:02.86,2023-04-04T18:05:02.8620000-04:00,2023-04-04T22:05:02.8620000Z,SPA_UNI,CEN_COL,FoulBall,Undefined,NoShift,99.31641,67.74398,144.44154,36.86115,76.47512,-59.22333,144.52223,-43.98941,270.06599,-140.93558,321.47632,-8.84338,277.76385,115.78255
7068de1a-99b6-4b8d-b969-c3b07e6645b8,9,ca6266c0-d334-11ed-9837-4769650016a3,f02d26a2-cb64-4646-ad8e-37150f4ff2af,2023-04-04,18:05:19.75,2023-04-04,22:05:19.75,2023-04-04T18:05:19.7530000-04:00,2023-04-04T22:05:19.7530000Z,SPA_UNI,CEN_COL,InPlay,Double,NoShift,102.63693,71.99642,145.57913,38.37843,80.91286,-64.21448,144.60855,-44.74272,271.76846,-136.75008,322.13095,1.76336,276.50802,119.88677
7068de1a-99b6-4b8d-b969-c3b07e6645b8,10,e3c7b6b0-d334-11ed-9837-4769650016a3,1dcd24e4-9f01-40cd-811b-ba3fc7bcdc53,2023-04-04,18:06:02.43,2023-04-04,22:06:02.43,2023-04-04T18:06:02.4360000-04:00,2023-04-04T22:06:02.4360000Z,SPA_UNI,CEN_COL,InPlay,Out,NoShift,90.74639,73.45697,140.68284,50.49486,75.12183,-49.47102,145.29494,-31.36559,281.39049,-119.93693,333.42005,21.8605,261.68845,130.77828
