PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-04,16:11:30.19,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"York, Peter",1000224038,Left,RHO_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.32483,-0.370082,-1.404022,1581.738423,224.925419,1:30,5.51527,1.32146,6.10217,-31.38128,6.70886,5.48555,2.55781,0.4799,78.08023,-6.21405,-0.415043,0.444199,,,,,,,,,,,,-3.21232,3.95481,-1.21627,50,5.47051,2.81927,-123.95621,-1.80398,-4.98995,25.1492,-26.03076,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,2283af20-bad1-11ed-86ac-93f485879a4f,84.85487,,,7.24461,,,,,,,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:11:30.19,2023-03-04T16:11:30.1952098-05:00,2023-03-04T21:11:30.1952098Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,c5167282-825a-4947-8cc6-98a893670a6a,54.39406,-124.84452,12.5746,5.518,-0.88452,-13.01538,-1.31896,2.99553,-2.49497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-04,16:11:46.82,1,2,"Prather, Ben",1000190341,Right,CEN_COL,"York, Peter",1000224038,Left,RHO_COL,Undefined,1,Top,0,0,1,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,81.51739,-0.067528,-3.065589,1162.271955,257.814073,2:30,5.74657,1.15548,5.82833,-38.79793,3.4313,9.68516,2.45055,-0.88982,74.71422,-7.218383,-1.330717,0.467712,,,,,,,,,,,,-5.80036,2.18831,-0.91072,50,5.71822,5.95637,-118.27894,-1.40515,-8.20867,22.77104,-29.07716,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,2c77e6e0-bad1-11ed-86ac-93f485879a4f,80.58905,,,6.80317,,,,,,,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:11:46.82,2023-03-04T16:11:46.8272226-05:00,2023-03-04T21:11:46.8272226Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,ef5b82e6-dbfc-49e6-99e9-4958df3ba4f8,54.66929,-119.17449,11.38552,5.75099,-0.2616,-14.53858,-1.15132,6.2792,-4.10434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-04,16:12:04.52,1,3,"Prather, Ben",1000190341,Right,CEN_COL,"York, Peter",1000224038,Left,RHO_COL,Undefined,1,Top,0,1,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.80693,-0.284687,-2.494588,1776.624385,207.782077,1:00,5.60181,1.21341,6.25163,-26.70486,10.66068,5.01036,3.11362,-0.67097,78.66246,-5.294568,-1.590159,0.439954,87.44246,-21.790325,69.665318,,,,,9.5181,8.09948,56.434029,0.065672,-3.30177,5.9591,-1.03054,50,5.56744,5.24167,-124.66847,-1.42096,-5.20303,24.76302,-22.78356,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,370b1dc0-bad1-11ed-86ac-93f485879a4f,85.67365,3.13527,,7.14447,,,,2.53721,3.13527,0.57714,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:12:04.52,2023-03-04T16:12:04.5248610-05:00,2023-03-04T21:12:04.5248610Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,5cc04a03-7f79-4a21-9a53-2d963649dd8e,54.2466,-125.50914,12.38151,5.60255,-0.64749,-11.39178,-1.21149,5.4183,-2.60152,180,2.53597,41.49921,,,,,,,,3.13669,-47.74163,,,,,,,,0.57382,111.97859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2023-03-04,16:12:27.89,1,4,"Prather, Ben",1000190341,Right,CEN_COL,"York, Peter",1000224038,Left,RHO_COL,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.73966,-0.239497,-3.175758,1912.751073,240.114533,2:00,5.5685,1.29177,6.20017,-27.55348,9.12048,13.88741,3.05096,-0.48543,79.44729,-5.39604,-0.672244,0.435863,78.72848,-35.678989,92.121363,,,,,5.95223,3.44572,60.775098,0.050577,-8.11414,5.12599,-1.05993,50,5.53652,6.45351,-125.96379,-1.38108,-13.05215,25.30504,-23.92855,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,44e8c4b0-bad1-11ed-86ac-93f485879a4f,86.47768,3.41957,,7.29237,,,,3.0824,3.41957,0.43532,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:12:27.89,2023-03-04T16:12:27.8952034-05:00,2023-03-04T21:12:27.8952034Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,804d99e3-756e-4c73-b8bf-071e15e66f08,54.29889,-126.82446,12.65252,5.56965,-0.56723,-11.96428,-1.28697,6.89743,-6.52608,,3.08252,-3.48556,,,,,,,,3.42172,-67.61056,,,,,,,,0.43233,94.09837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2023-03-04,16:12:47.18,1,5,"Prather, Ben",1000190341,Right,CEN_COL,"York, Peter",1000224038,Left,RHO_COL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.90565,-1.236803,-2.380465,1126.998671,219.957727,1:15,5.69991,1.03026,6.15678,-33.38577,9.12182,6.45725,1.774,-0.63206,73.91127,-7.461701,-1.215571,0.46925,,,,,,,,,,,,-4.03831,5.51512,-0.85267,50,5.58897,4.641,-117.41325,-3.52353,-5.60352,23.47629,-24.52135,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,506faa60-bad1-11ed-86ac-93f485879a4f,80.32481,,,6.99438,,,,,,,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:12:47.18,2023-03-04T16:12:47.1877730-05:00,2023-03-04T21:12:47.1877730Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,b6756c63-07d2-4031-b3fb-e284d7dd3667,54.33942,-118.27772,11.73814,5.70209,-2.62058,-12.26067,-1.02737,4.84734,-2.80176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-04,16:13:20.85,2,1,"Prather, Ben",1000190341,Right,CEN_COL,"Messina, Dante",1000224036,Right,RHO_COL,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.74204,2.46568,0.208594,1455.028975,27.345331,7:00,5.43948,1.27749,5.5642,-54.67865,-4.5891,-3.29945,3.18775,1.1974,68.44578,-7.572892,-0.380322,0.509384,,,,,,,,,,,,1.71299,-2.46473,-1.29335,50,5.61714,-0.2704,-109.74161,2.92933,2.05549,22.32671,-35.1316,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,647ae420-bad1-11ed-86ac-93f485879a4f,73.99615,,,7.29626,,,,,,,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:13:20.85,2023-03-04T16:13:20.8539234-05:00,2023-03-04T21:13:20.8539234Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,9067a8f9-1a6c-4d97-bb0a-e06784730399,54.93115,-110.7403,11.16336,5.45096,4.50079,-17.5658,-1.2792,-0.36235,1.02774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-04,16:13:35.80,2,2,"Prather, Ben",1000190341,Right,CEN_COL,"Messina, Dante",1000224036,Right,RHO_COL,Undefined,1,Top,1,1,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.42324,-1.040166,-3.576734,1772.789648,196.190968,12:30,5.55866,1.27044,6.36346,-28.32726,8.78024,2.18638,2.23889,-1.84306,78.64764,-6.356248,-3.181855,0.438432,,,,,,,,,,,,-2.20815,5.28126,-1.01245,50,5.47031,7.74565,-125.29349,-3.13331,-3.48242,27.18316,-23.84515,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,6d5c4c50-bad1-11ed-86ac-93f485879a4f,85.971,,,7.7756,,,,,,,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:13:35.80,2023-03-04T16:13:35.8018658-05:00,2023-03-04T21:13:35.8018658Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,7b9b63e4-3d4e-4507-af34-90636609bd1f,54.13145,-126.18664,13.59158,5.56039,-2.34983,-11.92258,-1.26883,7.86007,-1.74121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-04,16:13:50.51,2,3,"Prather, Ben",1000190341,Right,CEN_COL,"Messina, Dante",1000224036,Right,RHO_COL,Undefined,1,Top,1,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.90415,-0.491973,-3.243499,1729.245135,229.243389,1:45,5.52226,1.21832,6.19069,-28.9721,8.62941,8.59367,2.65296,-1.06328,78.39421,-5.911918,-1.695038,0.441341,,,,,,,,,,,,-5.35221,4.99272,-0.97785,50,5.47066,6.72036,-124.6313,-1.97252,-8.39199,25.7806,-24.34574,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,7628f400-bad1-11ed-86ac-93f485879a4f,85.40439,,,7.50994,,,,,,,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:13:50.51,2023-03-04T16:13:50.5183330-05:00,2023-03-04T21:13:50.5183330Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,6b346a29-cb74-45fc-aac1-8fe924b0402b,54.30527,-125.5187,12.8903,5.52414,-1.1345,-12.17287,-1.21415,7.00923,-4.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-04,16:14:03.32,2,4,"Prather, Ben",1000190341,Right,CEN_COL,"Messina, Dante",1000224036,Right,RHO_COL,Undefined,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.74784,2.003691,1.17255,1510.814597,55.940697,7:45,5.42787,1.08444,5.63602,-57.22487,-4.38063,-9.35595,2.52958,1.39883,66.59233,-8.514263,-0.500642,0.523203,,,,,,,,,,,,5.0878,-2.22697,-1.1782,50,5.56246,-1.83615,-106.85666,1.93738,5.76648,21.80432,-34.69806,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,7dcb4c80-bad1-11ed-86ac-93f485879a4f,72.0417,,,7.15551,,,,,,,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:14:03.32,2023-03-04T16:14:03.3235042-05:00,2023-03-04T21:14:03.3235042Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,865c22c8-95d3-41dd-aafc-8670dd134193,54.85984,-107.84376,10.90216,5.4392,3.50819,-17.34903,-1.08916,-2.0972,2.88324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-04,16:14:16.91,2,5,"Prather, Ben",1000190341,Right,CEN_COL,"Messina, Dante",1000224036,Right,RHO_COL,Undefined,1,Top,1,3,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.77216,-0.407046,-2.334942,1711.657442,220.716546,1:15,5.5201,1.07561,6.14855,-31.67132,6.07118,4.17335,2.5044,-0.73524,78.33597,-6.30787,-1.582553,0.442168,78.73888,-23.854387,18.444142,,,,,7.06641,5.89639,20.022068,0.051546,-2.84154,3.61882,-0.90008,50,5.47287,4.91551,-124.54457,-1.89156,-4.44366,26.03483,-26.51484,CEN_COL,RHO_COL,GaryWright,D3,Team,20230304-GaryWright-2,85e03cf0-bad1-11ed-86ac-93f485879a4f,85.2447,2.4139,,7.43619,,,,1.46074,2.4139,0.69229,d8aa4639-5a91-4d04-b562-204a427babb6,2023-03-04,21:14:16.91,2023-03-04T16:14:16.9199202-05:00,2023-03-04T21:14:16.9199202Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,7d921507-4810-4733-b9a3-0bb03aa8f2b4,54.34879,-125.45035,13.01742,5.52263,-0.96908,-13.25742,-1.07378,5.07011,-2.22183,180,1.45848,100.46539,,,,,,,,2.41495,-46.83002,,,,,,,,0.69154,33.50638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
