PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-28,18:00:39.41,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.47709,-1.67155,-2.949067,1820.951756,227.421596,1:30,5.23099,2.60616,5.72084,-26.08761,13.3154,12.82642,1.49757,0.92571,76.62616,-6.575514,-0.656268,0.45179,,,,,,,,,,,,-7.50748,7.77642,-2.36763,50,5.07549,5.82644,-123.66305,-4.43919,-11.36683,29.77704,-20.40001,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,1d273f50-e610-11ed-beb6-139f0b72091a,83.4292,,,8.85094,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:00:39.41,2023-04-28T18:00:39.4160000-04:00,2023-04-28T22:00:39.4160000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,a49c8a32-912e-47eb-b06e-9e62a5e6b081,54.77284,-124.80702,14.88852,5.23098,-3.65547,-10.20001,-2.59986,6.26313,-5.68342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-04-28,18:00:50.74,1,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.87913,-0.943365,-1.688236,1846.233347,220.342981,1:15,5.19744,2.65729,5.74674,-26.1962,12.68611,9.51426,2.1357,1.87795,77.02124,-5.871709,0.015028,0.448794,,,,,,,,,,,,-5.37929,7.20107,-2.52276,50,5.10345,3.25802,-124.38758,-2.88391,-8.24859,29.89911,-21.13193,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,23dfd410-e610-11ed-beb6-139f0b72091a,83.986,,,8.85789,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:00:50.74,2023-04-28T18:00:50.7450000-04:00,2023-04-28T22:00:50.7450000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,771b638a-06e9-4ee4-909a-51ca168aaaf1,54.74603,-125.5232,14.94956,5.19774,-2.08129,-10.56597,-2.65245,3.57132,-4.12429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-04-28,18:01:03.86,1,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.14785,4.343611,1.082345,1946.427981,43.831748,7:30,5.32932,2.48734,5.58451,-71.29476,-13.33867,-15.10465,3.45277,2.23946,63.18784,-8.75411,-1.612933,0.547925,,,,,,,,,,,,7.89028,-7.42788,-2.57079,50,5.65842,-1.36967,-102.74693,5.54907,8.13743,22.60784,-39.83459,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,2bbfaac0-e610-11ed-beb6-139f0b72091a,68.79126,,,7.96002,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:01:03.86,2023-04-28T18:01:03.8680000-04:00,2023-04-28T22:01:03.8680000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b2383d88-871d-4c03-9c09-5f29b3d178d9,54.91169,-103.82204,11.30392,5.34949,7.4434,-19.91729,-2.49645,-1.75664,4.06872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-04-28,18:01:16.61,1,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.49098,-0.287173,-3.555913,1906.58823,209.165255,1:00,5.2364,2.63686,5.99124,-24.26336,15.66174,7.88426,2.94781,-0.00572,75.59438,-4.903965,-2.142332,0.454773,88.34945,57.661109,44.811532,4433.906766,87.27797,110.01563,66.95168,,298.09463,,,-5.30709,8.58123,-2.36078,50,5.20065,7.28764,-122.29068,-1.3136,-7.85052,29.32664,-19.48027,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,335f6b30-e610-11ed-beb6-139f0b72091a,82.88193,122.81354,,8.8966,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:01:16.61,2023-04-28T18:01:16.6190000-04:00,2023-04-28T22:01:16.6190000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3a2ab1bc-9d96-4d50-91cd-5048986d4445,54.50395,-123.36604,14.66332,5.23572,-0.59928,-9.74013,-2.63329,7.57551,-3.92526,23.074858,6.1275,49.18027,3.38378,-2.16101,0.24199,0.19361,-0.11212,0.02524,-0.00227,2.30251,109.4775,-31.7337,4.28289,-0.65969,0.00134,0.03266,-0.00934,0.00102,0.07079,48.8489,-6.49342,1.57359,-0.1607,-0.07964,0.04743,-0.0114,0.0011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2023-04-28,18:01:50.88,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.95113,0.183578,-2.296802,1605.816445,234.213667,1:45,5.33662,2.60039,5.55496,-33.72978,12.04257,14.03997,2.69748,1.62325,70.84789,-6.147498,0.206389,0.486937,,,,,,,,,,,,-7.84678,6.56524,-2.41093,50,5.33112,4.04572,-115.55715,-0.68492,-10.25913,28.16699,-23.59044,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,47c15070-e610-11ed-beb6-139f0b72091a,77.4072,,,9.10323,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:01:50.88,2023-04-28T18:01:50.8800000-04:00,2023-04-28T22:01:50.8800000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,95bbcb20-d909-411e-b371-b1568b26401b,54.93453,-116.75374,14.0835,5.33892,0.31725,-11.79522,-2.59206,4.48155,-5.12956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-04-28,18:02:02.08,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,1,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.3257,-0.999096,-2.907003,1899.988304,216.914561,1:15,5.20766,2.62523,5.94828,-22.39907,16.94599,11.54733,2.41315,0.88901,76.04021,-5.283907,-0.835297,0.451457,65.34854,32.41319,-151.090254,3702.257811,,,,,21.07366,,,-6.93882,9.47682,-2.40021,50,5.11584,5.79264,-123.47274,-2.79167,-10.42324,30.758,-17.93831,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,4e78acb0-e610-11ed-beb6-139f0b72091a,83.49063,14.36608,,9.28549,,,,1.27682,2.41227,-0.8899,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:02:02.08,2023-04-28T18:02:02.0890000-04:00,2023-04-28T22:02:02.0890000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b63c3049-4caa-4e24-b51a-ecefea6934af,54.54474,-124.59973,15.379,5.20609,-2.13441,-8.96915,-2.61945,6.17455,-5.21162,22.716028,1.27751,-70.86303,4.12324,,,,,,,2.41644,51.17256,-28.00615,,,,,,,-0.89097,-39.06339,6.24899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2023-04-28,18:02:19.47,2,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.24183,4.159254,0.654614,1941.146313,37.658906,7:15,5.31788,2.57875,5.88524,-69.5276,-12.98398,-11.68406,3.39316,2.21296,63.91454,-8.65431,-1.442433,0.541207,,,,,,,,,,,,6.11237,-7.26713,-2.62518,50,5.61536,-0.75794,-103.09077,5.3977,6.40877,21.24486,-39.79359,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,58e82ef0-e610-11ed-beb6-139f0b72091a,69.6452,,,7.32729,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:02:19.47,2023-04-28T18:02:19.4720000-04:00,2023-04-28T22:02:19.4720000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,135db159-ef7a-40e4-9f2f-596a7ed4efb7,54.6129,-104.03705,10.62243,5.33546,7.17016,-19.8968,-2.58506,-1.04339,3.20438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-04-28,18:02:32.94,2,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,1,2,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.58834,-0.700566,-1.996141,1929.273575,209.240665,1:00,5.24559,2.54259,5.86485,-23.7008,16.65347,8.38166,2.61932,1.38603,74.96919,-5.233583,-0.493346,0.45721,,,,,,,,,,,,-4.95591,9.20941,-2.3854,50,5.17544,3.90382,-122.34643,-2.17573,-7.27162,31.3248,-18.6614,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,60d79600-e610-11ed-beb6-139f0b72091a,82.44003,,,9.61915,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:02:32.94,2023-04-28T18:02:32.9400000-04:00,2023-04-28T22:02:32.9400000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,df275cef-b97d-41c2-8c74-c0c4707e6ed1,54.62401,-123.52466,15.6624,5.24408,-1.47382,-9.3307,-2.53738,4.17733,-3.63581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-04-28,18:02:48.41,2,5,"Morgan, Luc",1000126728,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,1,2,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.91172,1.028152,-3.342344,1976.948207,209.29016,1:00,5.29445,2.63926,6.04512,-30.50632,9.10327,4.23516,3.70583,-0.10562,75.65977,-4.724333,-2.582272,0.452972,,,,,,,,,,,,-3.33949,4.77855,-2.38089,50,5.35871,6.99661,-122.81924,1.25844,-4.96758,30.25202,-25.06581,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,6a0ee660-e610-11ed-beb6-139f0b72091a,83.21138,,,9.25195,,,,,,,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:02:48.41,2023-04-28T18:02:48.4160000-04:00,2023-04-28T22:02:48.4160000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,6f33eb23-7507-4305-98a6-b46159adf223,54.44617,-123.90955,15.12601,5.29708,2.16183,-12.53291,-2.63628,7.17564,-2.48379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-04-28,18:03:01.16,2,6,"Morgan, Luc",1000126728,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,1,3,2,Fastball,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,83.9245,-0.222585,-2.270265,1944.229116,190.501061,12:15,5.30592,2.58708,6.02174,-28.99513,11.64268,1.85386,2.68334,0.63776,74.69401,-5.709322,-1.937039,0.458814,55.34982,-21.68621,110.077133,,,,,5.91812,1.2493,101.880944,0.096205,-1.78563,6.52776,-2.41031,50,5.27312,4.7418,-121.4932,-1.34227,-2.58781,30.5379,-22.71371,CEN_COL,SEW_TIG,GaryWright,D3,Team,20230428-GaryWright-1,71afb840-e610-11ed-beb6-139f0b72091a,82.15193,2.90525,,9.2305,,,,1.28951,2.90525,-1.07038,95de69e1-b138-4eb1-84bd-18d2368ca28e,2023-04-28,22:03:01.16,2023-04-28T18:03:01.1660000-04:00,2023-04-28T22:03:01.1660000Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c2132ca6-31eb-4fce-af9f-669d5cda2be3,54.47063,-122.61176,15.26895,5.30705,-0.5103,-11.35686,-2.58573,4.83659,-1.2939,,1.2922,-26.06869,,,,,,,,2.90836,-30.19861,,,,,,,,-1.07773,71.32423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
