GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
38b89247-6825-4ab8-aaef-57c8da99a57d,1,e69ecd40-d62e-11ed-8987-bf685915479d,b498936a-1b86-4f73-a622-d5afcfcacb9f,2023-04-08,13:00:43.67,2023-04-08,17:00:43.67,2023-04-08T13:00:43.6720000-04:00,2023-04-08T17:00:43.6720000Z,CEN_COL,UNI_THE,InPlay,Double,NoShift,91.73356,71.63237,146.68809,39.77831,85.55644,-52.63695,144.60019,-39.33291,283.54061,-153.85158,326.17779,-6.0684,271.02325,146.18517
38b89247-6825-4ab8-aaef-57c8da99a57d,2,ffb1de80-d62e-11ed-8987-bf685915479d,bbb38341-11f3-428e-b0cd-d84a987386b4,2023-04-08,13:01:25.64,2023-04-08,17:01:25.64,2023-04-08T13:01:25.6430000-04:00,2023-04-08T17:01:25.6430000Z,CEN_COL,UNI_THE,StrikeCalled,Undefined,NoShift,86.60404,73.01101,156.23734,67.39276,73.05504,-46.22625,146.33153,-16.32983,264.91012,-140.02611,328.11902,16.98141,277.37302,161.64795
38b89247-6825-4ab8-aaef-57c8da99a57d,3,0af2e190-d62f-11ed-8987-bf685915479d,29cc1246-402d-485f-b9dd-60ba56c5faa2,2023-04-08,13:01:44.65,2023-04-08,17:01:44.65,2023-04-08T13:01:44.6530000-04:00,2023-04-08T17:01:44.6530000Z,CEN_COL,UNI_THE,BallCalled,Undefined,NoShift,88.71508,73.3288,155.05599,67.09129,75.49881,-47.47902,143.71813,-15.00466,259.18904,-137.68655,325.56583,17.4642,275.38122,161.3502
38b89247-6825-4ab8-aaef-57c8da99a57d,4,155ff2d0-d62f-11ed-8987-bf685915479d,f0292855-0dc4-45b5-bae9-a0597f51f1b4,2023-04-08,13:02:02.12,2023-04-08,17:02:02.12,2023-04-08T13:02:02.1280000-04:00,2023-04-08T17:02:02.1280000Z,CEN_COL,UNI_THE,BallCalled,Undefined,NoShift,90.27028,73.56252,155.73508,67.8952,75.80369,-47.11984,149.43085,-16.66461,254.52764,-135.5344,333.95514,16.65407,280.2379,162.31023
38b89247-6825-4ab8-aaef-57c8da99a57d,5,1ff9e070-d62f-11ed-8987-bf685915479d,84b38834-36d5-44eb-90a5-0efc8a26b8bb,2023-04-08,13:02:19.86,2023-04-08,17:02:19.86,2023-04-08T13:02:19.8690000-04:00,2023-04-08T17:02:19.8690000Z,CEN_COL,UNI_THE,StrikeCalled,Undefined,NoShift,89.8093,73.93862,157.74163,68.27233,75.76524,-47.46381,151.60257,-18.26274,255.44649,-133.66204,332.1818,18.17074,281.85823,162.22344
38b89247-6825-4ab8-aaef-57c8da99a57d,6,2a95f0f0-d62f-11ed-8987-bf685915479d,cfeb1288-5178-46f2-a36e-3e4b262eccb6,2023-04-08,13:02:37.71,2023-04-08,17:02:37.71,2023-04-08T13:02:37.7170000-04:00,2023-04-08T17:02:37.7170000Z,CEN_COL,UNI_THE,FoulBall,Undefined,NoShift,92.39879,73.86318,157.65569,66.71533,93.23624,-53.55948,149.72075,-15.99752,253.18959,-132.57205,332.48179,18.42229,277.57968,159.65984
38b89247-6825-4ab8-aaef-57c8da99a57d,7,38126510-d62f-11ed-8987-bf685915479d,a05df5a0-5611-4ffd-becf-df81afb7b80a,2023-04-08,13:03:00.28,2023-04-08,17:03:00.28,2023-04-08T13:03:00.2880000-04:00,2023-04-08T17:03:00.2880000Z,CEN_COL,UNI_THE,FoulBall,Undefined,NoShift,92.26032,73.87438,159.52202,68.54113,91.98591,-55.12846,152.54938,-25.54601,253.91769,-130.01082,333.93935,18.85604,277.79914,158.92859
38b89247-6825-4ab8-aaef-57c8da99a57d,8,45153c60-d62f-11ed-8987-bf685915479d,01b97498-7bdc-4e6e-8eda-84de3990cf21,2023-04-08,13:03:22.22,2023-04-08,17:03:22.22,2023-04-08T13:03:22.2290000-04:00,2023-04-08T17:03:22.2290000Z,CEN_COL,UNI_THE,FoulBall,Undefined,NoShift,92.26466,73.51358,160.63249,69.47195,95.4667,-56.57123,149.61224,-27.44263,248.53352,-132.40299,337.83936,19.40666,277.17029,166.17792
38b89247-6825-4ab8-aaef-57c8da99a57d,9,54064f20-d62f-11ed-8987-bf685915479d,d614b72f-98b8-4e86-84cf-91eb7ed0b320,2023-04-08,13:03:47.18,2023-04-08,17:03:47.18,2023-04-08T13:03:47.1810000-04:00,2023-04-08T17:03:47.1810000Z,CEN_COL,UNI_THE,FoulBall,Undefined,NoShift,93.11606,76.5526,154.22058,65.6721,94.51849,-57.59132,148.74782,-17.55728,253.63775,-127.72392,331.23094,22.3631,276.22394,167.30137
38b89247-6825-4ab8-aaef-57c8da99a57d,10,6df3e1e0-d62f-11ed-8987-bf685915479d,eaa17759-48b3-4fcf-8251-42df788aba29,2023-04-08,13:04:30.71,2023-04-08,17:04:30.71,2023-04-08T13:04:30.7160000-04:00,2023-04-08T17:04:30.7160000Z,CEN_COL,UNI_THE,BallCalled,Undefined,NoShift,92.26583,75.42147,157.17072,69.19433,96.08243,-60.07147,149.46909,-16.34368,245.21667,-126.77473,326.73717,24.00854,278.9061,168.00535
