PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-08,13:00:43.67,1,1,"Livengood, Josh",10072811,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Double,0,0,,82.74757,-4.058333,-1.19364,1713.500535,186.35204,12:15,7.14842,0.84502,6.21789,-21.33859,18.80485,1.95839,1.6182,-0.0934,76.57649,-8.058913,-0.839784,0.456015,78.92581,-21.484676,-58.221097,,,,,7.50862,5.37069,-29.715011,0.04413,-1.33473,11.21213,-0.75669,50,6.83339,2.43186,-120.07254,-9.10004,-1.96285,21.65274,-15.68524,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,e69ecd40-d62e-11ed-8987-bf685915479d,82.65621,1.87488,,6.17108,,,,4.01264,1.87488,0.32737,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:00:43.67,2023-04-08T13:00:43.6720000-04:00,2023-04-08T17:00:43.6720000Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,b498936a-1b86-4f73-a622-d5afcfcacb9f,54.28127,-120.84212,10.82637,7.14692,-8.54256,-7.84262,-0.84436,2.50162,-0.98142,180,4.0118,56.84536,,,,,,,,1.87551,-42.485,,,,,,,,0.32873,-91.7576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2023-04-08,13:01:25.64,2,1,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.76521,-3.513615,-1.556078,1536.083878,207.644372,1:00,6.94036,1.05883,6.44948,-24.49147,14.92607,7.2539,1.6661,0.23336,77.22933,-8.081805,-0.239206,0.451873,,,,,,,,,,,,-4.17449,8.99189,-0.95177,50,6.67997,3.01363,-120.27348,-8.05619,-6.21404,19.77883,-18.78888,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,ffb1de80-d62e-11ed-8987-bf685915479d,83.41382,,,5.53589,,,,,,,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:01:25.64,2023-04-08T13:01:25.6430000-04:00,2023-04-08T17:01:25.6430000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,bbb38341-11f3-428e-b0cd-d84a987386b4,54.04966,-120.93761,9.88941,6.93989,-7.4253,-9.39444,-1.05647,3.22228,-3.10702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-04-08,13:01:44.65,2,2,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.43877,-2.684355,0.823443,1563.278798,184.912826,12:15,7.03761,1.21071,6.30263,-24.21135,15.65099,1.25299,2.54486,2.07381,76.88011,-7.202535,1.050248,0.454415,,,,,,,,,,,,-0.46409,9.1256,-1.27169,50,6.82864,-1.76819,-119.89064,-6.29511,-0.68693,19.49742,-18.66672,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,0af2e190-d62f-11ed-8987-bf685915479d,82.94711,,,5.55866,,,,,,,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:01:44.65,2023-04-08T13:01:44.6530000-04:00,2023-04-08T17:01:44.6530000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,29cc1246-402d-485f-b9dd-60ba56c5faa2,54.19578,-120.57105,9.74871,7.03696,-5.64368,-9.33336,-1.21041,-1.74422,-0.34346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-04-08,13:02:02.12,2,3,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.03015,-0.021763,0.569216,1606.86104,148.338749,11:00,6.93274,1.34541,5.9322,-41.09959,5.99922,-3.00185,3.48758,1.62336,71.48219,-7.555553,0.029334,0.493943,,,,,,,,,,,,1.66689,3.45433,-1.38912,50,6.90736,-0.99654,-110.74158,-1.26573,2.12045,15.25396,-27.77978,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,155ff2d0-d62f-11ed-8987-bf685915479d,76.30937,,,4.54795,,,,,,,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:02:02.12,2023-04-08T13:02:02.1280000-04:00,2023-04-08T17:02:02.1280000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,f0292855-0dc4-45b5-bae9-a0597f51f1b4,54.56788,-111.369,7.62698,6.93592,-0.1231,-13.88989,-1.34634,-1.08376,1.06022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-04-08,13:02:19.86,2,4,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.49937,-3.337025,-0.654318,1609.301754,183.071905,12:00,7.04999,1.18048,6.26986,-22.90218,17.03891,0.85532,2.06151,0.64854,76.87455,-7.612996,-0.499565,0.454864,,,,,,,,,,,,-0.59972,10.01134,-1.13251,50,6.79158,1.33869,-119.90091,-7.62299,-0.88669,19.79182,-17.37265,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,1ff9e070-d62f-11ed-8987-bf685915479d,82.86533,,,5.62482,,,,,,,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:02:19.86,2023-04-08T13:02:19.8690000-04:00,2023-04-08T17:02:19.8690000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,84b38834-36d5-44eb-90a5-0efc8a26b8bb,54.22891,-120.59695,9.89591,7.04892,-7.01203,-8.68633,-1.18014,1.36988,-0.44334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-04-08,13:02:37.71,2,5,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,2,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,76.75409,-0.547902,-0.474123,1695.814395,138.831567,10:45,6.93363,1.25663,5.77604,-40.39632,6.12473,-4.37063,3.05742,0.45124,72.19033,-7.924183,-1.258034,0.490904,53.82489,46.802081,-162.617786,3466.396478,,,,,145.40212,,,2.15929,3.56524,-1.21471,50,6.86338,1.07692,-111.78151,-2.30514,2.79576,15.74261,-27.5579,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,2a95f0f0-d62f-11ed-8987-bf685915479d,76.78176,30.20174,,4.56377,,,,2.53149,3.24969,-0.47229,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:02:37.71,2023-04-08T13:02:37.7170000-04:00,2023-04-08T17:02:37.7170000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,cfeb1288-5178-46f2-a36e-3e4b262eccb6,54.72509,-112.44499,7.87131,6.93606,-1.14369,-13.77895,-1.25761,0.95909,1.39788,11.309037,2.53149,-51.57039,-0.27488,0.74317,-0.21732,0.04817,0.00164,-0.00756,0.00268,3.24969,57.54897,-25.04311,2.64807,-0.54158,0.07945,0.00417,-0.01095,0.00276,-0.47229,-16.1436,1.766,-0.03447,-0.03133,0.01448,-0.00225,-0.00024,0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2023-04-08,13:03:00.28,2,6,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,2,2,ChangeUp,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,76.31499,0.01088,-0.759468,1581.422483,102.131417,9:30,6.87069,1.42815,5.69382,-45.15432,2.7726,-6.48453,3.11797,0.17997,70.76593,-8.248796,-1.920741,0.498266,47.69545,44.061441,-162.014019,4837.179941,,,,,36.66244,,,3.13319,1.77882,-1.36012,50,6.84301,1.70297,-110.96603,-1.38307,3.93325,18.59008,-29.941,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,38126510-d62f-11ed-8987-bf685915479d,75.64724,27.78902,,5.54907,,,,2.11092,3.27986,-0.20637,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:03:00.28,2023-04-08T13:03:00.2880000-04:00,2023-04-08T17:03:00.2880000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,a05df5a0-5611-4ffd-becf-df81afb7b80a,54.80607,-111.76829,9.29504,6.87482,-0.09096,-14.9705,-1.42995,1.53323,1.96663,16.226203,2.11092,-47.8115,-0.19846,1.46721,-0.4652,0.12803,-0.0265,0.01052,-0.00187,3.27986,48.64752,-24.09744,2.83014,-0.55346,0.08049,-0.00995,0.00021,0.00175,-0.20637,-15.52197,2.325,-0.32804,0.04198,0.00585,-0.00195,0.00233,-0.00098,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2023-04-08,13:03:22.22,2,7,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.33114,-2.764359,-1.590594,1574.288291,178.449086,12:00,7.04419,1.15393,6.43409,-23.41529,15.90934,-0.39795,2.54953,-0.34136,76.76635,-7.175485,-1.662764,0.45134,,,,,,,,,,,,-0.21976,9.45985,-1.04069,50,6.83681,3.37542,-121.05401,-6.47543,-0.32697,23.04757,-18.09979,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,45153c60-d62f-11ed-8987-bf685915479d,83.5123,,,6.5648,,,,,,,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:03:22.22,2023-04-08T13:03:22.2290000-04:00,2023-04-08T17:03:22.2290000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,01b97498-7bdc-4e6e-8eda-84de3990cf21,54.06468,-121.82543,11.52379,7.04341,-5.86961,-9.0499,-1.15386,3.38636,-0.16348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-04-08,13:03:47.18,2,8,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.02454,0.428093,-1.287959,1600.42206,121.049869,10:00,6.98258,1.50664,5.55008,-44.94825,5.00311,-5.88177,3.63702,-0.18721,69.40654,-7.792243,-2.33741,0.50868,,,,,,,,,,,,2.61209,2.94362,-1.39144,50,6.99025,2.67279,-108.98099,-0.60427,3.16304,17.91992,-28.60957,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,54064f20-d62f-11ed-8987-bf685915479d,74.09846,,,5.618,,,,,,,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:03:47.18,2023-04-08T13:03:47.1810000-04:00,2023-04-08T17:03:47.1810000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,d614b72f-98b8-4e86-84cf-91eb7ed0b320,54.94614,-109.79128,8.95996,6.98833,0.68937,-14.30478,-1.50906,2.52976,1.58152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-04-08,13:04:30.71,2,9,"Livengood, Josh",10072811,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.95401,0.495156,-1.743127,1633.04955,66.157456,8:15,6.89665,1.50528,5.69713,-49.42011,-1.07386,-5.50229,3.23995,-0.57809,70.57329,-8.519711,-2.727894,0.500441,,,,,,,,,,,,2.35528,-0.22803,-1.3555,50,6.90735,3.56113,-110.41178,-0.60948,2.93258,18.06916,-32.45796,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-1,6df3e1e0-d62f-11ed-8987-bf685915479d,75.31847,,,5.38073,,,,,,,38b89247-6825-4ab8-aaef-57c8da99a57d,2023-04-08,17:04:30.71,2023-04-08T13:04:30.7160000-04:00,2023-04-08T17:04:30.7160000Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,eaa17759-48b3-4fcf-8251-42df788aba29,54.80235,-111.19491,9.03458,6.90327,0.79729,-16.22898,-1.50709,3.43403,1.46629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
