GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
7ecc9c5d-1cd6-442e-8416-fea2c663655f,1,350d51b0-d64b-11ed-b35e-732fa130aba4,8a5c2154-4d30-4f44-bf99-230cdec20c2c,2023-04-08,16:23:21.35,2023-04-08,20:23:21.35,2023-04-08T16:23:21.3555594-04:00,2023-04-08T20:23:21.3555594Z,CEN_COL,UNI_THE,BallCalled,Undefined,LeftInfieldShift,93.13126,67.50064,,,86.78156,-66.83881,145.89355,-49.93844,284.94411,-153.74273,337.56521,-7.11358,267.858,148.50328
7ecc9c5d-1cd6-442e-8416-fea2c663655f,2,3bed1d80-d64b-11ed-b35e-732fa130aba4,7ac29580-860c-4f21-b68b-c28cce5b61b3,2023-04-08,16:23:32.89,2023-04-08,20:23:32.89,2023-04-08T16:23:32.8909706-04:00,2023-04-08T20:23:32.8909706Z,CEN_COL,UNI_THE,StrikeCalled,Undefined,NoShift,92.92404,70.16236,151.93235,39.52328,97.24384,-74.49403,146.13693,-47.16636,282.44624,-153.56618,337.08911,-5.91224,268.08718,147.97297
7ecc9c5d-1cd6-442e-8416-fea2c663655f,3,43472260-d64b-11ed-b35e-732fa130aba4,fa8d9141-b29c-42ed-8127-3c2df20d3cf2,2023-04-08,16:23:45.12,2023-04-08,20:23:45.12,2023-04-08T16:23:45.1232138-04:00,2023-04-08T20:23:45.1232138Z,CEN_COL,UNI_THE,BallCalled,Undefined,LeftInfieldShift,94.17522,68.55979,,,99.04764,-76.07443,144.55931,-46.34815,286.53333,-157.83576,335.46895,-4.72828,267.75552,147.91177
7ecc9c5d-1cd6-442e-8416-fea2c663655f,4,4a951950-d64b-11ed-b35e-732fa130aba4,def971e9-4419-4950-b8a6-0ed438afcb6e,2023-04-08,16:23:57.43,2023-04-08,20:23:57.43,2023-04-08T16:23:57.4364042-04:00,2023-04-08T20:23:57.4364042Z,CEN_COL,UNI_THE,StrikeCalled,Undefined,NoShift,93.47552,69.86619,151.14713,40.30123,100.82388,-76.95853,144.86396,-46.41596,292.11888,-158.04312,329.55737,-4.14836,269.16608,146.91566
7ecc9c5d-1cd6-442e-8416-fea2c663655f,5,52103ac0-d64b-11ed-b35e-732fa130aba4,bf810467-ad7b-4cb8-8727-a0505f271c12,2023-04-08,16:24:09.93,2023-04-08,20:24:09.93,2023-04-08T16:24:09.9330954-04:00,2023-04-08T20:24:09.9330954Z,CEN_COL,UNI_THE,BallCalled,Undefined,LeftInfieldShift,93.98947,68.89074,,,100.85428,-76.44913,146.11442,-49.88602,284.75627,-154.88708,337.32529,-3.35034,267.6571,146.62096
7ecc9c5d-1cd6-442e-8416-fea2c663655f,6,59dfbdc0-d64b-11ed-b35e-732fa130aba4,43de3a83-b6bd-4e6e-8603-588d1af86e6c,2023-04-08,16:24:23.15,2023-04-08,20:24:23.15,2023-04-08T16:24:23.1594890-04:00,2023-04-08T20:24:23.1594890Z,CEN_COL,UNI_THE,FoulBall,Undefined,NoShift,94.46116,68.71615,,,99.5521,-77.31487,146.58286,-45.41008,287.98189,-157.10762,334.24204,-3.85339,268.01706,147.20271
7ecc9c5d-1cd6-442e-8416-fea2c663655f,7,6448d760-d64b-11ed-b35e-732fa130aba4,60cf331b-3ffc-4a55-b8eb-861550fa6530,2023-04-08,16:24:40.53,2023-04-08,20:24:40.53,2023-04-08T16:24:40.5371274-04:00,2023-04-08T20:24:40.5371274Z,CEN_COL,UNI_THE,FoulBall,Undefined,NoShift,89.77857,65.69007,,,103.78471,-78.98466,146.7449,-47.39876,285.24591,-154.40636,329.14872,-1.9891,268.57362,147.4205
7ecc9c5d-1cd6-442e-8416-fea2c663655f,8,6de997f0-d64b-11ed-b35e-732fa130aba4,15bb37d7-88b6-40ca-b3d3-51dc634ba805,2023-04-08,16:24:56.76,2023-04-08,20:24:56.76,2023-04-08T16:24:56.7622026-04:00,2023-04-08T20:24:56.7622026Z,CEN_COL,UNI_THE,BallCalled,Undefined,NoShift,95.20064,70.76451,,,101.0578,-76.94127,145.50422,-46.72575,286.87532,-157.24479,332.25517,-2.28331,268.1502,147.90878
7ecc9c5d-1cd6-442e-8416-fea2c663655f,9,7b4e1740-d64b-11ed-b35e-732fa130aba4,c04d3bed-22c4-4fac-992f-d2798034602a,2023-04-08,16:25:19.15,2023-04-08,20:25:19.15,2023-04-08T16:25:19.1597962-04:00,2023-04-08T20:25:19.1597962Z,CEN_COL,UNI_THE,StrikeCalled,Undefined,NoShift,63.51189,60.02802,129.82605,53.67127,79.78197,-45.69089,142.47236,-14.66378,270.45743,-141.84268,333.20763,7.55266,274.49739,159.15557
7ecc9c5d-1cd6-442e-8416-fea2c663655f,10,8b989f80-d64b-11ed-b35e-732fa130aba4,b393b27f-7564-4f9f-b8d8-e68a0db369bc,2023-04-08,16:25:46.48,2023-04-08,20:25:46.48,2023-04-08T16:25:46.4886154-04:00,2023-04-08T20:25:46.4886154Z,CEN_COL,UNI_THE,StrikeSwinging,Undefined,NoShift,63.32878,59.60692,130.00327,53.25701,85.11539,-48.67778,144.71088,-16.40876,272.54503,-142.38373,326.36707,8.28134,274.11863,157.73825
