PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-04-08,16:23:21.35,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.61888,-0.614746,-4.136232,2064.72739,217.899631,1:15,5.71542,1.09881,6.44916,-22.18836,14.29698,10.24741,3.30011,-1.85395,79.31555,-4.820937,-2.284613,0.434741,,,,,,,,,,,,-6.45713,7.98587,-0.80964,50,5.66165,8.69477,-125.65953,-1.96469,-10.351,24.85143,-19.37245,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,350d51b0-d64b-11ed-b35e-732fa130aba4,86.7009,,,7.30333,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:23:21.35,2023-04-08T16:23:21.3555594-04:00,2023-04-08T20:23:21.3555594Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,8a5c2154-4d30-4f44-bf99-230cdec20c2c,54.04778,-126.45751,12.42571,5.71475,-1.34264,-9.68622,-1.09417,9.02715,-5.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-04-08,16:23:32.89,1,2,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.46018,-0.179513,-3.023177,2071.149442,213.267515,1:00,5.59488,1.09862,6.33744,-25.84383,11.37071,6.78012,3.27572,-1.12234,79.04306,-5.021183,-1.798298,0.439064,,,,,,,,,,,,-4.25886,6.30126,-0.88149,50,5.56944,6.30393,-124.22097,-1.15023,-6.7365,22.01506,-22.20694,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,3bed1d80-d64b-11ed-b35e-732fa130aba4,85.84727,,,6.41712,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:23:32.89,2023-04-08T16:23:32.8909706-04:00,2023-04-08T20:23:32.8909706Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7ac29580-860c-4f21-b68b-c28cce5b61b3,54.16054,-124.95614,11.00753,5.59546,-0.40865,-11.10347,-1.09576,6.52889,-3.36825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-04-08,16:23:45.12,1,3,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.11962,0.746121,-2.497034,1824.495513,67.115726,8:15,5.53158,1.16678,5.68782,-53.04259,-4.11146,-13.4602,1.80747,-2.28366,69.86675,-8.938066,-4.901997,0.503459,,,,,,,,,,,,6.08087,-1.81933,-0.94823,50,5.5614,5.3158,-110.44624,-0.25449,7.45245,21.10621,-34.40374,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,43472260-d64b-11ed-b35e-732fa130aba4,74.86695,,,6.25287,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:23:45.12,2023-04-08T16:23:45.1232138-04:00,2023-04-08T20:23:45.1232138Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,fa8d9141-b29c-42ed-8127-3c2df20d3cf2,54.81111,-111.36185,10.5531,5.54007,1.23797,-17.20187,-1.17182,4.99251,3.72622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-04-08,16:23:57.43,1,4,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,2,1,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.71442,-0.40263,-3.417005,2044.212561,212.184543,1:00,5.52957,1.24912,6.30884,-28.53761,8.56205,4.73307,2.77987,-1.50788,79.29741,-5.721635,-2.562878,0.438386,,,,,,,,,,,,-3.30303,4.89111,-1.0007,50,5.48628,7.25606,-124.53121,-1.74587,-5.24479,22.3951,-24.40763,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,4a951950-d64b-11ed-b35e-732fa130aba4,85.98008,,,6.41701,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:23:57.43,2023-04-08T16:23:57.4364042-04:00,2023-04-08T20:23:57.4364042Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,def971e9-4419-4950-b8a6-0ed438afcb6e,54.18941,-125.28235,11.19755,5.53111,-0.92723,-12.20382,-1.24701,7.43198,-2.6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-04-08,16:24:09.93,1,5,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.13348,-0.348423,-3.457261,1807.204249,43.906643,7:30,5.42204,1.29134,5.8805,-57.23806,-9.79548,-10.88867,0.32805,-2.83056,71.06533,-10.760234,-5.410411,0.495742,,,,,,,,,,,,4.55248,-4.53827,-1.00551,50,5.36064,7.14826,-111.88979,-2.48484,5.71135,22.14461,-37.86755,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,52103ac0-d64b-11ed-b35e-732fa130aba4,76.0324,,,6.06815,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:24:09.93,2023-04-08T16:24:09.9330954-04:00,2023-04-08T20:24:09.9330954Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bf810467-ad7b-4cb8-8727-a0505f271c12,54.62049,-112.80054,11.07231,5.4308,-0.92744,-18.93377,-1.29467,6.91336,2.85567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-04-08,16:24:23.15,1,6,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,3,2,Fastball,Cutter,FoulBall,Undefined,Undefined,Undefined,0,0,,86.03314,-1.415083,-2.716767,2142.712529,194.596376,12:30,5.68133,0.94031,6.39843,-26.93391,9.33012,2.19784,2.13377,-1.3768,80.60093,-6.416739,-2.318933,0.433421,69.90174,54.447472,88.405681,5006.863152,,,,,57.23758,,,-1.74347,5.46579,-0.74645,50,5.56705,5.8631,-125.2095,-3.90112,-2.83045,19.91284,-23.30066,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,59dfbdc0-d64b-11ed-b35e-732fa130aba4,86.96503,65.46826,,5.43221,,,,2.54888,2.26004,1.33087,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:24:23.15,2023-04-08T16:24:23.1594890-04:00,2023-04-08T20:24:23.1594890Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,43de3a83-b6bd-4e6e-8603-588d1af86e6c,54.10245,-125.86025,9.95642,5.68209,-3.13966,-11.65033,-0.93956,5.9556,-1.41523,,2.54888,1.65743,-3.55014,0.46164,0.95564,-1.66765,1.4762,-0.70289,0.14064,2.26005,83.40952,-24.67596,2.27483,0.3604,-1.24269,1.14942,-0.5493,0.10981,1.33087,59.58901,-7.29246,1.08399,-0.78675,0.97077,-0.84196,0.40136,-0.08067,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2023-04-08,16:24:40.53,1,7,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.58778,-1.622621,-2.64577,1993.083223,213.758545,1:15,5.64612,1.0245,6.55194,-23.96899,11.43682,6.9252,2.15887,-0.82613,80.55187,-6.14067,-1.388265,0.428261,,,,,,,,,,,,-4.36382,6.77611,-0.84462,50,5.52366,5.62542,-127.27607,-4.29231,-7.18249,25.28943,-21.02109,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,6448d760-d64b-11ed-b35e-732fa130aba4,88.01275,,,7.03591,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:24:40.53,2023-04-08T16:24:40.5371274-04:00,2023-04-08T20:24:40.5371274Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,60cf331b-3ffc-4a55-b8eb-861550fa6530,53.94652,-128.05784,12.64471,5.6463,-3.64249,-10.51054,-1.02194,5.84745,-3.59125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-04-08,16:24:56.76,1,8,"Prather, Ben",1000190341,Right,CEN_COL,"Herndon, Hunter",1000230753,Right,UNI_THE,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.77545,0.138217,-1.738853,1898.600627,204.206699,12:45,5.60625,1.19768,6.57834,-23.63529,12.35973,5.06772,3.76337,0.02588,79.57874,-4.342771,-0.81791,0.43181,,,,,,,,,,,,-3.11729,6.79591,-1.08031,50,5.60564,3.63939,-126.18564,-0.35058,-5.04224,24.90841,-21.18166,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,6de997f0-d64b-11ed-b35e-732fa130aba4,87.28944,,,7.19671,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:24:56.76,2023-04-08T16:24:56.7622026-04:00,2023-04-08T20:24:56.7622026Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,15bb37d7-88b6-40ca-b3d3-51dc634ba805,53.91824,-126.95673,12.4542,5.60634,0.30513,-10.59083,-1.19539,3.79549,-2.52112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-04-08,16:25:19.15,2,1,"Prather, Ben",1000190341,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.98618,-0.38493,-1.930292,1759.143156,197.513517,12:30,5.60191,1.28699,6.51193,-28.24285,9.9928,2.81791,2.89491,-0.25016,77.77355,-5.678998,-1.418741,0.445047,,,,,,,,,,,,-1.95406,5.67811,-1.15354,50,5.56266,4.01768,-122.20546,-1.6233,-2.98839,21.53459,-23.49038,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,7b4e1740-d64b-11ed-b35e-732fa130aba4,84.69322,,,6.21263,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:25:19.15,2023-04-08T16:25:19.1597962-04:00,2023-04-08T20:25:19.1597962Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c04d3bed-22c4-4fac-992f-d2798034602a,53.98646,-122.90593,10.76729,5.60303,-0.85921,-11.74519,-1.28581,4.11489,-1.49419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-04-08,16:25:46.48,2,2,"Prather, Ben",1000190341,Right,CEN_COL,"Pou, Blake",1000113257,Left,UNI_THE,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.51114,-1.117392,-2.229703,1356.182457,219.213083,1:15,5.44462,1.17656,5.99363,-33.63651,7.21567,4.84874,1.60519,-0.48665,75.83631,-7.346051,-1.35758,0.460022,,,,,,,,,,,,-3.1248,4.39213,-1.0036,50,5.33794,4.48244,-119.82753,-3.39128,-4.54521,23.06344,-25.78543,CEN_COL,UNI_THE,GaryWright,D3,Team,20230408-GaryWright-3,8b989f80-d64b-11ed-b35e-732fa130aba4,81.93611,,,6.67483,,,,,,,7ecc9c5d-1cd6-442e-8416-fea2c663655f,2023-04-08,20:25:46.48,2023-04-08T16:25:46.4886154-04:00,2023-04-08T20:25:46.4886154Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b393b27f-7564-4f9f-b8d8-e68a0db369bc,54.50456,-120.69142,11.53172,5.44688,-2.42543,-12.89271,-1.17469,4.65269,-2.27261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
