PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-05,12:23:19.77,1,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.81428,-3.152293,-3.237417,2001.232111,198.964195,12:45,5.62849,1.87927,6.8338,-23.30478,20.7267,6.57898,0.80397,-0.52822,71.61707,-7.630982,-2.037606,0.477588,,,,,,,,,,,,-4.50185,12.45312,-1.67365,50,5.41702,6.2441,-114.20935,-6.7998,-5.8753,23.37389,-15.92166,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,c94e9670-a579-11ed-b70b-23cf96809d69,78.92258,,,7.19721,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:23:19.77,2023-02-05T12:23:19.7740266-05:00,2023-02-05T17:23:19.7740266Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,89d0b73d-bd30-4444-8a65-ad0250c21ddc,53.66154,-114.95627,11.68695,5.62618,-6.29102,-7.96083,-1.87618,6.43184,-2.93765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-05,12:23:35.50,1,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.56382,1.134005,-2.014808,2027.033984,199.762741,12:45,5.69874,2.00602,6.52912,-23.14411,21.59623,7.1954,4.81111,0.75661,70.83023,-3.347472,-0.70943,0.481416,,,,,,,,,,,,-4.35642,11.37288,-1.86866,50,5.76705,3.75123,-113.9797,1.74952,-5.65722,23.46463,-17.40531,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,d2a9c280-a579-11ed-b70b-23cf96809d69,78.29487,,,7.73359,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:23:35.50,2023-02-05T12:23:35.5088618-05:00,2023-02-05T17:23:35.5088618Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,7b8ed590-8ad3-47ab-a3e5-ac1afd65e1dd,53.96299,-114.79264,11.73232,5.69599,2.35254,-8.70266,-2.00202,3.94722,-2.82861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-05,12:23:58.47,1,3,"McGriff, Ethan",10062955,Right,CEN_COL,"Morgan, Luc",1000126728,Right,CEN_COL,Undefined,1,Top,0,2,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,78.04159,-1.17075,-2.322953,1878.966037,208.720959,1:00,5.49466,1.95685,6.63106,-26.6858,18.23812,9.15327,2.19792,0.59165,71.03803,-6.266221,-0.6581,0.482403,46.22985,-8.249461,-15.726892,,,,,,5.28422,,,-5.5367,10.41871,-1.80314,50,5.40432,4.29392,-113.33253,-2.94745,-7.14049,22.34052,-18.73742,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,e066e920-a579-11ed-b70b-23cf96809d69,78.13471,2.20672,,7.00356,,,,2.2729,2.20672,-0.60026,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:23:58.47,2023-02-05T12:23:58.4764650-05:00,2023-02-05T17:23:58.4764650Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,b357ff95-b193-4cdd-8f4d-d90f3470fdf2,53.86534,-114.09194,11.17026,5.49369,-2.31053,-9.36871,-1.95323,4.53665,-3.57024,180,2.2723,64.67591,,,,,,,,2.20681,-9.74162,,,,,,,,-0.60009,-18.21234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2023-02-05,12:24:34.99,2,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,78.30983,-1.625445,-3.379112,2014.356306,215.473904,1:15,5.68011,2.03518,6.73167,-26.0084,18.34221,12.02186,2.02442,-0.05443,71.55823,-6.589269,-1.190973,0.479315,69.63991,-52.047549,-25.978989,,,,,2.72433,1.58187,-12.718271,0.02515,-7.35241,10.61583,-1.81659,50,5.56247,6.31948,-113.66549,-3.83257,-9.58015,21.6187,-18.34168,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,f62e51d0-a579-11ed-b70b-23cf96809d69,78.6381,2.03165,,6.75159,,,,1.23302,2.03165,0.09433,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:24:34.99,2023-02-05T12:24:34.9926634-05:00,2023-02-05T17:24:34.9926634Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,08e68094-0eb0-43a6-834b-8e8c5392d361,53.76553,-114.37943,10.80935,5.67903,-3.22685,-9.17084,-2.03051,6.63586,-4.79008,,1.23233,56.63985,,,,,,,,2.03263,-80.78253,,,,,,,,0.09467,-27.59939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2023-02-05,12:25:06.97,3,1,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.22258,-2.116341,-4.097273,1987.614605,197.916936,12:30,5.58404,1.90447,6.90337,-20.42214,24.29781,7.3252,1.9488,-1.22329,70.68731,-6.106686,-2.762641,0.481307,,,,,,,,,,,,-5.16736,14.03304,-1.64835,50,5.44249,7.87054,-113.29242,-4.57317,-6.62024,23.45139,-14.19542,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,0938e470-a57a-11ed-b70b-23cf96809d69,78.31269,,,7.53526,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:25:06.97,2023-02-05T12:25:06.9754090-05:00,2023-02-05T17:25:06.9754090Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,10063c1a-ede5-4d7f-a667-b7f0b910971b,53.58974,-114.03307,11.7257,5.57984,-4.12484,-7.09771,-1.90022,8.07963,-3.31012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-05,12:25:24.23,3,2,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,2,1,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.09117,0.563351,-2.368456,2008.558656,206.708915,1:00,5.58559,2.0305,6.81943,-25.44371,19.34741,8.93682,3.97966,0.61333,70.47841,-4.357538,-0.738299,0.48169,,,,,,,,,,,,-5.44107,10.51548,-1.88056,50,5.61201,4.38524,-113.35495,0.56617,-6.98202,23.38414,-18.6805,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,139023c0-a57a-11ed-b70b-23cf96809d69,78.25043,,,7.61275,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:25:24.23,2023-02-05T12:25:24.2366698-05:00,2023-02-05T17:25:24.2366698Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,9cc5367b-404c-43a1-b5e7-c3c7c1a51c23,53.67372,-114.1103,11.69207,5.58398,1.16958,-9.34025,-2.02585,4.61077,-3.49101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-05,12:25:46.19,3,3,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,2,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.78474,2.520882,-2.405363,1785.155752,98.169235,9:15,5.09051,2.27933,6.02168,-55.75286,4.03914,-13.54772,2.78284,-1.07878,62.40447,-7.823991,-4.836103,0.556536,,,,,,,,,,,,6.13922,1.91303,-2.08392,50,5.25844,4.63132,-99.64091,2.90513,6.07011,18.47631,-30.28256,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,20aaefe0-a57a-11ed-b70b-23cf96809d69,67.72692,,,6.38028,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:25:46.19,2023-02-05T12:25:46.1990634-05:00,2023-02-05T17:25:46.1990634Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,e52ffa5f-6044-441a-987f-14887b7ea66b,54.47375,-100.46705,9.23815,5.09826,4.25917,-15.14128,-2.28493,4.35991,3.03506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-05,12:26:05.79,3,4,"McGriff, Ethan",10062955,Right,CEN_COL,"Thompson, Karson",1000126727,Right,CEN_COL,Undefined,1,Top,2,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,69.29101,1.380322,-2.426921,1876.44475,33.072583,7:00,5.16919,2.28385,5.8136,-68.67098,-9.35851,-7.44544,0.73147,-0.59457,63.33587,-11.171734,-3.762984,0.554299,,,,,,,,,,,,2.99414,-4.60492,-2.08057,50,5.24198,4.50792,-100.48205,0.44527,3.00604,19.01732,-36.79729,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,2c57d420-a57a-11ed-b70b-23cf96809d69,68.00015,,,5.95514,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:26:05.79,2023-02-05T12:26:05.7989354-05:00,2023-02-05T17:26:05.7989354Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,ecd382f9-8e23-4573-b728-a50461558a8e,54.68586,-101.36503,9.50866,5.18164,2.15376,-18.39864,-2.28663,4.36835,1.50302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-05,12:28:56.41,1,1,"Heavern, Zach",1000091189,Right,CEN_COL,"LaFramboise, Jamie",10001790,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.20736,-2.884272,-2.411646,1954.246639,211.867072,1:00,6.38537,0.49123,6.13808,-18.91048,23.81308,13.80631,2.13934,-0.58831,73.25168,-6.538575,0.075966,0.470441,,,,,,,,,,,,-7.8552,13.66076,-0.31397,50,6.15524,4.4209,-117.58838,-6.36509,-10.82583,25.55966,-13.34719,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,91ec5090-a57a-11ed-b70b-23cf96809d69,80.1215,,,7.95569,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:28:56.41,2023-02-05T12:28:56.4119274-05:00,2023-02-05T17:28:56.4119274Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,93016a3f-5c41-42c9-9adb-4a59b6d86978,54.35561,-118.53136,12.77983,6.38099,-5.87267,-6.67359,-0.48444,4.8203,-5.41292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-05,12:29:17.29,1,2,"Heavern, Zach",1000091189,Right,CEN_COL,"LaFramboise, Jamie",10001790,Right,CEN_COL,Undefined,1,Bottom,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.60188,2.668718,-1.518996,2384.480775,63.225675,8:00,5.72975,1.09702,6.07241,-73.14776,-9.44099,-23.11722,2.10615,-2.23529,60.80223,-10.786541,-5.683226,0.574466,,,,,,,,,,,,11.27288,-4.94662,-0.96814,50,5.8992,3.30354,-96.62361,2.5384,10.43468,17.98581,-36.75286,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20230205-GaryWright-Private-1,9e705af0-a57a-11ed-b70b-23cf96809d69,65.61301,,,5.79966,,,,,,,5ba2d623-f430-4ed5-b9fe-aaa6b7b244b2,2023-02-05,17:29:17.29,2023-02-05T12:29:17.2994794-05:00,2023-02-05T17:29:17.2994794Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,8024eb8e-f974-4d0c-a648-91aa382a47c7,54.4285,-97.44446,8.9929,5.74508,4.21575,-18.37643,-1.10804,2.82731,5.21734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
