PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-06,16:28:32.25,,,,,Undefined,CEN_COL,"Austin, Chase",10074112,Left,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,52.6297,0.885238,-6.063727,1505.29271,201.940286,12:45,5.85577,2.88563,22.73839,-39.13931,7.02874,2.41654,3.15899,-0.77445,50.04137,-9.5028,-5.434852,0.489038,,,,,,,,,,,,-4.17681,8.22902,-4.20059,50,5.34744,8.5264,-78.09518,5.38127,-2.59262,9.3664,-27.06618,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,35019fc0-a665-11ed-b7ce-2daafcdf657c,77.07473,,,2.58832,,,,,,,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:28:32.25,2023-02-06T16:28:32.2556246-05:00,2023-02-06T21:28:32.2556246Z,,v3,,,,,,Undefined,CEN_COL,2f540996-0c11-40cc-974a-4ee87db2a526,37.76089,-76.61321,4.6832,5.86009,1.09881,-13.53309,-2.88398,8.11619,-1.29631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-06,16:36:21.50,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.70905,0.095132,-4.390319,1257.996767,199.643048,12:45,6.07114,2.64881,22.00065,-43.95101,7.81272,2.34177,2.47031,-0.00351,48.26495,-11.331272,-3.789261,0.517826,,,,,,,,,,,,-3.65449,8.99056,-3.54414,50,5.75115,5.98836,-75.45606,4.18422,-2.1038,9.30996,-26.99844,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,4cbb6d20-a666-11ed-b7ce-2daafcdf657c,72.78972,,,2.44411,,,,,,,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:21.50,2023-02-06T16:36:21.5018838-05:00,2023-02-06T21:36:21.5018838Z,,v3,,,,,,Undefined,CEN_COL,df57b50b-ccb7-4633-9d6c-436af30a0ec9,38.49895,-74.02342,4.65498,6.07537,0.02967,-13.49922,-2.64755,5.66462,-1.0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-06,16:36:25.64,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.38286,0.110692,-6.08096,1333.387333,201.388607,12:45,5.99701,2.46538,22.28463,-45.24778,6.7665,2.14492,2.29787,-1.27673,47.91124,-11.707219,-5.52899,0.519078,,,,,,,,,,,,-4.04595,7.97674,-3.73307,50,5.64404,8.16242,-74.87433,4.44596,-2.2839,9.51483,-27.67124,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,4f30d9f0-a666-11ed-b7ce-2daafcdf657c,72.6142,,,2.47162,,,,,,,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:25.64,2023-02-06T16:36:25.6409430-05:00,2023-02-06T21:36:25.6409430Z,,v3,,,,,,Undefined,CEN_COL,7d9ff13f-258c-4b54-b27b-7e81b6fceb4e,38.21581,-73.36154,4.75741,6.00116,0.04644,-13.83562,-2.46417,7.7993,-1.14195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-06,16:36:29.50,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,51.54924,-2.693052,-6.330772,1253.466323,231.425876,1:45,5.93675,2.41505,22.35726,-43.60581,5.9489,5.90422,0.56459,-1.16809,49.40849,-13.986925,-4.803805,0.506657,,,,,,,,,,,,-8.13835,7.82626,-3.7685,50,6.17138,9.03433,-76.51516,0.67765,-4.80331,9.83206,-27.55493,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,516ebc00-a666-11ed-b7ce-2daafcdf657c,74.39443,,,2.14074,,,,,,,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:29.50,2023-02-06T16:36:29.5009110-05:00,2023-02-06T21:36:29.5009110Z,,v3,,,,,,Undefined,CEN_COL,e2b49174-a6d0-4310-b97d-71d05a2f269e,38.14489,-74.97632,4.91603,5.93995,-3.63503,-13.77746,-2.41335,8.28256,-2.40165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-06,16:36:33.02,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.10262,0.953677,-3.048532,2462.744094,199.365677,12:45,5.97958,2.47214,22.77502,-43.87573,7.02382,2.01819,2.92862,0.70636,47.4071,-10.753106,-2.518313,0.513486,81.47593,32.008969,-25.961828,1548.198445,98.29998,56.50942,-49.36695,293.08432,288.4165,-28.275038,4.322437,-3.13654,8.0352,-3.13977,50,5.41312,4.18058,-74.91786,5.72807,-1.76309,9.97704,-27.65735,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,5389fae0-a666-11ed-b7ce-2daafcdf657c,73.40502,65.55341,,2.69552,,,,2.1285,3.10053,-0.7103,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:33.02,2023-02-06T16:36:33.0279254-05:00,2023-02-06T21:36:33.0279254Z,FlyBall,v3,,,,,,Undefined,CEN_COL,1380237a-7e72-47d2-bfeb-604e732bde68,37.72642,-73.26512,4.98852,5.98252,1.14651,-13.82867,-2.47143,3.88852,-0.88155,170.274359,2.12834,91.11127,-15.22553,3.58152,-0.85653,0.23044,-0.05468,0.00795,-0.00048,3.10182,63.30402,-17.71264,0.82775,0.21204,-0.19847,0.06322,-0.00942,0.00054,-0.71024,-44.36211,5.91139,-1.38643,0.33101,-0.08918,0.02124,-0.0031,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2023-02-06,16:36:39.30,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,50.88012,-0.91387,-3.273104,1289.682038,220.924623,1:15,5.98801,2.21792,22.47076,-43.70439,6.39953,4.46512,1.76091,0.49588,48.49017,-12.397337,-2.107496,0.509457,85.85332,30.050512,-9.024947,2141.021016,108.96921,54.45972,-15.02145,316.28602,316.28602,-5.344562,4.548235,-5.76575,7.80485,-2.93195,50,5.84261,4.75984,-75.98628,3.1323,-3.34572,9.96444,-27.64511,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,575078c0-a666-11ed-b7ce-2daafcdf657c,73.98554,68.17052,,2.38995,,,,2.23674,2.00387,-0.54554,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:39.30,2023-02-06T16:36:39.3082710-05:00,2023-02-06T21:36:39.3082710Z,FlyBall,v3,,,,,,Undefined,CEN_COL,8c860d0f-69f9-41d1-a53f-0f828ea78ef2,38.03115,-74.40019,4.98222,5.99098,-1.2681,-13.82256,-2.21669,4.22728,-1.67286,193.330629,2.23717,107.63547,-17.87726,4.01229,-0.84904,0.19285,-0.0416,0.00584,-0.00035,2.00384,63.05302,-16.51409,0.8318,0.04034,-0.11025,0.04135,-0.0066,0.00039,-0.54589,-17.08917,5.18628,-1.20977,0.24148,-0.04736,0.00907,-0.00123,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2023-02-06,16:36:43.25,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.90254,1.411009,-1.971395,1308.276713,208.347769,1:00,6.00771,2.26883,22.35003,-43.68278,6.82914,2.98339,3.27295,1.25287,47.96455,-10.146896,-1.195822,0.511527,,,,,,,,,,,,-3.72315,7.70965,-2.69345,50,5.39612,2.87522,-76.07204,6.0953,-2.15721,10.31104,-27.70704,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,59bd3300-a666-11ed-b7ce-2daafcdf657c,73.68616,,,2.93799,,,,,,,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:43.25,2023-02-06T16:36:43.2568662-05:00,2023-02-06T21:36:43.2568662Z,,v3,,,,,,Undefined,CEN_COL,0dad313c-14dc-4c85-9aba-b36461e12be4,38.1492,-74.44842,5.15552,6.01241,1.73243,-13.85352,-2.26745,2.53553,-1.0786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-06,16:36:47.73,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,50.10382,0.046419,-2.990419,1264.769501,205.09431,12:45,6.03594,2.16439,22.58979,-43.71392,7.29528,2.8663,2.42272,0.49654,47.88804,-11.496114,-2.240515,0.514039,84.62341,15.848027,-13.464776,6362.709738,107.6148,22.00892,-22.78219,232.39948,229.82034,-10.088343,2.532111,-3.92386,8.50351,-2.81573,50,5.67522,4.17513,-74.75866,4.45888,-2.22183,8.96641,-27.35904,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,5c4df000-a666-11ed-b7ce-2daafcdf657c,73.32609,22.38932,,2.21579,,,,1.75698,2.51083,-0.50433,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:47.73,2023-02-06T16:36:47.7321558-05:00,2023-02-06T21:36:47.7321558Z,LineDrive,v3,,,,,,Undefined,CEN_COL,9f7a0cc7-58b7-41a5-a5de-41d7dba966d8,37.91215,-73.29453,4.48321,6.03857,-0.00859,-13.67952,-2.16359,3.81233,-1.11092,213.335346,1.75698,116.11462,-15.86136,3.25499,-0.65535,0.12506,-0.02193,0.00284,-0.00018,2.51083,33.89375,-15.20332,0.73604,-0.09533,0.01104,-0.00015,4E-05,-1E-05,-0.50433,-27.8012,7.42275,-1.67249,0.36295,-0.07391,0.01326,-0.00174,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2023-02-06,16:36:52.13,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,51.6735,-0.296635,-3.630662,1148.602099,218.414841,1:15,6.02368,2.1559,22.56755,-41.20703,6.94185,4.60276,2.4003,0.22213,49.23053,-11.180444,-2.428119,0.499418,83.76999,-0.069465,-1.898486,992.962883,,,,42.39989,36.04362,-0.650097,0.348687,-5.98359,8.19886,-2.95286,50,5.75864,5.33273,-77.07916,3.84709,-3.59403,9.72325,-27.24943,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,5ef31f60-a666-11ed-b7ce-2daafcdf657c,75.47267,2.36461,,2.44297,,,,1.30987,2.36461,-0.19649,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:52.13,2023-02-06T16:36:52.1377622-05:00,2023-02-06T21:36:52.1377622Z,GroundBall,v3,,,,,,Undefined,CEN_COL,65e75dc7-65e0-4c2b-ac4c-514ec3a41406,37.93438,-75.5418,4.86163,6.0263,-0.46138,-13.62472,-2.15462,4.76447,-1.79701,290.962412,1.31241,122.69805,-13.99026,,,,,,,2.36835,-0.29164,-18.67363,,,,,,,-0.20047,-3.91813,8.96029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2023-02-06,16:36:57.04,,,,,Undefined,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.89065,1.653484,-1.028349,1094.69427,207.476734,1:00,6.03674,2.20584,22.38155,-42.8551,7.4952,3.2376,3.52528,1.81675,47.96158,-9.708143,-0.185671,0.510708,,,,,,,,,,,,-3.78547,8.04642,-2.44028,50,5.36706,1.6642,-76.13568,6.42927,-2.196,10.36725,-27.50624,CEN_COL,,GaryWright,,,20230206-GaryWright-BP-1,61da87e0-a666-11ed-b7ce-2daafcdf657c,73.80432,,,2.92906,,,,,,,ac3300e2-5ba6-4b4a-9efc-927fb7215043,2023-02-06,21:36:57.04,2023-02-06T16:36:57.0494294-05:00,2023-02-06T21:36:57.0494294Z,,v3,,,,,,Undefined,CEN_COL,8d842bee-143b-4876-b6e6-60250a43dccb,38.12048,-74.5005,5.18363,6.03898,2.09086,-13.75312,-2.20511,1.31783,-1.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
