GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
19938faa-72ad-42c5-89f0-ae0ae5e6537d,1,875c4480-a98c-11ed-8bd9-a5b8460f0098,3b953fce-8db9-4f22-8069-0a071f0e3ae5,2023-02-10,16:47:34.41,2023-02-10,21:47:34.41,2023-02-10T16:47:34.4156460-05:00,2023-02-10T21:47:34.4156460Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,95.16901,75.81641,145.97089,45.7162,84.73251,-61.85869,146.36096,-37.23751,265.5762,-126.80423,326.2755,-1.82815,263.68005,133.02122
19938faa-72ad-42c5-89f0-ae0ae5e6537d,2,9a9d5070-a98c-11ed-8bd9-a5b8460f0098,6fab8c38-ba96-47fc-8c10-0ec8dfeaaf7c,2023-02-10,16:48:06.79,2023-02-10,21:48:06.79,2023-02-10T16:48:06.7913516-05:00,2023-02-10T21:48:06.7913516Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,93.32516,73.99127,144.22581,47.93978,91.47786,-66.96476,142.88653,-41.73859,267.113,-128.2673,327.58652,-4.12072,265.76821,121.94609
19938faa-72ad-42c5-89f0-ae0ae5e6537d,3,a64af800-a98c-11ed-8bd9-a5b8460f0098,3d81491e-6aba-4ee1-8d6b-1c60437b90bb,2023-02-10,16:48:26.15,2023-02-10,21:48:26.15,2023-02-10T16:48:26.1548844-05:00,2023-02-10T21:48:26.1548844Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,95.53153,75.75369,146.23756,43.31224,93.31247,-68.30151,144.96246,-38.32197,266.75252,-128.19221,323.01374,-3.89572,264.8478,123.08848
19938faa-72ad-42c5-89f0-ae0ae5e6537d,4,b14d6b70-a98c-11ed-8bd9-a5b8460f0098,a1a3633e-146b-4585-aff5-fe79935b206b,2023-02-10,16:48:44.83,2023-02-10,21:48:44.83,2023-02-10T16:48:44.8350508-05:00,2023-02-10T21:48:44.8350508Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,91.45063,72.58491,146.85417,43.14132,88.7777,-63.8997,142.51645,-40.66926,264.16938,-126.88094,328.6582,-4.1075,265.45758,123.51282
19938faa-72ad-42c5-89f0-ae0ae5e6537d,5,d0692260-a98c-11ed-8bd9-a5b8460f0098,41d78237-3fe3-4b07-a84d-3be7f090ce96,2023-02-10,16:49:36.92,2023-02-10,21:49:36.92,2023-02-10T16:49:36.9249068-05:00,2023-02-10T21:49:36.9249068Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,92.19134,72.86699,145.96704,45.50123,90.25264,-65.53934,147.71335,-38.14499,267.09719,-129.17328,321.20307,-2.68592,267.55623,126.01762
19938faa-72ad-42c5-89f0-ae0ae5e6537d,6,dd728960-a98c-11ed-8bd9-a5b8460f0098,a22992b3-5d9e-46e7-9f50-9bae524dc5d0,2023-02-10,16:49:58.87,2023-02-10,21:49:58.87,2023-02-10T16:49:58.8729644-05:00,2023-02-10T21:49:58.8729644Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,91.53777,73.44829,144.25766,47.96398,89.65433,-62.04261,146.45412,-34.93354,266.53986,-128.62666,322.89173,-2.50991,267.38463,126.41209
19938faa-72ad-42c5-89f0-ae0ae5e6537d,7,e7f4a940-a98c-11ed-8bd9-a5b8460f0098,673d39bb-914f-44a5-9c64-bb24767ebdb7,2023-02-10,16:50:16.40,2023-02-10,21:50:16.40,2023-02-10T16:50:16.4071724-05:00,2023-02-10T21:50:16.4071724Z,CEN_COL,CEN_COL,InPlay,Out,NoShift,92.29367,73.52265,142.6218,52.89997,99.0452,-59.11229,148.14166,-30.74205,267.60712,-130.14788,329.39474,-1.50487,265.02092,125.5464
19938faa-72ad-42c5-89f0-ae0ae5e6537d,8,fe0724b0-a98c-11ed-8bd9-a5b8460f0098,962ae49c-937c-4b5d-ad29-683fa49cb9d2,2023-02-10,16:50:53.37,2023-02-10,21:50:53.37,2023-02-10T16:50:53.3714220-05:00,2023-02-10T21:50:53.3714220Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,95.62748,68.49481,149.94913,41.06793,90.71433,-75.60567,142.79131,-46.57924,280.96753,-139.96579,336.09079,-4.42983,278.80187,132.17538
19938faa-72ad-42c5-89f0-ae0ae5e6537d,9,082fd9f0-a98d-11ed-8bd9-a5b8460f0098,48fce230-bb61-4959-b08f-f3f3b4796404,2023-02-10,16:51:10.49,2023-02-10,21:51:10.49,2023-02-10T16:51:10.4929068-05:00,2023-02-10T21:51:10.4929068Z,CEN_COL,CEN_COL,HitByPitch,Undefined,NoShift,95.03426,68.57367,147.96724,40.64446,91.2488,-76.30714,144.51791,-45.18689,277.77922,-138.22109,336.10136,-2.00151,279.38294,133.48707
19938faa-72ad-42c5-89f0-ae0ae5e6537d,10,1dc6bcc0-a98d-11ed-8bd9-a5b8460f0098,92cf92a7-cf72-4f20-99bc-e37d9bef23ac,2023-02-10,16:51:46.78,2023-02-10,21:51:46.78,2023-02-10T16:51:46.7812140-05:00,2023-02-10T21:51:46.7812140Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,66.24001,60.62332,148.05067,88.10224,96.3848,-38.9641,,,250.25059,-107.58766,318.59684,12.70966,262.54239,152.43114
