PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-29,18:00:06.10,1,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Steadman, Eli",1000077265,Left,BIR_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.2094,-0.579551,-1.399235,2239.678431,214.66691,1:15,5.13519,2.03213,6.77222,-25.53994,8.88225,5.28796,2.47751,1.19492,80.47492,-5.446543,-0.433939,0.42227,,,,,,,,,,,,-3.21969,5.27,-1.94246,50,5.08799,2.95663,-129.54898,-2.03378,-5.38236,31.18639,-23.36421,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,b40d67e0-ee17-11ee-b71f-ef4b362e8ed0,89.26138,,,8.73448,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:00:06.10,2024-03-29T18:00:06.1019826-04:00,2024-03-29T22:00:06.1019826Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,a0ac5eaf-4a23-41be-a429-45ca0b4311c6,53.72078,-130.44162,15.5932,5.13663,-1.36504,-11.68211,-2.02929,3.11069,-2.69118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-29,18:00:19.25,1,2,"Christmas, Aidan",1000241979,Right,CEN_COL,"Steadman, Eli",1000077265,Left,BIR_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.2294,-0.55251,-1.987962,2306.731278,232.742592,1:45,4.59505,1.83773,6.18491,-27.64876,9.78504,11.19485,1.78051,0.93433,78.33117,-5.747146,0.032492,0.440355,,,,,,,,,,,,-6.36067,5.61835,-1.69307,50,4.53952,3.895,-125.16985,-2.05858,-10.00661,27.24171,-23.33524,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,bbe3c8b0-ee17-11ee-b71f-ef4b362e8ed0,85.59549,,,7.89823,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:00:19.25,2024-03-29T18:00:19.2532146-04:00,2024-03-29T22:00:19.2532146Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,83abb9a9-d2a7-458e-aa4f-4984df607ada,54.31022,-126.10443,13.62086,4.59641,-1.25802,-11.66762,-1.83259,4.2383,-5.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-29,18:00:39.43,1,3,"Christmas, Aidan",1000241979,Right,CEN_COL,"Steadman, Eli",1000077265,Left,BIR_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.01961,-0.243976,-0.51535,2363.050474,192.818038,12:30,5.57542,1.91857,7.00773,-15.86489,16.79497,3.56118,4.03157,1.74688,82.13634,-3.355123,0.137482,0.411319,,,,,,,,,,,,-2.04276,9.3465,-1.88791,50,5.55453,1.05253,-132.29499,-0.90439,-3.57055,31.84208,-15.83726,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,c7e16500-ee17-11ee-b71f-ef4b362e8ed0,91.63801,,,8.88328,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:00:39.43,2024-03-29T18:00:39.4375346-04:00,2024-03-29T22:00:39.4375346Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e1fddddb-6f23-445d-b814-820d4f1d1896,53.48542,-133.13125,15.92104,5.57282,-0.48846,-7.91863,-1.91678,1.14631,-1.78528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-29,18:00:55.69,1,4,"Christmas, Aidan",1000241979,Right,CEN_COL,"Steadman, Eli",1000077265,Left,BIR_COL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.01947,-0.73897,-0.605107,1724.626849,256.371826,2:30,4.77505,2.20169,6.71175,-35.35313,5.59292,16.86166,1.15335,3.05365,74.05058,-7.412694,2.473042,0.460551,,,,,,,,,,,,-8.97138,3.71295,-2.16648,50,4.7132,0.63636,-119.10886,-2.52149,-12.6244,27.24144,-26.94923,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,d19e6020-ee17-11ee-b71f-ef4b362e8ed0,81.84212,,,7.96889,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:00:55.69,2024-03-29T18:00:55.6979378-04:00,2024-03-29T22:00:55.6979378Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,cce44fe3-9cf4-4195-8528-8b690e1b6b56,53.78167,-119.97065,13.62072,4.77948,-1.66895,-13.47461,-2.19293,1.03573,-6.3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-29,18:01:08.38,1,5,"Christmas, Aidan",1000241979,Right,CEN_COL,"Steadman, Eli",1000077265,Left,BIR_COL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.38785,-0.299369,-1.136475,2314.457348,192.010999,12:30,5.48383,1.94632,6.68998,-17.80422,15.69076,3.09122,3.72631,1.16446,81.6861,-3.745987,-0.573323,0.416544,,,,,,,,,,,,-1.96725,8.68792,-1.8716,50,5.45643,2.48084,-131.29852,-1.12999,-3.39336,30.88203,-17.18803,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,d91f7500-ee17-11ee-b71f-ef4b362e8ed0,90.4884,,,8.70175,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:01:08.38,2024-03-29T18:01:08.3812018-04:00,2024-03-29T22:01:08.3812018Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b0c6a456-e6d3-48f3-8542-91e6dbe22edc,53.8032,-132.19002,15.44102,5.48189,-0.6338,-8.59402,-1.94463,2.5788,-1.69668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-29,18:01:24.88,1,6,"Christmas, Aidan",1000241979,Right,CEN_COL,"Steadman, Eli",1000077265,Left,BIR_COL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,87.70658,-1.904463,-2.37677,2251.872858,195.466365,12:30,5.35142,1.95524,7.05424,-20.03096,15.00934,3.82236,1.95048,0.11403,79.71002,-5.769035,-1.676049,0.426045,,,,,,,,,,,,-2.76351,8.96713,-1.81294,50,5.22971,5.15153,-127.39312,-4.70685,-4.4988,28.46416,-17.57619,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,e2fcc960-ee17-11ee-b71f-ef4b362e8ed0,88.47061,,,7.99655,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:01:24.88,2024-03-29T18:01:24.8842418-04:00,2024-03-29T22:01:24.8842418Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,0ce52fef-22e5-4a85-99ab-54d3e0879229,53.44102,-128.15966,14.23208,5.35009,-4.23352,-8.78809,-1.9533,5.27268,-2.2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.70746,,,0.786011,,,,5.92213,5.33028,1.9169,74.56245,7.05252,50.19871,6.04648,94.78897,-9.61729,5.37438,12.70861,-13.42456,1.91157,62.58453,-1.4679,High,High,High,,,High,High,High
7,2024-03-29,18:01:50.70,2,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Dutton, Andrew",1000221205,Left,BIR_COL,Undefined,1,Top,1,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.58617,-0.966165,-1.644082,2275.975712,181.09401,12:00,5.53516,1.95982,6.68033,-21.71643,13.46083,0.23209,2.84127,0.47492,79.60512,-5.140213,-1.601815,0.426877,,,,,,,,,,,,-0.67374,7.79193,-1.85011,50,5.4619,3.6802,-128.53915,-2.74158,-1.10478,31.5841,-19.39693,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,f26492c0-ee17-11ee-b71f-ef4b362e8ed0,88.2982,,,8.98105,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:01:50.70,2024-03-29T18:01:50.7023538-04:00,2024-03-29T22:01:50.7023538Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e8a6ea88-bb38-4d09-98e6-f25f030e5d86,53.81164,-129.47235,15.79205,5.53444,-2.16848,-9.69846,-1.95933,3.71284,-0.55239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-29,18:02:07.11,2,2,"Christmas, Aidan",1000241979,Right,CEN_COL,"Dutton, Andrew",1000221205,Left,BIR_COL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.71387,0.193527,-2.630834,2255.064644,221.157756,1:15,4.50547,1.91551,6.03223,-25.20407,11.36886,8.81209,2.58452,0.21198,79.18835,-4.559016,-1.047119,0.435262,,,,,,,,,,,,-5.3467,6.16335,-1.71464,50,4.50709,5.47761,-127.18362,-0.35889,-8.64679,29.16718,-22.20659,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,fc2d9bd0-ee17-11ee-b71f-ef4b362e8ed0,86.59704,,,8.52552,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:02:07.11,2024-03-29T18:02:07.1159474-04:00,2024-03-29T22:02:07.1159474Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e17e2adf-1696-41df-981d-3ff1b6452f35,54.46244,-128.20292,14.58359,4.50607,0.41715,-11.1033,-1.91135,5.77978,-4.32339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-29,18:02:22.47,2,3,"Christmas, Aidan",1000241979,Right,CEN_COL,"Dutton, Andrew",1000221205,Left,BIR_COL,Undefined,1,Top,1,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.37786,0.247807,-2.300982,2318.724325,230.784542,1:45,4.55627,1.9245,6.23406,-25.6258,10.28001,10.98461,2.64957,0.71614,79.41626,-4.606205,-0.318167,0.431274,93.42278,11.330697,-53.030053,3324.947712,60.96257,13.35444,-91.56117,202.46953,201.64815,-58.71259,1.861195,-6.44248,5.62591,-1.75807,50,4.56224,4.70099,-128.16963,-0.22954,-10.5206,31.01271,-22.98691,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,05502bb0-ee18-11ee-b71f-ef4b362e8ed0,87.39781,13.40632,,8.9616,,,,0.16797,2.53096,-0.92901,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:02:22.47,2024-03-29T18:02:22.4718002-04:00,2024-03-29T22:02:22.4718002Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,5bd60d8a-d13f-4648-badb-ae1f5b7bfa71,54.26051,-129.19642,15.50635,4.55724,0.53153,-11.49345,-1.91948,5.04931,-5.2603,,0.16797,80.79712,-18.19142,4.05133,-0.97484,0.19113,-0.03475,0.00576,-0.00052,2.53096,26.92048,-18.18552,2.1495,-0.4234,0.09375,-0.01478,0.00146,-7E-05,-0.92901,-107.33853,8.28528,0.07425,-0.27356,0.11846,-0.02732,0.00407,-0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-03-29,18:02:40.86,2,4,"Christmas, Aidan",1000241979,Right,CEN_COL,"Dutton, Andrew",1000221205,Left,BIR_COL,Undefined,1,Top,1,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.30374,3.720135,0.503149,2743.749887,45.111386,7:30,5.6953,1.715,6.1165,-66.14145,-14.68446,-16.6978,3.62787,0.78871,66.71017,-8.508265,-2.508331,0.51629,,,,,,,,,,,,8.6652,-8.11595,-1.74565,50,5.94804,-0.33817,-107.65133,4.97172,9.90036,23.27941,-41.44689,CEN_COL,BIR_COL,GaryWright,D3,Team,20240329-GaryWright-1,1052ed40-ee18-11ee-b71f-ef4b362e8ed0,73.00635,,,7.59357,,,,,,,bf8b50c6-215c-4763-b03b-65070899b6dd,2024-03-29,22:02:40.86,2024-03-29T18:02:40.8617138-04:00,2024-03-29T22:02:40.8617138Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,93eb68c9-fdea-4fd8-a24e-9bf864369065,54.38231,-108.59486,11.63971,5.71249,6.6516,-20.72345,-1.72381,-0.73944,4.95018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
