GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
8380a186-ecfb-4548-a684-be9d032b516d,1,08a10120-eed8-11ee-a108-11766628372b,bd2d026b-f8c3-4243-9c30-9daf642c786e,2024-03-30,16:56:51.38,2024-03-30,20:56:51.38,2024-03-30T16:56:51.3826848-04:00,2024-03-30T20:56:51.3826848Z,CEN_COL,BIR_COL,BallCalled,Undefined,RightInfieldShift,93.43616,83.83774,154.86814,73.81006,82.29591,-46.57877,,,270.58958,-136.02906,356.91092,8.12923,286.53388,162.5154,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,2,115b8060-eed8-11ee-a108-11766628372b,8aa6ab58-9493-4e46-b5ae-c4f2f8eb2d76,2024-03-30,16:57:06.05,2024-03-30,20:57:06.05,2024-03-30T16:57:06.0519456-04:00,2024-03-30T20:57:06.0519456Z,CEN_COL,BIR_COL,FoulBallFieldable,Undefined,NoShift,95.5956,84.64052,152.95664,72.88947,91.53795,-50.61035,156.82451,-23.64863,276.25943,-138.46861,355.534,8.46508,287.39142,167.10634,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,3,1f511c20-eed8-11ee-a108-11766628372b,d9c1eb75-d29f-45bc-aaa1-95d4108d04bf,2024-03-30,16:57:29.37,2024-03-30,20:57:29.37,2024-03-30T16:57:29.3728288-04:00,2024-03-30T20:57:29.3728288Z,CEN_COL,BIR_COL,BallCalled,Undefined,RightInfieldShift,93.7601,86.60429,151.65021,73.64303,88.32108,-49.46755,,,271.81648,-136.76974,359.26828,8.85296,280.86424,163.26353,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,4,2887d040-eed8-11ee-a108-11766628372b,a3f1b476-aa39-4af1-8ef6-5c79bbe9baf4,2024-03-30,16:57:44.96,2024-03-30,20:57:44.96,2024-03-30T16:57:44.9658400-04:00,2024-03-30T20:57:44.9658400Z,CEN_COL,BIR_COL,BallCalled,Undefined,RightInfieldShift,92.87456,85.7804,150.88344,75.35914,91.87229,-48.62641,,,274.05426,-137.5348,345.44228,9.30611,282.7129,162.39537,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,5,30a1f0d0-eed8-11ee-a108-11766628372b,917b1be2-2d59-4d1b-83f3-768d6bb6397e,2024-03-30,16:57:58.55,2024-03-30,20:57:58.55,2024-03-30T16:57:58.5580064-04:00,2024-03-30T20:57:58.5580064Z,CEN_COL,BIR_COL,StrikeCalled,Undefined,RightInfieldShift,95.89486,88.49132,152.4221,74.50525,89.83888,-47.96302,,,274.15292,-137.48997,354.84186,10.32783,276.80589,161.18482,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,6,396c4e90-eed8-11ee-a108-11766628372b,edd22fcd-92ad-46a7-8969-edb700096350,2024-03-30,16:58:13.26,2024-03-30,20:58:13.26,2024-03-30T16:58:13.2661280-04:00,2024-03-30T20:58:13.2661280Z,CEN_COL,BIR_COL,BallCalled,Undefined,RightInfieldShift,95.53444,88.45877,153.28947,75.98186,115.57054,-66.16882,,,277.97022,-139.60695,361.89844,11.48991,280.93282,162.32146,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,7,47e57230-eed8-11ee-a108-11766628372b,4d19a113-7dd0-45de-bfef-46c87f87fe8b,2024-03-30,16:58:37.55,2024-03-30,20:58:37.55,2024-03-30T16:58:37.5558688-04:00,2024-03-30T20:58:37.5558688Z,CEN_COL,BIR_COL,StrikeCalled,Undefined,NoShift,64.27564,60.20912,146.87632,32.87533,76.62754,-55.84205,149.51312,-22.158,278.2194,-139.94088,366.07221,16.09997,283.74445,166.03301,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,8,5133a5f0-eed8-11ee-a108-11766628372b,ae16675e-48cd-4e37-b2f7-385d7410de04,2024-03-30,16:58:53.11,2024-03-30,20:58:53.11,2024-03-30T16:58:53.1181088-04:00,2024-03-30T20:58:53.1181088Z,CEN_COL,BIR_COL,InPlay,HomeRun,NoShift,66.16129,60.54022,146.78474,32.98054,79.01526,-58.55522,148.60342,-26.55437,274.51519,-138.02667,363.35572,15.84549,279.76877,164.2679,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,9,6bd6cd10-eed8-11ee-a108-11766628372b,4af99fcf-814d-43cd-821f-4862b6ea690e,2024-03-30,16:59:37.87,2024-03-30,20:59:37.87,2024-03-30T16:59:37.8702880-04:00,2024-03-30T20:59:37.8702880Z,CEN_COL,BIR_COL,BallCalled,Undefined,NoShift,93.02642,78.70336,145.94295,45.20176,96.47314,-73.37737,148.51877,-46.17543,288.64808,-146.94214,359.66238,16.68995,279.84125,163.38481,,,,,,,,,,,,,,,true
8380a186-ecfb-4548-a684-be9d032b516d,10,7736c9d0-eed8-11ee-a108-11766628372b,39e45462-049e-4348-bd84-fb317d4dd8cc,2024-03-30,16:59:56.88,2024-03-30,20:59:56.88,2024-03-30T16:59:56.8851488-04:00,2024-03-30T20:59:56.8851488Z,CEN_COL,BIR_COL,StrikeSwinging,Undefined,NoShift,95.92396,81.04524,145.43984,45.65065,97.26309,-75.25538,148.47534,-45.97374,287.059,-146.43857,365.96078,17.79989,278.81871,164.01788,,,,,,,,,,,,,,,true
