GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,1,e1d40570-fc3c-11ee-8791-cb7907cd9ef4,,,,,,,,CEN_COL,BER_COL1,BallCalled,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,2,e51e2760-fc3c-11ee-8791-cb7907cd9ef4,e7882a5a-c28b-49f0-b703-10b92d0bb70c,2024-04-16,18:01:36.10,2024-04-16,22:01:36.10,2024-04-16T18:01:36.1002018-04:00,2024-04-16T22:01:36.1002018Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,94.74032,83.14909,151.29092,67.48399,75.21624,-48.5129,147.26819,-42.81564,268.62709,-160.14946,352.88373,-2.2758,272.94908,143.42454,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,3,ed6aa290-fc3c-11ee-8791-cb7907cd9ef4,0f4c082c-b727-43bc-9a69-2e82055597dc,2024-04-16,18:01:49.99,2024-04-16,22:01:49.99,2024-04-16T18:01:49.9918882-04:00,2024-04-16T22:01:49.9918882Z,CEN_COL,BER_COL1,FoulBallNotFieldable,Undefined,NoShift,93.36291,83.27009,144.48878,64.93234,76.22266,-50.14797,148.62394,-40.46044,267.68428,-159.39168,355.98558,-4.05194,271.42977,144.24671,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,4,fd2a01d0-fc3c-11ee-8791-cb7907cd9ef4,bade68d9-3880-4c22-bfd4-fca9480ce374,2024-04-16,18:02:16.43,2024-04-16,22:02:16.43,2024-04-16T18:02:16.4349474-04:00,2024-04-16T22:02:16.4349474Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,96.51593,84.63941,155.43036,71.27117,72.96059,-51.90294,146.29426,-43.23597,260.23495,-160.84794,354.05904,0.30483,272.8562,147.78007,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,5,0505e0e0-fc3d-11ee-8791-cb7907cd9ef4,e908ae0a-b303-4564-a436-b5e1222de554,2024-04-16,18:02:29.61,2024-04-16,22:02:29.61,2024-04-16T18:02:29.6130594-04:00,2024-04-16T22:02:29.6130594Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,95.13197,85.2489,148.46339,68.44632,73.34254,-51.00152,147.20614,-42.64003,265.56758,-162.10401,351.78277,-1.35048,281.0414,151.4557,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,6,166ed170-fc3d-11ee-8791-cb7907cd9ef4,191e4c2b-3a28-440b-96b7-348f6cddbe6d,2024-04-16,18:02:58.73,2024-04-16,22:02:58.73,2024-04-16T18:02:58.7314722-04:00,2024-04-16T22:02:58.7314722Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,62.27674,58.53778,148.13563,31.67279,82.08989,-60.44848,148.49933,-31.88515,281.62836,-165.33106,352.95279,-1.6487,278.61771,141.88601,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,7,21c8dac0-fc3d-11ee-8791-cb7907cd9ef4,7a2d7892-2517-4981-b3cc-aa06e9a34546,2024-04-16,18:03:17.81,2024-04-16,22:03:17.81,2024-04-16T18:03:17.8124322-04:00,2024-04-16T22:03:17.8124322Z,CEN_COL,BER_COL1,FoulBallNotFieldable,Undefined,NoShift,63.61072,58.91603,145.98918,31.11465,80.59692,-59.91497,150.89267,-32.75651,277.48548,-161.07949,351.25116,-1.78257,276.36478,141.26899,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,8,2e255ff0-fc3d-11ee-8791-cb7907cd9ef4,855b6e4d-6fc0-4738-bd88-97611fce5e77,2024-04-16,18:03:38.54,2024-04-16,22:03:38.54,2024-04-16T18:03:38.5408034-04:00,2024-04-16T22:03:38.5408034Z,CEN_COL,BER_COL1,BallCalled,Undefined,NoShift,64.70333,58.88007,146.59459,31.12726,85.01115,-62.97972,149.77511,-33.82061,281.24791,-162.78956,352.39121,-5.37699,272.83125,142.83701,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,9,39393880-fc3d-11ee-8791-cb7907cd9ef4,290226bb-8061-4e3f-a908-a978c3e0844a,2024-04-16,18:03:57.07,2024-04-16,22:03:57.07,2024-04-16T18:03:57.0796578-04:00,2024-04-16T22:03:57.0796578Z,CEN_COL,BER_COL1,StrikeSwinging,Undefined,NoShift,65.21189,60.17738,148.16893,31.18355,85.46221,-63.36098,148.79906,-34.25787,277.29331,-161.62116,352.60363,-5.91983,274.8614,143.72344,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,10,42ce3940-fc3d-11ee-8791-cb7907cd9ef4,202d6fe7-802b-4f7d-9e82-e953e3e27083,2024-04-16,18:04:13.15,2024-04-16,22:04:13.15,2024-04-16T18:04:13.1586082-04:00,2024-04-16T22:04:13.1586082Z,CEN_COL,BER_COL1,StrikeCalled,Undefined,NoShift,64.88049,59.68496,147.37663,31.57287,98.54174,-68.15076,151.15718,-33.56849,282.49088,-165.23973,356.66359,-4.35978,268.88863,142.21753,,,,,,,,,,,,,,,true
decadbd8-2ea2-4bfa-ab3a-eb235ba6b22a,11,51a35f90-fc3d-11ee-8791-cb7907cd9ef4,a49af6b8-a29e-4e93-adc8-9f08913b0ef3,2024-04-16,18:04:38.10,2024-04-16,22:04:38.10,2024-04-16T18:04:38.1051938-04:00,2024-04-16T22:04:38.1051938Z,CEN_COL,BER_COL1,StrikeCalled,Undefined,NoShift,63.45646,58.76021,147.24401,32.79947,81.47564,-58.4637,148.56862,-34.56492,254.60894,-155.42986,352.86625,-0.51818,263.95148,142.17352,,,,,,,,,,,,,,,true
