GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,1,8ea2cf30-d2a7-11ee-8592-b34961d0cb16,219c2615-2461-46fc-95d7-cbba0a88c860,2024-02-23,18:59:18.31,2024-02-23,23:59:18.31,2024-02-23T18:59:18.3128376-05:00,2024-02-23T23:59:18.3128376Z,CEN_COL,CAP_UNI,BallCalled,Undefined,NoShift,98.92822,75.49058,149.25439,47.48289,80.62482,-52.05967,141.61589,-45.40849,271.0396,-135.21868,345.52462,-2.72082,261.47629,144.72864,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2,962fa3e0-d2a7-11ee-8592-b34961d0cb16,55eba64c-0d6c-42ba-bf48-b0ea404bcd64,2024-02-23,18:59:30.95,2024-02-23,23:59:30.95,2024-02-23T18:59:30.9527352-05:00,2024-02-23T23:59:30.9527352Z,CEN_COL,CAP_UNI,StrikeCalled,Undefined,NoShift,98.93189,75.85388,149.3198,46.96203,89.77322,-58.24175,142.7807,-45.2704,273.13779,-136.98152,340.8849,3.50921,265.11429,147.53304,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,3,9f3d4c30-d2a7-11ee-8592-b34961d0cb16,dfd096e8-37bc-4e15-b8da-a4b44f2392da,2024-02-23,18:59:46.11,2024-02-23,23:59:46.11,2024-02-23T18:59:46.1186872-05:00,2024-02-23T23:59:46.1186872Z,CEN_COL,CAP_UNI,FoulBall,Undefined,NoShift,97.62932,73.80978,148.62239,41.1611,98.77097,-59.14913,142.21387,-45.00411,273.20521,-137.46278,339.67299,-3.59636,259.30313,145.70607,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,4,aa3167c0-d2a7-11ee-8592-b34961d0cb16,20198c19-870a-4de6-8dc6-3804bbed796c,2024-02-23,19:00:04.56,2024-02-24,00:00:04.56,2024-02-23T19:00:04.5645112-05:00,2024-02-24T00:00:04.5645112Z,CEN_COL,CAP_UNI,BallCalled,Undefined,NoShift,95.84831,78.89946,147.10768,51.13366,98.26049,-61.48163,147.10137,-39.2106,271.97989,-131.31063,329.86299,15.29145,249.99524,152.02079,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,5,b3e2f130-d2a7-11ee-8592-b34961d0cb16,e6df5599-c827-482c-ac80-d1b8f1363c87,2024-02-23,19:00:20.84,2024-02-24,00:00:20.84,2024-02-23T19:00:20.8449848-05:00,2024-02-24T00:00:20.8449848Z,CEN_COL,CAP_UNI,StrikeSwinging,Undefined,NoShift,96.79729,80.00528,144.44186,49.8052,96.77305,-61.77777,142.29759,-45.36911,274.55926,-132.71181,336.39282,15.41521,252.76859,152.27396,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,6,c4521870-d2a7-11ee-8592-b34961d0cb16,d166cf65-c3c9-4f4e-9d21-b7a1f71ff5ca,2024-02-23,19:00:48.40,2024-02-24,00:00:48.40,2024-02-23T19:00:48.4090680-05:00,2024-02-24T00:00:48.4090680Z,CEN_COL,CAP_UNI,BallCalled,Undefined,NoShift,100.84885,85.98073,153.38828,59.46566,80.98134,-45.07775,151.35251,-25.52,259.21093,-132.6943,329.32629,14.63316,265.39458,150.88449,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,7,cd078ea0-d2a7-11ee-8592-b34961d0cb16,35373198-0fe7-4eea-a600-76d5e86f7503,2024-02-23,19:01:03.05,2024-02-24,00:01:03.05,2024-02-23T19:01:03.0535992-05:00,2024-02-24T00:01:03.0535992Z,CEN_COL,CAP_UNI,BallCalled,Undefined,NoShift,97.78155,86.25306,147.60592,56.08583,82.85254,-47.26567,151.98791,-24.25517,259.50744,-132.88271,338.63173,17.48917,266.08285,152.61112,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,8,d66838f0-d2a7-11ee-8592-b34961d0cb16,e1fd7ca7-1d51-4c12-b24f-fe448eb5b35d,2024-02-23,19:01:18.72,2024-02-24,00:01:18.72,2024-02-23T19:01:18.7294008-05:00,2024-02-24T00:01:18.7294008Z,CEN_COL,CAP_UNI,InPlay,Out,NoShift,96.97633,87.31521,140.90312,59.60554,86.34182,-49.72153,150.1655,-25.29618,261.24473,-134.23797,341.36161,17.70307,263.29737,155.17843,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,9,e84ce930-d2a7-11ee-8592-b34961d0cb16,9c554e45-5b43-469f-8701-40b804dd5dd0,2024-02-23,19:01:48.78,2024-02-24,00:01:48.78,2024-02-23T19:01:48.7889720-05:00,2024-02-24T00:01:48.7889720Z,CEN_COL,CAP_UNI,BallCalled,Undefined,NoShift,96.96433,86.31289,147.54843,59.7286,109.54853,-61.79808,156.71444,-17.6275,275.71007,-131.6701,363.78871,21.54039,277.77788,160.98302,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,10,f16789d0-d2a7-11ee-8592-b34961d0cb16,c144c2ad-698e-4777-b87a-bfdf3765180c,2024-02-23,19:02:04.03,2024-02-24,00:02:04.03,2024-02-23T19:02:04.0307000-05:00,2024-02-24T00:02:04.0307000Z,CEN_COL,CAP_UNI,StrikeCalled,Undefined,NoShift,96.71535,87.40202,147.54953,59.55715,110.38924,-61.98564,150.48285,-25.85608,279.35818,-131.57695,360.48171,22.83025,277.07317,159.47195,,,,,,,,,,,,,,,true
06e301f7-06e3-431e-99b9-e3ed2f5a5c44,11,fcc38ef0-d2a7-11ee-8592-b34961d0cb16,847585a0-ca3c-4889-854f-d3cbc75b05a2,2024-02-23,19:02:22.99,2024-02-24,00:02:22.99,2024-02-23T19:02:22.9906744-05:00,2024-02-24T00:02:22.9906744Z,CEN_COL,CAP_UNI,InPlay,Single,NoShift,96.06157,85.70776,147.70827,65.10851,110.44176,-61.64548,153.69334,-14.00236,277.72744,-131.20395,353.76424,23.50702,277.28253,158.88161,,,,,,,,,,,,,,,true
