PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-23,18:59:18.31,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Brophy, Ryan",1000306333,Right,CAP_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.09439,-0.956099,-5.731375,1925.614569,230.102447,1:45,5.10766,2.45482,6.01033,-26.26816,12.78068,13.65103,2.0284,-1.73484,77.09236,-5.887106,-3.293769,0.449755,,,,,,,,,,,,-8.70961,7.25906,-2.01092,50,5.01803,11.78499,-122.93081,-2.85861,-13.21812,26.24242,-21.15735,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,8ea2cf30-d2a7-11ee-8592-b34961d0cb16,83.80669,,,8.00204,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-23,23:59:18.31,2024-02-23T18:59:18.3128376-05:00,2024-02-23T23:59:18.3128376Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,219c2615-2461-46fc-95d7-cbba0a88c860,54.4848,-123.8845,13.12121,5.10794,-2.08973,-10.57867,-2.44793,12.26535,-6.60906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-23,18:59:30.95,1,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Brophy, Ryan",1000306333,Right,CAP_UNI,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.33382,-0.769992,-5.594068,1818.244342,227.014046,1:30,5.07205,2.55398,5.80182,-24.19871,14.96765,14.56737,2.33592,-1.45129,77.13402,-5.322209,-3.002413,0.450431,,,,,,,,,,,,-9.07056,8.26091,-2.10184,50,4.99428,11.45835,-123.24526,-2.40468,-13.82483,26.56675,-19.58323,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,962fa3e0-d2a7-11ee-8592-b34961d0cb16,83.68091,,,8.1998,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-23,23:59:30.95,2024-02-23T18:59:30.9527352-05:00,2024-02-23T23:59:30.9527352Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,55eba64c-0d6c-42ba-bf48-b0ea404bcd64,54.69255,-124.25267,13.28337,5.07138,-1.66208,-9.79162,-2.54628,11.98258,-6.91241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-23,18:59:46.11,1,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Brophy, Ryan",1000306333,Right,CAP_UNI,Undefined,1,Top,0,1,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.67732,2.142078,-2.109397,1903.132372,62.43036,8:00,4.85447,2.74167,5.76124,-56.0005,-6.27788,-15.27879,2.18375,-0.49573,68.8242,-8.131936,-4.841844,0.507515,,,,,,,,,,,,7.11378,-3.40622,-2.55752,50,4.99813,4.60014,-109.72446,2.34591,8.54063,22.17032,-36.26348,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,9f3d4c30-d2a7-11ee-8592-b34961d0cb16,74.26868,,,6.85312,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-23,23:59:46.11,2024-02-23T18:59:46.1186872-05:00,2024-02-23T23:59:46.1186872Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,dfd096e8-37bc-4e15-b8da-a4b44f2392da,54.73751,-110.67755,11.08516,4.86377,3.90486,-18.13174,-2.74738,4.23299,4.27032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-23,19:00:04.56,1,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Brophy, Ryan",1000306333,Right,CAP_UNI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.27195,0.745875,-4.754496,1962.383938,215.301749,1:15,5.04077,2.42392,6.2844,-24.27049,12.82627,8.08221,3.70804,-1.2944,77.98142,-3.878978,-3.301729,0.438369,,,,,,,,,,,,-5.77024,6.7993,-2.07635,50,5.08433,10.15796,-126.14368,0.94888,-9.09731,30.80929,-21.45428,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,aa3167c0-d2a7-11ee-8592-b34961d0cb16,85.98345,,,9.29054,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-24,00:00:04.56,2024-02-23T19:00:04.5645112-05:00,2024-02-24T00:00:04.5645112Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,20198c19-870a-4de6-8dc6-3804bbed796c,54.2074,-127.16714,15.40465,5.04097,1.66157,-10.72714,-2.41881,10.46017,-4.54866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-23,19:00:20.84,1,5,"Morgan, Luc",1000126728,Right,CEN_COL,"Brophy, Ryan",1000306333,Right,CAP_UNI,Undefined,1,Top,0,2,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.68211,0.608603,-3.423028,1826.63258,214.853732,1:15,5.02908,2.59537,6.08225,-23.71856,15.09056,9.44843,3.6166,0.21222,76.29723,-3.925878,-1.725925,0.448372,,,,,,,,,,,,-5.99,7.96772,-2.33532,50,5.06379,7.01391,-123.93987,0.64399,-9.08521,30.52047,-20.08916,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,b3e2f130-d2a7-11ee-8592-b34961d0cb16,84.06514,,,9.38488,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-24,00:00:20.84,2024-02-23T19:00:20.8449848-05:00,2024-02-24T00:00:20.8449848Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e6df5599-c827-482c-ac80-d1b8f1363c87,54.40774,-125.02057,15.26023,5.02839,1.35533,-10.04458,-2.58937,7.33561,-4.54261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-23,19:00:48.40,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Anderson, Caden",1000306336,Left,CAP_UNI,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.42111,1.031343,-2.255867,1882.170312,207.374148,1:00,5.08152,2.64126,6.17151,-21.67651,16.09946,7.60323,4.22851,1.19033,77.28744,-3.130133,-0.885855,0.442363,,,,,,,,,,,,-4.62256,8.34587,-2.47392,50,5.14855,4.61125,-125.19548,1.66126,-7.18886,30.02452,-19.19484,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,c4521870-d2a7-11ee-8592-b34961d0cb16,85.20697,,,9.13367,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-24,00:00:48.40,2024-02-23T19:00:48.4090680-05:00,2024-02-24T00:00:48.4090680Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d166cf65-c3c9-4f4e-9d21-b7a1f71ff5ca,54.31882,-126.22698,15.01226,5.08015,2.3207,-9.59742,-2.63658,4.85822,-3.59443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-23,19:01:03.05,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Anderson, Caden",1000306336,Left,CAP_UNI,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.36484,-0.490547,-4.99666,1870.407583,215.279176,1:15,5.08631,2.49943,6.04634,-22.98643,15.38087,9.80997,2.7149,-1.32052,77.00605,-4.874771,-3.241499,0.445812,,,,,,,,,,,,-6.90075,8.5276,-2.11514,50,5.03593,10.52155,-124.77238,-1.73712,-10.59057,31.29813,-19.08672,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,cd078ea0-d2a7-11ee-8592-b34961d0cb16,84.54778,,,9.35879,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-24,00:01:03.05,2024-02-23T19:01:03.0535992-05:00,2024-02-24T00:01:03.0535992Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,35373198-0fe7-4eea-a600-76d5e86f7503,54.44954,-125.88356,15.64906,5.08557,-1.05948,-9.54336,-2.49536,10.89755,-5.29529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-23,19:01:18.72,2,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Anderson, Caden",1000306336,Left,CAP_UNI,Undefined,1,Top,1,2,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.23566,0.094531,-3.681341,1947.937507,216.534258,1:15,5.13862,2.51752,6.09798,-24.6136,14.58706,9.66501,3.17509,-0.08646,75.97637,-4.60002,-1.945232,0.450628,95.07803,6.961835,15.77941,889.818182,,,,130.75713,128.3804,16.748419,1.069955,-6.26977,7.91422,-2.2389,50,5.13321,7.5428,-123.31516,-0.502,-9.40527,30.41806,-20.3019,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,d66838f0-d2a7-11ee-8592-b34961d0cb16,83.64426,6.78534,,9.25929,,,,0.96001,3.13997,0.09352,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-24,00:01:18.72,2024-02-23T19:01:18.7294008-05:00,2024-02-24T00:01:18.7294008Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e1fd7ca7-1d51-4c12-b24f-fe448eb5b35d,54.39482,-124.39451,15.20903,5.13824,0.21839,-10.15095,-2.51247,7.87654,-4.70263,300.027007,0.96001,133.20341,-18.71825,3.17812,-0.65374,0.0813,0.01988,-0.01891,0.0046,3.13997,16.90226,-20.4688,2.18938,-0.44511,0.08665,-0.00466,-0.00439,0.00132,0.09352,37.64068,-1.80972,-0.70275,0.22872,-0.01712,-0.0438,0.02925,-0.00674,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-02-23,19:01:48.78,3,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Clifton, Ty",1000306422,Left,CAP_UNI,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.38968,0.42365,-2.536517,1982.821037,228.475577,1:30,5.04322,2.59005,5.92727,-26.10246,13.12359,13.08741,3.26148,1.32566,76.13474,-4.527378,-0.18853,0.450774,,,,,,,,,,,,-7.48556,7.00335,-2.39412,50,5.06269,4.91501,-123.60344,0.12174,-11.29637,30.26855,-21.60533,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,e84ce930-d2a7-11ee-8592-b34961d0cb16,83.61718,,,9.25494,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-24,00:01:48.78,2024-02-23T19:01:48.7889720-05:00,2024-02-24T00:01:48.7889720Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,9c554e45-5b43-469f-8701-40b804dd5dd0,54.56335,-124.71592,15.13427,5.04363,0.91582,-10.80266,-2.5824,5.33019,-5.64819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-23,19:02:04.03,3,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Clifton, Ty",1000306422,Left,CAP_UNI,Undefined,1,Top,2,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.80994,0.385904,-2.92893,1925.055538,224.12673,1:30,5.05779,2.54379,5.89321,-26.52769,13.45772,11.49064,3.20591,0.77966,75.35289,-4.650018,-0.869951,0.455116,,,,,,,,,,,,-6.84953,7.19008,-2.31404,50,5.07409,5.78585,-122.66702,0.02555,-10.14252,30.63222,-21.52725,CEN_COL,CAP_UNI,GaryWright,D3,Team,20240223-GaryWright-1,f16789d0-d2a7-11ee-8592-b34961d0cb16,82.81941,,,9.45705,,,,,,,06e301f7-06e3-431e-99b9-e3ed2f5a5c44,2024-02-24,00:02:04.03,2024-02-23T19:02:04.0307000-05:00,2024-02-24T00:02:04.0307000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c144c2ad-698e-4777-b87a-bfdf3765180c,54.59686,-123.80962,15.31611,5.05817,0.82852,-10.76363,-2.53691,6.16417,-5.07126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
