GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
b02566b9-c24b-48ed-91f5-99279fd7428f,1,53a6aa60-d350-11ee-967b-994e04cd1283,c72b503f-0c1d-44cd-806f-d95efadf0d29,2024-02-24,15:07:24.39,2024-02-24,20:07:24.39,2024-02-24T15:07:24.3919548-05:00,2024-02-24T20:07:24.3919548Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,90.68359,78.80798,152.57359,52.26274,93.36907,-60.07396,148.81614,-30.09555,274.58256,-135.6961,354.84501,10.39023,282.41444,151.44176,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,2,6076b1e0-d350-11ee-967b-994e04cd1283,25c4b809-cdbf-41e0-b9ea-f0c4ec78e686,2024-02-24,15:07:45.80,2024-02-24,20:07:45.80,2024-02-24T15:07:45.8036924-05:00,2024-02-24T20:07:45.8036924Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,94.91716,83.053,149.89397,51.06197,93.63324,-61.05842,147.12265,-39.08322,275.43415,-137.63192,353.82265,11.73154,276.44682,149.521,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,3,6eee00c0-d350-11ee-967b-994e04cd1283,d4c64db8-f88c-46ff-82c6-a803a9fb7a17,2024-02-24,15:08:10.09,2024-02-24,20:08:10.09,2024-02-24T15:08:10.0993212-05:00,2024-02-24T20:08:10.0993212Z,CEN_COL,DEP_UNI,StrikeCalled,Undefined,NoShift,94.02791,83.36131,144.16495,47.47981,104.05056,-71.08568,146.54549,-40.70191,269.19231,-136.31462,356.75109,13.8693,279.33969,147.22817,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,4,7fd7d640-d350-11ee-967b-994e04cd1283,7122cdc3-de54-4c92-aa35-290b52cfa7b7,2024-02-24,15:08:38.39,2024-02-24,20:08:38.39,2024-02-24T15:08:38.3950012-05:00,2024-02-24T20:08:38.3950012Z,CEN_COL,DEP_UNI,StrikeCalled,Undefined,NoShift,88.95998,67.29254,145.53608,43.23429,82.49241,-57.17123,147.26208,-39.04448,274.79287,-139.61752,339.21985,-8.56784,273.61068,142.56767,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,5,8991eb30-d350-11ee-967b-994e04cd1283,42ef4e8d-3326-45a5-9b5a-66eff98fbd86,2024-02-24,15:08:54.81,2024-02-24,20:08:54.81,2024-02-24T15:08:54.8112572-05:00,2024-02-24T20:08:54.8112572Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,91.10823,72.21087,148.54269,45.36231,92.27856,-67.90241,146.5648,-38.36805,274.79299,-139.81241,339.48886,-6.95426,271.8817,141.7619,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,6,979df520-d350-11ee-967b-994e04cd1283,4668f3a1-f684-404d-b861-0f4a768fe285,2024-02-24,15:09:18.31,2024-02-24,20:09:18.31,2024-02-24T15:09:18.3179452-05:00,2024-02-24T20:09:18.3179452Z,CEN_COL,DEP_UNI,StrikeSwinging,Undefined,NoShift,95.29185,85.00267,150.18289,58.65881,110.0032,-68.84841,151.82307,-32.59272,276.02188,-140.06655,339.37807,-2.93563,272.0314,149.08505,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,7,a867e690-d350-11ee-967b-994e04cd1283,fe6d306c-aa91-4fe3-ae98-814181427422,2024-02-24,15:09:46.52,2024-02-24,20:09:46.52,2024-02-24T15:09:46.5245372-05:00,2024-02-24T20:09:46.5245372Z,CEN_COL,DEP_UNI,BallCalled,Undefined,NoShift,105.38272,85.57014,151.76719,58.6448,110.00544,-65.95153,153.70649,-24.71951,276.43584,-139.95303,348.89865,11.98511,280.83158,152.19528,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,8,b2f83740-d350-11ee-967b-994e04cd1283,7e22fc65-ecbd-4a2c-8e5b-cdf5795306dd,2024-02-24,15:10:04.16,2024-02-24,20:10:04.16,2024-02-24T15:10:04.1632444-05:00,2024-02-24T20:10:04.1632444Z,CEN_COL,DEP_UNI,StrikeSwinging,Undefined,NoShift,102.84971,84.77193,157.1267,70.23894,121.96868,-65.08566,155.24384,-13.25713,275.28448,-139.55889,353.5882,14.50596,274.62914,150.28497,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,9,bf9261b0-d350-11ee-967b-994e04cd1283,6a0c1ef6-b6ec-489f-8833-cbc0402b8207,2024-02-24,15:10:25.10,2024-02-24,20:10:25.10,2024-02-24T15:10:25.1009212-05:00,2024-02-24T20:10:25.1009212Z,CEN_COL,DEP_UNI,InPlay,Out,NoShift,99.70485,84.41705,158.359,72.26269,122.4886,-62.06087,156.3513,-10.91205,276.31174,-140.09522,351.11216,15.20693,273.12537,149.94477,,,,,,,,,,,,,,,true
b02566b9-c24b-48ed-91f5-99279fd7428f,10,0fdeb790-d351-11ee-967b-994e04cd1283,13252f58-afbb-4431-a625-7075baaa3ef9,2024-02-24,15:12:40.09,2024-02-24,20:12:40.09,2024-02-24T15:12:40.0978108-05:00,2024-02-24T20:12:40.0978108Z,DEP_UNI,CEN_COL,InPlay,Out,NoShift,84.14502,56.62869,150.74557,33.48064,72.06582,-50.61168,136.46205,-43.44974,268.54988,-125.24382,331.72485,-12.17315,255.64883,138.0018,,,,,,,,,,,,,,,true
