PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-24,15:07:24.39,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"Straub, Drew",1000077047,Left,DEP_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.7631,-0.485513,-1.660169,1977.667999,211.214731,1:00,5.57471,0.75235,6.62445,-21.0121,15.42922,8.58292,3.37894,-0.05299,78.5019,-4.524564,-0.098653,0.434479,,,,,,,,,,,,-4.98028,8.62556,-0.64271,50,5.53293,3.31879,-125.99837,-1.60404,-7.91612,28.28738,-18.46376,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,53a6aa60-d350-11ee-967b-994e04cd1283,86.75326,,,8.26121,,,,,,,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:07:24.39,2024-02-24T15:07:24.3919548-05:00,2024-02-24T20:07:24.3919548Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c72b503f-0c1d-44cd-806f-d95efadf0d29,53.86893,-126.864,14.14369,5.57337,-1.03903,-9.23188,-0.74797,3.56103,-3.95806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-24,15:07:45.80,1,2,"Prather, Ben",1000190341,Right,CEN_COL,"Straub, Drew",1000077047,Left,DEP_UNI,Undefined,1,Top,0,0,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,86.54471,-1.182951,-1.688468,1784.947396,230.857197,1:45,5.38635,0.80112,6.75319,-24.11426,12.76477,13.943,2.29568,0.42031,77.55987,-5.815176,0.855947,0.43708,,,,,,,,,,,,-7.9143,7.56654,-0.69488,50,5.29963,3.17512,-125.58425,-3.22114,-12.33249,31.18681,-20.38346,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,6076b1e0-d350-11ee-967b-994e04cd1283,86.23691,,,8.98484,,,,,,,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:07:45.80,2024-02-24T15:07:45.8036924-05:00,2024-02-24T20:07:45.8036924Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,25c4b809-cdbf-41e0-b9ea-f0c4ec78e686,53.74038,-126.5097,15.59341,5.38624,-2.61627,-10.19173,-0.79452,3.54108,-6.16624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-24,15:08:10.09,1,3,"Prather, Ben",1000190341,Right,CEN_COL,"Straub, Drew",1000077047,Left,DEP_UNI,Undefined,1,Top,0,0,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,77.49701,2.192028,0.893847,1778.955283,60.140113,8:00,5.24823,1.17489,5.90476,-53.56751,-6.6113,-14.28867,2.82022,0.81393,70.4526,-7.675224,-1.673652,0.493194,,,,,,,,,,,,7.53508,-3.51008,-1.23877,50,5.39436,-1.21479,-112.46937,2.58886,9.54008,22.59673,-36.61813,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,6eee00c0-d350-11ee-967b-994e04cd1283,76.42516,,,7.0444,,,,,,,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:08:10.09,2024-02-24T15:08:10.0993212-05:00,2024-02-24T20:08:10.0993212Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d4c64db8-f88c-46ff-82c6-a803a9fb7a17,54.5933,-113.38847,11.29837,5.25877,4.07827,-18.30907,-1.18147,-1.60282,4.77004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.47619,,,0.869043,,,,2.83805,5.42582,1.75265,71.41998,8.26275,53.34055,3.01973,86.93744,-9.38675,5.46404,14.11691,-12.52073,1.72166,59.79181,-0.4678,High,High,High,,,High,High,High
4,2024-02-24,15:08:38.39,2,1,"Prather, Ben",1000190341,Right,CEN_COL,"Macon, Cameron",1000077799,Right,DEP_UNI,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.45033,1.367825,0.13214,1977.362448,81.304329,8:45,5.30892,0.94621,5.70759,-45.44317,0.49028,-6.64024,2.7966,0.51596,71.56925,-6.997765,-1.056563,0.487793,,,,,,,,,,,,3.39799,0.33138,-0.95317,50,5.39554,-0.00574,-113.87647,1.24263,4.43444,22.1174,-31.74158,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,7fd7d640-d350-11ee-967b-994e04cd1283,77.27131,,,6.88108,,,,,,,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:08:38.39,2024-02-24T15:08:38.3950012-05:00,2024-02-24T20:08:38.3950012Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7122cdc3-de54-4c92-aa35-290b52cfa7b7,54.78875,-114.80279,11.0587,5.31566,2.57202,-15.87079,-0.94904,-0.19147,2.21722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-24,15:08:54.81,2,2,"Prather, Ben",1000190341,Right,CEN_COL,"Macon, Cameron",1000077799,Right,DEP_UNI,Undefined,1,Top,1,0,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,87.4375,-0.15881,-2.644469,1829.825132,255.080356,2:30,5.41853,0.85535,6.74127,-30.44261,5.49272,15.72914,2.7364,-0.25167,78.82431,-5.925717,0.223507,0.431452,96.443,-12.846025,65.970486,,,,,11.01078,10.47849,69.345011,0.079779,-9.11347,3.36284,-0.68638,50,5.39684,5.26034,-126.92103,-1.23874,-14.606,30.21269,-26.78447,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,8991eb30-d350-11ee-967b-994e04cd1283,87.36185,2.51327,,8.61319,,,,-0.60398,2.51327,0.23695,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:08:54.81,2024-02-24T15:08:54.8112572-05:00,2024-02-24T20:08:54.8112572Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,42ef4e8d-3326-45a5-9b5a-66eff98fbd86,53.7538,-127.81147,15.10635,5.42172,-0.44933,-13.39223,-0.84776,5.69081,-7.303,180,-0.60523,56.25475,,,,,,,,2.51397,-31.50311,,,,,,,,0.23415,126.17526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-02-24,15:09:18.31,2,3,"Prather, Ben",1000190341,Right,CEN_COL,"Macon, Cameron",1000077799,Right,DEP_UNI,Undefined,1,Top,1,0,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.19506,-0.413938,-1.418257,2024.187933,92.95519,9:00,5.18654,0.845,6.00963,-41.36486,2.20504,-8.09654,1.35587,-1.14385,72.38194,-8.121026,-2.876074,0.475078,,,,,,,,,,,,3.5878,1.84469,-0.7295,50,5.13228,3.23122,-117.56437,-2.16079,4.84734,29.47646,-29.68178,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,979df520-d350-11ee-967b-994e04cd1283,79.33953,,,8.81312,,,,,,,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:09:18.31,2024-02-24T15:09:18.3179452-05:00,2024-02-24T20:09:18.3179452Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,4668f3a1-f684-404d-b861-0f4a768fe285,54.4821,-118.68283,14.73823,5.19291,-1.03454,-14.84089,-0.84862,3.04729,2.42367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-24,15:09:46.52,3,1,"Prather, Ben",1000190341,Right,CEN_COL,"Florida, Louis",1000234296,Left,DEP_UNI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.02808,-1.109278,-2.263536,1992.528231,197.763194,12:30,5.76867,0.32808,6.73493,-19.90572,16.70808,4.89225,3.09535,-1.33359,77.70614,-4.981598,-1.372225,0.435506,,,,,,,,,,,,-3.33744,9.58615,-0.18041,50,5.68754,4.79255,-126.14765,-2.91171,-5.24057,31.76658,-17.12151,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,a867e690-d350-11ee-967b-994e04cd1283,86.5487,,,9.32193,,,,,,,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:09:46.52,2024-02-24T15:09:46.5245372-05:00,2024-02-24T20:09:46.5245372Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,fe6d306c-aa91-4fe3-ae98-814181427422,53.75493,-127.0897,15.88329,5.76636,-2.40397,-8.56075,-0.32484,4.94796,-2.62029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-24,15:10:04.16,3,2,"Prather, Ben",1000190341,Right,CEN_COL,"Florida, Louis",1000234296,Left,DEP_UNI,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.37783,-0.334358,-0.79378,2089.289719,113.376539,9:45,5.30141,1.08688,5.92063,-40.24427,3.55319,-3.82957,1.63742,0.03112,71.97958,-7.856369,-1.482488,0.476317,,,,,,,,,,,,1.62327,2.53441,-1.02129,50,5.25274,1.78655,-117.7303,-1.97385,2.18492,30.86937,-28.76272,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,b2f83740-d350-11ee-967b-994e04cd1283,79.13314,,,9.39825,,,,,,,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:10:04.16,2024-02-24T15:10:04.1632444-05:00,2024-02-24T20:10:04.1632444Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7e22fc65-ecbd-4a2c-8e5b-cdf5795306dd,54.56909,-118.9223,15.43469,5.30751,-0.8632,-14.38136,-1.08865,1.70218,1.09246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-24,15:10:25.10,3,3,"Prather, Ben",1000190341,Right,CEN_COL,"Florida, Louis",1000234296,Left,DEP_UNI,Undefined,1,Top,2,1,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.10019,-1.071079,-2.517089,1945.219299,229.615433,1:45,5.69532,0.60365,6.51289,-24.11797,13.55442,13.90245,2.70159,-0.54902,76.19521,-5.743402,0.00632,0.441757,90.41666,-5.882193,41.77043,,,,,26.44787,13.04049,40.575223,0.175759,-8.27221,8.00926,-0.43328,50,5.61047,4.97277,-125.96015,-3.00038,-12.65094,37.01802,-19.92526,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,bf9261b0-d350-11ee-967b-994e04cd1283,85.32402,2.39235,,10.90497,,,,2.76996,2.39235,1.73438,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:10:25.10,2024-02-24T15:10:25.1009212-05:00,2024-02-24T20:10:25.1009212Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,6a0c1ef6-b6ec-489f-8833-cbc0402b8207,53.97625,-127.12335,18.50901,5.69491,-2.37428,-9.96263,-0.59578,5.37029,-6.32547,180,2.76564,98.53575,,,,,,,,2.39295,-13.6115,,,,,,,,1.73052,88.00966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2024-02-24,15:12:40.09,1,1,"Riendeau, Pearse",1000234297,Left,DEP_UNI,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,82.55661,-1.950318,2.455631,1925.631323,134.794854,10:30,5.99918,-1.38058,6.42446,-22.67505,18.76477,-17.16623,2.31461,-0.5526,73.41376,-6.337426,-0.655366,0.463319,59.42244,14.150405,31.078748,3673.228746,,,,102.95003,96.01359,35.880832,1.343529,9.86111,10.99713,1.21275,50,5.84991,-4.48167,-119.53915,-4.62554,13.80813,29.96892,-16.77519,CEN_COL,DEP_UNI,GaryWright,D3,Team,20240224-GaryWright-1,0fdeb790-d351-11ee-967b-994e04cd1283,81.35302,8.73765,,9.14285,,,,1.89192,2.42082,0.56943,b02566b9-c24b-48ed-91f5-99279fd7428f,2024-02-24,20:12:40.09,2024-02-24T15:12:40.0978108-05:00,2024-02-24T20:12:40.0978108Z,GroundBall,v3,,,,"Bell, Eli",1000090980,Right,DEP_UNI,13252f58-afbb-4431-a625-7075baaa3ef9,54.06863,-120.55486,14.98446,5.99705,-4.057,-8.3876,1.37258,-4.94966,6.90407,267.131901,1.89192,72.37787,-10.20494,1.4746,-0.30481,0.02703,0.00214,-0.00229,0.00049,2.42082,21.30608,-18.71279,1.37657,-0.24103,0.04683,-0.00495,0.00041,-5E-05,0.56943,43.62453,1.43813,-0.84744,0.25295,-0.05722,0.00871,-0.0008,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
