GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
2887911a-bf42-47f6-86a2-334f2368b686,1,546bfd80-d411-11ee-bb5c-ff87b903baf6,485b40d8-aae0-4dde-8f1e-7e813af6e14d,2024-02-25,14:08:58.48,2024-02-25,19:08:58.48,2024-02-25T14:08:58.4887656-05:00,2024-02-25T19:08:58.4887656Z,CEN_COL,DEP_UNI,StrikeCalled,Undefined,NoShift,92.98661,83.889,160.83513,67.08467,93.59258,-54.07828,156.24344,-23.25159,276.6171,-137.68321,342.37954,4.89677,278.39932,149.83113,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,2,5cc6d090-d411-11ee-bb5c-ff87b903baf6,ab9985ab-32d0-4090-b495-60d839126712,2024-02-25,14:09:12.41,2024-02-25,19:09:12.41,2024-02-25T14:09:12.4193640-05:00,2024-02-25T19:09:12.4193640Z,CEN_COL,DEP_UNI,StrikeCalled,Undefined,NoShift,95.74145,84.23302,158.59247,70.20895,95.63261,-54.79578,152.80903,-26.89297,277.67089,-138.96253,345.23032,4.79879,274.05012,147.53492,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,3,674f3200-d411-11ee-bb5c-ff87b903baf6,888ab879-71d0-4319-9622-cfa96c425730,2024-02-25,14:09:30.13,2024-02-25,19:09:30.13,2024-02-25T14:09:30.1367656-05:00,2024-02-25T19:09:30.1367656Z,CEN_COL,DEP_UNI,StrikeSwinging,Undefined,NoShift,94.80245,81.01715,160.65531,68.99513,112.43254,-72.60642,156.43819,-27.89256,277.80297,-139.24024,347.01824,4.30309,274.75794,148.95911,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,4,795ec2d0-d411-11ee-bb5c-ff87b903baf6,5a3366ed-e14e-4502-bb0e-912e30c81811,2024-02-25,14:10:00.49,2024-02-25,19:10:00.49,2024-02-25T14:10:00.4902248-05:00,2024-02-25T19:10:00.4902248Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,91.89813,71.6736,,,77.74672,-53.12142,150.46307,-38.97879,277.46648,-139.62692,348.50259,-3.05968,276.20424,145.37317,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,5,85642750-d411-11ee-bb5c-ff87b903baf6,d72b2437-92da-4500-b342-ad62759fb8fa,2024-02-25,14:10:20.67,2024-02-25,19:10:20.67,2024-02-25T14:10:20.6788968-05:00,2024-02-25T19:10:20.6788968Z,CEN_COL,DEP_UNI,BallCalled,Undefined,NoShift,93.57763,75.52649,147.87297,49.8366,77.34824,-53.2733,149.94358,-39.68084,276.06451,-139.66154,345.9049,-2.72282,278.57576,148.97701,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,6,8e519d70-d411-11ee-bb5c-ff87b903baf6,bd97b7da-b116-4a9f-9bd3-158280e16540,2024-02-25,14:10:35.57,2024-02-25,19:10:35.57,2024-02-25T14:10:35.5720552-05:00,2024-02-25T19:10:35.5720552Z,CEN_COL,DEP_UNI,BallCalled,Undefined,NoShift,95.60364,77.63831,,,78.0281,-54.26048,149.57233,-42.19741,277.0781,-140.34707,349.01517,-2.76227,275.31458,149.60453,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,7,964c2810-d411-11ee-bb5c-ff87b903baf6,3d38e553-6133-4101-9de2-8ec95d006d6c,2024-02-25,14:10:48.99,2024-02-25,19:10:48.99,2024-02-25T14:10:48.9901928-05:00,2024-02-25T19:10:48.9901928Z,CEN_COL,DEP_UNI,BallCalled,Undefined,NoShift,95.70549,79.04971,,,77.32765,-54.602,148.57475,-42.36523,276.48855,-140.51477,349.50841,-2.1072,275.03398,150.52546,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,8,9f1fad90-d411-11ee-bb5c-ff87b903baf6,3da10d01-a2aa-4561-9557-84f683bebe4a,2024-02-25,14:11:03.85,2024-02-25,19:11:03.85,2024-02-25T14:11:03.8517096-05:00,2024-02-25T19:11:03.8517096Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,94.17911,78.62966,,,85.62435,-60.28582,149.43297,-44.08027,278.6745,-141.9696,350.16053,-4.1735,273.8165,147.52804,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,9,b0e2f320-d411-11ee-bb5c-ff87b903baf6,8f151fca-c89a-4d23-b6bb-79b197eb7f12,2024-02-25,14:11:33.62,2024-02-25,19:11:33.62,2024-02-25T14:11:33.6245608-05:00,2024-02-25T19:11:33.6245608Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,91.11746,73.03644,148.57463,51.83798,99.37921,-68.07096,,,271.97409,-138.19745,344.11197,-4.41714,273.26246,148.34405,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,10,ba219680-d411-11ee-bb5c-ff87b903baf6,29a754e4-3ff4-4831-a462-268238fc7e26,2024-02-25,14:11:49.02,2024-02-25,19:11:49.02,2024-02-25T14:11:49.0251624-05:00,2024-02-25T19:11:49.0251624Z,CEN_COL,DEP_UNI,StrikeCalled,Undefined,NoShift,91.67085,73.91061,,,107.03854,-69.17192,151.09074,-40.56918,275.14016,-140.07328,344.80027,-5.66261,271.96783,143.85828,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,11,c9ee8a50-d411-11ee-bb5c-ff87b903baf6,5ceb77c5-a545-444b-93bd-bb422cd8419c,2024-02-25,14:12:15.65,2024-02-25,19:12:15.65,2024-02-25T14:12:15.6556136-05:00,2024-02-25T19:12:15.6556136Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,96.12533,85.61373,160.47482,77.55039,90.86993,-42.40761,154.89014,-19.1113,276.42278,-139.44108,349.9515,-5.33224,270.91969,151.77079,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,12,d7ce2d10-d411-11ee-bb5c-ff87b903baf6,5ee976ba-0c09-4863-b6d7-4df1bc57bcaf,2024-02-25,14:12:38.92,2024-02-25,19:12:38.92,2024-02-25T14:12:38.9261672-05:00,2024-02-25T19:12:38.9261672Z,CEN_COL,DEP_UNI,StrikeSwinging,Undefined,NoShift,93.98047,84.66799,164.98073,70.11472,103.70986,-60.52372,,,285.15754,-143.53737,357.24701,-9.56384,269.38422,146.08338,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,13,e116bb80-d411-11ee-bb5c-ff87b903baf6,0e503a1b-0efd-4374-b9c5-a86893398ac6,2024-02-25,14:12:54.53,2024-02-25,19:12:54.53,2024-02-25T14:12:54.5372520-05:00,2024-02-25T19:12:54.5372520Z,CEN_COL,DEP_UNI,FoulBall,Undefined,NoShift,91.78468,82.16198,162.91219,71.58485,112.70542,-75.80938,155.58906,-29.42604,281.99555,-142.29895,351.35827,-8.08809,271.50113,148.59465,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,14,ee15c240-d411-11ee-bb5c-ff87b903baf6,6a00213b-3cdc-4c88-b9e0-fbbe4dd7c84e,2024-02-25,14:13:16.25,2024-02-25,19:13:16.25,2024-02-25T14:13:16.2542440-05:00,2024-02-25T19:13:16.2542440Z,CEN_COL,DEP_UNI,StrikeSwinging,Undefined,NoShift,93.83641,82.45053,159.31353,71.13487,107.891,-73.48911,155.03712,-31.05453,282.18018,-142.19893,354.25499,-8.65673,274.07549,144.59176,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,15,46d702e0-d412-11ee-bb5c-ff87b903baf6,,,,,,,,DEP_UNI,CEN_COL,FoulBall,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2887911a-bf42-47f6-86a2-334f2368b686,16,4b51dca0-d412-11ee-bb5c-ff87b903baf6,63fbca46-313e-49eb-9d5b-9a3c15eed3aa,2024-02-25,14:15:52.71,2024-02-25,19:15:52.71,2024-02-25T14:15:52.7152488-05:00,2024-02-25T19:15:52.7152488Z,DEP_UNI,CEN_COL,BallCalled,Undefined,NoShift,87.95282,57.1564,151.41054,35.96297,71.52454,-51.85234,133.33718,-43.20308,276.5633,-143.3314,324.4211,-7.49692,261.47404,119.90622,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,17,5726e250-d412-11ee-bb5c-ff87b903baf6,30aa79f5-fb31-426b-9243-1ad5638a1721,2024-02-25,14:16:12.51,2024-02-25,19:16:12.51,2024-02-25T14:16:12.5151592-05:00,2024-02-25T19:16:12.5151592Z,DEP_UNI,CEN_COL,BallCalled,Undefined,NoShift,88.25854,56.90576,148.91151,37.1003,72.1519,-52.38239,132.70302,-42.21708,275.99454,-145.26147,323.99122,-6.3716,256.89495,115.21063,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,18,5eb47a50-d412-11ee-bb5c-ff87b903baf6,398f06a1-c079-4358-866c-681d8326767b,2024-02-25,14:16:25.21,2024-02-25,19:16:25.21,2024-02-25T14:16:25.2146536-05:00,2024-02-25T19:16:25.2146536Z,DEP_UNI,CEN_COL,BallCalled,Undefined,NoShift,88.8327,57.31674,152.41713,37.50205,71.7767,-52.60615,134.06999,-46.05685,271.9946,-140.55332,325.1183,-6.67609,257.62458,114.9315,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,19,68a41e30-d412-11ee-bb5c-ff87b903baf6,8d236c9d-f194-489f-9c53-699303ec23f9,2024-02-25,14:16:41.92,2024-02-25,19:16:41.92,2024-02-25T14:16:41.9240296-05:00,2024-02-25T19:16:41.9240296Z,DEP_UNI,CEN_COL,FoulBall,Undefined,NoShift,89.61686,57.64818,153.01222,36.63581,73.34762,-52.83896,131.71077,-41.5815,277.25526,-145.45379,339.55387,-16.40323,263.32343,119.06707,,,,,,,,,,,,,,,true
2887911a-bf42-47f6-86a2-334f2368b686,20,764c5d40-d412-11ee-bb5c-ff87b903baf6,819ffbc0-2a72-4ffd-9e51-dbb18d43bd95,2024-02-25,14:17:04.77,2024-02-25,19:17:04.77,2024-02-25T14:17:04.7789416-05:00,2024-02-25T19:17:04.7789416Z,DEP_UNI,CEN_COL,FoulBall,Undefined,NoShift,89.26819,56.62474,150.87323,36.44928,82.86126,-63.53209,132.57557,-45.13564,275.12621,-147.05881,341.87269,-10.49583,264.54319,118.9712,,,,,,,,,,,,,,,true
