GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
26358705-99f2-4afe-b0f7-daf86c62ac43,1,df5265a0-fe97-11ee-a48d-c38ea89dfe64,692f304a-7912-4f16-9579-5815180d91f1,2024-04-19,17:57:52.85,2024-04-19,21:57:52.85,2024-04-19T17:57:52.8529326-04:00,2024-04-19T21:57:52.8529326Z,CEN_COL,HEN_COL,StrikeSwinging,Undefined,NoShift,92.88691,73.0455,144.78072,48.22739,73.30308,-50.60385,147.38353,-39.38113,276.60825,-139.05305,356.84537,-0.22107,272.825,164.01977,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,2,e79fcb30-fe97-11ee-a48d-c38ea89dfe64,0e3cae07-c6f7-4a41-95f7-d8475d0fe66a,2024-04-19,17:58:06.73,2024-04-19,21:58:06.73,2024-04-19T17:58:06.7350446-04:00,2024-04-19T21:58:06.7350446Z,CEN_COL,HEN_COL,StrikeCalled,Undefined,NoShift,97.5043,78.67444,146.6423,43.56825,73.48385,-52.55897,149.14862,-41.88591,278.83918,-139.67129,357.00023,0.88895,263.80061,159.36049,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,3,f047faf0-fe97-11ee-a48d-c38ea89dfe64,a9e14726-7a03-4b0c-8c4e-36e7d83fb43f,2024-04-19,17:58:21.25,2024-04-19,21:58:21.25,2024-04-19T17:58:21.2584878-04:00,2024-04-19T21:58:21.2584878Z,CEN_COL,HEN_COL,InPlay,Out,NoShift,96.92917,79.32684,146.62602,48.5862,94.61568,-69.55821,148.35483,-45.29207,276.53232,-138.92129,348.86801,0.53245,261.47957,157.7827,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,4,02121e50-fe98-11ee-a48d-c38ea89dfe64,555133c5-3270-4cff-a817-5e808ec1ebc6,2024-04-19,17:58:51.19,2024-04-19,21:58:51.19,2024-04-19T17:58:51.1945646-04:00,2024-04-19T21:58:51.1945646Z,CEN_COL,HEN_COL,StrikeCalled,Undefined,NoShift,90.3309,71.29962,147.79297,44.03415,75.47127,-53.49634,145.18895,-43.31639,271.49812,-133.05572,356.74348,-1.16373,271.07129,159.79101,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,5,0b0c3ea0-fe98-11ee-a48d-c38ea89dfe64,10537ec0-e222-4f56-a97d-fd3d3ac86de0,2024-04-19,17:59:06.23,2024-04-19,21:59:06.23,2024-04-19T17:59:06.2300078-04:00,2024-04-19T21:59:06.2300078Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,89.24737,70.01803,146.29912,43.57719,74.93371,-53.30553,146.70523,-44.38325,272.82323,-137.91631,356.99149,-0.38008,265.45505,160.97608,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,6,157de3c0-fe98-11ee-a48d-c38ea89dfe64,e2f1356c-143e-47ff-9904-5680e34519dc,2024-04-19,17:59:23.71,2024-04-19,21:59:23.71,2024-04-19T17:59:23.7125038-04:00,2024-04-19T21:59:23.7125038Z,CEN_COL,HEN_COL,StrikeSwinging,Undefined,NoShift,90.05162,70.75829,146.80391,45.9518,76.69605,-55.82923,149.34334,-42.83903,278.40423,-140.05363,351.711,-0.35047,269.59322,160.76731,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,7,22757070-fe98-11ee-a48d-c38ea89dfe64,a5cd7f79-5c67-492a-8f6a-1f942a55176f,2024-04-19,17:59:45.52,2024-04-19,21:59:45.52,2024-04-19T17:59:45.5200686-04:00,2024-04-19T21:59:45.5200686Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,98.44259,83.10459,146.15914,56.39889,103.99757,-69.67853,152.27258,-42.63033,273.46189,-138.62201,346.0706,-0.32359,256.8277,158.99403,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,8,2cfebc40-fe98-11ee-a48d-c38ea89dfe64,ea054766-685a-4011-b153-64976b2a3d47,2024-04-19,18:00:03.20,2024-04-19,22:00:03.20,2024-04-19T18:00:03.2069550-04:00,2024-04-19T22:00:03.2069550Z,CEN_COL,HEN_COL,FoulBallFieldable,Undefined,NoShift,98.14154,82.5944,149.02991,54.02588,106.26784,-75.82149,147.04945,-43.41155,277.07683,-140.14024,345.98902,-2.77117,257.47587,159.81246,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,9,380e7620-fe98-11ee-a48d-c38ea89dfe64,24aeb29d-83aa-44da-a1c2-5e7ca2d289d4,2024-04-19,18:00:21.73,2024-04-19,22:00:21.73,2024-04-19T18:00:21.7377198-04:00,2024-04-19T22:00:21.7377198Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,97.66536,82.38514,143.50605,52.81183,96.66351,-73.78983,145.99184,-46.07677,272.89996,-137.87042,343.11049,-0.90795,260.21288,161.63379,,,,,,,,,,,,,,,true
26358705-99f2-4afe-b0f7-daf86c62ac43,10,3fc519f0-fe98-11ee-a48d-c38ea89dfe64,fcbba73d-68ba-4220-92ca-c41c63d1c62a,2024-04-19,18:00:34.65,2024-04-19,22:00:34.65,2024-04-19T18:00:34.6573230-04:00,2024-04-19T22:00:34.6573230Z,CEN_COL,HEN_COL,StrikeCalled,Undefined,NoShift,98.38239,82.37438,144.46998,52.19939,98.41057,-74.28644,147.51412,-46.94517,277.42279,-139.58274,349.06691,-2.34924,262.25974,163.59494,,,,,,,,,,,,,,,true
