PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Bland, Adam",1000051261,Right,HEN_COL,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,adf8f1a0-ff4a-11ee-a248-f3069ff48c75,,,,,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-20,15:17:54.69,1,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Bland, Adam",1000051261,Right,HEN_COL,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.93666,1.672412,-1.722258,2533.219727,23.575104,6:45,5.79463,0.92085,5.67865,-66.32464,-16.55477,-8.00473,1.8277,-1.35214,68.94149,-10.420406,-3.156545,0.507755,,,,,,,,,,,,3.44965,-8.34682,-0.77076,50,5.89468,3.61512,-110.11836,1.01731,4.14374,23.5169,-42.20025,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,b0ce58c0-ff4a-11ee-a248-f3069ff48c75,74.23346,,,6.99516,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:17:54.69,2024-04-20T15:17:54.6969548-04:00,2024-04-20T19:17:54.6969548Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,6f760044-b1a8-4e74-8267-581f4eca19ce,54.82105,-111.14318,11.75845,5.81028,2.85631,-21.10012,-0.92436,3.43454,2.07187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-20,15:18:06.90,1,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Bland, Adam",1000051261,Right,HEN_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.51342,-2.587309,-2.394282,2098.491252,205.31581,12:45,5.82284,1.06494,6.12516,-17.21867,20.58729,9.05075,1.99258,-0.39534,77.64324,-5.921598,-0.764206,0.442539,,,,,,,,,,,,-5.41209,11.85879,-0.88606,50,5.61565,4.85695,-125.22512,-6.08525,-8.42471,29.9281,-13.71405,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,b805e180-ff4a-11ee-a248-f3069ff48c75,85.17317,,,8.87018,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:18:06.90,2024-04-20T15:18:06.9032908-04:00,2024-04-20T19:18:06.9032908Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bdafa006-9f8b-4f6b-b18d-2a6fd0785261,54.36622,-126.2643,14.96405,5.81868,-5.60906,-6.85702,-1.05978,5.14948,-4.21235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,,,1,4,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Bland, Adam",1000051261,Right,HEN_COL,Undefined,1,Top,0,0,2,Fastball,,InPlay,Undefined,GroundBall,Error,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,d0f6ebd0-ff4a-11ee-a248-f3069ff48c75,,,,,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-04-20,15:19:24.55,2,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Job, Drake",1000237939,Right,HEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.88552,-1.907196,-1.592671,1911.738957,189.331384,12:15,6.11898,1.40421,5.65096,-22.98592,17.45666,2.63721,2.42339,0.13818,76.1776,-6.227537,-1.121523,0.45771,,,,,,,,,,,,-1.81079,9.83713,-1.27091,50,5.94296,3.27011,-121.57921,-4.74437,-2.68756,25.70936,-17.57395,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,e64f6610-ff4a-11ee-a248-f3069ff48c75,82.34996,,,7.70792,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:19:24.55,2024-04-20T15:19:24.5550540-04:00,2024-04-20T19:19:24.5550540Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,76027b4f-e3f4-4816-bc68-5557fd5aeff2,54.84248,-122.59893,12.85468,6.11731,-4.04732,-8.78697,-1.40273,3.37671,-1.34378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-04-20,15:19:40.93,2,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Job, Drake",1000237939,Right,HEN_COL,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.1432,1.854626,-1.507633,2396.033199,23.048632,6:45,5.97606,1.16674,5.6757,-61.79094,-12.61512,-6.08331,2.55695,-0.74598,69.38567,-9.426799,-2.596815,0.504716,,,,,,,,,,,,2.58075,-6.36977,-1.03589,50,6.09439,3.13965,-110.46119,1.53234,3.1438,22.25768,-39.93356,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,f0216fd0-ff4a-11ee-a248-f3069ff48c75,74.68047,,,6.75754,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:19:40.93,2024-04-20T15:19:40.9343436-04:00,2024-04-20T19:19:40.9343436Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b6b23832-5868-488c-b06f-47e64b7e7720,54.8232,-111.42881,11.12884,5.99004,3.26841,-19.96678,-1.16941,3.00298,1.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-04-20,15:19:59.58,2,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Job, Drake",1000237939,Right,HEN_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.5278,-3.78808,-2.953748,2124.594974,182.745916,12:00,6.09538,0.93009,6.13551,-19.23328,19.19135,0.85484,0.98189,-1.73094,77.69083,-7.44223,-2.7999,0.446145,,,,,,,,,,,,-1.34807,11.473,-0.70505,50,5.79567,6.35036,-123.735,-8.71359,-2.0687,27.03047,-14.5678,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,fb3373a0-ff4a-11ee-a248-f3069ff48c75,84.48468,,,7.83697,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:19:59.58,2024-04-20T15:19:59.5851724-04:00,2024-04-20T19:19:59.5851724Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,546d818b-d1bd-4e2f-a41e-1f159b90fdb9,54.35834,-124.68346,13.51524,6.09245,-8.20243,-7.2839,-0.92915,6.42295,-1.03435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-04-20,15:20:38.93,2,4,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Job, Drake",1000237939,Right,HEN_COL,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.82511,1.429476,-2.052323,2389.345942,10.014001,6:15,6.04212,1.03939,5.55038,-62.18047,-13.42036,-2.67547,2.19727,-1.10211,69.78034,-9.893871,-2.530303,0.502578,,,,,,,,,,,,0.66807,-6.75489,-0.86003,50,6.12476,4.09374,-111.376,0.69,0.82332,23.52463,-40.49869,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,12b0a2a0-ff4b-11ee-a248-f3069ff48c75,74.99813,,,7.04478,,,,,,,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:20:38.93,2024-04-20T15:20:38.9357516-04:00,2024-04-20T19:20:38.9357516Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,2f2e0f83-e508-4bfa-8dd7-253d37b5b762,54.94879,-112.41641,11.76232,6.05464,2.48113,-20.24935,-1.04027,4.05732,0.41166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-20,15:21:33.89,2,5,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Job, Drake",1000237939,Right,HEN_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.43064,-1.536063,-1.286606,2038.280269,200.249912,12:45,6.14313,1.0792,5.83311,-14.97686,23.29037,8.04827,3.46662,0.55381,77.35138,-4.468154,0.155854,0.44523,81.43582,21.062315,-5.94984,1981.150408,109.66375,33.95843,-8.59367,288.11771,283.2776,-1.831188,3.326988,-4.53047,12.80894,-0.97898,50,6.00928,2.47069,-125.2028,-3.71446,-7.03569,30.38105,-12.28219,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,3364faf0-ff4b-11ee-a248-f3069ff48c75,84.65829,37.02321,,9.07926,,,,0.21545,3.36604,-0.54726,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:21:33.89,2024-04-20T15:21:33.8989516-04:00,2024-04-20T19:21:33.8989516Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,6ef0ff3f-473f-457c-ab8e-8bee59e72df4,54.65966,-126.32843,15.19053,6.13847,-3.2594,-6.14109,-1.07535,2.73136,-3.51784,205.161594,0.21523,110.8658,-13.58387,3.22205,-0.72945,0.20907,-0.0629,0.012,-0.00094,3.36637,42.91513,-13.99099,0.08766,0.19328,-0.14777,0.06065,-0.01173,0.00085,-0.54716,-11.55719,4.86206,-1.11822,0.26766,-0.08618,0.02706,-0.00513,0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-04-20,15:22:09.96,3,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Marriott, Zach",1000137984,Left,HEN_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.51855,-1.743994,-1.682064,2040.729392,216.355326,1:15,6.0887,1.44624,5.81735,-21.91958,17.07954,11.49556,2.63939,0.83985,76.93752,-5.904376,0.378406,0.449468,89.98705,37.112029,-22.259054,,98.5443,70.28147,-48.87724,297.14512,280.47104,-29.940619,4.654363,-6.43433,9.71705,-1.31552,50,5.93324,3.16432,-123.91129,-4.42045,-9.81746,29.06144,-17.34789,CEN_COL,HEN_COL,GaryWright,D3,Team,20240420-GaryWright-2,48e5e4c0-ff4b-11ee-a248-f3069ff48c75,83.86008,82.71152,,8.58104,,,,1.20245,2.70546,-0.84868,b6c89dfc-413f-44ab-9005-7949c821e96e,2024-04-20,19:22:09.96,2024-04-20T15:22:09.9678156-04:00,2024-04-20T19:22:09.9678156Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,def6d851-549c-4a62-8c75-f06a0d5fc8a7,54.67721,-125.00344,14.53072,6.08711,-3.7685,-8.67394,-1.44136,3.53327,-4.90873,144.580113,1.20759,97.30543,-22.3799,5.99379,-1.26209,0.26324,-0.06755,0.01239,-0.0009,2.71157,79.48628,-22.19247,0.41582,1.17895,-0.69317,0.19542,-0.02711,0.00147,-0.8523,-39.78382,0.5384,1.76943,-1.15555,0.4673,-0.11498,0.01514,-0.00081,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
