GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
a99af64a-76c4-4589-9a1d-26b8b0dc1676,1,9c4a4110-e9f7-11ee-824f-6955c7166cf0,58728f18-a341-4ebf-9843-4f6b74371845,2024-03-24,12:00:17.70,2024-03-24,16:00:17.70,2024-03-24T12:00:17.7047492-04:00,2024-03-24T16:00:17.7047492Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,94.73214,71.31035,146.87486,50.31456,75.09816,-48.9229,152.57624,-23.08463,275.51134,-153.73909,331.29269,3.55713,271.5939,158.77284,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,2,a316abf0-e9f7-11ee-824f-6955c7166cf0,6baa0c3a-e212-4e69-8c42-0f20e0aff664,2024-03-24,12:00:29.10,2024-03-24,16:00:29.10,2024-03-24T12:00:29.1039172-04:00,2024-03-24T16:00:29.1039172Z,CEN_COL,OGL_UNI,StrikeSwinging,Undefined,NoShift,96.22675,71.9471,150.03742,53.21433,75.12833,-49.62338,153.56793,-20.66686,278.47242,-155.92878,335.53152,5.41603,271.61539,159.65496,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,3,aa45d040-e9f7-11ee-824f-6955c7166cf0,94a6834a-4832-4e01-81b2-fab8d5c1d562,2024-03-24,12:00:41.10,2024-03-24,16:00:41.10,2024-03-24T12:00:41.1061188-04:00,2024-03-24T16:00:41.1061188Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,96.71977,72.4643,153.51618,49.66836,77.92992,-50.88449,154.59204,-22.18134,282.04369,-157.7073,336.8011,2.85634,274.23487,162.09701,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,4,b2e6ad00-e9f7-11ee-824f-6955c7166cf0,43599c79-3432-482b-91f4-4a1e7b140512,2024-03-24,12:00:55.65,2024-03-24,16:00:55.65,2024-03-24T12:00:55.6578756-04:00,2024-03-24T16:00:55.6578756Z,CEN_COL,OGL_UNI,StrikeSwinging,Undefined,NoShift,94.42208,71.70194,146.82602,55.40027,75.32084,-49.16293,156.1259,-24.09475,281.20032,-157.74506,333.5105,6.43788,269.14012,160.74683,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,5,bd25a960-e9f7-11ee-824f-6955c7166cf0,cb5ec8b7-2852-47a6-987b-15d0426876ad,2024-03-24,12:01:12.81,2024-03-24,16:01:12.81,2024-03-24T12:01:12.8129476-04:00,2024-03-24T16:01:12.8129476Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,98.92934,78.02315,147.85906,55.0949,105.57217,-70.0393,155.8106,-29.92683,283.08853,-158.69492,332.89478,5.14506,266.55828,160.94247,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,6,c5d8ae90-e9f7-11ee-824f-6955c7166cf0,d19b191d-c856-4cbb-b09f-ced2ee4229df,2024-03-24,12:01:27.46,2024-03-24,16:01:27.46,2024-03-24T12:01:27.4610628-04:00,2024-03-24T16:01:27.4610628Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,98.76632,77.03091,151.13565,56.45401,105.94312,-68.33777,153.40237,-28.95364,273.42536,-153.46689,329.51717,4.79912,270.17573,163.27742,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,7,d5b18940-e9f7-11ee-824f-6955c7166cf0,487ce7fd-858f-4a13-a65b-38adcafd199f,2024-03-24,12:01:53.98,2024-03-24,16:01:53.98,2024-03-24T12:01:53.9869124-04:00,2024-03-24T16:01:53.9869124Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,64.65243,57.93479,135.40177,29.58153,73.15004,-50.22599,150.77111,-23.93301,280.81747,-160.86058,330.93355,2.06256,270.98456,163.67684,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,8,ec7cf470-e9f7-11ee-824f-6955c7166cf0,51a31847-0b55-4760-8225-16509dc299b3,2024-03-24,12:02:32.28,2024-03-24,16:02:32.28,2024-03-24T12:02:32.2855364-04:00,2024-03-24T16:02:32.2855364Z,CEN_COL,OGL_UNI,FoulBallNotFieldable,Undefined,NoShift,64.87578,57.80418,136.47873,30.54631,82.68763,-58.32924,150.59749,-25.93969,281.37779,-160.50136,336.76103,4.3393,258.30748,152.26437,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,9,f8223790-e9f7-11ee-824f-6955c7166cf0,0dbffa8c-2bd0-4181-bf71-450dc11f5ebd,2024-03-24,12:02:51.71,2024-03-24,16:02:51.71,2024-03-24T12:02:51.7165508-04:00,2024-03-24T16:02:51.7165508Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,66.84876,59.64317,137.24335,31.65078,83.11329,-61.62762,150.7116,-22.78606,280.46328,-161.23468,339.46389,5.36453,263.82326,157.09334,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,10,025dd890-e9f8-11ee-824f-6955c7166cf0,5e421835-6ea7-4f0b-8f03-ab9cc45973e9,2024-03-24,12:03:08.93,2024-03-24,16:03:08.93,2024-03-24T12:03:08.9362372-04:00,2024-03-24T16:03:08.9362372Z,CEN_COL,OGL_UNI,FoulBallNotFieldable,Undefined,NoShift,65.66118,58.82085,137.25211,31.81397,83.52528,-60.78141,150.99025,-22.74435,283.44792,-162.14534,339.92285,4.80276,258.58972,155.55945,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,11,0f9db8e0-e9f8-11ee-824f-6955c7166cf0,cd29a4b1-a994-48e1-9ef3-c4342f57f852,2024-03-24,12:03:31.17,2024-03-24,16:03:31.17,2024-03-24T12:03:31.1733700-04:00,2024-03-24T16:03:31.1733700Z,CEN_COL,OGL_UNI,InPlay,Single,NoShift,65.48413,58.23452,138.86918,32.07054,100.06173,-66.53584,150.2886,-24.84406,271.94573,-153.43238,335.12575,5.61076,260.62229,156.77254,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,12,29db6770-e9f8-11ee-824f-6955c7166cf0,869d48e4-6bc8-462e-b849-e12ecd6ad116,2024-03-24,12:04:15.25,2024-03-24,16:04:15.25,2024-03-24T12:04:15.2584132-04:00,2024-03-24T16:04:15.2584132Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,92.96561,67.79302,134.6673,40.56746,84.13311,-58.49364,140.61574,-21.47837,278.38311,-161.91665,332.95703,7.6075,260.97951,157.90862,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,13,3757db90-e9f8-11ee-824f-6955c7166cf0,8e127470-38ca-4789-8659-203193b24892,2024-03-24,12:04:37.83,2024-03-24,16:04:37.83,2024-03-24T12:04:37.8384836-04:00,2024-03-24T16:04:37.8384836Z,CEN_COL,OGL_UNI,FoulBallNotFieldable,Undefined,NoShift,78.03386,58.29474,131.61825,40.15335,74.58269,-55.08256,141.10496,-12.32039,276.63706,-161.01386,333.06545,11.11699,259.0132,157.81615,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,14,455d07b0-e9f8-11ee-824f-6955c7166cf0,59afcc94-dce3-4515-aeb9-12a5e97671ac,2024-03-24,12:05:01.34,2024-03-24,16:05:01.34,2024-03-24T12:05:01.3413316-04:00,2024-03-24T16:05:01.3413316Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,68.28306,53.35813,132.66689,40.83638,71.91971,-55.39183,144.83902,-11.36104,272.46455,-156.28919,322.98165,11.08234,260.05428,156.58812,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,15,50a02da0-e9f8-11ee-824f-6955c7166cf0,5b34921e-2906-46e6-99d7-514934c5c43d,2024-03-24,12:05:20.27,2024-03-24,16:05:20.27,2024-03-24T12:05:20.2744260-04:00,2024-03-24T16:05:20.2744260Z,CEN_COL,OGL_UNI,StrikeCalled,Undefined,NoShift,66.80306,46.1505,132.30276,41.63743,71.56922,-53.03856,,,278.68335,-158.38422,326.34522,10.47007,255.93391,153.39385,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,16,5bbf50d0-e9f8-11ee-824f-6955c7166cf0,f4841fb9-0212-48f6-bf9b-113ba2abe38e,2024-03-24,12:05:38.96,2024-03-24,16:05:38.96,2024-03-24T12:05:38.9616068-04:00,2024-03-24T16:05:38.9616068Z,CEN_COL,OGL_UNI,StrikeSwinging,Undefined,NoShift,88.38596,68.01299,136.90803,43.00154,82.70669,-61.58945,143.99225,-10.07237,275.9457,-152.29105,332.01441,27.28516,248.70375,152.66393,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,17,6f0f02c0-e9f8-11ee-824f-6955c7166cf0,7e466356-38be-479f-b367-f1bc35688e21,2024-03-24,12:06:11.25,2024-03-24,16:06:11.25,2024-03-24T12:06:11.2594884-04:00,2024-03-24T16:06:11.2594884Z,CEN_COL,OGL_UNI,StrikeCalled,Undefined,NoShift,80.4906,59.38544,132.12993,25.81378,86.78751,-65.32371,140.13343,-22.0089,277.13666,-156.60853,316.67521,3.51203,254.35142,148.6554,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,18,79c48eb0-e9f8-11ee-824f-6955c7166cf0,b7698df3-e807-4075-9cb0-1509ba54e1f0,2024-03-24,12:06:29.31,2024-03-24,16:06:29.31,2024-03-24T12:06:29.3139908-04:00,2024-03-24T16:06:29.3139908Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,83.76705,63.42152,134.33132,27.26142,90.91848,-65.48314,147.69906,-21.26902,280.47622,-157.97407,315.41167,4.04898,251.78598,149.40029,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,19,852d3e00-e9f8-11ee-824f-6955c7166cf0,49f4e573-5eea-4729-86c0-e79f10eb6b5f,2024-03-24,12:06:48.40,2024-03-24,16:06:48.40,2024-03-24T12:06:48.4072900-04:00,2024-03-24T16:06:48.4072900Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,84.26116,63.81162,136.16295,26.99403,91.53724,-65.33335,148.42481,-26.47139,270.57604,-150.87202,311.87501,4.1165,253.44536,149.59088,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,20,9ee20d80-e9f8-11ee-824f-6955c7166cf0,77a12323-102f-41f6-b7f4-c9ed7fc74454,2024-03-24,12:07:31.57,2024-03-24,16:07:31.57,2024-03-24T12:07:31.5726788-04:00,2024-03-24T16:07:31.5726788Z,CEN_COL,OGL_UNI,StrikeCalled,Undefined,NoShift,89.38265,66.8678,132.29606,22.86469,89.43882,-67.92798,151.9896,-28.59398,271.08607,-151.12307,316.36234,5.18693,247.85131,146.70203,,,,,,,,,,,,,,,true
a99af64a-76c4-4589-9a1d-26b8b0dc1676,21,aaa20490-e9f8-11ee-824f-6955c7166cf0,9d3af166-626f-453f-b141-88a67275b318,2024-03-24,12:07:51.22,2024-03-24,16:07:51.22,2024-03-24T12:07:51.2230340-04:00,2024-03-24T16:07:51.2230340Z,CEN_COL,OGL_UNI,FoulBallNotFieldable,Undefined,NoShift,92.0817,69.14436,,,89.52928,-67.45502,147.74597,-24.45525,263.62201,-147.53807,327.95587,4.10958,253.97459,151.58167,,,,,,,,,,,,,,,true
